Date,Open,High,Low,Close,Volume
09/21/2023,"..28.29","..28.00","..25.75","..27.59","27,224"
09/20/2023,"..28.29","..27.35","..26.62","..28.29","5,833"
09/19/2023,"..28.29","..27.51","..27.25","..28.29","9,041"
09/18/2023,"..28.29","..28.90","..27.11","..28.29","8,404"
09/14/2023,"..28.29","..28.85","..27.61","..28.29","989"
09/13/2023,"..30.52","..29.85","..27.00","..28.29","27,858"
09/12/2023,"..30.52","..27.30","..26.50","..30.52","2,934"
09/11/2023,"..30.52","..27.84","..26.80","..30.52","3,625"
09/07/2023,"..30.52","..28.00","..26.65","..30.52","3,371"
09/06/2023,"..30.52","..28.20","..27.00","..30.52","8,253"
09/05/2023,"..30.52","..28.95","..27.65","..30.52","2,108"
09/04/2023,"..30.52","..29.89","..27.60","..30.52","6,294"
08/31/2023,"..30.52","..29.45","..27.12","..30.52","10,258"
08/30/2023,"..30.52","..30.00","..28.50","..30.52","7,413"
08/29/2023,"..26.86","..30.85","..28.40","..30.52","13,662"
08/28/2023,"..28.69","..29.00","..25.50","..26.86","19,320"
08/24/2023,"..28.69","..29.99","..28.00","..28.69","6,854"
08/23/2023,"..26.44","..31.40","..27.35","..28.69","27,320"
08/22/2023,"..28.90","..28.25","..25.05","..26.44","15,942"
08/21/2023,"..28.59","..32.00","..27.50","..28.90","10,588"
08/17/2023,"..25.02","..29.87","..25.02","..29.13","40,978"
08/16/2023,"..25.02","..25.50","..24.67","..25.02","4,068"
08/15/2023,"..25.02","..25.50","..24.74","..25.02","2,727"
08/14/2023,"..26.10","..25.50","..24.71","..25.02","22,375"
08/10/2023,"..26.10","..25.73","..24.66","..26.10","913"
08/09/2023,"..26.10","..25.85","..25.77","..26.10","2,130"
08/08/2023,"..26.10","..25.89","..24.50","..26.10","174"
08/07/2023,"..26.10","..25.95","..25.00","..26.10","1,083"
08/03/2023,"..26.10","..25.10","..25.10","..26.10","77"
08/02/2023,"..26.10","..25.01","..25.01","..26.10","131"
08/01/2023,"..26.10","..25.25","..25.25","..26.10","4"
07/31/2023,"..26.10","..26.10","..26.10","..26.10","4"
07/27/2023,"..26.10","..26.30","..24.60","..26.10","1,009"
07/26/2023,"..26.10","..26.00","..26.00","..26.10","1"
07/25/2023,"..26.10","..24.80","..24.80","..26.10","222"
07/19/2023,"..26.10","..26.30","..24.76","..26.10","931"
07/18/2023,"..26.10","..26.40","..26.40","..26.10","28"
07/13/2023,"..26.10","..25.02","..24.71","..26.10","2,435"
07/12/2023,"..26.10","..25.99","..25.01","..26.10","1,212"
07/11/2023,"..26.10","..26.00","..24.52","..26.10","3,744"
07/10/2023,"..26.10","..25.99","..23.90","..26.10","562"
07/06/2023,"..26.10","..26.00","..25.41","..26.10","2,000"
07/05/2023,"..26.10","..27.00","..25.98","..26.10","5,438"
07/04/2023,"..26.10","..26.50","..25.30","..26.10","3,803"
06/26/2023,"..26.10","..25.98","..25.00","..26.10","4,375"
06/22/2023,"..26.10","..25.30","..25.02","..26.10","808"
06/21/2023,"..26.10","..26.08","..25.00","..26.10","7,409"
06/20/2023,"..26.10","..25.81","..25.80","..26.10","4,698"
