Date,Open,High,Low,Close,Volume
09/21/2023,"..61.70","..62.40","..61.37","..62.35","431,929"
09/20/2023,"..62.43","..64.00","..61.51","..61.70","2,060,836"
09/19/2023,"..59.20","..62.99","..59.31","..62.43","1,211,989"
09/18/2023,"..59.49","..60.00","..58.94","..59.20","768,336"
09/14/2023,"..56.50","..59.00","..56.26","..58.00","845,599"
09/13/2023,"..56.60","..57.00","..56.25","..56.50","615,712"
09/12/2023,"..57.07","..57.05","..56.06","..56.60","375,633"
09/11/2023,"..57.00","..58.35","..56.51","..57.07","953,325"
09/07/2023,"..52.50","..54.24","..52.60","..53.70","1,028,398"
09/06/2023,"..52.38","..52.71","..52.11","..52.50","433,417"
09/05/2023,"..52.70","..52.75","..52.15","..52.38","302,080"
09/04/2023,"..52.09","..52.90","..51.80","..52.70","309,569"
08/31/2023,"..51.50","..52.75","..51.50","..52.75","905,856"
08/30/2023,"..51.11","..51.60","..51.11","..51.50","649,015"
08/29/2023,"..50.78","..51.46","..51.00","..51.11","469,541"
08/28/2023,"..50.67","..51.29","..50.40","..50.78","293,340"
08/24/2023,"..49.70","..51.29","..49.54","..50.97","900,747"
08/23/2023,"..49.70","..50.00","..49.53","..49.70","762,390"
08/22/2023,"..49.30","..50.00","..49.32","..49.70","419,879"
08/21/2023,"..49.32","..49.60","..49.00","..49.30","358,599"
08/17/2023,"..49.33","..49.60","..49.00","..49.47","358,607"
08/16/2023,"..49.81","..50.05","..49.20","..49.33","663,452"
08/15/2023,"..49.81","..49.88","..49.27","..49.81","536,810"
08/14/2023,"..49.81","..50.60","..49.81","..49.81","755,661"
08/10/2023,"..48.60","..49.44","..48.60","..48.61","1,183,784"
08/09/2023,"..47.84","..48.89","..47.50","..48.60","1,020,192"
08/08/2023,"..47.91","..48.12","..47.30","..47.84","606,901"
08/07/2023,"..47.45","..48.19","..47.47","..47.91","653,903"
08/03/2023,"..46.67","..46.94","..46.15","..46.94","368,864"
08/02/2023,"..47.51","..47.51","..46.55","..46.67","913,684"
08/01/2023,"..47.21","..48.47","..47.40","..47.51","1,599,256"
07/31/2023,"..47.00","..47.40","..47.03","..47.21","572,779"
07/27/2023,"..47.01","..47.05","..46.50","..46.52","546,843"
07/26/2023,"..47.15","..47.39","..47.01","..47.01","385,390"
07/25/2023,"..47.15","..47.69","..47.12","..47.15","842,847"
07/24/2023,"..47.82","..47.99","..47.05","..47.15","587,034"
07/19/2023,"..48.46","..48.60","..47.78","..47.82","785,398"
07/18/2023,"..48.31","..48.54","..48.16","..48.46","674,819"
07/17/2023,"..48.30","..48.64","..47.71","..48.31","1,027,706"
07/13/2023,"..46.60","..47.78","..46.70","..47.52","2,117,835"
07/12/2023,"..45.82","..46.99","..45.85","..46.60","2,374,881"
07/11/2023,"..44.61","..45.90","..44.45","..45.82","2,351,589"
07/10/2023,"..43.41","..44.85","..43.11","..44.61","540,654"
07/06/2023,"..45.47","..45.98","..44.51","..44.55","749,746"
07/05/2023,"..44.99","..45.88","..45.00","..45.47","610,679"
07/04/2023,"..44.55","..45.07","..44.65","..44.99","802,510"
06/26/2023,"..43.96","..44.55","..43.91","..44.55","423,175"
06/22/2023,"..43.71","..44.50","..43.72","..44.50","609,894"
06/21/2023,"..44.96","..45.09","..43.70","..43.71","1,333,239"
06/20/2023,"..45.25","..45.60","..44.94","..44.96","780,563"
06/19/2023,"..45.12","..45.94","..45.09","..45.25","1,537,494"
06/15/2023,"..45.80","..45.80","..44.90","..44.90","1,363,934"
06/14/2023,"..46.52","..46.96","..45.51","..45.80","2,135,618"
06/13/2023,"..44.60","..47.67","..44.95","..46.52","7,419,466"
06/12/2023,"..43.88","..44.60","..43.76","..44.60","1,315,528"
06/08/2023,"..43.00","..43.50","..42.42","..43.05","1,470,054"
06/07/2023,"..43.30","..43.95","..43.00","..43.00","5,338,663"
06/06/2023,"..43.12","..44.44","..43.02","..43.30","2,875,931"
06/05/2023,"..44.66","..44.90","..42.96","..43.12","2,783,124"
06/01/2023,"..47.47","..47.37","..46.30","..46.30","1,486,125"
05/31/2023,"..47.52","..47.99","..46.46","..47.47","2,274,418"
05/30/2023,"..47.35","..48.24","..47.36","..47.52","1,295,819"
05/29/2023,"..47.13","..47.98","..46.90","..47.35","560,856"
05/25/2023,"..48.00","..48.79","..47.72","..47.92","512,392"
05/24/2023,"..47.43","..48.29","..47.49","..48.00","615,431"
05/23/2023,"..47.93","..48.02","..46.65","..47.43","667,771"
05/22/2023,"..48.88","..49.42","..47.85","..47.93","357,788"
05/18/2023,"..48.80","..48.99","..47.70","..48.38","428,277"
05/17/2023,"..49.65","..50.00","..48.70","..48.80","442,777"
05/16/2023,"..50.93","..50.99","..49.00","..49.65","813,459"
05/15/2023,"..52.15","..52.30","..50.75","..50.93","801,019"
05/11/2023,"..52.10","..53.20","..51.67","..52.10","551,145"
05/10/2023,"..50.02","..52.50","..49.92","..52.10","954,020"
05/09/2023,"..52.50","..52.85","..49.90","..50.02","1,002,305"
05/08/2023,"..48.00","..52.60","..47.63","..52.50","1,643,835"
05/03/2023,"..48.41","..49.00","..47.80","..48.27","647,152"
05/02/2023,"..47.37","..48.50","..46.50","..48.41","1,039,464"
05/01/2023,"..49.71","..49.50","..47.02","..47.37","693,195"
