Date,Open,High,Low,Close,Volume
09/21/2023,"..0.59","..0.60","..0.58","..0.60","3,116,896"
09/20/2023,"..0.60","..0.61","..0.59","..0.59","4,507,827"
09/19/2023,"..0.61","..0.62","..0.60","..0.60","5,236,541"
09/18/2023,"..0.60","..0.62","..0.60","..0.61","7,671,735"
09/14/2023,"..0.59","..0.61","..0.58","..0.60","3,412,699"
09/13/2023,"..0.59","..0.60","..0.58","..0.59","2,471,326"
09/12/2023,"..0.60","..0.61","..0.59","..0.59","2,335,721"
09/11/2023,"..0.61","..0.61","..0.60","..0.60","2,943,868"
09/07/2023,"..0.60","..0.61","..0.60","..0.60","4,279,504"
09/06/2023,"..0.60","..0.61","..0.60","..0.60","4,790,874"
09/05/2023,"..0.61","..0.62","..0.60","..0.60","4,224,918"
09/04/2023,"..0.60","..0.61","..0.60","..0.61","3,762,372"
08/31/2023,"..0.62","..0.62","..0.61","..0.61","6,174,942"
08/30/2023,"..0.61","..0.63","..0.61","..0.62","7,618,240"
08/29/2023,"..0.61","..0.62","..0.60","..0.61","4,713,212"
08/28/2023,"..0.61","..0.63","..0.61","..0.61","3,796,962"
08/24/2023,"..0.62","..0.62","..0.61","..0.61","4,313,314"
08/23/2023,"..0.63","..0.64","..0.62","..0.62","8,904,037"
08/22/2023,"..0.62","..0.65","..0.62","..0.63","15,607,830"
08/21/2023,"..0.62","..0.63","..0.62","..0.62","3,729,846"
08/17/2023,"..0.62","..0.63","..0.61","..0.62","4,363,488"
08/16/2023,"..0.63","..0.65","..0.62","..0.62","10,116,720"
08/15/2023,"..0.61","..0.65","..0.61","..0.63","14,662,880"
08/14/2023,"..0.61","..0.62","..0.61","..0.61","2,755,799"
08/10/2023,"..0.62","..0.63","..0.61","..0.62","2,991,125"
08/09/2023,"..0.63","..0.63","..0.62","..0.62","4,072,720"
08/08/2023,"..0.63","..0.64","..0.63","..0.63","3,074,933"
08/07/2023,"..0.62","..0.63","..0.62","..0.63","5,605,112"
08/03/2023,"..0.63","..0.64","..0.62","..0.63","4,046,151"
08/02/2023,"..0.63","..0.64","..0.62","..0.63","3,090,239"
08/01/2023,"..0.64","..0.65","..0.63","..0.63","2,782,065"
07/31/2023,"..0.62","..0.64","..0.63","..0.64","7,661,461"
07/27/2023,"..0.62","..0.64","..0.62","..0.63","5,461,752"
07/26/2023,"..0.61","..0.62","..0.61","..0.62","2,924,545"
07/25/2023,"..0.63","..0.63","..0.61","..0.61","3,299,972"
07/24/2023,"..0.64","..0.64","..0.63","..0.63","2,976,113"
07/19/2023,"..0.63","..0.64","..0.63","..0.64","6,911,884"
07/18/2023,"..0.63","..0.64","..0.62","..0.63","4,999,670"
07/17/2023,"..0.64","..0.64","..0.62","..0.63","8,263,954"
07/12/2023,"..0.62","..0.66","..0.61","..0.66","22,741,561"
07/11/2023,"..0.60","..0.63","..0.60","..0.62","17,913,260"
07/10/2023,"..0.60","..0.61","..0.56","..0.60","8,540,814"
07/06/2023,"..0.66","..0.67","..0.64","..0.64","9,369,371"
07/05/2023,"..0.65","..0.67","..0.64","..0.66","15,685,270"
07/04/2023,"..0.64","..0.65","..0.64","..0.65","9,188,425"
06/26/2023,"..0.64","..0.65","..0.63","..0.64","6,567,492"
06/22/2023,"..0.63","..0.64","..0.62","..0.63","4,783,498"
06/21/2023,"..0.65","..0.66","..0.63","..0.63","7,257,199"
06/20/2023,"..0.64","..0.66","..0.65","..0.65","5,489,836"
06/19/2023,"..0.65","..0.66","..0.64","..0.64","10,474,910"
06/15/2023,"..0.65","..0.67","..0.64","..0.65","10,060,680"
06/14/2023,"..0.65","..0.66","..0.65","..0.65","6,027,526"
06/13/2023,"..0.66","..0.66","..0.65","..0.65","13,533,190"
06/12/2023,"..0.67","..0.67","..0.66","..0.66","10,487,161"
06/08/2023,"..0.67","..0.67","..0.66","..0.67","23,407,340"
06/07/2023,"..0.65","..0.68","..0.65","..0.67","56,919,781"
06/06/2023,"..0.64","..0.66","..0.64","..0.65","27,063,051"
06/05/2023,"..0.65","..0.66","..0.63","..0.64","23,669,250"
06/01/2023,"..0.64","..0.67","..0.64","..0.66","42,292,770"
