Date,Open,High,Low,Close,Volume
09/21/2023,"..0.34","..0.34","..0.33","..0.33","1,382,307"
09/20/2023,"..0.35","..0.35","..0.33","..0.34","1,543,857"
09/19/2023,"..0.35","..0.36","..0.34","..0.35","3,460,695"
09/18/2023,"..0.35","..0.36","..0.35","..0.35","6,297,972"
09/14/2023,"..0.35","..0.36","..0.35","..0.35","1,996,553"
09/13/2023,"..0.35","..0.36","..0.34","..0.35","3,035,856"
09/12/2023,"..0.35","..0.36","..0.35","..0.35","5,231,536"
09/11/2023,"..0.36","..0.37","..0.35","..0.35","4,128,867"
09/07/2023,"..0.35","..0.36","..0.35","..0.35","5,194,894"
09/06/2023,"..0.34","..0.36","..0.34","..0.35","6,966,762"
09/05/2023,"..0.34","..0.34","..0.33","..0.34","1,754,208"
09/04/2023,"..0.34","..0.34","..0.33","..0.34","860,231"
08/31/2023,"..0.33","..0.34","..0.33","..0.33","1,807,488"
08/30/2023,"..0.34","..0.34","..0.33","..0.33","1,289,340"
08/29/2023,"..0.33","..0.34","..0.33","..0.34","2,275,941"
08/28/2023,"..0.33","..0.33","..0.33","..0.33","4,313,748"
08/24/2023,"..0.33","..0.34","..0.33","..0.33","1,844,200"
08/23/2023,"..0.33","..0.34","..0.33","..0.33","2,650,634"
08/22/2023,"..0.33","..0.33","..0.33","..0.33","971,010"
08/21/2023,"..0.33","..0.34","..0.33","..0.33","968,257"
08/17/2023,"..0.33","..0.33","..0.33","..0.33","648,557"
08/16/2023,"..0.33","..0.34","..0.33","..0.33","1,229,438"
08/15/2023,"..0.34","..0.34","..0.33","..0.33","1,944,525"
08/14/2023,"..0.34","..0.34","..0.33","..0.34","876,876"
08/10/2023,"..0.34","..0.34","..0.34","..0.34","562,007"
08/09/2023,"..0.35","..0.35","..0.34","..0.34","1,421,469"
08/08/2023,"..0.34","..0.35","..0.34","..0.35","5,219,028"
08/07/2023,"..0.34","..0.34","..0.33","..0.34","2,303,067"
08/03/2023,"..0.32","..0.33","..0.32","..0.32","854,402"
08/02/2023,"..0.33","..0.34","..0.32","..0.32","2,350,669"
08/01/2023,"..0.33","..0.34","..0.33","..0.33","2,918,924"
07/31/2023,"..0.33","..0.34","..0.33","..0.33","2,495,823"
07/27/2023,"..0.32","..0.36","..0.32","..0.34","4,597,087"
07/26/2023,"..0.33","..0.33","..0.32","..0.32","2,356,770"
07/25/2023,"..0.33","..0.33","..0.32","..0.33","3,668,365"
07/24/2023,"..0.34","..0.35","..0.33","..0.33","3,200,650"
07/19/2023,"..0.34","..0.35","..0.34","..0.34","4,038,918"
07/18/2023,"..0.35","..0.35","..0.33","..0.34","10,272,690"
07/17/2023,"..0.35","..0.36","..0.34","..0.35","3,540,064"
07/13/2023,"..0.36","..0.37","..0.36","..0.36","1,846,632"
07/12/2023,"..0.37","..0.38","..0.36","..0.36","3,275,603"
07/11/2023,"..0.37","..0.38","..0.36","..0.37","5,853,961"
07/10/2023,"..0.36","..0.38","..0.35","..0.37","3,376,515"
07/06/2023,"..0.40","..0.41","..0.37","..0.38","9,103,968"
07/05/2023,"..0.35","..0.41","..0.35","..0.40","8,816,099"
07/04/2023,"..0.36","..0.37","..0.35","..0.35","3,570,468"
06/26/2023,"..0.36","..0.38","..0.36","..0.36","5,063,943"
06/22/2023,"..0.37","..0.38","..0.36","..0.37","4,332,085"
06/21/2023,"..0.39","..0.39","..0.37","..0.37","9,852,898"
06/20/2023,"..0.40","..0.41","..0.38","..0.39","20,161,180"
06/19/2023,"..0.39","..0.43","..0.39","..0.40","19,042,551"
06/15/2023,"..0.35","..0.40","..0.36","..0.38","35,422,199"
06/14/2023,"..0.29","..0.35","..0.30","..0.35","20,919,340"
06/13/2023,"..0.27","..0.30","..0.27","..0.29","14,067,890"
06/12/2023,"..0.27","..0.28","..0.27","..0.27","668,986"
06/08/2023,"..0.27","..0.28","..0.27","..0.28","3,454,262"
06/07/2023,"..0.27","..0.28","..0.27","..0.27","5,833,087"
06/06/2023,"..0.28","..0.28","..0.27","..0.27","4,704,850"
06/05/2023,"..0.27","..0.28","..0.27","..0.28","6,194,555"
06/01/2023,"..0.26","..0.27","..0.26","..0.26","3,446,878"
05/31/2023,"..0.27","..0.27","..0.26","..0.26","4,943,233"
05/30/2023,"..0.27","..0.28","..0.26","..0.27","7,757,262"
05/29/2023,"..0.28","..0.29","..0.25","..0.27","10,695,230"
