Date,Open,High,Low,Close,Volume
09/21/2023,"..4.11","..4.15","..4.09","..4.10","240,523"
09/20/2023,"..4.21","..4.23","..4.09","..4.11","266,028"
09/19/2023,"..4.17","..4.23","..4.17","..4.21","302,096"
09/18/2023,"..4.15","..4.18","..4.11","..4.17","156,004"
09/14/2023,"..4.12","..4.15","..4.11","..4.12","120,706"
09/13/2023,"..4.11","..4.17","..4.10","..4.12","149,195"
09/12/2023,"..4.12","..4.19","..4.10","..4.11","136,338"
09/11/2023,"..4.19","..4.22","..4.11","..4.12","135,788"
09/07/2023,"..4.14","..4.20","..4.10","..4.11","338,505"
09/06/2023,"..4.19","..4.23","..4.12","..4.14","200,467"
09/05/2023,"..4.28","..4.30","..4.10","..4.19","914,242"
09/04/2023,"..4.28","..4.33","..4.23","..4.28","49,515"
08/31/2023,"..4.29","..4.38","..4.28","..4.32","215,978"
08/30/2023,"..4.21","..4.38","..4.15","..4.29","443,074"
08/29/2023,"..4.16","..4.24","..4.12","..4.21","232,054"
08/28/2023,"..4.14","..4.20","..4.11","..4.16","135,375"
08/24/2023,"..4.18","..4.19","..4.03","..4.07","199,245"
08/23/2023,"..4.21","..4.27","..4.16","..4.18","217,383"
08/22/2023,"..4.16","..4.25","..4.10","..4.21","107,262"
08/21/2023,"..4.20","..4.27","..4.12","..4.16","239,618"
08/17/2023,"..4.31","..4.36","..4.26","..4.31","53,369"
08/16/2023,"..4.35","..4.38","..4.31","..4.31","179,707"
08/15/2023,"..4.36","..4.40","..4.32","..4.35","74,098"
08/14/2023,"..4.40","..4.40","..4.33","..4.36","72,079"
08/10/2023,"..4.34","..4.40","..4.26","..4.29","462,472"
08/09/2023,"..4.31","..4.40","..4.30","..4.34","394,573"
08/08/2023,"..4.37","..4.42","..4.30","..4.31","388,296"
08/07/2023,"..4.43","..4.45","..4.36","..4.37","553,198"
08/03/2023,"..3.98","..4.40","..3.95","..4.40","2,415,474"
08/02/2023,"..4.21","..4.27","..3.40","..3.98","289,170"
08/01/2023,"..4.13","..4.36","..4.15","..4.21","789,410"
07/31/2023,"..3.97","..4.15","..3.95","..4.13","323,466"
07/27/2023,"..4.00","..4.04","..3.92","..4.00","71,457"
