Date,Open,High,Low,Close,Volume
09/20/2023,"..26.64","..26.13","..25.91","..26.64","5,110"
09/19/2023,"..26.64","..25.90","..25.86","..26.64","1,725"
09/18/2023,"..26.64","..26.00","..25.81","..26.64","1,605"
09/14/2023,"..26.64","..26.90","..26.31","..26.64","1,307"
09/12/2023,"..25.99","..27.00","..25.16","..26.64","14,039"
09/11/2023,"..25.99","..26.15","..25.11","..25.99","1,769"
09/07/2023,"..25.99","..26.95","..24.21","..25.99","6,612"
09/06/2023,"..25.99","..26.01","..25.86","..25.99","11,110"
09/04/2023,"..25.99","..27.35","..25.90","..25.99","3,611"
08/31/2023,"..25.95","..26.90","..25.62","..25.95","3,494"
08/30/2023,"..25.95","..27.35","..25.32","..25.95","8,186"
08/29/2023,"..24.24","..27.00","..24.49","..25.95","16,165"
08/24/2023,"..24.24","..23.70","..23.36","..24.24","2,202"
08/23/2023,"..24.24","..23.80","..23.78","..24.24","1,500"
08/22/2023,"..24.24","..24.72","..23.30","..24.24","2,796"
08/17/2023,"..24.24","..25.37","..24.27","..24.24","3,350"
08/16/2023,"..23.03","..25.52","..24.00","..24.24","27,068"
08/15/2023,"..23.03","..23.37","..23.10","..23.03","706"
08/14/2023,"..23.03","..24.79","..23.07","..23.03","487"
08/10/2023,"..23.03","..23.30","..23.27","..23.03","617"
08/09/2023,"..23.03","..23.23","..23.17","..23.03","41"
08/08/2023,"..23.03","..23.22","..23.18","..23.03","15"
08/07/2023,"..23.03","..24.99","..24.00","..23.03","1,898"
08/03/2023,"..23.03","..23.99","..23.00","..23.03","1,590"
08/02/2023,"..23.03","..24.00","..23.12","..23.03","2,757"
08/01/2023,"..23.03","..24.85","..23.04","..23.03","1,464"
07/31/2023,"..23.03","..24.94","..22.70","..23.03","2,634"
07/27/2023,"..23.03","..22.01","..21.03","..23.03","2,091"
07/26/2023,"..23.03","..21.50","..20.20","..23.03","638"
07/25/2023,"..23.03","..20.11","..20.10","..23.03","96"
07/24/2023,"..23.03","..22.48","..20.10","..23.03","499"
07/19/2023,"..23.03","..22.48","..20.10","..23.03","53"
