Date,Open,High,Low,Close,Volume
09/21/2023,"..60.13","..61.99","..60.13","..60.13","3,045"
09/20/2023,"..60.13","..61.02","..61.02","..60.13","10"
09/19/2023,"..60.13","..60.13","..60.00","..60.13","74"
09/18/2023,"..60.13","..61.84","..59.82","..60.13","9"
09/14/2023,"..60.13","..60.00","..59.59","..60.13","2,187"
09/13/2023,"..60.13","..61.84","..61.84","..60.13","3"
09/12/2023,"..60.13","..59.25","..59.25","..60.13","7"
09/11/2023,"..60.13","..60.01","..60.00","..60.13","491"
09/06/2023,"..60.13","..62.39","..62.39","..60.13","10"
09/04/2023,"..60.13","..60.36","..60.36","..60.13","1"
08/31/2023,"..60.13","..61.00","..60.53","..60.13","774"
08/30/2023,"..60.13","..61.00","..59.14","..60.13","495"
08/29/2023,"..60.13","..61.00","..60.42","..60.13","741"
08/28/2023,"..60.13","..61.00","..60.42","..60.13","8"
08/24/2023,"..60.13","..61.00","..61.00","..60.13","1,329"
08/23/2023,"..60.13","..60.72","..60.55","..60.13","1,031"
08/22/2023,"..60.13","..61.00","..61.00","..60.13","50"
08/21/2023,"..60.13","..62.30","..62.30","..60.13","96"
08/17/2023,"..62.00","..62.45","..60.13","..60.13","11,061"
08/16/2023,"..62.00","..62.50","..61.79","..62.00","7"
08/15/2023,"..66.85","..62.04","..62.00","..62.00","6,023"
08/14/2023,"..66.85","..62.79","..61.75","..66.85","1,136"
08/10/2023,"..66.85","..62.75","..62.00","..66.85","3,721"
08/09/2023,"..66.85","..62.00","..61.14","..66.85","53"
08/08/2023,"..66.85","..62.00","..62.00","..66.85","175"
08/07/2023,"..66.85","..62.86","..62.86","..66.85","100"
08/03/2023,"..66.85","..61.99","..61.00","..66.85","872"
08/02/2023,"..66.85","..61.50","..61.21","..66.85","974"
08/01/2023,"..66.85","..63.00","..61.50","..66.85","866"
07/31/2023,"..66.85","..62.98","..60.24","..66.85","7"
07/27/2023,"..66.85","..61.51","..61.50","..66.85","1,209"
07/26/2023,"..66.85","..62.60","..61.50","..66.85","143"
07/25/2023,"..66.85","..62.75","..62.31","..66.85","263"
07/24/2023,"..66.85","..62.98","..62.09","..66.85","226"
07/19/2023,"..66.85","..62.90","..62.00","..66.85","1,166"
07/18/2023,"..66.85","..62.95","..61.51","..66.85","81"
07/17/2023,"..66.85","..62.96","..60.06","..66.85","89"
07/13/2023,"..66.85","..62.98","..61.95","..66.85","826"
07/12/2023,"..66.85","..62.00","..60.00","..66.85","36"
07/11/2023,"..66.85","..62.00","..60.00","..66.85","461"
07/06/2023,"..66.85","..63.15","..61.00","..66.85","306"
07/05/2023,"..66.85","..63.29","..61.50","..66.85","495"
07/04/2023,"..66.85","..63.49","..63.49","..66.85","14"
06/26/2023,"..66.85","..61.07","..61.07","..66.85","9"
06/22/2023,"..66.85","..65.90","..65.89","..66.85","37"
06/21/2023,"..66.85","..65.96","..60.70","..66.85","2,718"
06/20/2023,"..66.85","..63.95","..61.45","..66.85","770"
06/19/2023,"..66.85","..63.00","..62.97","..66.85","50"
06/15/2023,"..66.85","..61.17","..61.00","..66.85","953"
06/14/2023,"..66.85","..64.64","..61.14","..66.85","858"
06/13/2023,"..66.85","..61.15","..61.00","..66.85","413"
06/12/2023,"..66.85","..66.43","..61.11","..66.85","57"
06/08/2023,"..66.85","..62.00","..60.02","..66.85","458"
06/07/2023,"..66.85","..62.99","..60.00","..66.85","1,376"
06/06/2023,"..66.85","..61.50","..60.51","..66.85","1,020"
06/05/2023,"..66.85","..63.62","..61.13","..66.85","1,864"
06/01/2023,"..59.95","..64.01","..56.00","..62.89","17,467"
05/31/2023,"..59.95","..58.00","..56.00","..59.95","912"
05/30/2023,"..59.95","..58.00","..55.50","..59.95","243"
05/29/2023,"..59.95","..59.95","..55.00","..59.95","2,049"
05/25/2023,"..59.95","..58.99","..57.99","..59.95","21"
05/24/2023,"..59.95","..59.95","..55.00","..59.95","242"
05/23/2023,"..59.95","..57.11","..55.00","..59.95","3,353"
05/22/2023,"..59.95","..57.11","..57.10","..59.95","573"
05/18/2023,"..59.95","..57.00","..55.50","..59.95","1,000"
05/17/2023,"..59.95","..59.01","..57.00","..59.95","510"
05/16/2023,"..59.95","..59.74","..59.74","..59.95","5"
05/15/2023,"..59.95","..59.67","..56.61","..59.95","2,084"
05/11/2023,"..59.95","..58.90","..57.00","..59.95","570"
05/10/2023,"..59.95","..55.50","..55.50","..59.95","15"
