Date,Open,High,Low,Close,Volume
09/21/2023,"..23.90","..24.14","..23.70","..24.10","446,257"
09/20/2023,"..24.02","..24.23","..23.65","..23.90","246,139"
09/19/2023,"..24.30","..24.55","..23.81","..24.02","488,661"
09/18/2023,"..24.32","..24.85","..24.13","..24.30","269,668"
09/14/2023,"..24.00","..25.01","..24.00","..24.84","1,164,770"
09/13/2023,"..24.00","..24.10","..23.70","..24.00","123,670"
09/12/2023,"..23.58","..24.00","..23.35","..24.00","385,142"
09/11/2023,"..24.00","..24.10","..23.50","..23.58","161,636"
09/07/2023,"..23.32","..23.79","..23.34","..23.73","284,732"
09/06/2023,"..23.79","..23.70","..23.30","..23.32","320,135"
09/05/2023,"..24.20","..24.45","..23.75","..23.79","602,331"
09/04/2023,"..24.19","..24.48","..24.00","..24.20","243,573"
08/31/2023,"..25.00","..25.47","..24.80","..24.85","70,851"
08/30/2023,"..24.99","..25.36","..24.80","..25.00","177,553"
08/29/2023,"..25.50","..25.77","..24.81","..24.99","783,823"
08/28/2023,"..24.98","..25.72","..24.83","..25.50","450,177"
08/24/2023,"..24.21","..24.85","..24.00","..24.19","74,263"
08/23/2023,"..24.55","..24.77","..24.00","..24.21","103,001"
08/22/2023,"..24.57","..24.75","..24.46","..24.55","67,008"
08/21/2023,"..24.95","..25.25","..24.50","..24.57","185,747"
08/17/2023,"..25.24","..25.25","..24.91","..24.99","26,933"
08/16/2023,"..24.62","..25.50","..24.62","..25.24","151,286"
08/15/2023,"..25.00","..25.00","..24.52","..24.62","234,867"
08/14/2023,"..25.00","..25.25","..24.81","..25.00","921,304"
08/10/2023,"..24.92","..24.84","..24.35","..24.69","32,908"
08/09/2023,"..24.93","..25.20","..24.60","..24.92","485,464"
08/08/2023,"..24.80","..25.19","..24.58","..24.93","302,838"
08/07/2023,"..24.03","..24.80","..23.92","..24.80","347,375"
08/03/2023,"..24.02","..24.50","..23.54","..24.01","46,004"
08/02/2023,"..23.66","..24.39","..23.63","..24.02","56,193"
08/01/2023,"..24.40","..25.00","..23.53","..23.66","530,103"
07/31/2023,"..24.49","..24.59","..24.10","..24.40","152,682"
07/27/2023,"..23.10","..23.50","..22.81","..23.42","206,726"
07/26/2023,"..22.39","..23.16","..22.39","..23.10","383,759"
07/25/2023,"..22.52","..22.72","..22.35","..22.39","608,852"
07/24/2023,"..22.58","..22.77","..22.50","..22.52","877,359"
07/19/2023,"..22.79","..22.95","..22.55","..22.58","740,116"
07/18/2023,"..22.51","..23.00","..22.52","..22.79","545,362"
07/17/2023,"..22.67","..22.89","..22.46","..22.51","91,408"
07/13/2023,"..22.83","..23.03","..22.75","..22.90","329,187"
07/12/2023,"..22.88","..23.00","..22.50","..22.83","192,175"
07/11/2023,"..23.00","..23.35","..22.65","..22.88","1,760,870"
07/10/2023,"..22.43","..23.25","..22.10","..23.00","185,259"
07/06/2023,"..23.64","..24.10","..23.40","..23.79","220,190"
07/05/2023,"..23.27","..24.40","..23.00","..23.64","540,980"
07/04/2023,"..23.25","..23.50","..23.00","..23.27","600,490"
06/26/2023,"..22.23","..23.25","..22.20","..23.25","711,750"
06/22/2023,"..22.53","..22.76","..22.23","..22.31","913,697"
06/21/2023,"..22.31","..23.10","..22.30","..22.53","834,611"
06/20/2023,"..22.66","..23.00","..22.22","..22.31","2,032,519"
