Date,Open,High,Low,Close,Volume
09/21/2023,"..1.58","..1.60","..1.56","..1.56","2,000,935"
09/20/2023,"..1.64","..1.65","..1.55","..1.58","3,938,169"
09/19/2023,"..1.65","..1.68","..1.61","..1.64","4,681,680"
09/18/2023,"..1.67","..1.69","..1.64","..1.65","2,904,287"
09/14/2023,"..1.63","..1.67","..1.62","..1.63","4,281,987"
09/13/2023,"..1.62","..1.64","..1.61","..1.63","1,826,398"
09/12/2023,"..1.66","..1.68","..1.61","..1.62","4,085,036"
09/11/2023,"..1.65","..1.69","..1.64","..1.66","8,504,219"
09/07/2023,"..1.58","..1.74","..1.58","..1.69","24,575,961"
09/06/2023,"..1.61","..1.63","..1.57","..1.58","4,407,163"
09/05/2023,"..1.58","..1.66","..1.57","..1.61","10,817,480"
09/04/2023,"..1.58","..1.62","..1.57","..1.58","5,845,855"
08/31/2023,"..1.52","..1.59","..1.51","..1.55","11,248,010"
08/30/2023,"..1.51","..1.53","..1.51","..1.52","2,370,376"
08/29/2023,"..1.50","..1.56","..1.50","..1.51","4,882,511"
08/28/2023,"..1.52","..1.53","..1.50","..1.50","3,012,688"
08/24/2023,"..1.51","..1.54","..1.48","..1.51","4,891,732"
08/23/2023,"..1.57","..1.58","..1.50","..1.51","7,667,822"
08/22/2023,"..1.54","..1.66","..1.53","..1.57","16,462,260"
08/21/2023,"..1.53","..1.57","..1.53","..1.54","5,905,000"
08/17/2023,"..1.47","..1.51","..1.44","..1.46","2,758,907"
08/16/2023,"..1.42","..1.55","..1.42","..1.47","8,026,713"
08/15/2023,"..1.41","..1.43","..1.40","..1.42","1,619,846"
08/14/2023,"..1.42","..1.43","..1.41","..1.41","1,490,045"
08/10/2023,"..1.41","..1.47","..1.40","..1.41","1,351,126"
08/09/2023,"..1.42","..1.44","..1.41","..1.41","1,272,796"
08/08/2023,"..1.43","..1.47","..1.42","..1.42","2,752,090"
08/07/2023,"..1.40","..1.47","..1.40","..1.43","3,881,078"
08/03/2023,"..1.39","..1.40","..1.37","..1.38","997,906"
08/02/2023,"..1.40","..1.42","..1.38","..1.39","1,000,965"
08/01/2023,"..1.41","..1.43","..1.39","..1.40","2,389,113"
07/31/2023,"..1.41","..1.43","..1.40","..1.41","1,139,667"
07/27/2023,"..1.37","..1.45","..1.37","..1.44","2,959,190"
07/26/2023,"..1.38","..1.39","..1.37","..1.37","1,210,863"
07/25/2023,"..1.41","..1.42","..1.37","..1.38","1,879,625"
07/24/2023,"..1.42","..1.43","..1.41","..1.41","1,025,192"
07/19/2023,"..1.41","..1.44","..1.41","..1.42","799,661"
07/18/2023,"..1.40","..1.45","..1.41","..1.41","1,610,924"
07/17/2023,"..1.44","..1.46","..1.40","..1.40","2,384,199"
07/13/2023,"..1.44","..1.47","..1.44","..1.45","1,531,557"
07/12/2023,"..1.45","..1.48","..1.43","..1.44","1,535,379"
07/11/2023,"..1.43","..1.52","..1.45","..1.45","4,806,460"
07/10/2023,"..1.39","..1.45","..1.39","..1.43","2,651,412"
07/06/2023,"..1.59","..1.64","..1.53","..1.54","7,116,801"
07/05/2023,"..1.52","..1.59","..1.51","..1.59","5,512,457"
07/04/2023,"..1.49","..1.53","..1.50","..1.52","2,671,770"
06/26/2023,"..1.51","..1.53","..1.49","..1.49","3,248,238"
06/22/2023,"..1.57","..1.60","..1.54","..1.56","2,619,566"
06/21/2023,"..1.65","..1.65","..1.56","..1.57","2,401,148"
06/20/2023,"..1.64","..1.66","..1.63","..1.65","2,227,709"
06/19/2023,"..1.64","..1.70","..1.63","..1.63","3,622,711"
06/15/2023,"..1.67","..1.71","..1.64","..1.65","4,105,627"
06/14/2023,"..1.70","..1.76","..1.66","..1.67","5,914,522"
06/13/2023,"..1.69","..1.79","..1.66","..1.70","10,117,390"
06/12/2023,"..1.72","..1.76","..1.68","..1.69","4,255,795"
06/08/2023,"..1.72","..1.97","..1.71","..1.83","34,777,688"
06/07/2023,"..1.45","..1.74","..1.49","..1.72","30,241,301"
06/06/2023,"..1.39","..1.50","..1.37","..1.45","8,318,225"
06/05/2023,"..1.39","..1.40","..1.38","..1.39","3,473,268"
06/01/2023,"..1.30","..1.33","..1.28","..1.31","5,919,007"
05/31/2023,"..1.31","..1.33","..1.29","..1.30","4,846,889"
05/30/2023,"..1.32","..1.35","..1.31","..1.31","3,711,941"
05/29/2023,"..1.33","..1.38","..1.31","..1.32","6,202,387"
05/25/2023,"..1.24","..1.25","..1.21","..1.24","1,971,585"
05/24/2023,"..1.25","..1.28","..1.24","..1.24","3,584,131"
05/23/2023,"..1.24","..1.27","..1.23","..1.25","2,941,433"
05/22/2023,"..1.27","..1.29","..1.24","..1.24","3,417,481"
05/18/2023,"..1.27","..1.30","..1.22","..1.27","4,706,761"
05/17/2023,"..1.24","..1.34","..1.27","..1.27","9,790,722"
05/16/2023,"..1.25","..1.26","..1.20","..1.24","5,428,011"
05/15/2023,"..1.30","..1.33","..1.24","..1.25","3,996,098"
05/11/2023,"..1.33","..1.37","..1.30","..1.30","4,035,710"
05/10/2023,"..1.32","..1.38","..1.31","..1.33","12,743,951"
05/09/2023,"..1.30","..1.39","..1.27","..1.32","14,220,223"
05/08/2023,"..1.33","..1.35","..1.29","..1.30","10,214,927"
05/03/2023,"..1.12","..1.19","..1.11","..1.18","6,234,913"
05/02/2023,"..1.12","..1.14","..1.07","..1.12","3,766,837"
05/01/2023,"..1.15","..1.18","..1.11","..1.12","5,016,237"
04/27/2023,"..0.98","..1.15","..0.98","..1.13","17,737,183"
04/26/2023,"..0.98","..0.99","..0.98","..0.98","2,235,247"
04/19/2023,"..0.98","..1.00","..0.98","..0.98","1,197,163"
04/18/2023,"..0.99","..0.99","..0.98","..0.98","873,924"
04/13/2023,"..0.99","..1.00","..0.98","..0.99","2,025,310"
04/12/2023,"..0.99","..1.00","..0.98","..0.99","3,523,598"
04/11/2023,"..0.99","..1.00","..0.99","..0.99","2,318,425"
04/10/2023,"..1.01","..1.01","..0.99","..0.99","1,792,053"
04/06/2023,"..1.02","..1.03","..1.02","..1.02","1,506,148"
04/05/2023,"..1.02","..1.04","..1.01","..1.02","2,333,858"
04/04/2023,"..1.01","..1.03","..1.02","..1.02","2,438,625"
04/03/2023,"..1.02","..1.04","..1.01","..1.01","3,451,063"
03/30/2023,"..1.01","..1.03","..0.99","..1.02","3,120,913"
03/29/2023,"..0.99","..1.01","..0.98","..1.01","2,244,656"
03/28/2023,"..1.01","..1.02","..0.98","..0.99","2,517,109"
03/27/2023,"..1.04","..1.06","..1.01","..1.01","2,738,079"
03/23/2023,"..1.04","..1.05","..1.02","..1.04","2,600,142"
03/22/2023,"..1.03","..1.08","..1.03","..1.04","4,362,855"
03/21/2023,"..0.99","..1.04","..0.98","..1.03","4,742,311"
03/20/2023,"..0.98","..1.00","..0.97","..0.99","2,135,879"
03/16/2023,"..1.01","..1.01","..0.95","..0.98","1,519,985"
03/15/2023,"..1.08","..1.13","..0.95","..1.01","2,935,490"
03/14/2023,"..1.07","..1.11","..1.04","..1.08","2,653,981"
03/13/2023,"..1.20","..1.20","..1.06","..1.07","4,564,230"
03/09/2023,"..1.30","..1.32","..1.28","..1.30","2,720,784"
03/08/2023,"..1.35","..1.35","..1.30","..1.30","3,876,860"
03/07/2023,"..1.46","..1.46","..1.34","..1.35","11,109,698"
03/06/2023,"..1.53","..1.56","..1.46","..1.46","13,616,412"
03/02/2023,"..1.55","..1.56","..1.53","..1.55","1,778,947"
03/01/2023,"..1.54","..1.58","..1.52","..1.55","1,123,241"
02/28/2023,"..1.56","..1.56","..1.53","..1.54","1,836,493"
02/27/2023,"..1.56","..1.59","..1.55","..1.56","1,821,467"
02/23/2023,"..1.50","..1.54","..1.50","..1.53","1,564,268"
02/22/2023,"..1.49","..1.56","..1.50","..1.50","5,061,223"
02/21/2023,"..1.49","..1.50","..1.46","..1.49","1,321,703"
02/20/2023,"..1.50","..1.53","..1.48","..1.49","869,734"
02/16/2023,"..1.53","..1.55","..1.51","..1.51","1,130,561"
02/15/2023,"..1.51","..1.56","..1.51","..1.53","2,658,249"
02/14/2023,"..1.50","..1.52","..1.50","..1.51","1,304,300"
02/13/2023,"..1.46","..1.56","..1.46","..1.50","3,765,339"
02/09/2023,"..1.42","..1.45","..1.41","..1.44","1,057,889"
02/08/2023,"..1.44","..1.47","..1.42","..1.42","886,801"
02/07/2023,"..1.38","..1.47","..1.39","..1.44","2,347,906"
02/06/2023,"..1.39","..1.42","..1.38","..1.38","1,054,202"
02/02/2023,"..1.43","..1.48","..1.40","..1.42","1,756,595"
02/01/2023,"..1.41","..1.46","..1.40","..1.43","826,570"
01/31/2023,"..1.47","..1.48","..1.40","..1.41","1,409,222"
01/30/2023,"..1.53","..1.54","..1.46","..1.47","2,446,207"
01/25/2023,"..1.53","..1.56","..1.52","..1.53","1,379,222"
01/24/2023,"..1.55","..1.56","..1.53","..1.53","1,174,728"
01/23/2023,"..1.57","..1.59","..1.54","..1.55","1,467,774"
01/19/2023,"..1.53","..1.55","..1.52","..1.54","3,009,027"
01/18/2023,"..1.52","..1.57","..1.52","..1.53","3,098,874"
01/17/2023,"..1.50","..1.55","..1.50","..1.52","2,276,865"
01/16/2023,"..1.49","..1.51","..1.49","..1.50","1,855,332"
01/12/2023,"..1.52","..1.55","..1.50","..1.51","2,142,873"
01/11/2023,"..1.54","..1.58","..1.51","..1.52","2,744,001"
01/10/2023,"..1.60","..1.61","..1.53","..1.54","3,821,309"
01/09/2023,"..1.62","..1.63","..1.59","..1.60","2,716,489"
01/05/2023,"..1.62","..1.65","..1.61","..1.62","4,324,508"
01/04/2023,"..1.65","..1.67","..1.59","..1.62","6,754,880"
01/03/2023,"..1.65","..1.68","..1.65","..1.65","4,538,129"
01/02/2023,"..1.62","..1.65","..1.62","..1.65","3,715,524"
12/29/2022,"..1.61","..1.64","..1.60","..1.62","4,081,241"
12/28/2022,"..1.57","..1.61","..1.57","..1.61","2,602,728"
12/27/2022,"..1.56","..1.60","..1.56","..1.57","3,642,153"
12/26/2022,"..1.54","..1.57","..1.52","..1.56","2,913,523"
12/22/2022,"..1.59","..1.64","..1.59","..1.59","6,285,002"
12/21/2022,"..1.60","..1.62","..1.58","..1.59","3,725,480"
12/20/2022,"..1.61","..1.64","..1.59","..1.60","4,273,958"
12/19/2022,"..1.60","..1.63","..1.58","..1.61","4,610,791"
12/15/2022,"..1.68","..1.72","..1.61","..1.62","15,738,362"
12/14/2022,"..1.55","..1.74","..1.56","..1.68","21,392,036"
12/13/2022,"..1.50","..1.58","..1.50","..1.55","10,196,284"
12/12/2022,"..1.50","..1.51","..1.48","..1.50","3,252,782"
12/08/2022,"..1.50","..1.51","..1.48","..1.50","4,550,157"
12/07/2022,"..1.50","..1.53","..1.49","..1.50","7,227,774"
12/06/2022,"..1.53","..1.54","..1.50","..1.50","4,115,305"
12/05/2022,"..1.54","..1.56","..1.52","..1.53","6,989,108"
12/01/2022,"..1.55","..1.57","..1.54","..1.54","9,163,215"
11/30/2022,"..1.57","..1.59","..1.54","..1.55","13,626,565"
11/29/2022,"..1.60","..1.62","..1.57","..1.57","14,741,625"
11/28/2022,"..1.54","..1.63","..1.53","..1.60","22,699,673"
11/24/2022,"..1.53","..1.55","..1.52","..1.53","3,519,734"
11/23/2022,"..1.56","..1.58","..1.53","..1.53","7,074,345"
11/22/2022,"..1.56","..1.58","..1.52","..1.56","8,147,776"
11/21/2022,"..1.48","..1.58","..1.46","..1.56","18,772,172"
11/17/2022,"..1.49","..1.51","..1.47","..1.48","4,977,843"
11/16/2022,"..1.48","..1.49","..1.46","..1.49","5,483,759"
11/15/2022,"..1.40","..1.48","..1.40","..1.48","11,361,319"
11/14/2022,"..1.41","..1.42","..1.38","..1.40","4,950,107"
11/10/2022,"..1.34","..1.42","..1.34","..1.39","10,152,527"
11/09/2022,"..1.38","..1.38","..1.33","..1.34","8,738,269"
11/08/2022,"..1.42","..1.44","..1.38","..1.38","7,101,644"
11/07/2022,"..1.43","..1.45","..1.42","..1.42","4,594,488"
11/03/2022,"..1.47","..1.49","..1.45","..1.46","8,172,968"
11/02/2022,"..1.47","..1.54","..1.47","..1.47","14,257,071"
11/01/2022,"..1.47","..1.50","..1.47","..1.47","7,061,164"
10/31/2022,"..1.48","..1.49","..1.46","..1.47","6,388,511"
10/27/2022,"..1.51","..1.60","..1.53","..1.53","13,896,443"
10/26/2022,"..1.52","..1.54","..1.51","..1.51","6,332,728"
10/25/2022,"..1.56","..1.58","..1.52","..1.52","10,367,622"
10/24/2022,"..1.51","..1.59","..1.51","..1.56","20,645,910"
10/20/2022,"..1.46","..1.59","..1.44","..1.56","18,599,034"
10/19/2022,"..1.58","..1.59","..1.44","..1.46","24,779,629"
10/18/2022,"..1.67","..1.69","..1.58","..1.58","20,822,895"
10/17/2022,"..1.72","..1.74","..1.67","..1.67","16,874,162"
10/13/2022,"..1.51","..1.81","..1.49","..1.78","32,876,636"
10/12/2022,"..1.66","..1.66","..1.50","..1.51","15,511,907"
10/11/2022,"..1.78","..1.81","..1.59","..1.65","25,583,062"
10/10/2022,"..1.95","..1.98","..1.76","..1.78","16,363,253"
10/05/2022,"..2.00","..2.09","..1.92","..2.03","11,099,109"
10/04/2022,"..2.15","..2.25","..1.97","..2.00","14,013,373"
10/03/2022,"..2.38","..2.44","..2.13","..2.15","9,103,032"
09/29/2022,"..2.77","..2.78","..2.41","..2.56","12,696,084"
09/28/2022,"..2.76","..2.99","..2.72","..2.77","2,669,862"
09/27/2022,"..2.79","..2.83","..2.74","..2.76","519,804"
09/26/2022,"..2.77","..2.90","..2.75","..2.79","165,014"
09/22/2022,"..2.90","..2.97","..2.74","..2.80","171,127"
