Date,Open,High,Low,Close,Volume
09/21/2023,"..15.91","..16.00","..15.77","..15.86","139,125"
09/20/2023,"..16.27","..16.30","..15.90","..15.91","346,007"
09/19/2023,"..16.44","..16.65","..16.23","..16.27","285,946"
09/18/2023,"..16.30","..16.54","..16.27","..16.44","215,788"
09/14/2023,"..16.19","..16.43","..16.22","..16.31","209,060"
09/13/2023,"..16.18","..16.50","..16.14","..16.19","367,290"
09/12/2023,"..16.33","..16.50","..16.10","..16.18","211,754"
09/11/2023,"..16.50","..16.70","..16.28","..16.33","214,476"
09/07/2023,"..16.48","..16.60","..16.40","..16.43","201,007"
09/06/2023,"..16.78","..16.88","..16.43","..16.48","306,323"
09/05/2023,"..16.91","..17.33","..16.75","..16.78","426,288"
09/04/2023,"..17.12","..17.34","..16.86","..16.91","275,037"
08/31/2023,"..16.69","..17.30","..16.50","..16.90","693,811"
08/30/2023,"..17.00","..17.24","..16.65","..16.69","696,055"
08/29/2023,"..17.00","..17.64","..17.00","..17.00","2,173,448"
08/28/2023,"..15.85","..17.10","..15.93","..17.00","1,578,254"
08/24/2023,"..15.90","..16.10","..15.72","..15.78","142,040"
08/23/2023,"..16.00","..16.30","..15.83","..15.90","226,019"
08/22/2023,"..15.90","..16.15","..15.85","..16.00","136,020"
08/21/2023,"..15.94","..16.25","..15.90","..15.90","191,506"
08/17/2023,"..16.18","..16.54","..15.76","..16.05","212,825"
08/16/2023,"..16.12","..16.95","..16.12","..16.18","549,044"
08/15/2023,"..15.76","..16.55","..15.70","..16.12","431,485"
08/14/2023,"..15.59","..15.90","..15.55","..15.76","85,590"
08/10/2023,"..15.44","..15.43","..15.27","..15.32","37,679"
08/09/2023,"..15.56","..15.79","..15.33","..15.44","66,050"
08/08/2023,"..15.74","..15.90","..15.53","..15.56","73,271"
08/07/2023,"..15.78","..15.94","..15.60","..15.74","71,081"
08/03/2023,"..15.17","..15.50","..15.00","..15.18","38,375"
08/02/2023,"..15.53","..15.75","..15.10","..15.17","51,071"
08/01/2023,"..15.50","..15.75","..15.45","..15.53","31,484"
07/31/2023,"..15.49","..15.75","..15.43","..15.50","82,775"
07/27/2023,"..15.15","..15.34","..15.05","..15.29","55,083"
07/26/2023,"..15.46","..15.63","..15.08","..15.15","35,242"
07/25/2023,"..15.57","..15.69","..15.27","..15.46","33,530"
07/24/2023,"..15.75","..15.86","..15.50","..15.57","27,032"
07/19/2023,"..15.60","..15.89","..15.50","..15.75","43,408"
07/18/2023,"..15.66","..15.85","..15.04","..15.60","44,344"
07/17/2023,"..15.68","..15.78","..15.60","..15.66","39,915"
07/13/2023,"..15.45","..15.50","..15.30","..15.46","56,075"
07/12/2023,"..15.51","..15.80","..15.35","..15.45","49,907"
07/11/2023,"..15.01","..15.80","..15.01","..15.51","56,092"
07/10/2023,"..15.29","..15.20","..14.26","..15.01","39,776"
07/06/2023,"..16.26","..16.30","..16.07","..16.14","62,200"
07/05/2023,"..16.17","..16.37","..16.13","..16.26","29,365"
07/04/2023,"..16.11","..16.42","..16.13","..16.17","33,158"
06/26/2023,"..16.13","..16.27","..16.05","..16.11","60,870"
06/22/2023,"..16.34","..16.60","..16.00","..16.21","154,752"
06/21/2023,"..16.78","..16.80","..16.23","..16.34","70,335"
06/20/2023,"..16.90","..17.07","..16.71","..16.78","90,149"
06/19/2023,"..16.81","..17.22","..16.83","..16.90","246,937"
06/15/2023,"..16.26","..17.04","..16.50","..16.70","240,090"
06/14/2023,"..16.53","..16.85","..16.20","..16.26","82,032"
06/13/2023,"..16.66","..16.83","..16.50","..16.53","107,441"
06/12/2023,"..16.73","..16.88","..16.60","..16.66","53,769"
06/08/2023,"..16.71","..17.00","..16.70","..16.91","101,872"
06/07/2023,"..16.88","..17.25","..16.65","..16.71","175,542"
06/06/2023,"..17.00","..17.27","..16.70","..16.88","167,824"
06/05/2023,"..17.33","..17.60","..16.91","..17.00","261,186"
06/01/2023,"..17.01","..17.16","..16.80","..16.97","89,544"
05/31/2023,"..16.98","..17.20","..16.90","..17.01","222,915"
05/30/2023,"..17.01","..17.33","..16.90","..16.98","237,216"
05/29/2023,"..16.58","..17.26","..16.70","..17.01","474,675"
05/25/2023,"..16.08","..16.33","..15.80","..15.86","94,591"
05/24/2023,"..16.00","..16.27","..16.01","..16.08","98,934"
05/23/2023,"..15.81","..16.09","..15.74","..16.00","61,132"
05/22/2023,"..15.61","..16.10","..15.74","..15.81","106,461"
05/18/2023,"..15.71","..15.88","..15.36","..15.43","79,558"
05/17/2023,"..16.15","..16.37","..15.62","..15.71","152,655"
05/16/2023,"..16.33","..16.36","..16.01","..16.15","100,784"
05/15/2023,"..16.66","..16.80","..16.31","..16.33","107,060"
05/11/2023,"..16.55","..17.00","..16.50","..16.55","151,209"
05/10/2023,"..16.67","..16.73","..16.30","..16.55","174,104"
05/09/2023,"..16.81","..17.25","..16.55","..16.67","279,492"
05/08/2023,"..16.28","..16.91","..16.35","..16.81","112,365"
05/03/2023,"..16.73","..16.90","..16.40","..16.56","119,373"
05/02/2023,"..16.83","..17.15","..16.51","..16.73","153,271"
05/01/2023,"..17.13","..17.40","..16.66","..16.83","271,584"
04/27/2023,"..16.90","..17.49","..16.85","..17.25","313,021"
04/26/2023,"..16.96","..17.25","..16.82","..16.90","118,821"
04/19/2023,"..16.93","..17.35","..16.80","..16.96","222,268"
04/18/2023,"..17.14","..17.29","..16.80","..16.93","259,446"
04/13/2023,"..17.31","..17.35","..17.09","..17.14","176,602"
04/12/2023,"..17.37","..17.67","..17.25","..17.31","255,392"
04/11/2023,"..17.21","..17.58","..17.20","..17.37","429,138"
04/10/2023,"..17.36","..17.50","..17.01","..17.21","225,217"
04/06/2023,"..17.80","..18.05","..17.24","..17.39","372,166"
04/05/2023,"..18.11","..18.25","..17.73","..17.80","507,331"
04/04/2023,"..17.63","..18.33","..17.56","..18.11","746,113"
04/03/2023,"..17.61","..18.00","..17.31","..17.63","508,875"
03/30/2023,"..17.00","..18.20","..16.50","..16.97","1,982,812"
03/29/2023,"..16.51","..17.98","..16.80","..17.00","794,771"
03/28/2023,"..16.46","..17.18","..15.93","..16.51","453,306"
03/27/2023,"..16.29","..16.96","..15.75","..16.46","123,230"
03/23/2023,"..15.77","..16.33","..15.52","..16.10","64,281"
03/22/2023,"..16.11","..16.50","..15.65","..15.77","101,049"
03/21/2023,"..16.98","..17.20","..16.05","..16.11","251,481"
03/20/2023,"..14.52","..17.41","..14.50","..16.98","782,851"
03/16/2023,"..12.51","..12.90","..11.33","..12.31","360,478"
03/15/2023,"..15.04","..15.64","..12.04","..12.51","193,328"
03/14/2023,"..15.00","..15.50","..14.80","..15.04","112,573"
03/13/2023,"..16.84","..17.10","..14.75","..15.00","178,167"
03/09/2023,"..17.35","..17.71","..17.13","..17.55","236,664"
03/08/2023,"..17.69","..17.69","..17.25","..17.35","268,850"
03/07/2023,"..18.25","..18.50","..17.55","..17.69","266,395"
03/06/2023,"..17.89","..18.85","..18.00","..18.25","605,362"
03/02/2023,"..17.99","..18.35","..17.70","..17.87","188,898"
03/01/2023,"..17.46","..18.22","..17.40","..17.99","373,873"
02/28/2023,"..17.23","..17.57","..17.25","..17.46","156,574"
02/27/2023,"..17.16","..17.55","..17.06","..17.23","178,498"
02/23/2023,"..17.04","..17.38","..16.64","..16.95","126,225"
02/22/2023,"..17.48","..17.84","..16.98","..17.04","314,523"
02/21/2023,"..17.35","..17.85","..17.16","..17.48","273,560"
02/20/2023,"..18.04","..18.39","..17.12","..17.35","462,327"
02/16/2023,"..17.55","..17.80","..17.30","..17.43","128,518"
02/15/2023,"..16.91","..17.68","..17.03","..17.55","298,636"
02/14/2023,"..16.84","..17.20","..16.83","..16.91","171,669"
02/13/2023,"..16.82","..17.17","..16.64","..16.84","140,199"
02/09/2023,"..16.64","..17.00","..16.50","..16.75","178,027"
02/08/2023,"..16.87","..17.30","..16.45","..16.64","103,492"
02/07/2023,"..15.91","..17.12","..16.00","..16.87","221,122"
02/06/2023,"..15.97","..16.45","..15.75","..15.91","105,619"
02/02/2023,"..17.10","..17.29","..16.31","..16.48","94,472"
02/01/2023,"..17.35","..17.57","..16.91","..17.10","118,892"
01/31/2023,"..17.79","..18.15","..17.26","..17.35","60,556"
01/30/2023,"..18.47","..18.87","..17.52","..17.79","192,455"
01/25/2023,"..18.17","..18.50","..17.90","..18.04","114,588"
01/24/2023,"..18.44","..18.59","..18.04","..18.17","88,835"
01/23/2023,"..18.64","..19.00","..18.30","..18.44","213,899"
01/19/2023,"..18.67","..19.69","..18.47","..19.13","561,282"
01/18/2023,"..18.68","..19.52","..18.50","..18.67","712,580"
01/17/2023,"..16.96","..18.95","..17.00","..18.68","767,368"
01/16/2023,"..16.77","..17.20","..16.82","..16.96","112,105"
01/12/2023,"..16.74","..17.23","..16.12","..16.81","126,726"
01/11/2023,"..16.85","..17.54","..16.61","..16.74","141,881"
01/10/2023,"..17.70","..17.88","..16.80","..16.85","87,822"
01/09/2023,"..17.93","..18.37","..17.51","..17.70","182,836"
01/05/2023,"..17.95","..18.35","..17.90","..17.93","176,426"
01/04/2023,"..18.54","..18.50","..17.55","..17.95","278,655"
01/03/2023,"..18.42","..18.96","..18.30","..18.54","139,584"
01/02/2023,"..18.40","..18.70","..18.30","..18.42","144,647"
12/29/2022,"..17.60","..18.49","..17.63","..18.40","341,761"
12/28/2022,"..17.21","..17.80","..17.20","..17.60","118,379"
12/27/2022,"..17.21","..17.75","..17.15","..17.21","173,455"
12/26/2022,"..16.78","..17.30","..16.56","..17.21","64,949"
12/22/2022,"..17.46","..17.99","..17.20","..17.24","180,894"
12/21/2022,"..17.83","..18.00","..17.37","..17.46","91,820"
12/20/2022,"..17.80","..18.22","..17.70","..17.83","100,457"
12/19/2022,"..18.21","..18.40","..17.70","..17.80","192,109"
12/15/2022,"..19.50","..19.80","..18.80","..18.87","246,315"
12/14/2022,"..19.17","..19.55","..19.05","..19.50","417,499"
12/13/2022,"..18.52","..19.35","..18.70","..19.17","377,125"
12/12/2022,"..18.90","..18.90","..18.25","..18.52","349,932"
12/08/2022,"..17.72","..18.69","..17.61","..18.45","717,184"
12/07/2022,"..17.49","..18.15","..17.62","..17.72","317,298"
12/06/2022,"..17.51","..17.80","..17.40","..17.49","200,488"
12/05/2022,"..18.03","..18.26","..17.43","..17.51","450,600"
12/01/2022,"..16.52","..17.65","..16.74","..17.52","810,040"
11/30/2022,"..16.69","..16.95","..16.46","..16.52","287,887"
11/29/2022,"..16.39","..17.00","..16.50","..16.69","582,237"
11/28/2022,"..16.32","..16.62","..16.32","..16.39","438,827"
11/24/2022,"..16.03","..16.31","..16.00","..16.06","148,955"
11/23/2022,"..16.14","..16.40","..15.95","..16.03","158,606"
11/22/2022,"..15.95","..16.30","..15.98","..16.14","208,549"
11/21/2022,"..16.04","..16.30","..15.71","..15.95","138,260"
11/17/2022,"..16.21","..16.40","..15.95","..16.00","194,063"
11/16/2022,"..15.99","..16.36","..16.00","..16.21","305,924"
11/15/2022,"..15.63","..16.13","..15.55","..15.99","319,081"
11/14/2022,"..15.43","..15.78","..15.50","..15.63","102,578"
11/10/2022,"..15.16","..15.62","..15.12","..15.28","99,080"
11/09/2022,"..15.35","..15.45","..15.03","..15.16","108,569"
11/08/2022,"..15.58","..15.87","..15.27","..15.35","180,565"
11/07/2022,"..15.29","..15.90","..15.29","..15.58","301,832"
