Date,Open,High,Low,Close,Volume
09/21/2023,"..17.72","..18.35","..17.60","..18.03","23,705"
09/20/2023,"..18.02","..18.19","..17.41","..17.72","22,516"
09/19/2023,"..17.82","..18.29","..17.65","..18.02","22,952"
09/18/2023,"..17.65","..18.50","..17.44","..17.82","106,481"
09/14/2023,"..17.56","..17.78","..17.07","..17.56","12,408"
09/13/2023,"..17.56","..17.39","..17.00","..17.56","7,634"
09/12/2023,"..17.56","..17.39","..16.60","..17.56","7,458"
09/11/2023,"..17.56","..17.75","..17.00","..17.56","3,067"
09/07/2023,"..17.56","..17.34","..17.10","..17.56","2,960"
09/06/2023,"..17.93","..18.10","..17.22","..17.56","26,774"
09/05/2023,"..17.44","..18.00","..16.87","..17.93","44,567"
09/04/2023,"..17.52","..17.70","..17.12","..17.44","47,939"
08/31/2023,"..17.04","..17.25","..16.77","..16.86","24,427"
08/30/2023,"..16.39","..17.18","..16.08","..17.04","66,819"
08/29/2023,"..16.39","..16.30","..16.01","..16.39","13,621"
08/28/2023,"..16.39","..16.45","..16.00","..16.39","10,810"
08/24/2023,"..16.39","..16.69","..16.25","..16.39","11,571"
08/23/2023,"..16.50","..16.98","..16.30","..16.39","31,253"
08/22/2023,"..16.50","..16.75","..16.20","..16.50","18,021"
08/21/2023,"..16.47","..16.90","..16.20","..16.50","22,565"
08/17/2023,"..16.61","..16.88","..16.40","..16.47","22,111"
08/16/2023,"..16.84","..17.00","..16.50","..16.61","22,551"
08/15/2023,"..16.87","..17.10","..16.59","..16.84","34,964"
08/14/2023,"..16.87","..17.10","..16.60","..16.87","10,438"
08/10/2023,"..16.87","..17.00","..16.59","..16.87","11,372"
08/09/2023,"..17.23","..17.28","..16.60","..16.87","32,849"
08/08/2023,"..17.23","..17.40","..17.00","..17.23","40,008"
08/07/2023,"..17.38","..17.46","..17.20","..17.23","39,962"
08/03/2023,"..17.20","..17.70","..17.21","..17.43","199,691"
08/02/2023,"..17.02","..17.74","..17.01","..17.20","210,783"
08/01/2023,"..17.14","..17.50","..16.80","..17.02","43,195"
07/31/2023,"..17.02","..17.60","..16.90","..17.14","61,807"
07/27/2023,"..17.53","..17.53","..16.12","..17.53","10,792"
07/26/2023,"..17.53","..17.40","..15.83","..17.53","12,611"
07/25/2023,"..17.53","..17.46","..17.00","..17.53","2,368"
07/24/2023,"..17.53","..17.50","..17.20","..17.53","8,875"
07/19/2023,"..17.48","..17.87","..17.40","..17.53","20,407"
07/18/2023,"..17.48","..17.60","..17.42","..17.48","14,170"
07/17/2023,"..17.70","..18.00","..17.39","..17.48","30,773"
07/13/2023,"..18.07","..18.20","..17.60","..17.70","17,032"
07/12/2023,"..18.07","..18.58","..17.63","..18.07","14,497"
07/11/2023,"..17.58","..18.60","..17.58","..18.07","48,644"
07/10/2023,"..17.89","..18.18","..17.27","..17.58","31,840"
07/06/2023,"..18.19","..18.99","..18.20","..18.49","83,198"
07/05/2023,"..18.27","..18.36","..17.89","..18.19","37,425"
07/04/2023,"..17.53","..18.69","..17.72","..18.27","33,289"
06/26/2023,"..17.53","..18.24","..17.51","..17.53","5,379"
06/22/2023,"..17.83","..18.30","..17.42","..17.53","65,277"
06/21/2023,"..18.04","..18.09","..17.67","..17.83","23,028"
06/20/2023,"..18.04","..18.50","..17.80","..18.04","9,194"
06/19/2023,"..18.25","..18.77","..17.80","..18.04","106,960"
06/15/2023,"..18.04","..18.94","..18.16","..18.43","114,242"
06/14/2023,"..17.29","..18.60","..17.30","..18.04","161,049"
06/13/2023,"..17.11","..17.84","..17.16","..17.29","69,108"
06/12/2023,"..16.55","..17.48","..16.50","..17.11","94,400"
06/08/2023,"..16.17","..16.49","..15.80","..16.05","24,831"
06/07/2023,"..16.86","..17.15","..16.00","..16.17","104,943"
06/06/2023,"..17.04","..17.49","..16.77","..16.86","68,644"
06/05/2023,"..16.98","..17.70","..16.96","..17.04","123,390"
06/01/2023,"..17.25","..18.80","..17.09","..18.50","159,327"
05/31/2023,"..17.58","..17.90","..17.01","..17.25","113,484"
05/30/2023,"..15.81","..17.77","..16.05","..17.58","264,444"
05/29/2023,"..16.34","..16.50","..15.60","..15.81","201,579"
05/25/2023,"..15.33","..15.69","..14.91","..15.13","91,985"
05/24/2023,"..15.12","..15.99","..15.07","..15.33","211,610"
05/23/2023,"..14.66","..15.50","..14.11","..15.12","305,563"
05/22/2023,"..15.00","..15.23","..14.62","..14.66","213,642"
05/18/2023,"..14.26","..15.37","..14.23","..14.54","458,649"
05/17/2023,"..14.18","..14.99","..14.01","..14.26","75,500"
05/16/2023,"..14.10","..14.40","..14.00","..14.18","87,290"
05/15/2023,"..14.32","..14.57","..14.00","..14.10","138,813"
05/11/2023,"..14.00","..14.30","..13.82","..13.99","57,618"
05/10/2023,"..13.98","..14.13","..13.80","..14.00","59,133"
05/09/2023,"..13.81","..14.18","..13.66","..13.98","105,249"
05/08/2023,"..13.74","..13.87","..13.61","..13.81","35,422"
05/03/2023,"..13.36","..13.68","..13.25","..13.35","32,711"
05/02/2023,"..13.36","..13.79","..13.16","..13.36","14,347"
05/01/2023,"..13.58","..13.74","..13.25","..13.36","23,100"
04/27/2023,"..14.02","..14.70","..13.48","..13.83","62,325"
04/26/2023,"..12.72","..14.69","..13.02","..14.02","112,833"
04/19/2023,"..12.47","..13.00","..12.60","..12.72","24,675"
04/18/2023,"..12.47","..12.85","..12.50","..12.47","15,000"
04/13/2023,"..12.47","..12.80","..12.50","..12.47","10,750"
04/12/2023,"..12.47","..12.65","..12.24","..12.47","5,446"
04/11/2023,"..12.47","..12.61","..12.40","..12.47","1,813"
04/10/2023,"..12.47","..12.80","..12.11","..12.47","9,267"
04/06/2023,"..12.47","..12.70","..12.20","..12.47","4,579"
04/05/2023,"..11.96","..13.00","..12.36","..12.47","33,504"
04/04/2023,"..11.96","..12.71","..12.29","..11.96","7,693"
04/03/2023,"..11.96","..12.91","..12.23","..11.96","3,319"
03/30/2023,"..11.96","..12.25","..11.80","..11.96","9,985"
03/29/2023,"..11.96","..12.35","..12.00","..11.96","1,224"
03/28/2023,"..11.96","..12.40","..11.70","..11.96","8,085"
03/27/2023,"..11.96","..12.40","..11.96","..11.96","4,545"
03/23/2023,"..11.96","..12.46","..11.81","..11.96","4,983"
03/22/2023,"..12.43","..12.89","..11.90","..11.96","25,984"
03/21/2023,"..11.43","..12.50","..11.90","..12.43","25,096"
03/20/2023,"..11.43","..12.09","..11.55","..11.43","11,388"
03/16/2023,"..11.01","..11.80","..10.75","..11.43","26,376"
