Date,Open,High,Low,Close,Volume
09/21/2023,"..0.33","..0.34","..0.33","..0.33","9,705,692"
09/20/2023,"..0.34","..0.35","..0.33","..0.33","20,172,740"
09/19/2023,"..0.34","..0.35","..0.34","..0.34","19,949,230"
09/18/2023,"..0.34","..0.35","..0.34","..0.34","11,484,800"
09/14/2023,"..0.33","..0.35","..0.33","..0.34","31,116,520"
09/13/2023,"..0.33","..0.34","..0.32","..0.33","18,912,641"
09/12/2023,"..0.33","..0.34","..0.32","..0.33","17,123,850"
09/11/2023,"..0.34","..0.34","..0.33","..0.33","18,860,490"
09/07/2023,"..0.34","..0.35","..0.33","..0.34","41,373,434"
09/06/2023,"..0.33","..0.37","..0.34","..0.34","76,504,438"
09/05/2023,"..0.31","..0.34","..0.31","..0.33","66,045,359"
09/04/2023,"..0.30","..0.31","..0.30","..0.31","5,900,528"
08/31/2023,"..0.31","..0.32","..0.30","..0.31","11,526,200"
08/30/2023,"..0.31","..0.32","..0.30","..0.31","24,052,961"
08/29/2023,"..0.31","..0.32","..0.31","..0.31","11,553,280"
08/28/2023,"..0.32","..0.33","..0.31","..0.31","16,751,500"
08/24/2023,"..0.30","..0.31","..0.29","..0.30","28,673,770"
08/23/2023,"..0.32","..0.33","..0.30","..0.30","22,549,051"
08/22/2023,"..0.32","..0.33","..0.32","..0.32","15,068,020"
08/21/2023,"..0.32","..0.32","..0.32","..0.32","9,669,337"
08/17/2023,"..0.33","..0.33","..0.27","..0.32","14,201,890"
08/16/2023,"..0.33","..0.34","..0.33","..0.33","19,735,670"
08/15/2023,"..0.33","..0.35","..0.32","..0.33","30,617,010"
08/14/2023,"..0.33","..0.34","..0.33","..0.33","25,227,689"
08/10/2023,"..0.33","..0.34","..0.33","..0.34","24,104,480"
08/09/2023,"..0.34","..0.35","..0.33","..0.33","31,891,340"
08/08/2023,"..0.36","..0.37","..0.34","..0.34","78,200,812"
08/07/2023,"..0.34","..0.37","..0.33","..0.36","99,080,227"
08/03/2023,"..0.32","..0.34","..0.32","..0.33","44,257,699"
08/02/2023,"..0.33","..0.35","..0.32","..0.32","50,402,379"
08/01/2023,"..0.34","..0.35","..0.32","..0.33","59,945,770"
07/31/2023,"..0.33","..0.37","..0.31","..0.34","110,784,398"
07/27/2023,"..0.28","..0.33","..0.28","..0.33","123,059,398"
07/26/2023,"..0.24","..0.29","..0.24","..0.28","98,811,391"
07/25/2023,"..0.25","..0.25","..0.24","..0.24","5,005,538"
07/24/2023,"..0.25","..0.26","..0.25","..0.25","10,524,200"
07/19/2023,"..0.24","..0.25","..0.24","..0.25","20,156,150"
07/18/2023,"..0.25","..0.26","..0.24","..0.24","10,231,000"
07/17/2023,"..0.25","..0.26","..0.25","..0.25","9,695,259"
07/13/2023,"..0.24","..0.25","..0.24","..0.25","3,951,530"
07/12/2023,"..0.25","..0.25","..0.24","..0.24","3,029,368"
07/11/2023,"..0.25","..0.25","..0.24","..0.25","3,079,950"
07/10/2023,"..0.24","..0.25","..0.24","..0.25","3,232,227"
07/06/2023,"..0.25","..0.26","..0.25","..0.25","8,089,610"
07/05/2023,"..0.25","..0.26","..0.25","..0.25","9,690,870"
07/04/2023,"..0.25","..0.26","..0.25","..0.25","5,401,353"
06/26/2023,"..0.25","..0.25","..0.25","..0.25","7,775,600"
06/22/2023,"..0.24","..0.25","..0.24","..0.24","5,237,737"
06/21/2023,"..0.25","..0.25","..0.24","..0.24","5,056,912"
06/20/2023,"..0.25","..0.25","..0.25","..0.25","4,910,018"
06/19/2023,"..0.25","..0.26","..0.25","..0.25","5,186,044"
06/15/2023,"..0.25","..0.25","..0.24","..0.24","5,223,302"
06/14/2023,"..0.25","..0.26","..0.25","..0.25","4,405,329"
06/13/2023,"..0.25","..0.26","..0.25","..0.25","4,848,337"
06/12/2023,"..0.25","..0.26","..0.25","..0.25","3,040,957"
06/08/2023,"..0.26","..0.26","..0.25","..0.26","6,050,964"
06/07/2023,"..0.26","..0.27","..0.25","..0.26","15,460,070"
06/06/2023,"..0.26","..0.26","..0.25","..0.26","4,151,452"
06/05/2023,"..0.26","..0.27","..0.26","..0.26","10,392,060"
06/01/2023,"..0.25","..0.26","..0.25","..0.25","6,500,711"
05/31/2023,"..0.25","..0.26","..0.25","..0.25","13,574,240"
05/30/2023,"..0.26","..0.26","..0.25","..0.25","14,541,510"
05/29/2023,"..0.26","..0.27","..0.26","..0.26","21,688,311"
05/25/2023,"..0.24","..0.26","..0.24","..0.25","24,465,750"
05/24/2023,"..0.24","..0.25","..0.24","..0.24","17,588,680"
05/23/2023,"..0.23","..0.25","..0.23","..0.24","20,181,949"
05/22/2023,"..0.24","..0.24","..0.23","..0.23","9,305,167"
05/18/2023,"..0.23","..0.23","..0.23","..0.23","5,473,936"
05/17/2023,"..0.23","..0.24","..0.23","..0.23","9,678,727"
05/16/2023,"..0.23","..0.23","..0.23","..0.23","4,007,917"
05/15/2023,"..0.23","..0.24","..0.23","..0.23","3,285,163"
05/11/2023,"..0.23","..0.24","..0.23","..0.23","2,841,084"
05/10/2023,"..0.23","..0.24","..0.23","..0.23","5,103,510"
05/09/2023,"..0.23","..0.24","..0.23","..0.23","8,421,632"
05/08/2023,"..0.23","..0.24","..0.23","..0.23","2,165,255"
05/03/2023,"..0.23","..0.23","..0.23","..0.23","2,063,939"
05/02/2023,"..0.23","..0.23","..0.23","..0.23","2,863,356"
05/01/2023,"..0.24","..0.24","..0.23","..0.23","10,210,240"
04/27/2023,"..0.24","..0.24","..0.23","..0.24","9,542,993"
04/26/2023,"..0.23","..0.24","..0.23","..0.24","17,543,680"
04/18/2023,"..0.23","..0.23","..0.22","..0.23","7,663,014"
04/13/2023,"..0.23","..0.23","..0.23","..0.23","6,710,301"
04/12/2023,"..0.23","..0.24","..0.23","..0.23","27,553,859"
04/11/2023,"..0.23","..0.24","..0.23","..0.23","9,392,459"
04/10/2023,"..0.24","..0.25","..0.23","..0.23","13,711,820"
04/06/2023,"..0.25","..0.25","..0.23","..0.24","13,410,050"
04/05/2023,"..0.25","..0.25","..0.24","..0.25","11,911,910"
04/04/2023,"..0.23","..0.25","..0.23","..0.25","17,088,490"
04/03/2023,"..0.22","..0.24","..0.22","..0.23","9,254,530"
03/30/2023,"..0.22","..0.22","..0.21","..0.22","535,739"
03/29/2023,"..0.22","..0.23","..0.22","..0.22","1,312,246"
03/28/2023,"..0.22","..0.23","..0.22","..0.22","3,418,976"
03/27/2023,"..0.23","..0.23","..0.22","..0.22","4,316,337"
03/23/2023,"..0.22","..0.23","..0.23","..0.22","706,431"
03/22/2023,"..0.23","..0.24","..0.22","..0.22","4,948,577"
03/21/2023,"..0.23","..0.24","..0.23","..0.23","4,006,682"
03/20/2023,"..0.23","..0.23","..0.23","..0.23","4,743,621"
03/16/2023,"..0.21","..0.22","..0.20","..0.21","7,969,482"
03/15/2023,"..0.23","..0.24","..0.19","..0.21","10,950,920"
03/14/2023,"..0.22","..0.24","..0.22","..0.23","7,820,286"
03/13/2023,"..0.25","..0.25","..0.21","..0.22","7,250,326"
03/09/2023,"..0.26","..0.26","..0.25","..0.26","3,980,058"
03/08/2023,"..0.26","..0.26","..0.25","..0.26","5,990,452"
03/07/2023,"..0.27","..0.27","..0.26","..0.26","5,703,094"
03/06/2023,"..0.26","..0.27","..0.26","..0.27","19,249,109"
03/02/2023,"..0.26","..0.27","..0.26","..0.26","9,736,803"
03/01/2023,"..0.26","..0.27","..0.26","..0.26","11,224,010"
02/28/2023,"..0.26","..0.27","..0.26","..0.26","6,351,499"
02/27/2023,"..0.27","..0.28","..0.26","..0.26","21,329,949"
02/23/2023,"..0.27","..0.28","..0.26","..0.27","41,838,719"
02/22/2023,"..0.26","..0.28","..0.26","..0.27","42,520,941"
02/21/2023,"..0.25","..0.26","..0.25","..0.26","7,312,561"
02/20/2023,"..0.26","..0.26","..0.25","..0.25","16,944,189"
02/16/2023,"..0.26","..0.26","..0.25","..0.26","4,452,453"
02/15/2023,"..0.26","..0.27","..0.26","..0.26","15,655,040"
02/14/2023,"..0.25","..0.26","..0.25","..0.26","18,391,449"
02/13/2023,"..0.25","..0.25","..0.24","..0.25","6,963,809"
02/09/2023,"..0.23","..0.24","..0.23","..0.24","5,599,822"
02/08/2023,"..0.23","..0.23","..0.23","..0.23","6,560,635"
02/07/2023,"..0.23","..0.23","..0.23","..0.23","4,503,546"
02/06/2023,"..0.23","..0.23","..0.22","..0.23","3,969,583"
02/02/2023,"..0.24","..0.24","..0.23","..0.23","2,693,416"
02/01/2023,"..0.24","..0.25","..0.23","..0.24","2,967,470"
01/31/2023,"..0.25","..0.25","..0.24","..0.24","4,298,946"
01/30/2023,"..0.25","..0.26","..0.25","..0.25","7,730,287"
01/25/2023,"..0.25","..0.26","..0.25","..0.26","2,629,476"
01/24/2023,"..0.26","..0.26","..0.25","..0.25","5,551,948"
01/23/2023,"..0.26","..0.26","..0.26","..0.26","9,346,013"
01/19/2023,"..0.26","..0.26","..0.26","..0.26","5,817,445"
01/18/2023,"..0.26","..0.26","..0.26","..0.26","9,568,205"
01/17/2023,"..0.26","..0.26","..0.26","..0.26","4,882,356"
01/16/2023,"..0.25","..0.26","..0.25","..0.26","5,082,787"
01/12/2023,"..0.25","..0.26","..0.25","..0.25","7,728,427"
01/11/2023,"..0.26","..0.27","..0.25","..0.25","11,112,510"
01/10/2023,"..0.27","..0.27","..0.26","..0.26","12,604,570"
01/09/2023,"..0.27","..0.28","..0.26","..0.27","15,321,820"
01/05/2023,"..0.27","..0.28","..0.27","..0.27","10,626,140"
01/04/2023,"..0.28","..0.28","..0.26","..0.27","46,714,379"
01/03/2023,"..0.26","..0.29","..0.26","..0.28","59,106,727"
01/02/2023,"..0.25","..0.26","..0.25","..0.26","17,795,439"
12/29/2022,"..0.25","..0.25","..0.25","..0.25","8,083,385"
12/28/2022,"..0.24","..0.25","..0.24","..0.25","2,807,659"
12/27/2022,"..0.24","..0.25","..0.24","..0.24","3,207,868"
12/26/2022,"..0.24","..0.24","..0.24","..0.24","2,558,521"
12/22/2022,"..0.25","..0.25","..0.24","..0.25","6,728,806"
12/21/2022,"..0.25","..0.25","..0.25","..0.25","7,927,767"
12/20/2022,"..0.25","..0.26","..0.25","..0.25","5,057,040"
12/19/2022,"..0.26","..0.26","..0.25","..0.25","5,903,583"
12/15/2022,"..0.26","..0.27","..0.26","..0.26","25,796,359"
12/14/2022,"..0.26","..0.27","..0.26","..0.26","19,100,439"
12/13/2022,"..0.25","..0.26","..0.25","..0.26","10,043,980"
12/12/2022,"..0.25","..0.25","..0.25","..0.25","6,417,366"
12/08/2022,"..0.25","..0.25","..0.25","..0.25","2,992,472"
12/07/2022,"..0.25","..0.25","..0.25","..0.25","8,761,159"
12/06/2022,"..0.25","..0.25","..0.25","..0.25","5,333,172"
12/05/2022,"..0.25","..0.26","..0.25","..0.25","10,018,510"
12/01/2022,"..0.25","..0.26","..0.25","..0.26","20,291,760"
11/30/2022,"..0.25","..0.25","..0.25","..0.25","5,817,326"
11/29/2022,"..0.25","..0.25","..0.25","..0.25","6,429,430"
11/28/2022,"..0.25","..0.26","..0.25","..0.25","3,625,128"
11/24/2022,"..0.25","..0.25","..0.25","..0.25","2,809,510"
11/23/2022,"..0.25","..0.26","..0.25","..0.25","9,716,143"
11/22/2022,"..0.25","..0.25","..0.24","..0.25","14,832,940"
11/21/2022,"..0.25","..0.25","..0.24","..0.25","10,135,900"
11/17/2022,"..0.24","..0.25","..0.24","..0.24","6,760,519"
11/16/2022,"..0.24","..0.24","..0.24","..0.24","8,573,809"
11/15/2022,"..0.23","..0.24","..0.23","..0.24","5,251,399"
11/14/2022,"..0.24","..0.24","..0.23","..0.23","4,673,673"
11/10/2022,"..0.22","..0.23","..0.22","..0.23","4,469,297"
11/09/2022,"..0.23","..0.23","..0.22","..0.22","2,640,104"
11/08/2022,"..0.23","..0.23","..0.23","..0.23","9,807,818"
11/07/2022,"..0.23","..0.23","..0.23","..0.23","6,643,276"
11/03/2022,"..0.24","..0.24","..0.23","..0.23","20,535,400"
11/02/2022,"..0.24","..0.25","..0.24","..0.24","6,904,949"
11/01/2022,"..0.24","..0.25","..0.24","..0.24","10,823,860"
10/31/2022,"..0.24","..0.24","..0.24","..0.24","3,645,506"
10/27/2022,"..0.25","..0.26","..0.25","..0.25","5,423,730"
10/26/2022,"..0.25","..0.25","..0.25","..0.25","1,537,783"
10/25/2022,"..0.25","..0.26","..0.25","..0.25","6,419,852"
10/24/2022,"..0.25","..0.26","..0.25","..0.25","16,527,650"
10/20/2022,"..0.25","..0.25","..0.25","..0.25","5,390,179"
10/19/2022,"..0.25","..0.25","..0.24","..0.25","3,912,536"
10/18/2022,"..0.25","..0.25","..0.25","..0.25","3,644,775"
10/17/2022,"..0.25","..0.26","..0.25","..0.25","1,991,107"
10/13/2022,"..0.24","..0.25","..0.24","..0.25","2,959,079"
10/12/2022,"..0.25","..0.25","..0.24","..0.24","5,315,041"
10/11/2022,"..0.24","..0.25","..0.24","..0.25","6,542,198"
10/10/2022,"..0.25","..0.26","..0.24","..0.24","8,815,432"
10/05/2022,"..0.26","..0.27","..0.26","..0.26","6,845,872"
10/04/2022,"..0.26","..0.27","..0.26","..0.26","7,390,987"
10/03/2022,"..0.25","..0.26","..0.25","..0.26","13,615,330"
09/29/2022,"..0.25","..0.28","..0.25","..0.27","22,843,699"
09/28/2022,"..0.26","..0.26","..0.24","..0.25","3,945,130"
09/27/2022,"..0.25","..0.26","..0.25","..0.26","3,587,852"
09/26/2022,"..0.25","..0.26","..0.25","..0.25","7,653,829"
09/22/2022,"..0.25","..0.25","..0.24","..0.25","4,598,972"
