Date,Open,High,Low,Close,Volume
09/21/2023,"..0.35","..0.36","..0.35","..0.35","12,427,300"
09/20/2023,"..0.37","..0.37","..0.35","..0.35","21,587,279"
09/19/2023,"..0.36","..0.38","..0.36","..0.37","60,887,441"
09/18/2023,"..0.35","..0.37","..0.35","..0.36","34,486,449"
09/14/2023,"..0.34","..0.35","..0.35","..0.35","3,271,484"
09/13/2023,"..0.34","..0.35","..0.34","..0.34","6,568,795"
09/12/2023,"..0.35","..0.35","..0.34","..0.34","7,176,634"
09/11/2023,"..0.35","..0.36","..0.35","..0.35","7,604,798"
09/07/2023,"..0.35","..0.36","..0.35","..0.35","13,055,740"
09/06/2023,"..0.35","..0.36","..0.35","..0.35","5,533,686"
09/05/2023,"..0.35","..0.36","..0.35","..0.35","13,245,800"
09/04/2023,"..0.36","..0.36","..0.35","..0.35","16,994,039"
08/31/2023,"..0.35","..0.35","..0.34","..0.35","6,976,383"
08/30/2023,"..0.34","..0.35","..0.34","..0.35","16,104,580"
08/29/2023,"..0.34","..0.35","..0.34","..0.34","6,467,622"
08/28/2023,"..0.34","..0.35","..0.34","..0.34","4,599,864"
08/24/2023,"..0.34","..0.35","..0.34","..0.34","6,428,758"
08/23/2023,"..0.34","..0.35","..0.34","..0.34","6,692,404"
08/22/2023,"..0.34","..0.35","..0.34","..0.34","17,606,930"
08/21/2023,"..0.34","..0.35","..0.34","..0.34","7,339,471"
08/17/2023,"..0.35","..0.35","..0.34","..0.34","7,451,573"
08/16/2023,"..0.35","..0.36","..0.35","..0.35","11,098,770"
08/15/2023,"..0.35","..0.35","..0.35","..0.35","8,512,584"
08/14/2023,"..0.35","..0.35","..0.35","..0.35","9,486,764"
08/10/2023,"..0.35","..0.36","..0.35","..0.35","8,643,577"
08/09/2023,"..0.36","..0.36","..0.35","..0.35","7,409,985"
08/08/2023,"..0.35","..0.36","..0.35","..0.36","13,732,900"
08/07/2023,"..0.35","..0.35","..0.35","..0.35","8,064,100"
08/03/2023,"..0.35","..0.35","..0.35","..0.35","4,332,625"
08/02/2023,"..0.35","..0.36","..0.35","..0.35","6,876,341"
08/01/2023,"..0.36","..0.36","..0.35","..0.35","10,181,500"
07/31/2023,"..0.36","..0.36","..0.36","..0.36","7,239,189"
07/27/2023,"..0.35","..0.36","..0.35","..0.35","8,776,601"
07/26/2023,"..0.35","..0.35","..0.35","..0.35","3,539,869"
07/25/2023,"..0.35","..0.36","..0.35","..0.35","4,526,320"
07/24/2023,"..0.35","..0.36","..0.35","..0.35","3,647,864"
07/19/2023,"..0.35","..0.36","..0.35","..0.35","4,257,549"
07/18/2023,"..0.36","..0.36","..0.35","..0.35","5,210,334"
07/17/2023,"..0.36","..0.36","..0.35","..0.36","16,041,410"
07/13/2023,"..0.34","..0.36","..0.34","..0.36","18,917,320"
07/12/2023,"..0.34","..0.35","..0.34","..0.34","5,302,873"
07/11/2023,"..0.35","..0.36","..0.34","..0.34","4,563,642"
07/10/2023,"..0.34","..0.35","..0.33","..0.35","3,828,781"
07/06/2023,"..0.36","..0.37","..0.35","..0.36","17,850,961"
07/05/2023,"..0.36","..0.37","..0.36","..0.36","16,003,974"
07/04/2023,"..0.36","..0.37","..0.36","..0.36","16,599,156"
06/26/2023,"..0.36","..0.36","..0.36","..0.36","12,077,047"
06/22/2023,"..0.36","..0.37","..0.36","..0.37","10,392,612"
06/21/2023,"..0.37","..0.37","..0.36","..0.36","10,810,327"
06/20/2023,"..0.37","..0.38","..0.37","..0.37","14,979,216"
06/19/2023,"..0.38","..0.38","..0.37","..0.37","17,116,680"
06/15/2023,"..0.37","..0.38","..0.37","..0.38","23,048,664"
06/14/2023,"..0.37","..0.38","..0.37","..0.37","32,966,241"
06/13/2023,"..0.37","..0.37","..0.37","..0.37","18,305,659"
06/12/2023,"..0.37","..0.38","..0.37","..0.37","11,622,265"
06/08/2023,"..0.37","..0.38","..0.37","..0.37","17,636,355"
06/07/2023,"..0.37","..0.39","..0.36","..0.37","69,872,882"
06/06/2023,"..0.37","..0.38","..0.36","..0.37","12,889,275"
06/05/2023,"..0.37","..0.38","..0.37","..0.37","29,817,532"
06/01/2023,"..0.36","..0.37","..0.36","..0.36","12,557,212"
05/31/2023,"..0.36","..0.37","..0.36","..0.36","15,932,311"
05/30/2023,"..0.37","..0.37","..0.36","..0.36","34,576,216"
05/29/2023,"..0.37","..0.38","..0.37","..0.37","28,345,443"
05/25/2023,"..0.36","..0.36","..0.35","..0.36","10,894,054"
05/24/2023,"..0.37","..0.37","..0.36","..0.36","26,027,389"
05/23/2023,"..0.35","..0.37","..0.35","..0.37","56,634,219"
05/22/2023,"..0.34","..0.36","..0.35","..0.35","55,187,713"
05/18/2023,"..0.33","..0.34","..0.33","..0.34","13,408,111"
05/17/2023,"..0.33","..0.34","..0.33","..0.33","12,518,247"
05/16/2023,"..0.33","..0.34","..0.33","..0.33","16,485,882"
05/15/2023,"..0.35","..0.35","..0.33","..0.33","13,095,673"
05/11/2023,"..0.35","..0.35","..0.34","..0.34","14,819,500"
05/10/2023,"..0.34","..0.35","..0.34","..0.35","16,906,911"
05/09/2023,"..0.36","..0.36","..0.34","..0.34","24,404,782"
05/08/2023,"..0.36","..0.36","..0.35","..0.36","25,227,101"
05/03/2023,"..0.32","..0.35","..0.32","..0.34","72,870,574"
05/02/2023,"..0.31","..0.32","..0.31","..0.32","10,687,183"
05/01/2023,"..0.32","..0.33","..0.31","..0.31","13,304,014"
04/27/2023,"..0.32","..0.32","..0.32","..0.32","12,701,955"
04/26/2023,"..0.32","..0.32","..0.31","..0.32","16,524,942"
04/19/2023,"..0.32","..0.32","..0.32","..0.32","7,172,743"
04/18/2023,"..0.32","..0.32","..0.31","..0.32","4,361,790"
04/13/2023,"..0.32","..0.32","..0.32","..0.32","9,571,319"
04/12/2023,"..0.32","..0.33","..0.32","..0.32","10,267,011"
04/11/2023,"..0.32","..0.33","..0.32","..0.32","14,283,055"
04/10/2023,"..0.32","..0.33","..0.32","..0.32","9,275,628"
04/06/2023,"..0.33","..0.33","..0.31","..0.32","6,551,514"
04/05/2023,"..0.33","..0.33","..0.33","..0.33","11,355,834"
04/04/2023,"..0.32","..0.33","..0.32","..0.33","13,024,662"
04/03/2023,"..0.31","..0.32","..0.31","..0.32","9,413,919"
03/30/2023,"..0.31","..0.31","..0.30","..0.30","7,854,435"
03/29/2023,"..0.31","..0.31","..0.30","..0.31","6,504,559"
03/28/2023,"..0.31","..0.31","..0.30","..0.31","6,828,464"
03/27/2023,"..0.32","..0.32","..0.31","..0.31","11,448,685"
03/23/2023,"..0.30","..0.31","..0.30","..0.30","5,969,483"
03/22/2023,"..0.31","..0.31","..0.30","..0.30","16,607,104"
03/21/2023,"..0.30","..0.31","..0.30","..0.31","11,952,444"
03/20/2023,"..0.28","..0.30","..0.28","..0.30","17,038,329"
03/16/2023,"..0.28","..0.28","..0.24","..0.27","28,096,394"
03/15/2023,"..0.31","..0.32","..0.27","..0.28","22,161,259"
03/14/2023,"..0.31","..0.32","..0.30","..0.31","17,692,668"
03/13/2023,"..0.34","..0.35","..0.31","..0.31","18,041,857"
03/09/2023,"..0.35","..0.36","..0.35","..0.36","4,878,997"
03/08/2023,"..0.36","..0.36","..0.35","..0.35","10,903,893"
03/07/2023,"..0.37","..0.38","..0.36","..0.36","20,926,984"
03/06/2023,"..0.37","..0.39","..0.37","..0.37","58,201,532"
03/02/2023,"..0.36","..0.37","..0.36","..0.36","47,734,407"
03/01/2023,"..0.35","..0.36","..0.35","..0.36","21,624,982"
02/28/2023,"..0.34","..0.35","..0.34","..0.35","18,262,891"
02/27/2023,"..0.35","..0.35","..0.34","..0.34","21,062,317"
02/23/2023,"..0.34","..0.35","..0.33","..0.34","25,977,757"
02/22/2023,"..0.35","..0.36","..0.34","..0.34","7,714,202"
02/21/2023,"..0.35","..0.36","..0.34","..0.35","10,272,677"
02/20/2023,"..0.36","..0.36","..0.34","..0.35","14,469,189"
02/16/2023,"..0.35","..0.36","..0.35","..0.36","27,008,416"
02/15/2023,"..0.35","..0.36","..0.35","..0.35","13,336,249"
02/14/2023,"..0.35","..0.36","..0.35","..0.35","15,848,647"
02/13/2023,"..0.35","..0.36","..0.34","..0.35","17,702,421"
02/09/2023,"..0.34","..0.35","..0.33","..0.35","15,465,660"
02/08/2023,"..0.34","..0.35","..0.34","..0.34","15,427,566"
02/07/2023,"..0.33","..0.35","..0.34","..0.34","11,103,813"
