Date,Open,High,Low,Close,Volume
09/21/2023,"0.07","0.07","0.07","0.07","50,000"
09/20/2023,"0.07","0.07","0.07","0.07","72,886"
09/19/2023,"0.07","0.07","0.07","0.07","30,376"
09/18/2023,"0.07","0.07","0.07","0.07","2,655"
09/14/2023,"0.07","0.07","0.07","0.07","5,114"
09/13/2023,"0.07","0.07","0.07","0.07","9,603"
09/12/2023,"0.07","0.07","0.07","0.07","12,000"
09/11/2023,"0.07","0.07","0.07","0.07","1,298"
09/06/2023,"0.07","0.07","0.07","0.07","54,520"
09/05/2023,"0.07","0.07","0.07","0.07","28,243"
09/04/2023,"0.07","0.07","0.07","0.07","49,858"
08/31/2023,"0.07","0.07","0.07","0.07","1,468"
08/28/2023,"0.07","0.07","0.07","0.07","20,000"
08/24/2023,"0.07","0.07","0.07","0.07","2,700"
08/23/2023,"0.07","0.07","0.07","0.07","83,605"
08/22/2023,"0.07","0.07","0.07","0.07","142,642"
08/17/2023,"0.08","0.07","0.07","0.07","140,060"
08/16/2023,"0.08","0.07","0.07","0.08","2,448"
08/15/2023,"0.08","0.07","0.07","0.08","16,655"
08/10/2023,"0.08","0.07","0.07","0.08","47,353"
08/07/2023,"0.08","0.07","0.07","0.08","20,000"
08/03/2023,"0.08","0.07","0.07","0.08","4,809"
08/02/2023,"0.08","0.07","0.07","0.08","10,000"
08/01/2023,"0.08","0.07","0.07","0.08","4,484"
07/27/2023,"0.08","0.07","0.07","0.08","86,881"
07/26/2023,"0.08","0.07","0.07","0.08","110,000"
07/25/2023,"0.08","0.07","0.07","0.08","3,366"
07/24/2023,"0.08","0.07","0.07","0.08","710"
07/18/2023,"0.08","0.07","0.07","0.08","97,965"
07/17/2023,"0.08","0.07","0.07","0.08","8,245"
07/13/2023,"0.08","0.07","0.07","0.08","4,249"
07/12/2023,"0.08","0.07","0.07","0.08","111,350"
07/11/2023,"0.08","0.07","0.07","0.08","25,076"
07/06/2023,"0.08","0.07","0.07","0.08","60,050"
07/05/2023,"0.07","0.08","0.08","0.08","138,057"
07/04/2023,"0.07","0.07","0.07","0.07","15"
06/26/2023,"0.07","0.07","0.07","0.07","14,000"
06/22/2023,"0.07","0.07","0.07","0.07","18,453"
06/21/2023,"0.07","0.07","0.07","0.07","2,156"
06/20/2023,"0.07","0.08","0.07","0.07","5,993"
06/19/2023,"0.08","0.07","0.07","0.07","839,240"
06/15/2023,"0.07","0.08","0.08","0.08","165,555"
06/14/2023,"0.07","0.08","0.07","0.07","39,964"
06/13/2023,"0.08","0.07","0.07","0.07","231,831"
06/12/2023,"0.08","0.08","0.08","0.08","13,212"
06/08/2023,"0.08","0.08","0.08","0.08","35,055"
06/07/2023,"0.08","0.08","0.07","0.08","96,005"
06/06/2023,"0.08","0.08","0.08","0.08","60,048"
06/05/2023,"0.07","0.08","0.07","0.08","286,866"
06/01/2023,"0.07","0.07","0.07","0.07","30,530"
