Date,Open,High,Low,Close,Volume
09/21/2023,"..20.47","..20.85","..20.17","..20.31","128,951"
09/20/2023,"..20.93","..21.16","..20.35","..20.47","138,838"
09/19/2023,"..21.16","..21.50","..20.87","..20.93","138,957"
09/18/2023,"..21.26","..21.60","..21.13","..21.16","170,611"
09/14/2023,"..21.55","..21.81","..21.16","..21.20","258,133"
09/13/2023,"..20.57","..21.95","..20.80","..21.55","745,610"
09/12/2023,"..20.40","..20.78","..20.21","..20.57","118,332"
09/11/2023,"..20.78","..20.99","..20.36","..20.40","98,791"
09/07/2023,"..20.67","..20.90","..20.30","..20.41","152,386"
09/06/2023,"..21.17","..21.34","..20.61","..20.67","181,125"
09/05/2023,"..21.32","..21.75","..21.16","..21.17","292,064"
09/04/2023,"..21.64","..21.99","..21.30","..21.32","284,115"
08/31/2023,"..21.47","..21.80","..21.25","..21.43","151,348"
08/30/2023,"..21.22","..22.30","..21.25","..21.47","527,147"
08/29/2023,"..20.98","..21.49","..21.00","..21.22","205,100"
08/28/2023,"..21.08","..21.85","..20.90","..20.98","244,772"
08/24/2023,"..21.50","..21.50","..21.00","..21.19","112,212"
08/23/2023,"..21.68","..22.05","..21.05","..21.50","272,190"
08/22/2023,"..22.24","..22.58","..21.63","..21.68","228,956"
08/21/2023,"..21.88","..23.10","..22.00","..22.24","709,365"
08/17/2023,"..21.01","..21.47","..20.90","..21.09","237,860"
08/16/2023,"..21.67","..22.39","..21.00","..21.01","400,880"
08/15/2023,"..20.55","..21.75","..20.57","..21.67","471,389"
08/14/2023,"..20.11","..20.80","..20.02","..20.55","381,644"
08/10/2023,"..19.70","..19.89","..19.41","..19.52","55,803"
08/09/2023,"..19.69","..19.95","..19.66","..19.70","60,189"
08/08/2023,"..19.69","..20.18","..19.63","..19.69","125,698"
08/07/2023,"..19.37","..20.19","..19.50","..19.69","160,010"
08/03/2023,"..19.26","..19.54","..19.16","..19.20","56,907"
08/02/2023,"..19.35","..19.55","..19.20","..19.26","88,482"
08/01/2023,"..19.65","..19.95","..19.32","..19.35","92,626"
07/31/2023,"..19.94","..20.18","..19.60","..19.65","71,284"
07/27/2023,"..19.60","..19.89","..19.66","..19.75","68,369"
07/26/2023,"..19.98","..20.00","..19.50","..19.60","178,405"
07/25/2023,"..20.13","..20.74","..19.82","..19.98","194,287"
07/24/2023,"..20.09","..20.50","..20.06","..20.13","104,649"
07/19/2023,"..19.87","..20.44","..19.83","..20.09","111,951"
07/18/2023,"..19.70","..20.00","..19.75","..19.87","57,783"
07/17/2023,"..19.88","..20.01","..19.11","..19.70","76,454"
07/13/2023,"..20.24","..20.59","..19.90","..20.00","149,291"
07/12/2023,"..20.19","..20.68","..20.16","..20.24","71,931"
07/11/2023,"..20.29","..20.65","..20.00","..20.19","128,241"
07/10/2023,"..20.02","..20.50","..19.00","..20.29","90,943"
07/06/2023,"..22.02","..22.40","..21.35","..21.40","175,407"
07/05/2023,"..21.61","..22.75","..21.71","..22.02","333,749"
07/04/2023,"..21.14","..22.18","..21.16","..21.61","179,238"
06/26/2023,"..21.01","..21.30","..20.85","..21.14","46,792"
06/22/2023,"..20.98","..21.23","..20.92","..21.02","90,083"
06/21/2023,"..21.24","..21.66","..20.72","..20.98","146,075"
06/20/2023,"..21.19","..21.48","..20.93","..21.24","136,929"
06/19/2023,"..21.49","..22.00","..21.12","..21.19","168,024"
06/15/2023,"..22.14","..22.50","..21.37","..21.46","238,827"
06/14/2023,"..19.85","..22.50","..19.95","..22.14","779,940"
06/13/2023,"..20.25","..20.53","..19.80","..19.85","193,837"
06/12/2023,"..20.37","..20.65","..20.20","..20.25","86,026"
06/08/2023,"..20.65","..20.88","..19.88","..20.23","253,116"
06/07/2023,"..21.26","..21.70","..20.51","..20.65","229,302"
06/06/2023,"..21.03","..21.87","..21.00","..21.26","160,939"
06/05/2023,"..22.29","..22.62","..20.00","..21.03","265,493"
06/01/2023,"..22.15","..22.84","..22.30","..22.53","200,907"
05/31/2023,"..22.78","..23.25","..22.02","..22.15","279,274"
05/30/2023,"..23.58","..23.60","..22.47","..22.78","447,549"
05/29/2023,"..23.20","..24.20","..23.00","..23.58","1,151,408"
05/25/2023,"..18.71","..19.88","..18.80","..19.52","501,537"
05/24/2023,"..18.56","..18.80","..18.52","..18.71","93,412"
05/23/2023,"..17.93","..19.00","..17.98","..18.56","208,969"
05/22/2023,"..17.89","..18.35","..17.74","..17.93","124,157"
05/18/2023,"..18.25","..18.35","..17.72","..17.91","112,261"
05/17/2023,"..18.74","..19.00","..18.25","..18.25","114,724"
