Date,Open,High,Low,Close,Volume
09/21/2023,"..32.95","..33.00","..31.10","..32.09","536,279"
09/20/2023,"..30.83","..33.00","..30.90","..32.95","1,032,236"
09/19/2023,"..29.60","..31.40","..29.30","..30.83","651,032"
09/18/2023,"..28.93","..29.60","..28.80","..29.60","559,130"
09/14/2023,"..26.62","..27.25","..26.63","..27.09","146,319"
09/13/2023,"..26.52","..26.75","..26.40","..26.62","31,983"
09/12/2023,"..26.65","..26.75","..26.46","..26.52","106,134"
09/11/2023,"..27.15","..27.20","..26.60","..26.65","181,425"
09/07/2023,"..27.37","..27.60","..26.97","..27.05","317,925"
09/06/2023,"..27.03","..27.79","..27.08","..27.37","197,063"
09/05/2023,"..28.28","..28.47","..27.03","..27.03","255,537"
09/04/2023,"..26.85","..28.49","..26.73","..28.28","255,279"
08/31/2023,"..27.87","..28.30","..27.55","..27.69","178,678"
08/30/2023,"..28.81","..29.44","..27.71","..27.87","388,803"
08/29/2023,"..28.85","..29.33","..28.70","..28.81","86,623"
08/28/2023,"..29.05","..29.50","..28.50","..28.85","271,886"
08/24/2023,"..27.40","..27.51","..27.03","..27.51","166,302"
08/23/2023,"..27.50","..27.52","..27.21","..27.40","351,212"
08/22/2023,"..26.89","..27.50","..26.50","..27.50","401,487"
08/21/2023,"..26.75","..26.93","..26.60","..26.89","89,571"
08/17/2023,"..26.81","..27.03","..26.30","..27.00","637,621"
08/16/2023,"..26.14","..27.09","..25.92","..26.81","654,281"
08/15/2023,"..26.12","..26.45","..25.83","..26.14","306,577"
08/14/2023,"..25.79","..26.94","..25.91","..26.12","859,064"
08/10/2023,"..25.30","..25.40","..24.70","..24.75","296,454"
08/09/2023,"..25.60","..25.65","..25.25","..25.30","274,372"
08/08/2023,"..25.79","..25.90","..25.21","..25.60","488,529"
08/07/2023,"..25.87","..26.00","..25.03","..25.79","752,178"
08/03/2023,"..24.99","..25.10","..24.45","..24.92","527,697"
08/02/2023,"..24.31","..25.36","..23.90","..24.99","1,713,418"
08/01/2023,"..23.66","..24.51","..23.67","..24.31","933,885"
