Date,Open,High,Low,Close,Volume
09/21/2023,"..0.73","..0.74","..0.73","..0.73","314,631"
09/20/2023,"..0.75","..0.75","..0.73","..0.73","597,810"
09/19/2023,"..0.74","..0.76","..0.74","..0.75","1,508,045"
09/18/2023,"..0.74","..0.75","..0.74","..0.74","313,769"
09/14/2023,"..0.74","..0.75","..0.74","..0.74","311,245"
09/13/2023,"..0.73","..0.76","..0.73","..0.74","619,673"
09/12/2023,"..0.74","..0.74","..0.73","..0.73","614,461"
09/11/2023,"..0.75","..0.75","..0.73","..0.74","596,121"
09/07/2023,"..0.75","..0.75","..0.75","..0.75","327,100"
09/06/2023,"..0.77","..0.78","..0.75","..0.75","1,229,818"
09/05/2023,"..0.77","..0.79","..0.76","..0.77","1,608,775"
09/04/2023,"..0.77","..0.79","..0.76","..0.77","263,375"
08/31/2023,"..0.79","..0.80","..0.77","..0.77","1,298,433"
08/30/2023,"..0.77","..0.82","..0.78","..0.79","5,904,066"
08/29/2023,"..0.75","..0.80","..0.74","..0.77","2,284,512"
08/28/2023,"..0.76","..0.77","..0.74","..0.75","790,355"
08/24/2023,"..0.76","..0.78","..0.74","..0.75","1,310,056"
08/23/2023,"..0.76","..0.80","..0.76","..0.76","5,397,512"
08/22/2023,"..0.74","..0.77","..0.75","..0.76","1,206,292"
08/21/2023,"..0.74","..0.76","..0.73","..0.74","354,500"
08/17/2023,"..0.74","..0.75","..0.73","..0.74","433,700"
08/16/2023,"..0.74","..0.75","..0.74","..0.74","415,398"
08/15/2023,"..0.74","..0.75","..0.74","..0.74","45,500"
08/14/2023,"..0.74","..0.76","..0.74","..0.74","193,481"
08/10/2023,"..0.76","..0.76","..0.74","..0.76","395,695"
08/09/2023,"..0.77","..0.77","..0.75","..0.76","483,093"
08/08/2023,"..0.77","..0.77","..0.75","..0.77","344,836"
08/07/2023,"..0.77","..0.76","..0.76","..0.77","126,612"
08/03/2023,"..0.74","..0.77","..0.74","..0.74","303,085"
08/02/2023,"..0.77","..0.77","..0.73","..0.74","920,054"
08/01/2023,"..0.77","..0.78","..0.76","..0.77","839,344"
07/31/2023,"..0.75","..0.78","..0.75","..0.77","4,040,917"
07/27/2023,"..0.74","..0.76","..0.73","..0.74","861,772"
07/26/2023,"..0.74","..0.77","..0.73","..0.74","1,615,122"
07/25/2023,"..0.74","..0.75","..0.73","..0.74","157,078"
07/24/2023,"..0.74","..0.75","..0.73","..0.74","77,031"
07/19/2023,"..0.73","..0.75","..0.72","..0.74","430,311"
07/18/2023,"..0.73","..0.74","..0.72","..0.73","328,776"
07/17/2023,"..0.74","..0.75","..0.70","..0.73","508,975"
