Date,Open,High,Low,Close,Volume
09/21/2023,"..9.48","..9.75","..9.48","..9.53","201,305"
09/20/2023,"..9.84","..9.89","..9.45","..9.48","189,705"
09/19/2023,"..9.95","..10.03","..9.80","..9.84","244,758"
09/18/2023,"..10.10","..10.20","..9.90","..9.95","212,114"
09/14/2023,"..10.12","..10.27","..10.06","..10.11","172,332"
09/13/2023,"..10.11","..10.28","..10.05","..10.12","197,500"
09/12/2023,"..10.13","..10.54","..10.01","..10.11","479,153"
09/11/2023,"..10.50","..10.70","..10.03","..10.13","470,500"
09/07/2023,"..9.03","..9.19","..8.80","..9.10","156,738"
09/06/2023,"..9.50","..9.63","..9.00","..9.03","245,003"
09/05/2023,"..9.65","..9.76","..9.41","..9.50","173,941"
09/04/2023,"..9.86","..9.95","..9.61","..9.65","250,973"
08/31/2023,"..10.77","..10.90","..8.62","..10.22","346,103"
08/30/2023,"..10.86","..11.03","..10.73","..10.77","563,356"
08/29/2023,"..10.81","..10.97","..10.69","..10.86","332,940"
08/28/2023,"..10.87","..11.19","..10.80","..10.81","374,542"
08/24/2023,"..11.06","..11.39","..10.81","..10.84","186,576"
08/23/2023,"..11.01","..11.63","..10.75","..11.06","378,042"
08/22/2023,"..10.94","..11.20","..10.75","..11.02","413,160"
08/21/2023,"..11.19","..11.27","..10.81","..10.94","311,880"
08/17/2023,"..11.24","..11.72","..10.72","..11.33","587,235"
08/16/2023,"..11.25","..12.00","..11.20","..11.24","1,199,279"
08/15/2023,"..10.53","..11.31","..10.54","..11.25","824,115"
08/14/2023,"..9.43","..11.00","..9.73","..10.53","1,198,417"
08/10/2023,"..9.51","..9.47","..9.07","..9.13","150,097"
08/09/2023,"..9.44","..9.59","..9.43","..9.51","103,725"
08/08/2023,"..9.44","..9.73","..9.38","..9.44","156,195"
08/07/2023,"..9.53","..9.87","..9.33","..9.44","402,645"
08/03/2023,"..8.89","..9.67","..8.80","..9.53","602,377"
08/02/2023,"..8.91","..9.20","..8.76","..8.89","203,167"
08/01/2023,"..8.69","..8.99","..8.53","..8.91","237,945"
07/31/2023,"..8.38","..8.73","..8.40","..8.69","186,997"
07/27/2023,"..8.28","..8.45","..8.20","..8.37","47,655"
07/26/2023,"..8.28","..8.37","..8.20","..8.28","29,392"
07/25/2023,"..8.54","..8.73","..8.21","..8.28","113,400"
07/24/2023,"..8.13","..8.61","..8.27","..8.54","213,037"
07/19/2023,"..8.13","..8.27","..8.01","..8.13","55,035"
07/18/2023,"..8.13","..8.24","..8.01","..8.13","27,007"
07/17/2023,"..8.24","..8.27","..8.07","..8.13","37,582"
07/13/2023,"..8.31","..8.44","..8.20","..8.32","115,650"
07/12/2023,"..7.84","..8.62","..7.68","..8.31","338,430"
07/11/2023,"..7.83","..8.00","..7.79","..7.84","56,212"
07/10/2023,"..7.72","..7.95","..7.63","..7.83","51,037"
07/06/2023,"..7.77","..7.83","..7.41","..7.68","170,460"
07/05/2023,"..8.01","..8.00","..6.94","..7.77","55,837"
07/04/2023,"..8.01","..8.07","..8.00","..8.01","20,970"
06/26/2023,"..8.12","..8.12","..7.97","..8.01","138,765"
06/22/2023,"..8.14","..8.37","..8.09","..8.14","53,700"
06/21/2023,"..8.19","..8.40","..8.09","..8.14","76,972"
06/20/2023,"..8.19","..8.23","..8.16","..8.19","28,530"
06/19/2023,"..8.21","..8.26","..8.16","..8.19","68,445"
06/15/2023,"..8.33","..8.37","..8.13","..8.19","63,952"
06/14/2023,"..8.55","..8.50","..8.28","..8.33","126,232"
06/13/2023,"..8.65","..8.73","..8.53","..8.55","158,437"
06/12/2023,"..8.65","..8.77","..8.67","..8.65","27,067"
06/08/2023,"..8.54","..8.72","..8.40","..8.46","94,320"
06/07/2023,"..8.55","..8.73","..8.40","..8.54","45,847"
06/06/2023,"..8.66","..8.79","..8.53","..8.55","96,450"
06/05/2023,"..8.81","..8.87","..8.64","..8.66","143,947"
06/01/2023,"..8.96","..9.19","..8.92","..8.94","172,410"
05/31/2023,"..9.19","..9.27","..8.93","..8.96","177,105"
05/30/2023,"..9.07","..9.31","..9.16","..9.19","79,890"
05/29/2023,"..9.14","..9.21","..9.07","..9.07","138,667"
05/25/2023,"..9.05","..9.19","..8.87","..8.93","79,837"
05/24/2023,"..9.05","..9.17","..9.03","..9.05","78,217"
05/23/2023,"..9.08","..9.15","..8.95","..9.05","60,037"
05/22/2023,"..9.09","..9.32","..9.00","..9.08","105,585"
