Date,Open,High,Low,Close,Volume
09/21/2023,"..0.41","..0.41","..0.40","..0.41","4,384,550"
09/20/2023,"..0.42","..0.42","..0.41","..0.41","7,924,863"
09/19/2023,"..0.43","..0.43","..0.42","..0.42","15,995,510"
09/18/2023,"..0.43","..0.43","..0.43","..0.43","3,670,439"
09/14/2023,"..0.42","..0.42","..0.42","..0.42","6,569,767"
09/13/2023,"..0.42","..0.42","..0.42","..0.42","8,838,463"
09/12/2023,"..0.43","..0.43","..0.42","..0.42","7,082,633"
09/11/2023,"..0.43","..0.43","..0.42","..0.43","5,942,375"
09/07/2023,"..0.43","..0.43","..0.42","..0.43","2,185,031"
09/06/2023,"..0.43","..0.44","..0.43","..0.43","7,748,433"
09/05/2023,"..0.43","..0.44","..0.43","..0.43","9,918,789"
09/04/2023,"..0.43","..0.44","..0.43","..0.43","4,079,811"
08/31/2023,"..0.43","..0.44","..0.43","..0.43","10,199,220"
08/30/2023,"..0.42","..0.43","..0.42","..0.43","12,649,430"
08/29/2023,"..0.42","..0.43","..0.42","..0.42","4,374,872"
08/28/2023,"..0.42","..0.43","..0.42","..0.42","4,472,514"
08/24/2023,"..0.43","..0.43","..0.42","..0.42","4,874,847"
08/23/2023,"..0.43","..0.44","..0.42","..0.43","4,974,138"
08/22/2023,"..0.43","..0.44","..0.43","..0.43","3,694,790"
08/21/2023,"..0.44","..0.45","..0.43","..0.43","5,450,007"
08/17/2023,"..0.42","..0.43","..0.42","..0.43","5,030,341"
08/16/2023,"..0.42","..0.43","..0.42","..0.42","6,499,631"
08/15/2023,"..0.42","..0.42","..0.42","..0.42","4,787,273"
08/14/2023,"..0.42","..0.43","..0.42","..0.42","2,674,751"
08/10/2023,"..0.43","..0.43","..0.41","..0.42","3,666,477"
08/09/2023,"..0.43","..0.44","..0.43","..0.43","9,625,156"
08/08/2023,"..0.43","..0.44","..0.43","..0.43","6,603,038"
08/07/2023,"..0.43","..0.43","..0.43","..0.43","5,332,830"
08/03/2023,"..0.43","..0.44","..0.42","..0.43","7,859,348"
08/02/2023,"..0.45","..0.45","..0.43","..0.43","18,797,061"
08/01/2023,"..0.41","..0.46","..0.41","..0.45","30,026,279"
07/31/2023,"..0.42","..0.42","..0.41","..0.41","4,088,579"
07/27/2023,"..0.41","..0.42","..0.41","..0.42","4,260,288"
07/26/2023,"..0.42","..0.42","..0.40","..0.41","3,469,999"
07/25/2023,"..0.42","..0.42","..0.41","..0.42","3,296,364"
07/24/2023,"..0.42","..0.42","..0.42","..0.42","1,346,033"
07/19/2023,"..0.42","..0.42","..0.42","..0.42","1,709,197"
07/18/2023,"..0.42","..0.42","..0.42","..0.42","2,319,392"
07/17/2023,"..0.42","..0.43","..0.42","..0.42","4,821,046"
07/13/2023,"..0.42","..0.43","..0.42","..0.42","3,275,858"
07/12/2023,"..0.42","..0.43","..0.42","..0.42","1,685,704"
07/11/2023,"..0.42","..0.43","..0.42","..0.42","4,065,938"
07/10/2023,"..0.42","..0.43","..0.41","..0.42","2,737,875"
07/06/2023,"..0.45","..0.45","..0.44","..0.44","5,458,980"
07/05/2023,"..0.45","..0.45","..0.44","..0.45","1,521,460"
07/04/2023,"..0.45","..0.46","..0.44","..0.45","2,608,901"
06/26/2023,"..0.45","..0.45","..0.43","..0.45","4,593,038"
06/22/2023,"..0.46","..0.47","..0.46","..0.46","2,813,712"
06/21/2023,"..0.47","..0.48","..0.46","..0.46","11,495,180"
06/20/2023,"..0.47","..0.49","..0.47","..0.47","20,888,891"
06/19/2023,"..0.48","..0.49","..0.47","..0.47","8,756,774"
06/15/2023,"..0.48","..0.50","..0.48","..0.48","15,480,300"
06/14/2023,"..0.47","..0.51","..0.47","..0.48","30,939,590"
06/13/2023,"..0.47","..0.47","..0.46","..0.47","1,799,208"
06/12/2023,"..0.47","..0.47","..0.47","..0.47","1,030,543"
06/08/2023,"..0.47","..0.48","..0.46","..0.46","1,294,266"
06/07/2023,"..0.47","..0.47","..0.46","..0.47","2,520,062"
06/06/2023,"..0.47","..0.48","..0.47","..0.47","3,508,317"
06/05/2023,"..0.47","..0.48","..0.47","..0.47","5,039,977"
06/01/2023,"..0.46","..0.46","..0.46","..0.46","2,325,722"
05/31/2023,"..0.47","..0.47","..0.46","..0.46","7,073,218"
05/30/2023,"..0.47","..0.47","..0.46","..0.47","6,496,365"
05/29/2023,"..0.47","..0.48","..0.46","..0.47","8,598,099"
05/11/2023,"..0.43","..0.44","..0.42","..0.42","7,467,715"
05/10/2023,"..0.41","..0.44","..0.40","..0.43","9,076,166"
05/09/2023,"..0.41","..0.41","..0.40","..0.41","2,048,877"
05/08/2023,"..0.40","..0.41","..0.40","..0.41","1,093,882"
05/03/2023,"..0.41","..0.41","..0.40","..0.40","581,022"
05/02/2023,"..0.41","..0.41","..0.40","..0.41","732,680"
05/01/2023,"..0.41","..0.42","..0.40","..0.41","2,120,038"
04/27/2023,"..0.41","..0.42","..0.41","..0.41","4,303,148"
04/26/2023,"..0.41","..0.42","..0.40","..0.41","4,905,665"
04/19/2023,"..0.40","..0.41","..0.40","..0.41","1,392,299"
04/18/2023,"..0.39","..0.40","..0.39","..0.40","3,436,525"
04/13/2023,"..0.41","..0.41","..0.38","..0.39","8,586,039"
04/12/2023,"..0.42","..0.43","..0.41","..0.41","1,186,659"
04/11/2023,"..0.42","..0.43","..0.41","..0.42","398,643"
04/10/2023,"..0.42","..0.43","..0.41","..0.42","450,560"
04/06/2023,"..0.43","..0.44","..0.41","..0.42","4,649,566"
04/05/2023,"..0.42","..0.44","..0.43","..0.43","437,653"
04/04/2023,"..0.42","..0.44","..0.42","..0.42","384,393"
04/03/2023,"..0.42","..0.43","..0.41","..0.42","471,581"
03/30/2023,"..0.42","..0.45","..0.40","..0.42","270,272"
03/29/2023,"..0.40","..0.45","..0.39","..0.42","838,768"
03/28/2023,"..0.40","..0.41","..0.39","..0.40","161,767"
03/27/2023,"..0.41","..0.41","..0.39","..0.40","566,498"
03/23/2023,"..0.39","..0.40","..0.38","..0.39","77,870"
03/22/2023,"..0.39","..0.40","..0.38","..0.39","304,623"
03/21/2023,"..0.39","..0.41","..0.38","..0.39","586,569"
03/20/2023,"..0.36","..0.41","..0.37","..0.39","511,665"
03/16/2023,"..0.38","..0.42","..0.35","..0.36","1,604,807"
03/15/2023,"..0.43","..0.44","..0.36","..0.38","762,070"
03/14/2023,"..0.43","..0.45","..0.42","..0.43","220,899"
03/13/2023,"..0.48","..0.47","..0.42","..0.43","1,874,199"
03/09/2023,"..0.47","..0.48","..0.46","..0.48","456,799"
03/08/2023,"..0.48","..0.48","..0.46","..0.47","408,826"
03/07/2023,"..0.49","..0.49","..0.47","..0.48","532,105"
03/06/2023,"..0.48","..0.50","..0.48","..0.49","812,166"
03/02/2023,"..0.49","..0.50","..0.48","..0.48","1,172,898"
03/01/2023,"..0.47","..0.49","..0.47","..0.49","2,672,883"
02/28/2023,"..0.47","..0.47","..0.46","..0.47","423,913"
02/27/2023,"..0.47","..0.47","..0.46","..0.47","357,633"
02/23/2023,"..0.47","..0.47","..0.46","..0.47","126,818"
02/22/2023,"..0.47","..0.47","..0.46","..0.47","75,394"
02/21/2023,"..0.47","..0.48","..0.46","..0.47","126,715"
02/20/2023,"..0.47","..0.48","..0.46","..0.47","683,422"
02/16/2023,"..0.48","..0.48","..0.47","..0.47","517,930"
02/15/2023,"..0.48","..0.48","..0.48","..0.48","185,947"
