Date,Open,High,Low,Close,Volume
09/21/2023,"..73.50","..58.80","..58.80","..73.50","66"
09/12/2023,"..58.80","..58.80","..58.80","..73.50","432"
09/11/2023,"..58.80","..58.80","..58.80","..73.50","10"
09/06/2023,"..73.50","..58.80","..58.80","..73.50","157"
09/05/2023,"..73.50","..58.80","..58.80","..73.50","124"
09/04/2023,"..73.50","..58.80","..58.80","..73.50","173"
08/31/2023,"..73.50","..58.80","..58.80","..73.50","20"
08/30/2023,"..73.50","..58.80","..58.80","..73.50","66"
08/28/2023,"..73.50","..58.80","..58.80","..73.50","44"
08/24/2023,"..73.50","..58.80","..58.80","..73.50","23"
08/23/2023,"..73.50","..58.80","..58.80","..73.50","121"
08/21/2023,"..73.50","..58.80","..58.80","..73.50","3"
08/16/2023,"..73.50","..58.80","..58.80","..73.50","28"
08/14/2023,"..73.50","..58.80","..58.80","..73.50","286"
08/10/2023,"..73.50","..58.80","..58.80","..73.50","197"
08/09/2023,"..73.50","..58.80","..58.80","..73.50","787"
08/02/2023,"..73.50","..58.80","..58.80","..73.50","317"
07/31/2023,"..73.50","..58.80","..58.80","..73.50","854"
07/27/2023,"..73.50","..58.80","..58.80","..73.50","5,024"
07/26/2023,"..73.50","..58.80","..58.80","..73.50","24"
07/12/2023,"..73.50","..58.80","..58.80","..73.50","531"
07/11/2023,"..73.50","..58.80","..58.80","..73.50","44"
07/10/2023,"..58.80","..58.80","..58.80","..73.50","4"
07/06/2023,"..58.80","..58.80","..58.80","..73.50","22"
06/22/2023,"..58.80","..58.80","..58.80","..73.50","69"
06/20/2023,"..73.50","..58.80","..58.80","..73.50","84"
06/19/2023,"..58.80","..58.80","..58.80","..73.50","76"
06/15/2023,"..73.50","..58.80","..58.80","..73.50","9"
06/13/2023,"..73.50","..58.80","..58.80","..73.50","1"
06/06/2023,"..73.50","..58.80","..58.80","..73.50","124"
06/05/2023,"..73.50","..58.80","..58.80","..73.50","145"
06/01/2023,"..73.50","..58.80","..58.80","..73.50","47"
05/31/2023,"..73.50","..58.80","..58.80","..73.50","1,037"
05/30/2023,"..73.50","..58.81","..58.80","..73.50","378"
05/29/2023,"..73.50","..58.80","..58.80","..73.50","119"
05/25/2023,"..73.50","..58.80","..58.80","..73.50","4"
05/18/2023,"..73.50","..58.80","..58.80","..73.50","86"
05/11/2023,"..73.50","..58.80","..58.80","..73.50","20"
05/10/2023,"..58.80","..58.80","..58.80","..73.50","78"
04/12/2023,"..73.50","..58.80","..58.80","..73.50","12"
04/06/2023,"..73.50","..58.80","..58.80","..73.50","1,012"
04/05/2023,"..73.50","..58.80","..58.80","..73.50","92"
04/04/2023,"..73.50","..58.80","..58.80","..73.50","65"
04/03/2023,"..73.50","..58.80","..58.80","..73.50","364"
03/30/2023,"..73.50","..58.80","..58.80","..73.50","4"
03/29/2023,"..73.50","..58.80","..58.80","..73.50","124"
03/23/2023,"..58.80","..58.80","..58.80","..73.50","74"
03/22/2023,"..58.80","..58.80","..58.80","..73.50","45"
03/20/2023,"..73.50","..58.80","..58.80","..73.50","20"
03/16/2023,"..73.50","..58.80","..58.80","..73.50","54"
03/01/2023,"..73.50","..58.80","..58.80","..73.50","203"
02/28/2023,"..73.50","..58.80","..58.80","..73.50","26"
02/02/2023,"..73.50","..58.82","..58.80","..73.50","97"
02/01/2023,"..73.50","..58.82","..58.80","..73.50","503"
01/09/2023,"..73.50","..58.80","..58.80","..73.50","196"
01/05/2023,"..73.50","..58.80","..58.80","..73.50","446"
12/27/2022,"..73.50","..58.80","..58.80","..73.50","95"
12/26/2022,"..73.50","..58.80","..58.80","..73.50","952"
12/21/2022,"..73.50","..58.80","..58.80","..73.50","367"
12/20/2022,"..73.50","..58.80","..58.80","..73.50","266"
12/15/2022,"..73.50","..58.80","..58.80","..73.50","768"
12/08/2022,"..73.50","..58.80","..58.80","..73.50","1,035"
12/07/2022,"..73.50","..58.80","..58.80","..73.50","231"
12/06/2022,"..73.50","..58.80","..58.80","..73.50","290"
12/05/2022,"..73.50","..58.80","..58.80","..73.50","710"
12/01/2022,"..73.50","..58.80","..58.80","..73.50","428"
11/29/2022,"..73.50","..58.80","..58.80","..73.50","18"
11/28/2022,"..73.50","..58.80","..58.80","..73.50","234"
11/24/2022,"..73.50","..58.81","..58.80","..73.50","42"
11/23/2022,"..73.50","..58.80","..58.80","..73.50","307"
11/22/2022,"..73.50","..58.80","..58.80","..73.50","68"
11/21/2022,"..73.50","..58.80","..58.80","..73.50","1,685"
11/16/2022,"..73.50","..58.80","..58.80","..73.50","63"
11/15/2022,"..73.50","..58.80","..58.80","..73.50","61"
11/14/2022,"..73.50","..58.80","..58.80","..73.50","857"
11/01/2022,"..73.50","..58.90","..58.80","..73.50","29"
10/25/2022,"..73.50","..58.80","..58.80","..73.50","42"
10/17/2022,"..73.50","..58.80","..58.80","..73.50","9"
10/12/2022,"..73.50","..58.80","..58.80","..73.50","17"
10/10/2022,"..73.50","..58.80","..58.80","..73.50","18"
10/03/2022,"..73.50","..58.80","..58.80","..73.50","67"
09/29/2022,"..73.50","..58.80","..58.80","..73.50","102"
09/28/2022,"..73.50","..58.80","..58.80","..73.50","150"
09/27/2022,"..73.50","..70.00","..58.80","..73.50","1,457"
