Date,Open,High,Low,Close,Volume
09/21/2023,"..1.68","..1.70","..1.66","..1.68","376,098"
09/20/2023,"..1.70","..1.71","..1.67","..1.68","495,085"
09/19/2023,"..1.72","..1.74","..1.69","..1.70","722,308"
09/18/2023,"..1.72","..1.74","..1.71","..1.72","343,164"
09/14/2023,"..1.70","..1.72","..1.69","..1.70","387,204"
09/13/2023,"..1.70","..1.71","..1.70","..1.70","97,504"
09/12/2023,"..1.70","..1.72","..1.69","..1.70","169,467"
09/11/2023,"..1.73","..1.73","..1.69","..1.70","399,821"
09/07/2023,"..1.70","..1.72","..1.67","..1.69","1,079,433"
09/06/2023,"..1.72","..1.73","..1.69","..1.70","666,206"
09/05/2023,"..1.72","..1.74","..1.70","..1.72","511,951"
09/04/2023,"..1.74","..1.74","..1.71","..1.72","572,966"
08/31/2023,"..1.77","..1.79","..1.74","..1.75","953,384"
08/30/2023,"..1.76","..1.80","..1.76","..1.77","1,117,001"
08/29/2023,"..1.76","..1.78","..1.75","..1.76","929,657"
08/28/2023,"..1.80","..1.83","..1.75","..1.76","2,542,450"
08/24/2023,"..1.73","..1.74","..1.69","..1.73","564,965"
08/23/2023,"..1.71","..1.77","..1.71","..1.73","1,494,001"
08/22/2023,"..1.71","..1.73","..1.70","..1.71","332,926"
08/21/2023,"..1.66","..1.73","..1.66","..1.71","993,074"
08/17/2023,"..1.70","..1.70","..1.66","..1.68","452,574"
08/16/2023,"..1.72","..1.75","..1.70","..1.70","790,012"
08/15/2023,"..1.70","..1.77","..1.69","..1.72","1,888,398"
08/14/2023,"..1.69","..1.72","..1.68","..1.70","785,827"
08/10/2023,"..1.70","..1.72","..1.66","..1.67","350,035"
08/09/2023,"..1.68","..1.72","..1.68","..1.70","590,788"
08/08/2023,"..1.72","..1.74","..1.68","..1.68","1,159,337"
08/07/2023,"..1.73","..1.76","..1.71","..1.72","950,016"
08/03/2023,"..1.65","..1.72","..1.66","..1.69","1,813,829"
08/02/2023,"..1.62","..1.70","..1.61","..1.65","2,639,677"
08/01/2023,"..1.62","..1.63","..1.61","..1.62","490,066"
07/31/2023,"..1.65","..1.66","..1.62","..1.62","583,642"
07/27/2023,"..1.61","..1.68","..1.58","..1.62","1,019,362"
07/26/2023,"..1.60","..1.63","..1.58","..1.61","888,798"
07/25/2023,"..1.61","..1.63","..1.58","..1.60","395,627"
07/24/2023,"..1.61","..1.65","..1.60","..1.61","591,007"
07/19/2023,"..1.60","..1.63","..1.61","..1.61","325,599"
07/18/2023,"..1.60","..1.62","..1.60","..1.60","111,795"
07/17/2023,"..1.61","..1.61","..1.59","..1.60","473,362"
07/13/2023,"..1.62","..1.63","..1.60","..1.62","528,324"
07/12/2023,"..1.65","..1.66","..1.61","..1.62","240,192"
07/11/2023,"..1.63","..1.66","..1.60","..1.65","492,788"
07/10/2023,"..1.58","..1.64","..1.55","..1.63","1,160,380"
07/06/2023,"..1.74","..1.75","..1.70","..1.70","581,739"
07/05/2023,"..1.75","..1.76","..1.71","..1.74","268,911"
07/04/2023,"..1.73","..1.77","..1.73","..1.75","369,993"
06/26/2023,"..1.71","..1.73","..1.70","..1.73","270,316"
06/22/2023,"..1.75","..1.75","..1.73","..1.73","301,165"
06/21/2023,"..1.78","..1.79","..1.73","..1.75","559,776"
06/20/2023,"..1.79","..1.82","..1.77","..1.78","1,477,454"
06/19/2023,"..1.83","..1.85","..1.78","..1.79","1,980,459"
06/15/2023,"..1.83","..1.84","..1.81","..1.81","587,024"
06/14/2023,"..1.81","..1.86","..1.82","..1.83","965,604"
06/13/2023,"..1.83","..1.85","..1.81","..1.81","834,153"
06/12/2023,"..1.84","..1.85","..1.82","..1.83","561,383"
06/08/2023,"..1.86","..1.89","..1.85","..1.86","895,420"
06/07/2023,"..1.90","..1.95","..1.85","..1.86","2,312,320"
06/06/2023,"..1.90","..1.95","..1.89","..1.90","1,075,571"
06/05/2023,"..1.85","..1.96","..1.86","..1.90","3,626,681"
06/01/2023,"..1.89","..2.00","..1.87","..1.88","3,710,952"
05/31/2023,"..1.91","..1.96","..1.88","..1.89","3,767,876"
05/30/2023,"..1.96","..2.01","..1.90","..1.91","6,735,726"
05/29/2023,"..1.96","..2.07","..1.93","..1.96","8,806,473"
05/25/2023,"..1.77","..1.80","..1.74","..1.75","853,424"
05/24/2023,"..1.71","..1.83","..1.71","..1.77","3,271,716"
05/23/2023,"..1.71","..1.73","..1.68","..1.71","655,386"
05/22/2023,"..1.70","..1.76","..1.70","..1.71","1,716,655"
05/18/2023,"..1.70","..1.72","..1.67","..1.67","477,671"
05/17/2023,"..1.71","..1.75","..1.67","..1.70","331,958"
05/16/2023,"..1.71","..1.75","..1.66","..1.71","1,290,418"
05/15/2023,"..1.75","..1.84","..1.70","..1.71","2,000,010"
05/11/2023,"..1.65","..1.71","..1.66","..1.67","463,776"
05/10/2023,"..1.68","..1.71","..1.64","..1.65","399,935"
