Date,Open,High,Low,Close,Volume
09/21/2023,"..9.35","..9.61","..9.15","..9.59","7,856,256"
09/20/2023,"..8.90","..9.73","..8.88","..9.35","13,712,120"
09/19/2023,"..8.87","..8.91","..8.80","..8.90","1,750,190"
09/18/2023,"..8.83","..8.91","..8.84","..8.87","1,273,228"
09/14/2023,"..8.90","..8.95","..8.76","..8.79","1,193,693"
09/13/2023,"..8.86","..8.97","..8.85","..8.90","3,754,803"
09/12/2023,"..8.79","..8.89","..8.67","..8.86","2,908,970"
09/11/2023,"..8.79","..8.89","..8.68","..8.79","4,244,413"
09/07/2023,"..8.38","..8.55","..8.38","..8.54","2,982,568"
09/06/2023,"..8.27","..8.43","..8.27","..8.38","2,470,907"
09/05/2023,"..8.31","..8.39","..8.27","..8.27","1,147,601"
09/04/2023,"..8.34","..8.43","..8.30","..8.31","1,792,796"
08/31/2023,"..8.24","..8.30","..8.22","..8.27","979,237"
08/30/2023,"..8.26","..8.32","..8.21","..8.24","1,977,989"
08/29/2023,"..8.27","..8.37","..8.25","..8.26","1,923,951"
08/28/2023,"..8.29","..8.44","..8.27","..8.27","2,255,784"
08/24/2023,"..8.19","..8.26","..8.15","..8.17","1,062,700"
08/23/2023,"..8.14","..8.36","..8.17","..8.19","3,129,320"
08/22/2023,"..8.10","..8.22","..8.11","..8.14","1,595,139"
08/21/2023,"..8.12","..8.18","..8.08","..8.10","817,439"
08/17/2023,"..8.15","..8.21","..8.07","..8.12","713,120"
08/16/2023,"..8.18","..8.25","..8.12","..8.15","1,166,871"
08/15/2023,"..8.21","..8.29","..8.16","..8.18","1,464,593"
08/14/2023,"..8.22","..8.34","..8.20","..8.21","2,204,413"
08/10/2023,"..8.10","..8.22","..8.08","..8.10","1,811,033"
08/09/2023,"..8.19","..8.24","..8.10","..8.10","2,251,936"
08/08/2023,"..8.21","..8.35","..8.17","..8.19","2,163,042"
08/07/2023,"..8.18","..8.28","..8.17","..8.21","2,130,198"
08/03/2023,"..8.07","..8.15","..8.02","..8.08","2,371,298"
08/02/2023,"..8.40","..8.42","..8.03","..8.07","8,096,828"
08/01/2023,"..8.87","..8.90","..8.33","..8.40","16,793,029"
07/31/2023,"..8.89","..8.97","..8.73","..8.87","2,321,871"
07/27/2023,"..8.48","..8.54","..8.42","..8.54","1,911,131"
07/26/2023,"..8.44","..8.49","..8.37","..8.48","1,327,513"
07/25/2023,"..8.40","..8.58","..8.39","..8.44","1,563,155"
07/24/2023,"..8.50","..8.54","..8.34","..8.40","734,874"
07/19/2023,"..8.57","..8.60","..8.43","..8.50","1,533,560"
07/18/2023,"..8.48","..8.64","..8.46","..8.57","2,555,780"
07/17/2023,"..8.47","..8.56","..8.40","..8.48","2,038,881"
07/13/2023,"..8.06","..8.75","..8.10","..8.68","14,527,760"
07/12/2023,"..8.14","..8.22","..8.06","..8.06","2,276,407"
07/11/2023,"..7.88","..8.23","..7.83","..8.14","4,256,004"
07/10/2023,"..7.66","..7.95","..7.60","..7.88","1,254,946"
07/06/2023,"..8.08","..8.16","..8.00","..8.00","2,119,070"
07/05/2023,"..8.08","..8.22","..8.05","..8.08","3,148,665"
07/04/2023,"..8.12","..8.25","..8.05","..8.08","2,494,651"
06/26/2023,"..8.07","..8.13","..8.06","..8.12","2,509,349"
06/22/2023,"..8.15","..8.20","..8.05","..8.15","3,311,652"
06/21/2023,"..8.30","..8.35","..8.15","..8.15","2,444,301"
06/20/2023,"..8.31","..8.38","..8.29","..8.30","3,005,935"
06/19/2023,"..8.40","..8.44","..8.28","..8.31","3,420,475"
06/15/2023,"..8.43","..8.46","..8.30","..8.30","2,586,468"
06/14/2023,"..8.54","..8.62","..8.40","..8.43","3,729,714"
06/13/2023,"..8.52","..8.71","..8.51","..8.54","5,826,665"
06/12/2023,"..8.48","..8.64","..8.46","..8.52","2,466,588"
06/08/2023,"..8.15","..8.32","..8.15","..8.30","3,173,539"
06/07/2023,"..8.26","..8.35","..8.15","..8.15","4,073,065"
06/06/2023,"..8.17","..8.37","..8.14","..8.26","9,207,485"
06/05/2023,"..8.36","..8.41","..8.10","..8.17","3,534,708"
06/01/2023,"..8.36","..8.47","..8.35","..8.37","1,952,593"
05/31/2023,"..8.50","..8.64","..8.33","..8.36","5,755,065"
05/30/2023,"..8.24","..8.57","..8.30","..8.50","7,404,374"
05/29/2023,"..8.25","..8.34","..8.13","..8.24","5,451,223"
05/25/2023,"..8.50","..8.60","..8.31","..8.34","4,760,819"
05/24/2023,"..8.20","..8.50","..8.21","..8.50","3,966,565"
05/23/2023,"..8.15","..8.25","..8.00","..8.20","4,386,173"
05/22/2023,"..8.26","..8.43","..8.15","..8.15","5,100,071"
05/18/2023,"..8.34","..8.44","..8.05","..8.34","5,025,675"
05/17/2023,"..8.70","..8.81","..8.25","..8.34","5,399,709"
05/16/2023,"..8.93","..8.90","..8.52","..8.70","10,059,250"
05/15/2023,"..9.19","..9.32","..8.89","..8.93","7,482,115"
05/11/2023,"..9.60","..9.69","..9.32","..9.32","6,597,982"
05/10/2023,"..9.41","..9.61","..9.27","..9.60","5,722,908"
05/09/2023,"..9.75","..9.97","..9.41","..9.41","8,163,755"
05/08/2023,"..9.09","..9.76","..9.15","..9.75","10,543,980"
05/03/2023,"..9.42","..9.62","..9.08","..9.31","9,496,345"
05/02/2023,"..9.39","..9.64","..9.35","..9.42","9,158,926"
05/01/2023,"..10.52","..10.60","..9.39","..9.39","15,332,270"
04/27/2023,"..10.18","..10.79","..10.20","..10.74","7,165,916"
04/26/2023,"..10.13","..10.28","..9.94","..10.18","2,888,228"
04/19/2023,"..9.99","..10.23","..9.90","..10.13","4,845,174"
04/18/2023,"..9.60","..10.09","..9.58","..9.99","6,343,711"
04/13/2023,"..9.39","..9.65","..9.32","..9.60","5,428,320"
04/12/2023,"..9.51","..9.60","..9.30","..9.39","3,366,721"
04/11/2023,"..9.16","..9.61","..9.23","..9.51","3,455,720"
04/10/2023,"..9.07","..9.34","..9.08","..9.16","2,348,579"
04/06/2023,"..9.19","..9.36","..9.10","..9.19","2,227,316"
04/05/2023,"..9.38","..9.44","..9.13","..9.19","2,434,833"
04/04/2023,"..9.62","..9.70","..9.33","..9.38","2,029,809"
04/03/2023,"..9.34","..10.00","..9.48","..9.62","6,583,535"
03/30/2023,"..9.38","..9.74","..8.91","..9.05","9,486,093"
03/29/2023,"..8.74","..9.85","..8.75","..9.38","7,646,065"
03/28/2023,"..8.36","..8.88","..8.16","..8.74","5,935,448"
03/27/2023,"..8.10","..8.70","..8.07","..8.36","5,857,451"
03/23/2023,"..7.23","..7.45","..7.22","..7.38","777,092"
03/22/2023,"..7.50","..7.62","..7.20","..7.23","2,774,428"
03/21/2023,"..7.23","..7.53","..7.33","..7.50","1,802,309"
03/20/2023,"..7.07","..7.39","..7.00","..7.23","4,955,599"
03/16/2023,"..7.19","..7.71","..6.75","..7.27","5,972,960"
03/15/2023,"..8.00","..8.22","..6.41","..7.19","2,824,906"
03/14/2023,"..8.15","..8.14","..7.67","..8.00","1,794,463"
03/13/2023,"..8.31","..8.44","..7.52","..8.15","3,799,802"
03/09/2023,"..8.26","..8.58","..8.22","..8.49","2,343,021"
03/08/2023,"..8.50","..8.50","..8.20","..8.26","3,261,641"
03/07/2023,"..8.61","..8.65","..8.45","..8.50","3,035,179"
03/06/2023,"..8.60","..8.74","..8.50","..8.61","2,272,393"
03/02/2023,"..8.51","..8.83","..8.57","..8.70","5,164,794"
03/01/2023,"..8.49","..8.55","..8.41","..8.51","2,613,730"
02/28/2023,"..8.47","..8.58","..8.42","..8.49","2,680,370"
02/27/2023,"..8.33","..8.50","..8.30","..8.47","3,193,235"
02/23/2023,"..8.35","..8.39","..8.17","..8.33","2,395,802"
02/22/2023,"..8.42","..8.65","..8.15","..8.35","5,356,166"
02/21/2023,"..8.34","..8.46","..8.21","..8.42","4,182,126"
02/20/2023,"..8.42","..8.51","..8.11","..8.34","3,961,389"
02/16/2023,"..8.05","..8.73","..8.07","..8.64","17,128,850"
02/15/2023,"..7.85","..8.07","..7.87","..8.05","5,107,281"
02/14/2023,"..7.77","..7.88","..7.73","..7.85","2,436,505"
02/13/2023,"..7.91","..8.07","..7.73","..7.77","5,092,014"
02/09/2023,"..7.63","..7.99","..7.60","..7.99","6,213,461"
02/08/2023,"..7.73","..7.79","..7.52","..7.63","3,714,452"
02/07/2023,"..7.67","..7.88","..7.71","..7.73","4,556,930"
02/06/2023,"..7.42","..7.71","..7.45","..7.67","4,873,194"
02/02/2023,"..7.54","..7.60","..7.33","..7.40","3,529,689"
02/01/2023,"..7.47","..7.63","..7.26","..7.54","4,204,328"
01/31/2023,"..7.40","..7.59","..7.28","..7.47","3,489,600"
