Date,Open,High,Low,Close,Volume
09/21/2023,"..2.29","..2.36","..2.15","..2.21","436,378"
09/20/2023,"..2.21","..2.37","..2.20","..2.37","399,321"
09/19/2023,"..2.15","..2.15","..2.02","..2.15","590,343"
09/18/2023,"..2.15","..2.15","..2.15","..2.15","242,323"
09/14/2023,"..2.15","..2.15","..2.15","..2.15","70,533"
09/13/2023,"..1.96","..1.96","..1.96","..1.96","241,835"
09/12/2023,"..1.78","..1.78","..1.78","..1.78","194,275"
09/11/2023,"..1.78","..1.78","..1.78","..1.62","11,849"
09/07/2023,"..1.55","..1.60","..1.53","..1.47","88,392"
09/06/2023,"..1.50","..1.61","..1.46","..1.47","45,111"
09/05/2023,"..1.47","..1.55","..1.45","..1.47","184,629"
09/04/2023,"..1.49","..1.49","..1.47","..1.49","1,230"
08/31/2023,"..1.47","..1.53","..1.47","..1.49","46,770"
08/30/2023,"..1.50","..1.50","..1.45","..1.49","26,275"
08/29/2023,"..1.50","..1.52","..1.50","..1.49","27,459"
08/28/2023,"..1.54","..1.54","..1.49","..1.49","13,745"
08/24/2023,"..1.52","..1.52","..1.47","..1.49","12,353"
08/23/2023,"..1.59","..1.60","..1.48","..1.49","24,679"
08/22/2023,"..1.45","..1.60","..1.45","..1.49","19,724"
08/21/2023,"..1.43","..1.52","..1.43","..1.49","31,759"
08/17/2023,"..1.50","..1.50","..1.43","..1.49","29,891"
08/16/2023,"..1.47","..1.50","..1.46","..1.49","17,076"
08/15/2023,"..1.45","..1.52","..1.45","..1.49","8,742"
08/14/2023,"..1.53","..1.53","..1.45","..1.49","277"
08/10/2023,"..1.51","..1.60","..1.50","..1.49","41,094"
08/09/2023,"..1.44","..1.50","..1.37","..1.49","234,449"
08/08/2023,"..1.49","..1.49","..1.36","..1.36","17,440"
08/07/2023,"..1.50","..1.50","..1.43","..1.48","218,669"
08/03/2023,"..1.41","..1.41","..1.36","..1.36","24,703"
08/02/2023,"..1.41","..1.43","..1.35","..1.36","180,840"
08/01/2023,"..1.38","..1.44","..1.37","..1.41","51,536"
07/31/2023,"..1.45","..1.48","..1.38","..1.41","111,906"
07/27/2023,"..1.49","..1.59","..1.44","..1.49","61,139"
07/26/2023,"..1.49","..1.49","..1.42","..1.49","111,643"
07/25/2023,"..1.38","..1.49","..1.36","..1.36","86,301"
07/24/2023,"..1.45","..1.48","..1.38","..1.36","32,076"
07/19/2023,"..1.36","..1.43","..1.32","..1.36","69,967"
07/18/2023,"..1.38","..1.41","..1.35","..1.36","31,272"
07/17/2023,"..1.34","..1.34","..1.34","..1.36","1,502"
07/13/2023,"..1.39","..1.40","..1.37","..1.36","35,146"
07/12/2023,"..1.34","..1.41","..1.34","..1.36","49,160"
07/11/2023,"..1.38","..1.41","..1.34","..1.36","40,219"
07/10/2023,"..1.34","..1.39","..1.33","..1.36","32,445"
07/06/2023,"..1.37","..1.43","..1.37","..1.36","18,246"
07/05/2023,"..1.40","..1.43","..1.35","..1.36","95,914"
07/04/2023,"..1.41","..1.43","..1.36","..1.36","46,865"
06/26/2023,"..1.37","..1.43","..1.35","..1.36","127,963"
06/22/2023,"..1.45","..1.47","..1.40","..1.48","83,144"
06/21/2023,"..1.38","..1.50","..1.38","..1.48","381,841"
06/20/2023,"..1.38","..1.38","..1.38","..1.38","195,816"
06/19/2023,"..1.32","..1.40","..1.22","..1.25","165,057"
06/15/2023,"..1.31","..1.42","..1.30","..1.30","102,887"
06/14/2023,"..1.30","..1.32","..1.30","..1.30","21,995"
06/13/2023,"..1.32","..1.32","..1.29","..1.30","177,355"
06/12/2023,"..1.31","..1.34","..1.31","..1.31","31,401"
06/08/2023,"..1.32","..1.37","..1.20","..1.30","210,920"
06/07/2023,"..1.34","..1.36","..1.31","..1.32","173,761"
06/06/2023,"..1.37","..1.38","..1.34","..1.37","63,251"
06/05/2023,"..1.40","..1.40","..1.35","..1.37","101,442"
06/01/2023,"..1.40","..1.43","..1.38","..1.39","71,380"
05/31/2023,"..1.37","..1.42","..1.36","..1.39","68,086"
05/30/2023,"..1.41","..1.44","..1.30","..1.39","225,606"
05/29/2023,"..1.42","..1.44","..1.41","..1.42","147,524"
05/25/2023,"..1.41","..1.45","..1.41","..1.55","53,476"
05/24/2023,"..1.42","..1.50","..1.41","..1.55","75,700"
05/23/2023,"..1.42","..1.43","..1.41","..1.55","25,085"
05/22/2023,"..1.44","..1.44","..1.41","..1.55","22,977"
05/18/2023,"..1.44","..1.44","..1.41","..1.55","50,444"
