Date,Open,High,Low,Close,Volume
09/21/2023,"..8.96","..7.17","..7.17","..8.96","5"
09/20/2023,"..8.96","..7.17","..7.17","..8.96","70"
09/19/2023,"..8.96","..7.17","..7.17","..8.96","122"
09/14/2023,"..7.17","..7.17","..7.17","..8.96","1,017"
09/13/2023,"..7.17","..7.17","..7.17","..8.96","50"
09/07/2023,"..8.96","..7.17","..7.17","..8.96","40"
09/06/2023,"..8.96","..7.17","..7.17","..8.96","357"
09/05/2023,"..8.96","..7.17","..7.17","..8.96","3,004"
09/04/2023,"..8.96","..7.17","..7.17","..8.96","21"
08/30/2023,"..8.96","..7.17","..7.17","..8.96","719"
08/29/2023,"..7.17","..7.17","..7.17","..8.96","1,779"
08/24/2023,"..8.96","..7.17","..7.17","..8.96","1,997"
08/23/2023,"..8.96","..7.17","..7.17","..8.96","611"
08/22/2023,"..8.96","..7.17","..7.17","..8.96","877"
08/17/2023,"..8.96","..7.17","..7.17","..8.96","2,500"
08/16/2023,"..8.96","..7.17","..7.17","..8.96","1,327"
08/15/2023,"..8.96","..7.17","..7.17","..8.96","1,369"
08/10/2023,"..8.96","..7.17","..7.17","..8.96","314"
08/09/2023,"..8.96","..7.17","..7.17","..8.96","9,163"
08/08/2023,"..8.96","..7.17","..7.17","..8.96","733"
08/07/2023,"..7.17","..7.17","..7.17","..8.96","303"
07/26/2023,"..8.96","..7.17","..7.17","..8.96","60"
07/25/2023,"..7.17","..7.17","..7.17","..8.96","313"
07/24/2023,"..7.17","..7.17","..7.17","..8.96","5,188"
07/19/2023,"..7.17","..7.17","..7.17","..8.96","1,652"
07/18/2023,"..7.17","..7.17","..7.17","..8.96","3,483"
07/17/2023,"..7.17","..7.17","..7.17","..8.96","1,483"
07/13/2023,"..7.17","..7.17","..7.17","..8.96","1,502"
07/12/2023,"..8.96","..7.18","..7.17","..8.96","3,401"
07/11/2023,"..8.96","..7.36","..7.18","..8.96","3,471"
07/10/2023,"..7.35","..7.37","..7.17","..8.96","1,707"
07/06/2023,"..7.19","..7.48","..7.17","..8.96","4,956"
07/05/2023,"..7.20","..7.54","..7.19","..8.96","6,046"
07/04/2023,"..7.25","..7.55","..7.19","..8.96","1,293"
06/26/2023,"..7.24","..7.74","..7.20","..8.96","1,806"
06/22/2023,"..7.80","..7.89","..7.17","..8.96","3,955"
06/21/2023,"..7.20","..7.60","..7.20","..8.96","5,799"
06/20/2023,"..8.96","..7.96","..7.19","..8.96","8,740"
06/19/2023,"..7.22","..7.38","..7.19","..8.96","8,734"
06/15/2023,"..8.96","..7.51","..7.17","..8.96","4,278"
06/14/2023,"..8.96","..7.53","..7.17","..8.96","7,168"
06/13/2023,"..8.96","..8.96","..7.18","..8.96","5,173"
06/12/2023,"..8.96","..7.48","..7.18","..8.96","2,744"
06/08/2023,"..8.96","..7.60","..7.17","..8.96","3,404"
06/07/2023,"..8.96","..7.60","..7.18","..8.96","2,435"
06/06/2023,"..8.96","..7.60","..7.18","..8.96","3,466"
06/05/2023,"..8.96","..7.60","..7.17","..8.96","1,760"
06/01/2023,"..8.96","..7.60","..7.18","..8.96","269"
05/31/2023,"..8.96","..7.77","..7.17","..8.96","752"
05/30/2023,"..8.96","..7.30","..7.17","..8.96","4,616"
05/29/2023,"..8.96","..7.50","..7.17","..8.96","4,671"
05/25/2023,"..8.96","..7.17","..7.17","..8.96","22"
05/24/2023,"..8.96","..7.17","..7.17","..8.96","1,552"
05/23/2023,"..8.96","..7.17","..7.17","..8.96","126"
05/22/2023,"..8.96","..7.17","..7.17","..8.96","2,071"
05/15/2023,"..8.96","..7.77","..7.17","..8.96","2,622"
05/11/2023,"..8.96","..7.45","..7.17","..8.96","308"
05/10/2023,"..8.96","..7.17","..7.17","..8.96","2,963"
05/09/2023,"..8.96","..7.17","..7.17","..8.96","1,577"
05/08/2023,"..8.96","..7.17","..7.17","..8.96","2,279"
05/03/2023,"..8.96","..7.17","..7.17","..8.96","1,096"
05/02/2023,"..8.96","..7.17","..7.17","..8.96","456"
05/01/2023,"..8.96","..7.17","..7.17","..8.96","1,132"
04/27/2023,"..8.96","..7.25","..7.17","..8.96","8,788"
04/26/2023,"..8.96","..7.17","..7.17","..8.96","279"
04/19/2023,"..8.96","..7.17","..7.17","..8.96","696"
04/18/2023,"..8.96","..7.17","..7.17","..8.96","548"
04/12/2023,"..8.96","..7.17","..7.17","..8.96","4"
04/11/2023,"..8.96","..7.17","..7.17","..8.96","664"
04/05/2023,"..8.96","..7.17","..7.17","..8.96","151"
04/04/2023,"..8.96","..7.17","..7.17","..8.96","110"
03/30/2023,"..8.96","..7.17","..7.17","..8.96","109"
03/29/2023,"..8.96","..7.17","..7.17","..8.96","55"
03/28/2023,"..8.96","..7.17","..7.17","..8.96","900"
03/27/2023,"..8.96","..7.17","..7.17","..8.96","1,194"
03/23/2023,"..7.17","..7.17","..7.17","..8.96","103"
03/16/2023,"..8.96","..7.17","..7.17","..8.96","2"
03/14/2023,"..8.96","..7.17","..7.17","..8.96","27"
03/13/2023,"..8.96","..7.17","..7.17","..8.96","230"
03/09/2023,"..7.17","..7.17","..7.17","..8.96","500"
03/08/2023,"..8.96","..7.17","..7.17","..8.96","250"
03/06/2023,"..8.86","..7.17","..7.17","..8.96","2,603"
03/02/2023,"..7.17","..7.20","..7.17","..8.96","2,025"
03/01/2023,"..8.96","..7.20","..7.17","..8.96","309"
02/28/2023,"..8.96","..7.17","..7.17","..8.96","1,476"
02/27/2023,"..7.17","..7.17","..7.17","..8.96","1,462"
02/23/2023,"..7.18","..7.18","..7.17","..8.96","2,922"
02/22/2023,"..7.18","..7.60","..7.18","..8.96","3,517"
02/21/2023,"..7.17","..7.17","..7.17","..8.96","350"
02/20/2023,"..7.17","..7.17","..7.17","..8.96","27"
02/16/2023,"..7.17","..7.39","..7.17","..8.96","4,640"
02/15/2023,"..7.17","..7.30","..7.17","..8.96","452"
02/14/2023,"..7.77","..7.88","..7.17","..8.96","2,375"
02/13/2023,"..7.17","..7.77","..7.17","..8.96","945"
02/09/2023,"..8.96","..7.77","..7.17","..8.96","1,149"
02/07/2023,"..8.96","..8.46","..7.17","..8.96","6,478"
02/06/2023,"..8.96","..9.80","..7.17","..8.96","4,337"
01/30/2023,"..8.96","..7.77","..7.17","..8.96","1,201"
01/25/2023,"..8.96","..7.64","..7.17","..8.96","8,856"
01/23/2023,"..8.96","..7.70","..7.17","..8.96","290"
01/19/2023,"..8.96","..7.64","..7.17","..8.96","102"
01/18/2023,"..8.96","..7.68","..7.17","..8.96","2,175"
01/17/2023,"..8.96","..7.50","..7.17","..8.96","622"
01/16/2023,"..8.96","..7.50","..7.17","..8.96","817"
01/12/2023,"..8.96","..7.50","..7.17","..8.96","168"
01/11/2023,"..8.96","..7.17","..7.17","..8.96","14"
01/10/2023,"..8.96","..7.50","..7.17","..8.96","261"
01/09/2023,"..8.96","..7.70","..7.17","..8.96","95"
01/05/2023,"..8.96","..7.78","..7.17","..8.96","1,093"
01/04/2023,"..8.96","..7.50","..7.17","..8.96","2,297"
01/03/2023,"..8.96","..7.98","..7.20","..8.96","76"
01/02/2023,"..8.96","..8.30","..7.17","..8.96","322"
12/29/2022,"..8.96","..7.59","..7.30","..8.96","1,155"
12/28/2022,"..8.96","..7.50","..7.25","..8.96","1,306"
12/26/2022,"..8.96","..7.25","..7.22","..8.96","206"
12/22/2022,"..8.96","..7.25","..7.25","..8.96","6"
12/21/2022,"..8.96","..7.30","..7.20","..8.96","1,511"
12/20/2022,"..8.96","..7.30","..7.28","..8.96","587"
12/19/2022,"..8.96","..8.00","..7.28","..8.96","629"
12/15/2022,"..8.96","..8.77","..7.31","..8.96","1,825"
12/14/2022,"..8.96","..8.00","..7.33","..8.96","2,031"
12/13/2022,"..8.96","..8.50","..7.46","..8.96","2,584"
12/12/2022,"..8.96","..8.50","..7.20","..8.96","174"
12/08/2022,"..8.96","..8.50","..7.30","..8.96","7"
12/06/2022,"..8.96","..8.50","..7.30","..8.96","82"
12/05/2022,"..8.96","..8.50","..7.25","..8.96","114"
12/01/2022,"..8.96","..7.90","..7.21","..8.96","396"
11/29/2022,"..8.96","..7.75","..7.21","..8.96","1,217"
11/28/2022,"..8.96","..7.75","..7.35","..8.96","1,056"
11/24/2022,"..8.96","..7.97","..7.30","..8.96","157"
11/22/2022,"..8.96","..7.80","..7.21","..8.96","68"
11/21/2022,"..8.96","..7.80","..7.21","..8.96","1,111"
11/17/2022,"..8.96","..7.70","..7.25","..8.96","50"
11/16/2022,"..8.96","..7.70","..7.25","..8.96","213"
11/15/2022,"..8.96","..7.69","..7.25","..8.96","446"
11/14/2022,"..8.96","..7.79","..7.20","..8.96","212"
11/10/2022,"..8.96","..7.97","..7.20","..8.96","514"
11/08/2022,"..8.96","..7.21","..7.21","..8.96","31"
11/07/2022,"..8.96","..7.98","..7.20","..8.96","109"
11/02/2022,"..8.96","..8.70","..7.25","..8.96","1,079"
11/01/2022,"..8.96","..9.50","..7.22","..8.96","1,847"
10/31/2022,"..8.96","..10.00","..7.21","..8.96","1,014"
10/27/2022,"..8.96","..7.81","..7.18","..8.96","611"
10/26/2022,"..8.96","..8.95","..8.95","..8.96","28"
10/25/2022,"..8.96","..10.00","..7.80","..8.96","1,430"
10/24/2022,"..8.96","..8.01","..7.80","..8.96","1,540"
10/20/2022,"..8.96","..10.29","..7.50","..8.96","1,906"
10/19/2022,"..8.96","..8.00","..7.32","..8.96","62"
10/18/2022,"..8.96","..7.50","..7.27","..8.96","1,011"
10/17/2022,"..8.96","..9.00","..7.25","..8.96","2,541"
10/12/2022,"..8.96","..10.00","..9.70","..8.96","69"
10/11/2022,"..8.96","..10.30","..7.26","..8.96","30"
10/03/2022,"..8.96","..10.40","..7.17","..8.96","163"
09/28/2022,"..8.96","..10.15","..7.17","..8.96","46"
