Date,Open,High,Low,Close,Volume
09/21/2023,"..4.00","..4.20","..4.08","..4.20","274,901"
09/20/2023,"..3.81","..4.00","..3.80","..4.00","528,120"
09/19/2023,"..3.71","..3.89","..3.57","..3.81","499,122"
09/18/2023,"..3.55","..3.72","..3.49","..3.71","252,971"
09/14/2023,"..3.42","..3.49","..3.32","..3.40","170,343"
09/13/2023,"..3.42","..3.50","..3.31","..3.42","79,797"
09/12/2023,"..3.48","..3.55","..3.39","..3.42","142,712"
09/11/2023,"..3.48","..3.53","..3.45","..3.48","81,441"
09/07/2023,"..3.48","..3.50","..3.40","..3.48","31,098"
09/06/2023,"..3.65","..3.68","..3.47","..3.48","155,671"
09/05/2023,"..3.65","..3.76","..3.51","..3.65","30,140"
09/04/2023,"..3.84","..3.75","..3.65","..3.65","119,202"
08/31/2023,"..3.61","..3.79","..3.79","..3.79","326,831"
08/30/2023,"..3.44","..3.61","..3.36","..3.61","298,907"
08/29/2023,"..3.44","..3.44","..3.32","..3.44","30,226"
08/28/2023,"..3.44","..3.37","..3.31","..3.44","71,991"
08/24/2023,"..3.44","..3.35","..3.27","..3.44","49,804"
08/23/2023,"..3.44","..3.34","..3.31","..3.44","19,191"
08/22/2023,"..3.44","..3.40","..3.31","..3.44","42,037"
08/21/2023,"..3.44","..3.42","..3.28","..3.44","49,213"
08/17/2023,"..3.44","..3.50","..3.39","..3.44","34,358"
08/16/2023,"..3.39","..3.50","..3.38","..3.44","96,504"
08/15/2023,"..3.39","..3.41","..3.33","..3.39","61,569"
08/14/2023,"..3.39","..3.42","..3.33","..3.39","68,994"
08/10/2023,"..3.32","..3.41","..3.32","..3.39","97,867"
08/09/2023,"..3.32","..3.35","..3.29","..3.32","7,768"
08/08/2023,"..3.32","..3.45","..3.28","..3.32","73,268"
08/07/2023,"..3.32","..3.31","..3.22","..3.32","9,964"
08/03/2023,"..3.32","..3.36","..3.17","..3.32","20,194"
08/02/2023,"..3.32","..3.27","..3.16","..3.32","44,120"
08/01/2023,"..3.32","..3.33","..3.19","..3.32","6,059"
07/31/2023,"..3.32","..3.25","..3.18","..3.32","22,316"
07/27/2023,"..3.32","..3.35","..3.23","..3.32","21,804"
07/26/2023,"..3.32","..3.32","..3.20","..3.32","27,134"
07/25/2023,"..3.32","..3.27","..3.19","..3.32","16,901"
07/24/2023,"..3.32","..3.37","..3.22","..3.32","7,775"
07/19/2023,"..3.32","..3.34","..3.18","..3.32","30,927"
07/18/2023,"..3.32","..3.35","..3.35","..3.32","1,055"
07/17/2023,"..3.32","..3.37","..3.26","..3.32","5,288"
07/13/2023,"..3.32","..3.42","..3.23","..3.32","25,597"
07/12/2023,"..3.32","..3.40","..3.23","..3.32","4,147"
07/11/2023,"..3.32","..3.40","..3.23","..3.32","20,171"
