Date,Open,High,Low,Close,Volume
09/21/2023,"..0.61","..0.62","..0.61","..0.61","3,514,622"
09/20/2023,"..0.63","..0.64","..0.61","..0.61","10,522,290"
09/19/2023,"..0.65","..0.65","..0.63","..0.63","14,257,770"
09/18/2023,"..0.62","..0.65","..0.62","..0.65","58,268,301"
09/14/2023,"..0.60","..0.61","..0.59","..0.60","8,565,925"
09/13/2023,"..0.60","..0.60","..0.59","..0.60","2,181,916"
09/12/2023,"..0.61","..0.61","..0.59","..0.60","5,252,851"
09/11/2023,"..0.61","..0.61","..0.60","..0.61","6,099,381"
09/07/2023,"..0.60","..0.61","..0.60","..0.61","5,677,434"
09/06/2023,"..0.60","..0.61","..0.60","..0.60","8,778,093"
09/05/2023,"..0.61","..0.62","..0.60","..0.60","7,386,724"
09/04/2023,"..0.61","..0.61","..0.60","..0.61","10,611,140"
08/31/2023,"..0.63","..0.63","..0.61","..0.61","29,859,699"
08/30/2023,"..0.61","..0.64","..0.61","..0.63","64,287,008"
08/29/2023,"..0.61","..0.61","..0.60","..0.61","9,323,734"
08/28/2023,"..0.61","..0.61","..0.59","..0.61","14,550,530"
08/24/2023,"..0.60","..0.61","..0.60","..0.60","17,965,430"
08/23/2023,"..0.61","..0.62","..0.59","..0.60","51,930,191"
08/22/2023,"..0.61","..0.61","..0.60","..0.61","14,435,890"
08/21/2023,"..0.61","..0.62","..0.60","..0.61","35,624,754"
08/17/2023,"..0.59","..0.60","..0.59","..0.59","13,262,490"
08/16/2023,"..0.60","..0.61","..0.59","..0.59","29,897,631"
08/15/2023,"..0.60","..0.61","..0.59","..0.60","23,789,881"
08/14/2023,"..0.60","..0.61","..0.60","..0.60","19,617,109"
08/10/2023,"..0.61","..0.62","..0.61","..0.61","9,917,131"
08/09/2023,"..0.61","..0.62","..0.60","..0.61","24,405,490"
08/08/2023,"..0.60","..0.61","..0.60","..0.61","23,775,542"
08/07/2023,"..0.61","..0.61","..0.60","..0.60","15,780,917"
08/03/2023,"..0.60","..0.60","..0.59","..0.59","5,813,240"
08/02/2023,"..0.61","..0.61","..0.59","..0.60","15,195,124"
08/01/2023,"..0.60","..0.62","..0.60","..0.61","19,178,266"
07/31/2023,"..0.61","..0.61","..0.60","..0.60","11,625,008"
07/27/2023,"..0.61","..0.63","..0.61","..0.62","25,267,340"
07/26/2023,"..0.59","..0.61","..0.59","..0.61","18,454,060"
07/25/2023,"..0.58","..0.60","..0.58","..0.59","18,173,384"
07/24/2023,"..0.58","..0.59","..0.58","..0.58","4,590,671"
07/19/2023,"..0.58","..0.60","..0.58","..0.58","17,896,822"
07/18/2023,"..0.58","..0.59","..0.58","..0.58","7,957,873"
07/17/2023,"..0.59","..0.59","..0.57","..0.58","9,438,261"
07/13/2023,"..0.58","..0.59","..0.58","..0.58","10,005,423"
07/12/2023,"..0.57","..0.59","..0.56","..0.58","11,367,542"
07/11/2023,"..0.56","..0.58","..0.56","..0.57","7,015,071"
07/10/2023,"..0.56","..0.56","..0.54","..0.56","9,559,834"
07/06/2023,"..0.59","..0.60","..0.58","..0.58","13,653,529"
07/05/2023,"..0.61","..0.62","..0.59","..0.59","10,084,852"
07/04/2023,"..0.61","..0.62","..0.61","..0.61","7,682,125"
06/26/2023,"..0.62","..0.63","..0.61","..0.61","7,472,188"
06/22/2023,"..0.58","..0.60","..0.57","..0.60","17,535,131"
06/21/2023,"..0.59","..0.59","..0.57","..0.58","8,306,678"
06/20/2023,"..0.59","..0.60","..0.58","..0.59","10,547,721"
06/19/2023,"..0.60","..0.61","..0.58","..0.59","12,273,337"
06/15/2023,"..0.60","..0.62","..0.60","..0.61","19,470,185"
06/14/2023,"..0.60","..0.61","..0.60","..0.60","14,836,854"
06/13/2023,"..0.63","..0.64","..0.60","..0.60","31,842,236"
06/12/2023,"..0.63","..0.64","..0.62","..0.63","24,163,206"
06/08/2023,"..0.61","..0.64","..0.61","..0.64","53,549,104"
06/07/2023,"..0.61","..0.63","..0.61","..0.61","34,376,658"
06/06/2023,"..0.63","..0.65","..0.61","..0.61","66,146,084"
06/05/2023,"..0.61","..0.64","..0.61","..0.63","41,859,374"
06/01/2023,"..0.58","..0.60","..0.58","..0.58","28,981,091"
05/31/2023,"..0.60","..0.61","..0.58","..0.58","53,200,889"
05/30/2023,"..0.60","..0.61","..0.59","..0.60","45,945,535"
05/29/2023,"..0.57","..0.63","..0.56","..0.60","106,241,315"
05/25/2023,"..0.56","..0.58","..0.55","..0.56","40,193,257"
05/24/2023,"..0.53","..0.57","..0.53","..0.56","75,046,848"
05/23/2023,"..0.53","..0.54","..0.52","..0.53","17,116,526"
05/22/2023,"..0.53","..0.55","..0.52","..0.53","65,155,349"
05/18/2023,"..0.53","..0.54","..0.52","..0.53","44,460,905"
05/17/2023,"..0.53","..0.55","..0.53","..0.53","105,385,619"
05/16/2023,"..0.51","..0.53","..0.49","..0.53","52,374,638"
05/15/2023,"..0.49","..0.51","..0.48","..0.51","19,630,654"
05/11/2023,"..0.49","..0.51","..0.48","..0.50","19,364,849"
05/10/2023,"..0.48","..0.49","..0.47","..0.49","14,608,236"
05/09/2023,"..0.48","..0.49","..0.47","..0.48","29,508,477"
05/08/2023,"..0.47","..0.48","..0.47","..0.48","14,043,501"
05/03/2023,"..0.48","..0.48","..0.45","..0.48","8,828,043"
05/02/2023,"..0.48","..0.49","..0.47","..0.48","18,018,669"
05/01/2023,"..0.49","..0.50","..0.48","..0.48","18,001,355"
04/27/2023,"..0.51","..0.51","..0.50","..0.50","15,569,366"
04/26/2023,"..0.49","..0.51","..0.49","..0.51","32,033,791"
04/19/2023,"..0.48","..0.49","..0.47","..0.49","14,400,781"
04/18/2023,"..0.48","..0.49","..0.48","..0.48","4,805,340"
04/13/2023,"..0.48","..0.49","..0.47","..0.48","17,692,497"
04/12/2023,"..0.50","..0.50","..0.48","..0.48","10,255,607"
04/11/2023,"..0.51","..0.52","..0.49","..0.50","28,697,665"
04/10/2023,"..0.48","..0.51","..0.48","..0.51","34,730,914"
04/06/2023,"..0.48","..0.48","..0.47","..0.48","16,492,210"
04/05/2023,"..0.48","..0.50","..0.47","..0.48","30,790,217"
04/04/2023,"..0.45","..0.48","..0.45","..0.48","38,256,819"
04/03/2023,"..0.45","..0.45","..0.45","..0.45","8,638,357"
03/30/2023,"..0.43","..0.44","..0.43","..0.43","11,428,284"
03/29/2023,"..0.44","..0.44","..0.43","..0.43","22,257,035"
