Date,Open,High,Low,Close,Volume
09/21/2023,"..7.61","..7.74","..7.54","..7.61","21,819"
09/20/2023,"..7.74","..7.79","..7.54","..7.61","74,019"
09/19/2023,"..7.79","..7.87","..7.67","..7.74","117,208"
09/18/2023,"..7.79","..7.98","..7.76","..7.79","27,750"
09/14/2023,"..8.01","..8.32","..7.90","..7.92","520,291"
09/13/2023,"..7.77","..8.08","..7.70","..8.01","204,245"
09/12/2023,"..7.74","..7.90","..7.71","..7.77","96,599"
09/11/2023,"..7.94","..8.00","..7.70","..7.74","151,689"
09/07/2023,"..7.81","..8.05","..7.57","..8.00","339,665"
09/06/2023,"..7.37","..7.95","..7.38","..7.81","1,098,757"
09/05/2023,"..7.26","..7.55","..7.16","..7.37","602,464"
09/04/2023,"..7.18","..7.35","..7.13","..7.26","546,709"
08/31/2023,"..7.54","..7.66","..7.30","..7.32","89,394"
08/30/2023,"..7.35","..7.87","..7.33","..7.54","203,415"
08/29/2023,"..7.43","..7.53","..7.28","..7.35","152,134"
08/28/2023,"..7.47","..7.70","..7.35","..7.43","91,383"
08/24/2023,"..7.10","..7.50","..7.08","..7.39","335,317"
08/23/2023,"..7.13","..7.19","..7.07","..7.10","65,404"
08/22/2023,"..7.16","..7.29","..7.10","..7.13","235,765"
08/21/2023,"..7.23","..7.34","..7.10","..7.16","251,033"
08/17/2023,"..7.11","..7.15","..7.00","..7.03","67,069"
08/16/2023,"..7.09","..7.22","..7.01","..7.11","130,655"
08/15/2023,"..7.15","..7.18","..7.02","..7.09","71,225"
08/14/2023,"..7.10","..7.19","..7.10","..7.15","64,333"
08/10/2023,"..7.12","..7.18","..7.03","..7.09","98,576"
08/09/2023,"..7.10","..7.23","..7.10","..7.12","64,076"
08/08/2023,"..7.25","..7.30","..7.08","..7.10","101,492"
08/07/2023,"..7.15","..7.45","..7.15","..7.25","128,034"
08/03/2023,"..7.00","..7.18","..6.96","..7.00","119,917"
08/02/2023,"..7.26","..7.35","..6.99","..7.00","116,361"
08/01/2023,"..7.10","..7.31","..7.10","..7.26","64,413"
07/31/2023,"..7.20","..7.35","..7.09","..7.10","133,942"
07/27/2023,"..7.17","..7.25","..7.08","..7.22","68,771"
07/26/2023,"..7.41","..7.57","..7.14","..7.17","272,211"
07/25/2023,"..7.67","..7.75","..7.35","..7.41","235,877"
07/24/2023,"..7.67","..7.88","..7.55","..7.67","35,471"
07/19/2023,"..7.71","..7.80","..7.63","..7.67","105,919"
07/18/2023,"..7.88","..7.92","..7.63","..7.71","169,111"
07/17/2023,"..8.03","..8.18","..7.82","..7.88","88,675"
07/13/2023,"..7.88","..8.10","..7.85","..7.95","71,682"
07/12/2023,"..7.88","..8.10","..7.76","..7.88","28,228"
07/11/2023,"..7.88","..7.90","..7.71","..7.88","5,270"
07/10/2023,"..7.88","..7.95","..7.56","..7.88","19,715"
07/06/2023,"..8.30","..8.28","..7.80","..7.88","38,904"
07/05/2023,"..8.30","..8.40","..7.86","..8.30","36,008"
07/04/2023,"..8.50","..8.44","..8.15","..8.30","103,753"
