Date,Open,High,Low,Close,Volume
09/21/2023,"..0.80","..0.81","..0.79","..0.80","606,815"
09/20/2023,"..0.82","..0.83","..0.79","..0.80","1,706,766"
09/19/2023,"..0.86","..0.86","..0.81","..0.82","3,093,261"
09/18/2023,"..0.82","..0.86","..0.80","..0.86","5,119,551"
09/14/2023,"..0.80","..0.82","..0.80","..0.81","999,291"
09/13/2023,"..0.80","..0.81","..0.80","..0.80","792,827"
09/12/2023,"..0.80","..0.81","..0.79","..0.80","738,733"
09/11/2023,"..0.80","..0.81","..0.80","..0.80","444,858"
09/07/2023,"..0.80","..0.81","..0.80","..0.80","561,487"
09/06/2023,"..0.81","..0.82","..0.80","..0.80","895,728"
09/05/2023,"..0.80","..0.83","..0.80","..0.81","1,498,424"
09/04/2023,"..0.82","..0.83","..0.80","..0.80","2,614,799"
08/31/2023,"..0.85","..0.86","..0.83","..0.83","1,572,263"
08/30/2023,"..0.83","..0.85","..0.83","..0.85","1,411,946"
08/29/2023,"..0.84","..0.85","..0.82","..0.83","1,462,841"
08/28/2023,"..0.84","..0.88","..0.83","..0.84","3,698,872"
08/24/2023,"..0.81","..0.81","..0.80","..0.80","1,022,563"
08/23/2023,"..0.81","..0.84","..0.80","..0.81","3,219,279"
08/22/2023,"..0.81","..0.82","..0.81","..0.81","1,310,561"
08/21/2023,"..0.83","..0.83","..0.80","..0.81","3,212,887"
08/17/2023,"..0.83","..0.84","..0.81","..0.83","1,348,612"
08/16/2023,"..0.84","..0.88","..0.83","..0.83","4,472,738"
08/15/2023,"..0.80","..0.84","..0.80","..0.84","6,295,275"
08/14/2023,"..0.76","..0.80","..0.77","..0.80","2,171,570"
08/10/2023,"..0.78","..0.82","..0.78","..0.79","1,331,543"
08/09/2023,"..0.78","..0.79","..0.78","..0.78","307,753"
08/08/2023,"..0.79","..0.80","..0.78","..0.78","901,396"
08/07/2023,"..0.79","..0.80","..0.79","..0.79","750,850"
08/03/2023,"..0.80","..0.81","..0.78","..0.79","927,094"
08/02/2023,"..0.83","..0.84","..0.80","..0.80","1,800,906"
08/01/2023,"..0.79","..0.83","..0.77","..0.83","4,106,608"
07/31/2023,"..0.79","..0.80","..0.78","..0.79","268,622"
07/27/2023,"..0.79","..0.78","..0.77","..0.78","597,022"
07/26/2023,"..0.79","..0.79","..0.76","..0.79","322,789"
07/25/2023,"..0.79","..0.81","..0.78","..0.79","336,293"
07/24/2023,"..0.78","..0.79","..0.78","..0.79","411,954"
07/19/2023,"..0.78","..0.79","..0.77","..0.78","342,961"
07/18/2023,"..0.78","..0.80","..0.78","..0.78","326,705"
07/17/2023,"..0.77","..0.79","..0.77","..0.78","390,974"
07/13/2023,"..0.78","..0.78","..0.77","..0.78","361,712"
