Date,Open,High,Low,Close,Volume
09/21/2023,"..12.75","..13.06","..12.65","..12.98","289,937"
09/20/2023,"..12.78","..13.18","..12.71","..12.75","431,108"
09/19/2023,"..12.99","..13.09","..12.72","..12.78","207,930"
09/18/2023,"..12.93","..13.09","..12.90","..12.99","129,481"
09/14/2023,"..12.70","..13.13","..12.65","..12.92","733,955"
09/13/2023,"..12.66","..12.84","..12.58","..12.70","149,003"
09/12/2023,"..12.68","..12.86","..12.62","..12.66","279,590"
09/11/2023,"..12.83","..12.97","..12.67","..12.68","217,015"
09/07/2023,"..12.57","..12.84","..12.60","..12.72","227,529"
09/06/2023,"..12.88","..13.14","..12.52","..12.57","393,101"
09/05/2023,"..13.18","..13.36","..12.84","..12.88","750,571"
09/04/2023,"..13.23","..13.40","..13.10","..13.18","434,236"
08/31/2023,"..12.88","..14.11","..12.78","..13.70","2,839,057"
08/30/2023,"..13.27","..13.51","..12.84","..12.88","711,966"
08/29/2023,"..12.84","..13.50","..12.71","..13.27","1,525,871"
08/28/2023,"..12.00","..12.84","..11.90","..12.84","922,722"
08/24/2023,"..11.93","..12.06","..11.80","..11.92","185,023"
08/23/2023,"..12.16","..12.42","..11.88","..11.93","322,055"
08/22/2023,"..12.04","..12.29","..12.00","..12.16","228,240"
08/21/2023,"..12.16","..12.30","..11.88","..12.04","482,175"
08/17/2023,"..12.20","..12.44","..12.12","..12.20","566,031"
08/16/2023,"..11.64","..12.64","..11.64","..12.20","1,387,333"
08/15/2023,"..11.70","..11.79","..11.60","..11.64","124,510"
08/14/2023,"..11.78","..11.89","..11.65","..11.70","126,930"
08/10/2023,"..11.82","..11.79","..11.60","..11.61","89,241"
08/09/2023,"..11.88","..12.00","..11.80","..11.82","147,240"
08/08/2023,"..11.92","..12.00","..11.85","..11.88","135,431"
08/07/2023,"..11.80","..12.17","..11.78","..11.92","196,408"
08/03/2023,"..11.83","..11.93","..11.70","..11.75","80,415"
08/02/2023,"..12.15","..12.20","..11.77","..11.83","103,096"
08/01/2023,"..11.53","..12.30","..11.60","..12.15","796,231"
07/31/2023,"..11.31","..11.70","..11.34","..11.53","185,046"
07/27/2023,"..11.23","..11.50","..11.21","..11.44","358,666"
07/26/2023,"..11.28","..11.36","..11.06","..11.23","231,992"
07/25/2023,"..11.44","..11.53","..11.25","..11.28","309,843"
07/24/2023,"..11.44","..11.60","..11.31","..11.44","463,120"
07/19/2023,"..11.19","..11.51","..11.28","..11.44","673,840"
07/18/2023,"..10.89","..11.27","..10.96","..11.19","708,213"
07/17/2023,"..10.69","..11.15","..10.66","..10.89","727,689"
07/13/2023,"..10.33","..10.54","..10.34","..10.40","140,469"
07/12/2023,"..10.51","..10.66","..10.30","..10.33","388,784"
07/11/2023,"..10.48","..10.70","..10.34","..10.51","258,425"
07/10/2023,"..10.12","..10.58","..9.80","..10.48","301,447"
07/06/2023,"..10.91","..11.00","..10.68","..10.70","384,854"
07/05/2023,"..10.99","..11.15","..10.85","..10.91","232,613"
07/04/2023,"..10.86","..11.28","..10.93","..10.99","611,752"
06/26/2023,"..10.93","..11.00","..10.72","..10.86","820,853"
