Date,Open,High,Low,Close,Volume
09/21/2023,"..0.29","..0.30","..0.28","..0.29","5,997,619"
09/20/2023,"..0.30","..0.30","..0.29","..0.29","3,302,692"
09/19/2023,"..0.31","..0.31","..0.30","..0.30","2,833,382"
09/18/2023,"..0.31","..0.32","..0.30","..0.31","1,603,071"
09/14/2023,"..0.31","..0.32","..0.31","..0.31","8,531,764"
09/13/2023,"..0.32","..0.33","..0.31","..0.31","4,830,907"
09/12/2023,"..0.32","..0.33","..0.32","..0.32","1,253,711"
09/11/2023,"..0.33","..0.33","..0.32","..0.32","5,927,707"
09/07/2023,"..0.34","..0.34","..0.33","..0.33","4,292,535"
09/06/2023,"..0.33","..0.34","..0.33","..0.34","17,476,949"
09/05/2023,"..0.31","..0.34","..0.32","..0.33","24,327,891"
09/04/2023,"..0.32","..0.32","..0.31","..0.31","5,578,909"
08/31/2023,"..0.30","..0.32","..0.30","..0.32","19,300,410"
08/30/2023,"..0.27","..0.30","..0.27","..0.30","20,076,750"
08/29/2023,"..0.27","..0.28","..0.27","..0.27","5,088,231"
08/28/2023,"..0.27","..0.28","..0.27","..0.27","3,250,438"
08/24/2023,"..0.29","..0.29","..0.28","..0.28","5,132,799"
08/23/2023,"..0.27","..0.30","..0.27","..0.29","22,877,221"
08/22/2023,"..0.27","..0.28","..0.27","..0.27","4,654,094"
08/21/2023,"..0.27","..0.28","..0.27","..0.27","516,599"
08/17/2023,"..0.28","..0.28","..0.27","..0.27","2,361,047"
08/16/2023,"..0.28","..0.28","..0.28","..0.28","2,046,582"
08/15/2023,"..0.28","..0.29","..0.28","..0.28","6,514,241"
08/14/2023,"..0.28","..0.28","..0.28","..0.28","1,684,579"
08/10/2023,"..0.28","..0.29","..0.28","..0.28","1,712,878"
08/09/2023,"..0.28","..0.29","..0.28","..0.28","1,945,384"
08/08/2023,"..0.28","..0.29","..0.28","..0.28","4,735,312"
08/07/2023,"..0.29","..0.29","..0.28","..0.28","5,476,304"
08/03/2023,"..0.27","..0.28","..0.27","..0.28","5,564,686"
08/02/2023,"..0.27","..0.28","..0.27","..0.27","2,668,597"
08/01/2023,"..0.27","..0.28","..0.27","..0.27","1,600,510"
07/31/2023,"..0.28","..0.28","..0.27","..0.27","2,204,757"
07/27/2023,"..0.28","..0.29","..0.28","..0.28","4,438,110"
07/26/2023,"..0.27","..0.29","..0.27","..0.28","10,183,310"
