Date,Open,High,Low,Close,Volume
09/21/2023,"..3.94","..3.97","..3.91","..3.93","137,622"
09/20/2023,"..3.97","..4.04","..3.92","..3.94","848,070"
09/19/2023,"..3.97","..4.04","..3.96","..3.97","348,482"
09/18/2023,"..3.92","..4.00","..3.92","..3.97","339,786"
09/14/2023,"..3.91","..3.95","..3.90","..3.93","251,518"
09/13/2023,"..3.89","..3.95","..3.89","..3.91","157,469"
09/12/2023,"..3.89","..3.93","..3.87","..3.89","132,942"
09/11/2023,"..3.91","..3.97","..3.88","..3.89","340,993"
09/07/2023,"..3.91","..3.95","..3.87","..3.90","346,490"
09/06/2023,"..3.94","..3.99","..3.90","..3.91","379,227"
09/05/2023,"..3.98","..4.04","..3.91","..3.94","573,069"
09/04/2023,"..3.95","..4.07","..3.95","..3.98","622,745"
08/31/2023,"..4.06","..4.10","..4.00","..4.00","823,749"
08/30/2023,"..4.02","..4.18","..4.03","..4.06","2,064,721"
08/29/2023,"..3.98","..4.11","..3.98","..4.02","1,764,263"
08/28/2023,"..4.03","..4.08","..3.96","..3.98","1,065,642"
08/24/2023,"..4.00","..4.13","..3.95","..4.09","1,134,792"
08/23/2023,"..3.95","..4.20","..3.97","..4.00","1,908,226"
08/22/2023,"..4.01","..4.08","..3.92","..3.95","488,146"
08/21/2023,"..3.85","..4.14","..3.89","..4.01","1,493,885"
08/17/2023,"..3.90","..3.94","..3.85","..3.85","243,557"
08/16/2023,"..3.95","..4.00","..3.89","..3.90","382,969"
08/15/2023,"..3.90","..3.99","..3.80","..3.95","1,107,805"
08/14/2023,"..3.94","..4.00","..3.88","..3.90","565,625"
08/10/2023,"..4.04","..4.08","..3.96","..3.98","140,082"
08/09/2023,"..3.96","..4.11","..3.95","..4.04","897,378"
08/08/2023,"..4.00","..4.10","..3.94","..3.96","670,584"
08/07/2023,"..4.21","..4.23","..3.97","..4.00","2,780,436"
08/03/2023,"..3.72","..4.05","..3.70","..4.04","2,288,871"
08/02/2023,"..3.73","..3.76","..3.70","..3.72","167,688"
08/01/2023,"..3.74","..3.79","..3.71","..3.73","90,560"
07/31/2023,"..3.74","..3.78","..3.72","..3.74","42,564"
07/27/2023,"..3.69","..3.73","..3.68","..3.70","214,843"
07/26/2023,"..3.69","..3.74","..3.68","..3.69","78,893"
07/25/2023,"..3.70","..3.73","..3.68","..3.69","159,338"
07/24/2023,"..3.73","..3.76","..3.69","..3.70","128,794"
07/19/2023,"..3.72","..3.76","..3.71","..3.73","195,846"
07/18/2023,"..3.70","..3.74","..3.69","..3.72","194,685"
07/17/2023,"..3.72","..3.76","..3.67","..3.70","300,030"
07/13/2023,"..3.72","..3.76","..3.71","..3.72","41,751"
07/12/2023,"..3.72","..3.79","..3.70","..3.72","158,679"
07/11/2023,"..3.66","..3.83","..3.70","..3.72","313,596"
07/10/2023,"..3.66","..3.75","..3.65","..3.66","67,281"
07/06/2023,"..3.89","..3.93","..3.77","..3.81","258,513"
07/05/2023,"..3.85","..3.90","..3.84","..3.89","117,212"
07/04/2023,"..3.88","..3.96","..3.83","..3.85","294,889"
06/26/2023,"..3.91","..3.97","..3.85","..3.88","156,158"
06/22/2023,"..4.00","..4.01","..3.92","..3.94","183,429"
06/21/2023,"..3.85","..4.08","..3.85","..4.00","2,499,204"
06/20/2023,"..3.84","..3.88","..3.82","..3.85","98,308"
06/19/2023,"..3.90","..3.90","..3.83","..3.84","250,334"
06/15/2023,"..3.85","..3.89","..3.83","..3.84","143,427"
06/14/2023,"..3.85","..3.90","..3.84","..3.85","217,328"
06/13/2023,"..3.88","..3.90","..3.85","..3.85","248,818"
06/12/2023,"..3.88","..3.90","..3.87","..3.88","18,907"
06/08/2023,"..3.90","..3.95","..3.82","..3.85","208,510"
06/07/2023,"..3.94","..3.99","..3.89","..3.90","482,990"
06/06/2023,"..3.92","..3.98","..3.92","..3.94","601,576"
06/05/2023,"..3.93","..3.99","..3.91","..3.92","379,620"
06/01/2023,"..3.95","..4.02","..3.90","..3.90","980,345"
05/31/2023,"..4.05","..4.14","..3.94","..3.95","775,066"
05/30/2023,"..4.11","..4.18","..4.00","..4.05","2,658,256"
05/29/2023,"..3.85","..4.15","..3.90","..4.11","5,950,038"
05/25/2023,"..3.81","..3.83","..3.74","..3.75","454,095"
05/24/2023,"..3.75","..3.83","..3.75","..3.81","427,129"
05/23/2023,"..3.79","..3.81","..3.74","..3.75","953,031"
05/22/2023,"..3.80","..3.85","..3.77","..3.79","280,348"
05/18/2023,"..3.75","..3.80","..3.68","..3.70","900,224"
05/17/2023,"..3.85","..3.89","..3.75","..3.75","473,125"
05/16/2023,"..3.90","..3.90","..3.78","..3.85","766,947"
05/15/2023,"..3.92","..3.97","..3.90","..3.90","626,954"
05/11/2023,"..3.73","..3.81","..3.75","..3.79","584,828"
05/10/2023,"..3.82","..3.82","..3.66","..3.73","642,963"
05/09/2023,"..3.80","..3.87","..3.78","..3.82","319,761"
05/08/2023,"..3.67","..3.82","..3.69","..3.80","297,384"
05/03/2023,"..3.71","..3.83","..3.69","..3.70","450,250"
05/02/2023,"..3.80","..3.85","..3.69","..3.71","497,586"
05/01/2023,"..3.88","..3.91","..3.79","..3.80","581,184"
04/27/2023,"..3.89","..3.96","..3.89","..3.94","373,591"
04/26/2023,"..3.85","..3.94","..3.85","..3.89","495,436"
04/19/2023,"..3.83","..3.88","..3.83","..3.85","347,319"
04/18/2023,"..3.91","..3.93","..3.79","..3.83","750,034"
04/13/2023,"..3.98","..4.01","..3.88","..3.91","395,094"
04/12/2023,"..4.42","..4.09","..3.92","..3.98","755,794"
04/11/2023,"..4.34","..4.44","..4.37","..4.42","1,085,890"
04/10/2023,"..4.36","..4.38","..4.31","..4.34","339,941"
04/06/2023,"..4.34","..4.37","..4.30","..4.30","384,276"
04/05/2023,"..4.26","..4.39","..4.25","..4.34","373,738"
04/04/2023,"..4.23","..4.31","..4.21","..4.26","332,033"
04/03/2023,"..4.18","..4.30","..4.19","..4.23","582,198"
03/30/2023,"..4.05","..4.10","..3.95","..4.05","60,284"
03/29/2023,"..4.01","..4.08","..4.00","..4.05","111,871"
03/28/2023,"..4.03","..4.09","..3.90","..4.01","142,729"
03/27/2023,"..4.05","..4.14","..4.02","..4.03","78,788"
03/23/2023,"..4.01","..4.07","..3.98","..4.01","60,287"
03/22/2023,"..4.04","..4.10","..4.00","..4.01","229,332"
03/21/2023,"..3.94","..4.08","..3.93","..4.04","344,246"
03/20/2023,"..3.72","..3.98","..3.72","..3.94","568,620"
03/16/2023,"..3.53","..3.76","..3.32","..3.67","172,767"
03/15/2023,"..3.90","..4.08","..3.20","..3.53","597,289"
03/14/2023,"..3.77","..3.95","..3.72","..3.90","250,878"
03/13/2023,"..4.11","..4.23","..3.73","..3.77","1,049,751"
03/09/2023,"..4.20","..4.40","..4.20","..4.36","1,097,678"
03/08/2023,"..4.13","..4.24","..4.05","..4.20","626,354"
03/07/2023,"..4.26","..4.32","..4.10","..4.13","789,287"
03/06/2023,"..4.26","..4.46","..4.20","..4.26","2,054,933"
03/02/2023,"..4.07","..4.31","..4.05","..4.28","1,779,904"
03/01/2023,"..3.96","..4.10","..3.93","..4.07","859,813"
02/28/2023,"..3.90","..4.00","..3.87","..3.96","892,070"
02/27/2023,"..3.88","..4.00","..3.81","..3.90","1,019,091"
02/23/2023,"..3.63","..3.69","..3.58","..3.65","257,738"
02/22/2023,"..3.71","..3.77","..3.61","..3.63","296,980"
02/21/2023,"..3.67","..3.73","..3.62","..3.71","195,929"
02/20/2023,"..3.73","..3.75","..3.65","..3.67","170,359"
02/16/2023,"..3.92","..3.99","..3.79","..3.80","912,513"
02/15/2023,"..3.91","..4.03","..3.87","..3.92","561,774"
02/14/2023,"..3.86","..3.98","..3.80","..3.91","538,349"
02/13/2023,"..3.74","..3.90","..3.70","..3.86","264,115"
02/09/2023,"..3.65","..3.75","..3.65","..3.74","173,370"
02/08/2023,"..3.67","..3.74","..3.63","..3.65","218,599"
02/07/2023,"..3.64","..3.74","..3.65","..3.67","273,168"
02/06/2023,"..3.67","..3.79","..3.61","..3.64","197,010"
02/02/2023,"..3.81","..3.88","..3.64","..3.68","278,904"
02/01/2023,"..3.76","..3.89","..3.73","..3.81","203,211"
01/31/2023,"..3.89","..3.97","..3.74","..3.76","394,132"
01/30/2023,"..4.02","..4.06","..3.80","..3.89","752,583"
01/25/2023,"..3.94","..4.16","..3.92","..4.12","878,754"
01/24/2023,"..3.86","..3.98","..3.70","..3.94","1,674,754"
01/23/2023,"..3.95","..3.97","..3.84","..3.86","168,752"
01/19/2023,"..3.85","..3.90","..3.81","..3.85","191,648"
01/18/2023,"..3.97","..4.00","..3.81","..3.85","578,144"
01/17/2023,"..3.98","..4.00","..3.91","..3.97","400,872"
01/16/2023,"..4.00","..4.03","..3.93","..3.98","216,781"
01/12/2023,"..4.06","..4.10","..4.01","..4.02","162,544"
01/11/2023,"..4.05","..4.20","..4.02","..4.06","334,189"
01/10/2023,"..4.19","..4.23","..4.03","..4.05","277,411"
01/09/2023,"..4.53","..4.27","..4.13","..4.19","821,950"
01/05/2023,"..4.39","..4.55","..4.37","..4.53","1,359,830"
01/04/2023,"..4.33","..4.42","..3.68","..4.39","1,165,718"
01/03/2023,"..4.43","..4.45","..4.28","..4.33","803,365"
01/02/2023,"..4.37","..4.47","..4.39","..4.43","349,846"
12/29/2022,"..4.31","..4.44","..4.32","..4.37","462,557"
12/28/2022,"..4.31","..4.38","..4.30","..4.31","188,081"
12/27/2022,"..4.26","..4.38","..4.30","..4.31","767,241"
12/26/2022,"..4.18","..4.31","..4.15","..4.26","726,178"
