Date,Open,High,Low,Close,Volume
09/21/2023,"..146.38","..147.00","..145.60","..146.86","2,073"
09/20/2023,"..146.09","..147.00","..145.80","..146.38","2,319"
09/19/2023,"..146.81","..148.00","..146.00","..146.09","2,119"
09/18/2023,"..146.81","..148.10","..146.00","..146.81","1,544"
09/14/2023,"..147.26","..147.90","..146.00","..146.59","3,478"
09/13/2023,"..154.01","..148.00","..146.03","..147.26","3,355"
09/12/2023,"..154.01","..149.50","..147.25","..154.01","156"
09/11/2023,"..154.01","..150.00","..147.20","..154.01","1,771"
09/07/2023,"..154.01","..151.00","..146.80","..154.01","1,887"
09/06/2023,"..154.01","..151.91","..147.01","..154.01","175"
09/05/2023,"..154.01","..150.00","..148.50","..154.01","203"
09/04/2023,"..154.01","..151.95","..145.56","..154.01","878"
08/31/2023,"..154.01","..153.40","..149.50","..154.01","348"
08/30/2023,"..154.01","..153.99","..149.02","..154.01","1,251"
08/29/2023,"..154.01","..154.00","..148.54","..154.01","500"
08/28/2023,"..154.01","..152.99","..148.06","..154.01","671"
08/24/2023,"..154.01","..150.01","..147.62","..154.01","649"
08/23/2023,"..154.01","..152.99","..147.02","..154.01","57"
08/22/2023,"..154.01","..151.00","..147.00","..154.01","1,798"
08/21/2023,"..154.01","..153.99","..148.03","..154.01","1,414"
08/17/2023,"..154.01","..156.98","..150.00","..154.01","445"
08/16/2023,"..145.35","..159.97","..141.50","..154.01","3,559"
08/15/2023,"..145.35","..144.79","..141.50","..145.35","621"
08/14/2023,"..145.35","..144.90","..140.30","..145.35","385"
08/10/2023,"..145.35","..145.00","..141.40","..145.35","206"
08/09/2023,"..145.35","..149.00","..141.31","..145.35","2,059"
08/08/2023,"..141.98","..151.00","..140.50","..145.35","4,628"
08/07/2023,"..151.74","..149.99","..140.00","..141.98","2,229"
08/03/2023,"..138.19","..152.00","..137.05","..151.74","19,381"
08/02/2023,"..138.19","..140.50","..139.00","..138.19","609"
08/01/2023,"..138.19","..141.69","..136.61","..138.19","1,402"
07/31/2023,"..138.19","..140.99","..137.02","..138.19","11"
07/27/2023,"..138.19","..139.00","..138.15","..138.19","119"
07/26/2023,"..138.19","..139.00","..136.17","..138.19","1,229"
07/25/2023,"..138.19","..139.00","..136.02","..138.19","700"
07/24/2023,"..138.19","..138.80","..136.01","..138.19","134"
07/19/2023,"..138.19","..139.00","..136.01","..138.19","6"
07/18/2023,"..138.19","..138.00","..135.10","..138.19","110"
07/17/2023,"..138.19","..139.00","..134.51","..138.19","273"
07/13/2023,"..138.19","..139.00","..134.17","..138.19","52"
07/12/2023,"..138.19","..139.99","..133.00","..138.19","1,614"
07/11/2023,"..138.19","..138.81","..133.00","..138.19","333"
07/10/2023,"..138.19","..138.82","..132.11","..138.19","80"
07/06/2023,"..138.19","..136.02","..136.01","..138.19","84"
07/05/2023,"..138.19","..138.83","..136.01","..138.19","53"
07/04/2023,"..138.19","..138.83","..137.00","..138.19","39"
06/26/2023,"..138.19","..138.83","..135.80","..138.19","218"
06/22/2023,"..138.19","..138.84","..135.80","..138.19","145"
06/21/2023,"..138.19","..140.80","..135.08","..138.19","102"
06/20/2023,"..138.19","..142.00","..138.00","..138.19","162"
06/19/2023,"..138.19","..143.00","..138.02","..138.19","473"
06/15/2023,"..138.19","..139.00","..138.90","..138.19","11"
06/14/2023,"..138.19","..143.38","..138.31","..138.19","87"
06/13/2023,"..138.19","..143.80","..138.30","..138.19","193"
06/12/2023,"..138.19","..143.00","..138.02","..138.19","115"
06/08/2023,"..138.19","..141.00","..138.05","..138.19","71"
