Date,Open,High,Low,Close,Volume
09/21/2023,"..16.20","..16.50","..15.52","..16.05","44,272"
09/20/2023,"..17.04","..17.25","..16.19","..16.20","343,810"
09/19/2023,"..17.42","..17.60","..17.00","..17.04","43,588"
09/18/2023,"..17.03","..17.79","..16.92","..17.42","194,789"
09/14/2023,"..15.88","..16.67","..16.00","..16.67","231,713"
09/13/2023,"..15.93","..16.09","..15.85","..15.88","35,756"
09/12/2023,"..16.02","..16.10","..15.83","..15.93","38,839"
09/11/2023,"..16.05","..16.19","..15.84","..16.02","70,013"
09/07/2023,"..16.72","..16.75","..16.30","..16.49","59,667"
09/06/2023,"..17.18","..17.18","..16.55","..16.72","47,881"
09/05/2023,"..17.00","..17.85","..16.50","..17.18","131,810"
09/04/2023,"..17.08","..17.30","..16.55","..17.00","102,553"
08/31/2023,"..16.96","..17.80","..16.86","..17.79","280,152"
08/30/2023,"..17.50","..17.60","..16.90","..16.96","89,204"
08/29/2023,"..17.04","..17.64","..16.70","..17.50","165,347"
08/28/2023,"..17.06","..17.40","..16.61","..17.04","115,796"
08/24/2023,"..16.31","..16.49","..15.66","..16.25","92,893"
08/23/2023,"..17.16","..17.45","..16.31","..16.31","166,847"
08/22/2023,"..16.80","..17.50","..16.82","..17.16","161,679"
08/21/2023,"..17.67","..18.45","..16.79","..16.80","234,204"
08/17/2023,"..16.03","..16.83","..15.90","..16.83","317,323"
08/16/2023,"..15.48","..16.25","..15.50","..16.03","144,819"
08/15/2023,"..14.75","..15.48","..14.80","..15.48","123,121"
08/14/2023,"..14.05","..14.75","..14.06","..14.75","87,969"
08/10/2023,"..14.09","..14.28","..14.04","..14.12","25,615"
08/09/2023,"..14.11","..14.30","..14.05","..14.09","32,688"
08/08/2023,"..14.38","..14.25","..14.04","..14.11","32,561"
08/07/2023,"..14.06","..14.59","..14.00","..14.38","46,729"
08/03/2023,"..14.03","..14.26","..14.00","..14.06","28,842"
08/02/2023,"..14.32","..14.69","..14.00","..14.03","90,293"
08/01/2023,"..14.07","..14.45","..13.90","..14.32","67,946"
07/31/2023,"..14.01","..14.40","..14.00","..14.07","32,622"
07/27/2023,"..14.01","..14.45","..13.75","..14.01","18,566"
07/26/2023,"..14.02","..14.38","..13.55","..14.01","82,967"
07/25/2023,"..14.75","..15.07","..14.02","..14.02","62,425"
07/24/2023,"..14.75","..15.14","..14.50","..14.75","13,788"
07/19/2023,"..14.75","..14.83","..14.50","..14.75","14,062"
07/18/2023,"..14.75","..14.95","..14.42","..14.75","16,232"
07/17/2023,"..14.96","..15.15","..14.52","..14.75","24,350"
07/13/2023,"..14.96","..15.10","..14.78","..14.96","7,464"
07/12/2023,"..15.01","..15.50","..14.75","..14.96","32,315"
07/11/2023,"..14.96","..15.36","..14.93","..15.01","60,752"
07/10/2023,"..14.48","..15.20","..14.05","..14.96","38,188"
07/06/2023,"..15.44","..15.70","..15.09","..15.16","71,031"
07/05/2023,"..15.53","..15.79","..15.40","..15.44","64,561"
07/04/2023,"..16.12","..16.00","..15.40","..15.53","58,373"
06/26/2023,"..15.63","..16.34","..15.60","..16.12","41,286"
06/22/2023,"..15.77","..15.89","..15.52","..15.68","46,066"
06/21/2023,"..15.99","..16.00","..15.71","..15.77","22,850"
06/20/2023,"..16.04","..16.39","..15.83","..15.99","37,775"
06/19/2023,"..16.27","..16.44","..16.00","..16.04","79,537"
06/15/2023,"..16.27","..16.60","..16.10","..16.16","63,654"
06/14/2023,"..15.91","..16.49","..15.66","..16.27","82,068"
06/13/2023,"..15.80","..16.12","..15.60","..15.91","38,270"
06/12/2023,"..15.80","..16.00","..15.80","..15.80","11,934"
06/08/2023,"..15.83","..16.19","..15.50","..15.80","26,885"
06/07/2023,"..16.43","..16.80","..15.62","..15.83","212,941"
06/06/2023,"..16.43","..16.87","..16.43","..16.43","26,005"
06/05/2023,"..16.76","..16.98","..16.31","..16.43","143,491"
06/01/2023,"..16.92","..17.01","..16.79","..16.92","10,068"
05/31/2023,"..17.01","..17.17","..16.78","..16.92","46,786"
05/30/2023,"..16.83","..17.10","..16.45","..17.01","50,619"
05/29/2023,"..16.92","..17.20","..16.72","..16.83","74,196"
05/25/2023,"..17.15","..17.30","..16.62","..17.15","15,695"
05/24/2023,"..16.38","..17.19","..16.43","..17.15","38,082"
05/23/2023,"..16.82","..16.99","..16.17","..16.38","30,827"
05/22/2023,"..16.76","..17.00","..16.64","..16.82","21,015"
05/18/2023,"..17.23","..17.67","..16.60","..17.23","8,162"
05/17/2023,"..17.46","..17.50","..16.95","..17.23","27,219"
05/16/2023,"..18.27","..18.00","..17.41","..17.46","31,497"
05/15/2023,"..18.27","..18.49","..17.85","..18.27","15,799"
05/11/2023,"..17.56","..18.43","..17.65","..18.27","181,757"
05/10/2023,"..17.50","..17.77","..16.92","..17.56","56,430"
05/09/2023,"..17.73","..18.17","..17.20","..17.50","116,337"
05/08/2023,"..16.89","..17.73","..16.54","..17.73","395,359"
05/03/2023,"..16.83","..17.25","..16.60","..17.17","74,838"
05/02/2023,"..17.06","..17.00","..16.23","..16.83","90,496"
05/01/2023,"..17.28","..17.30","..16.50","..17.06","203,346"
04/27/2023,"..17.48","..17.95","..17.48","..17.63","128,059"
04/26/2023,"..17.42","..17.88","..17.10","..17.48","26,521"
04/19/2023,"..17.10","..17.91","..16.87","..17.42","164,372"
04/18/2023,"..16.81","..17.31","..16.37","..17.10","81,477"
04/13/2023,"..17.14","..17.44","..16.76","..16.81","56,191"
04/12/2023,"..16.36","..17.17","..16.34","..17.14","238,161"
04/11/2023,"..15.59","..16.36","..15.60","..16.36","132,783"
04/10/2023,"..15.60","..15.98","..15.50","..15.59","37,285"
04/06/2023,"..16.61","..16.90","..15.94","..16.01","85,315"
04/05/2023,"..16.82","..17.40","..16.40","..16.61","54,006"
04/04/2023,"..16.08","..16.88","..16.50","..16.82","84,622"
04/03/2023,"..15.48","..16.25","..15.62","..16.08","125,246"
03/30/2023,"..15.70","..15.94","..15.27","..15.48","77,382"
03/29/2023,"..15.71","..16.00","..15.55","..15.70","36,198"
03/28/2023,"..16.26","..15.88","..15.45","..15.71","102,406"
03/27/2023,"..17.11","..16.90","..16.26","..16.26","179,565"
03/23/2023,"..15.76","..16.54","..15.26","..16.52","237,481"
03/22/2023,"..15.01","..15.76","..15.04","..15.76","218,952"
03/21/2023,"..15.08","..15.41","..14.91","..15.01","45,366"
03/20/2023,"..14.68","..15.41","..14.53","..15.08","95,848"
03/16/2023,"..14.51","..14.77","..13.79","..14.51","124,287"
03/15/2023,"..15.26","..15.75","..14.50","..14.51","137,790"
03/14/2023,"..15.44","..15.79","..15.00","..15.26","125,254"
03/13/2023,"..16.25","..16.23","..15.44","..15.44","153,519"
03/09/2023,"..16.42","..16.80","..16.25","..16.59","43,371"
03/08/2023,"..16.74","..16.98","..16.22","..16.42","53,044"
03/07/2023,"..17.03","..17.62","..16.70","..16.74","90,594"
03/02/2023,"..17.31","..17.54","..16.81","..16.92","156,766"
03/01/2023,"..17.02","..17.70","..17.05","..17.31","206,276"
02/28/2023,"..17.21","..17.59","..17.00","..17.02","170,422"
02/27/2023,"..17.01","..17.50","..16.90","..17.21","106,937"
02/23/2023,"..17.37","..17.67","..16.73","..17.08","80,451"
02/22/2023,"..17.89","..17.94","..17.30","..17.37","140,500"
02/21/2023,"..17.10","..17.92","..16.70","..17.89","246,631"
02/20/2023,"..17.46","..17.88","..16.90","..17.10","151,595"
02/16/2023,"..17.01","..17.65","..17.00","..17.36","229,491"
02/15/2023,"..17.10","..17.15","..16.55","..17.01","127,332"
02/14/2023,"..18.00","..18.38","..17.10","..17.10","720,600"
02/13/2023,"..18.29","..19.00","..17.89","..18.00","320,165"
02/09/2023,"..17.93","..18.82","..17.45","..18.46","541,950"
02/08/2023,"..18.34","..18.95","..17.70","..17.93","213,730"
02/07/2023,"..17.47","..18.34","..17.49","..18.34","329,401"
02/06/2023,"..16.74","..17.57","..16.37","..17.47","388,936"
02/02/2023,"..16.09","..16.89","..15.55","..16.89","1,126,073"
02/01/2023,"..16.82","..16.96","..15.98","..16.09","798,611"
01/31/2023,"..17.40","..18.20","..16.53","..16.82","330,214"
01/30/2023,"..17.00","..17.85","..16.40","..17.40","455,849"
01/25/2023,"..17.49","..18.00","..17.45","..17.82","101,592"
01/24/2023,"..16.96","..17.80","..16.51","..17.49","414,630"
01/23/2023,"..17.79","..18.02","..16.91","..16.96","242,279"
01/19/2023,"..16.47","..17.29","..16.90","..17.18","269,486"
01/18/2023,"..15.69","..16.47","..15.44","..16.47","338,601"
01/17/2023,"..14.95","..15.69","..14.40","..15.69","513,528"
01/16/2023,"..14.61","..15.34","..13.89","..14.95","314,940"
01/12/2023,"..15.48","..15.84","..14.71","..14.93","418,592"
01/11/2023,"..16.29","..16.50","..15.48","..15.48","275,671"
01/10/2023,"..17.13","..17.29","..16.28","..16.29","230,873"
01/09/2023,"..17.97","..18.00","..17.08","..17.13","346,313"
01/05/2023,"..18.49","..18.60","..17.80","..17.97","184,093"
01/04/2023,"..18.81","..19.15","..17.87","..18.49","205,560"
01/03/2023,"..17.92","..18.81","..17.80","..18.81","322,912"
01/02/2023,"..17.62","..18.18","..17.70","..17.92","109,111"
12/29/2022,"..17.80","..17.89","..17.57","..17.62","92,544"
12/28/2022,"..17.87","..18.18","..17.50","..17.80","129,783"
12/27/2022,"..17.96","..18.69","..17.75","..17.87","226,918"
12/26/2022,"..17.99","..18.36","..17.50","..17.96","164,370"
12/22/2022,"..18.95","..19.30","..18.50","..18.83","56,385"
12/21/2022,"..19.64","..19.88","..18.68","..18.95","132,495"
12/20/2022,"..19.06","..20.01","..18.73","..19.64","218,178"
12/19/2022,"..19.39","..19.67","..18.55","..19.06","181,807"
12/15/2022,"..21.48","..22.00","..20.41","..20.41","347,011"
12/14/2022,"..20.60","..21.60","..20.03","..21.48","349,978"
12/13/2022,"..19.62","..20.60","..20.20","..20.60","183,973"
12/12/2022,"..18.69","..19.62","..19.06","..19.62","382,787"
12/08/2022,"..16.96","..17.80","..17.18","..17.80","409,610"
12/07/2022,"..16.42","..17.24","..16.50","..16.96","455,146"
12/06/2022,"..17.28","..17.50","..16.42","..16.42","254,902"
12/05/2022,"..16.57","..17.39","..16.16","..17.28","437,604"
12/01/2022,"..18.32","..18.88","..17.41","..17.41","698,559"
11/30/2022,"..19.28","..19.28","..18.32","..18.32","316,404"
