Date,Open,High,Low,Close,Volume
09/20/2023,"..1.02","..1.08","..1.00","..1.03","152,121"
09/19/2023,"..1.05","..1.05","..1.00","..1.02","125,070"
09/18/2023,"..1.00","..1.03","..1.00","..1.02","128,168"
09/13/2023,"..1.00","..1.00","..1.00","..1.02","1,500"
09/12/2023,"..0.96","..0.96","..0.96","..1.02","61"
09/07/2023,"..0.99","..1.01","..0.99","..1.02","1,681"
09/05/2023,"..1.05","..1.05","..1.05","..1.02","20,000"
09/04/2023,"..1.00","..1.00","..1.00","..1.02","16,000"
08/30/2023,"..0.95","..1.03","..0.95","..1.02","26,583"
08/29/2023,"..0.95","..0.95","..0.95","..1.02","370"
08/24/2023,"..1.10","..1.12","..1.06","..1.02","49,009"
08/23/2023,"..0.93","..1.12","..0.93","..1.02","1,500"
08/22/2023,"..1.00","..1.01","..1.00","..1.02","548"
08/16/2023,"..1.02","..1.13","..1.02","..1.02","40,182"
08/15/2023,"..1.13","..1.13","..1.13","..1.02","61,410"
08/14/2023,"..1.13","..1.13","..1.12","..1.02","87,033"
08/10/2023,"..0.99","..1.06","..0.99","..1.02","174,943"
08/09/2023,"..0.97","..0.97","..0.97","..0.97","165,400"
08/08/2023,"..0.97","..0.97","..0.90","..0.88","6,920"
08/07/2023,"..0.88","..0.97","..0.88","..0.88","15,764"
08/03/2023,"..0.95","..0.95","..0.89","..0.88","1,175"
08/02/2023,"..0.97","..0.97","..0.90","..0.88","87,012"
08/01/2023,"..0.80","..0.97","..0.80","..0.88","5,260"
07/31/2023,"..0.90","..0.96","..0.87","..0.88","25,510"
07/26/2023,"..0.90","..0.90","..0.88","..0.88","57,000"
07/24/2023,"..0.88","..0.88","..0.88","..0.88","105,000"
07/19/2023,"..0.89","..0.89","..0.88","..0.88","9,800"
07/18/2023,"..0.92","..0.92","..0.92","..0.88","3,000"
07/13/2023,"..0.88","..0.88","..0.88","..0.88","18,000"
07/12/2023,"..0.90","..0.90","..0.90","..0.88","13,050"
07/11/2023,"..0.88","..0.88","..0.88","..0.88","15,103"
07/05/2023,"..0.90","..0.90","..0.90","..0.88","4,791"
06/26/2023,"..0.90","..0.90","..0.90","..0.88","15,000"
06/22/2023,"..0.90","..0.90","..0.90","..0.88","27,550"
06/20/2023,"..0.90","..0.90","..0.90","..0.88","15,000"
06/19/2023,"..0.88","..0.88","..0.88","..0.88","25,000"
06/15/2023,"..0.88","..0.94","..0.88","..0.88","32,506"
06/13/2023,"..0.88","..0.88","..0.88","..0.88","72,500"
06/12/2023,"..0.91","..0.91","..0.91","..0.88","600"
06/08/2023,"..0.90","..0.90","..0.88","..0.88","38,850"
06/07/2023,"..0.89","..0.97","..0.88","..0.88","66,565"
06/06/2023,"..0.97","..0.97","..0.88","..0.88","4,661"
06/05/2023,"..0.88","..0.88","..0.88","..0.88","180,957"
06/01/2023,"..0.88","..0.88","..0.88","..0.80","50"
05/31/2023,"..0.88","..0.88","..0.88","..0.80","124,500"
05/30/2023,"..0.81","..0.88","..0.81","..0.80","123,928"
05/29/2023,"..0.80","..0.80","..0.80","..0.80","88,000"
05/25/2023,"..0.80","..0.80","..0.80","..0.80","101,115"
05/23/2023,"..0.80","..0.81","..0.80","..0.80","44,500"
05/22/2023,"..0.81","..0.81","..0.81","..0.80","10,000"
05/18/2023,"..0.80","..0.80","..0.80","..0.80","1,000"
05/17/2023,"..0.80","..0.80","..0.80","..0.80","60,000"
05/16/2023,"..0.80","..0.80","..0.80","..0.80","13,500"
05/15/2023,"..0.80","..0.81","..0.80","..0.80","158,980"
05/10/2023,"..0.81","..0.83","..0.81","..0.80","20,124"
05/09/2023,"..0.80","..0.80","..0.80","..0.80","50,000"
05/08/2023,"..0.80","..0.81","..0.80","..0.80","27,025"
05/03/2023,"..0.80","..0.80","..0.80","..0.80","50,500"
05/02/2023,"..0.77","..0.80","..0.76","..0.80","19,770"
05/01/2023,"..0.80","..0.80","..0.80","..0.80","4,610"
04/27/2023,"..0.75","..0.80","..0.75","..0.73","135,660"
04/26/2023,"..0.70","..0.80","..0.70","..0.73","61,516"
04/19/2023,"..0.70","..0.75","..0.70","..0.73","30,011"
04/18/2023,"..0.74","..0.75","..0.74","..0.73","14,474"
04/13/2023,"..0.79","..0.79","..0.70","..0.73","17,803"
04/12/2023,"..0.72","..0.72","..0.72","..0.73","26,005"
04/11/2023,"..0.72","..0.72","..0.70","..0.73","38,000"
04/10/2023,"..0.74","..0.78","..0.72","..0.73","29,819"
04/06/2023,"..0.72","..0.73","..0.72","..0.66","17,000"
04/05/2023,"..0.72","..0.73","..0.67","..0.66","110,391"
04/04/2023,"..0.70","..0.72","..0.70","..0.66","16,100"
04/03/2023,"..0.70","..0.70","..0.70","..0.66","27,860"
03/30/2023,"..0.70","..0.72","..0.69","..0.66","60,940"
03/29/2023,"..0.70","..0.70","..0.66","..0.66","86,173"
03/27/2023,"..0.69","..0.70","..0.69","..0.66","5,946"
03/22/2023,"..0.67","..0.69","..0.67","..0.66","45,000"
03/21/2023,"..0.67","..0.69","..0.67","..0.66","97,153"
03/20/2023,"..0.66","..0.70","..0.66","..0.66","10,149"
03/16/2023,"..0.67","..0.70","..0.67","..0.68","78,280"
03/15/2023,"..0.69","..0.70","..0.66","..0.68","116,060"
03/14/2023,"..0.66","..0.68","..0.66","..0.68","23,300"
03/13/2023,"..0.69","..0.70","..0.66","..0.68","565,944"
03/09/2023,"..0.70","..0.70","..0.70","..0.70","364,845"
03/08/2023,"..0.69","..0.73","..0.68","..0.72","96,575"
03/07/2023,"..0.72","..0.73","..0.69","..0.72","298,916"
03/06/2023,"..0.69","..0.71","..0.69","..0.72","139,582"
03/02/2023,"..0.70","..0.71","..0.66","..0.67","214,906"
03/01/2023,"..0.70","..0.71","..0.68","..0.67","8,716"
02/28/2023,"..0.68","..0.70","..0.66","..0.67","218,512"
02/27/2023,"..0.67","..0.70","..0.66","..0.67","77,572"
02/23/2023,"..0.68","..0.68","..0.68","..0.70","119,250"
02/22/2023,"..0.68","..0.70","..0.67","..0.70","299,333"
02/21/2023,"..0.68","..0.70","..0.68","..0.72","150,005"
02/20/2023,"..0.69","..0.69","..0.68","..0.72","105,000"
02/16/2023,"..0.71","..0.73","..0.70","..0.72","169,651"
02/15/2023,"..0.68","..0.71","..0.68","..0.72","97,017"
02/14/2023,"..0.69","..0.69","..0.67","..0.72","118,611"
02/13/2023,"..0.67","..0.67","..0.67","..0.72","42,751"
02/09/2023,"..0.67","..0.72","..0.67","..0.72","39,575"
02/08/2023,"..0.68","..0.69","..0.66","..0.72","222,678"
02/07/2023,"..0.67","..0.70","..0.67","..0.72","91,994"
02/06/2023,"..0.71","..0.71","..0.65","..0.72","93,013"
02/02/2023,"..0.66","..0.72","..0.66","..0.72","116,296"
02/01/2023,"..0.75","..0.75","..0.65","..0.72","83,651"
01/31/2023,"..0.68","..0.73","..0.67","..0.72","537,988"
01/30/2023,"..0.71","..0.71","..0.64","..0.67","393,536"
01/25/2023,"..0.73","..0.73","..0.69","..0.71","2,123"
01/24/2023,"..0.71","..0.71","..0.67","..0.71","118,651"
01/23/2023,"..0.74","..0.74","..0.70","..0.71","44,640"
01/19/2023,"..0.71","..0.80","..0.69","..0.71","605,706"
01/18/2023,"..0.70","..0.73","..0.68","..0.73","756,759"
01/17/2023,"..0.66","..0.68","..0.66","..0.66","386,446"
01/16/2023,"..0.66","..0.70","..0.66","..0.73","106,711"
01/12/2023,"..0.70","..0.70","..0.67","..0.73","54,394"
01/11/2023,"..0.71","..0.74","..0.67","..0.73","78,572"
01/10/2023,"..0.75","..0.75","..0.68","..0.73","70,953"
01/09/2023,"..0.78","..0.78","..0.69","..0.73","230,191"
01/05/2023,"..0.77","..0.79","..0.75","..0.75","1,033,680"
01/04/2023,"..0.81","..0.83","..0.74","..0.79","313,693"
01/03/2023,"..0.82","..0.90","..0.77","..0.81","429,349"
01/02/2023,"..0.76","..0.87","..0.76","..0.82","325,587"
12/29/2022,"..0.82","..0.82","..0.76","..0.82","134,206"
12/28/2022,"..0.70","..0.82","..0.68","..0.82","309,990"
12/27/2022,"..0.80","..0.80","..0.78","..0.81","48,997"
12/26/2022,"..0.88","..0.88","..0.77","..0.81","337,087"
12/22/2022,"..0.97","..0.99","..0.91","..0.95","2,931,067"
12/21/2022,"..0.81","..0.90","..0.81","..0.90","746,339"
12/20/2022,"..0.82","..0.82","..0.82","..0.82","553,895"
12/19/2022,"..0.82","..0.91","..0.82","..0.91","9,022"
12/15/2022,"..0.91","..0.91","..0.91","..0.91","651,034"
12/14/2022,"..1.01","..1.01","..1.01","..1.01","3,942,024"
12/13/2022,"..1.12","..1.12","..1.12","..1.12","187,100"
12/12/2022,"..1.12","..1.12","..1.12","..1.25","15,000"
12/05/2022,"..1.12","..1.12","..1.12","..1.25","110"
11/30/2022,"..1.12","..1.12","..1.12","..1.25","29,390"
