Date,Open,High,Low,Close,Volume
09/21/2023,"..0.14","..0.14","..0.13","..0.13","3,970,374"
09/20/2023,"..0.13","..0.13","..0.13","..0.13","8,078,772"
09/19/2023,"..0.13","..0.13","..0.13","..0.13","11,588,197"
09/18/2023,"..0.12","..0.13","..0.12","..0.13","4,677,590"
09/14/2023,"..0.12","..0.13","..0.12","..0.12","1,303,668"
09/13/2023,"..0.12","..0.13","..0.12","..0.12","2,093,955"
09/12/2023,"..0.12","..0.12","..0.12","..0.12","1,520,043"
09/11/2023,"..0.12","..0.12","..0.12","..0.12","2,087,705"
09/07/2023,"..0.12","..0.12","..0.12","..0.12","347,065"
09/06/2023,"..0.13","..0.13","..0.12","..0.12","2,133,591"
09/05/2023,"..0.12","..0.13","..0.12","..0.12","638,267"
09/04/2023,"..0.13","..0.13","..0.12","..0.12","932,593"
08/31/2023,"..0.12","..0.13","..0.12","..0.12","581,181"
08/30/2023,"..0.13","..0.13","..0.12","..0.12","1,739,887"
08/29/2023,"..0.13","..0.13","..0.12","..0.12","2,076,800"
08/28/2023,"..0.13","..0.13","..0.12","..0.13","8,470,277"
08/24/2023,"..0.13","..0.13","..0.12","..0.13","1,921,472"
08/23/2023,"..0.13","..0.13","..0.13","..0.13","3,569,473"
08/22/2023,"..0.13","..0.13","..0.12","..0.12","2,590,497"
08/21/2023,"..0.12","..0.13","..0.12","..0.13","1,995,030"
08/17/2023,"..0.13","..0.13","..0.12","..0.13","3,179,341"
08/16/2023,"..0.13","..0.13","..0.13","..0.13","2,391,392"
08/15/2023,"..0.13","..0.13","..0.13","..0.13","2,160,208"
08/14/2023,"..0.13","..0.13","..0.13","..0.13","2,071,211"
08/10/2023,"..0.13","..0.13","..0.13","..0.13","7,673,401"
08/09/2023,"..0.13","..0.13","..0.13","..0.13","2,645,228"
08/08/2023,"..0.13","..0.13","..0.13","..0.13","2,521,204"
08/07/2023,"..0.13","..0.13","..0.12","..0.13","4,697,487"
08/03/2023,"..0.13","..0.13","..0.13","..0.13","1,626,898"
08/02/2023,"..0.13","..0.13","..0.13","..0.13","4,711,947"
08/01/2023,"..0.13","..0.14","..0.13","..0.13","12,600,263"
07/31/2023,"..0.13","..0.13","..0.13","..0.13","3,741,498"
07/27/2023,"..0.13","..0.13","..0.12","..0.12","4,575,867"
07/26/2023,"..0.13","..0.13","..0.12","..0.13","7,322,097"
07/25/2023,"..0.13","..0.13","..0.12","..0.13","2,356,571"
07/24/2023,"..0.13","..0.13","..0.12","..0.12","16,205,607"
07/19/2023,"..0.13","..0.13","..0.13","..0.13","6,526,875"
07/18/2023,"..0.13","..0.13","..0.12","..0.13","9,514,207"
07/17/2023,"..0.12","..0.13","..0.12","..0.12","4,724,509"
07/13/2023,"..0.13","..0.13","..0.12","..0.12","11,405,657"
07/12/2023,"..0.13","..0.13","..0.12","..0.12","8,579,346"
07/11/2023,"..0.13","..0.13","..0.13","..0.13","18,531,451"
07/10/2023,"..0.13","..0.13","..0.12","..0.13","9,812,126"
07/06/2023,"..0.13","..0.14","..0.13","..0.13","30,941,893"
07/05/2023,"..0.13","..0.14","..0.13","..0.13","21,667,393"
07/04/2023,"..0.12","..0.13","..0.12","..0.13","23,696,855"
06/26/2023,"..0.12","..0.12","..0.12","..0.12","3,983,020"
06/22/2023,"..0.12","..0.12","..0.12","..0.12","5,727,777"
06/21/2023,"..0.12","..0.13","..0.12","..0.12","7,183,638"
06/20/2023,"..0.12","..0.12","..0.12","..0.12","6,870,823"
06/19/2023,"..0.12","..0.13","..0.12","..0.12","13,597,006"
06/15/2023,"..0.12","..0.13","..0.12","..0.12","14,738,833"
06/14/2023,"..0.13","..0.13","..0.12","..0.12","16,476,857"
06/13/2023,"..0.12","..0.13","..0.12","..0.13","39,555,227"
06/12/2023,"..0.12","..0.12","..0.12","..0.12","1,072,976"
06/08/2023,"..0.12","..0.12","..0.12","..0.12","11,514,408"
06/07/2023,"..0.12","..0.12","..0.11","..0.12","4,189,392"
06/06/2023,"..0.12","..0.12","..0.12","..0.12","6,006,389"
06/05/2023,"..0.12","..0.12","..0.12","..0.12","5,375,225"
06/01/2023,"..0.10","..0.12","..0.10","..0.11","7,007,082"
05/31/2023,"..0.11","..0.11","..0.10","..0.11","2,174,030"
05/30/2023,"..0.11","..0.11","..0.11","..0.11","5,023,581"
05/29/2023,"..0.11","..0.12","..0.11","..0.11","13,107,711"
05/25/2023,"..0.10","..0.10","..0.10","..0.10","4,313,411"
05/24/2023,"..0.10","..0.11","..0.10","..0.10","4,318,718"
05/23/2023,"..0.10","..0.11","..0.10","..0.11","5,867,418"
05/22/2023,"..0.10","..0.11","..0.10","..0.10","6,017,378"
05/18/2023,"..0.09","..0.10","..0.09","..0.10","5,413,803"
05/17/2023,"..0.09","..0.09","..0.09","..0.09","713,322"
05/16/2023,"..0.09","..0.09","..0.09","..0.09","1,835,927"
05/15/2023,"..0.09","..0.09","..0.09","..0.09","1,023,300"
05/11/2023,"..0.09","..0.09","..0.09","..0.09","2,845,578"
05/10/2023,"..0.09","..0.09","..0.09","..0.09","880,824"
05/09/2023,"..0.09","..0.09","..0.09","..0.09","987,006"
05/08/2023,"..0.09","..0.09","..0.09","..0.09","2,014,998"
05/03/2023,"..0.09","..0.09","..0.09","..0.09","267,951"
