Date,Open,High,Low,Close,Volume
09/21/2023,"..16.66","..16.84","..16.30","..16.58","426,867"
09/20/2023,"..17.10","..17.20","..16.61","..16.66","796,239"
09/19/2023,"..17.18","..17.29","..17.09","..17.10","533,796"
09/18/2023,"..17.29","..17.36","..17.14","..17.18","694,679"
09/14/2023,"..17.30","..17.39","..17.26","..17.29","482,007"
09/13/2023,"..17.34","..17.47","..17.28","..17.30","529,807"
09/12/2023,"..17.34","..17.44","..17.33","..17.34","304,357"
09/11/2023,"..17.42","..17.50","..17.31","..17.34","357,519"
09/07/2023,"..17.31","..17.40","..17.29","..17.32","343,228"
09/06/2023,"..17.43","..17.60","..17.30","..17.31","902,374"
09/05/2023,"..17.35","..17.57","..17.25","..17.43","727,611"
09/04/2023,"..17.67","..17.77","..17.30","..17.35","542,155"
08/31/2023,"..17.40","..17.99","..17.35","..17.77","677,010"
08/30/2023,"..17.39","..17.48","..17.32","..17.40","379,540"
08/29/2023,"..17.43","..17.60","..17.30","..17.39","417,407"
08/28/2023,"..17.67","..17.90","..17.40","..17.43","640,157"
08/24/2023,"..17.65","..17.74","..17.38","..17.45","371,878"
08/23/2023,"..17.97","..18.03","..17.64","..17.65","683,757"
08/22/2023,"..18.13","..18.22","..17.94","..17.97","602,738"
08/21/2023,"..19.37","..18.60","..18.04","..18.13","1,139,163"
08/17/2023,"..19.44","..19.86","..19.51","..19.60","677,804"
08/16/2023,"..19.25","..19.69","..19.32","..19.44","506,939"
08/15/2023,"..19.33","..19.49","..19.25","..19.25","391,146"
08/14/2023,"..19.25","..19.57","..19.30","..19.33","545,350"
08/10/2023,"..19.60","..19.71","..19.22","..19.28","678,853"
08/09/2023,"..19.69","..19.83","..19.50","..19.60","500,979"
08/08/2023,"..19.75","..19.90","..19.50","..19.69","580,559"
08/07/2023,"..19.55","..19.93","..19.63","..19.75","579,673"
08/03/2023,"..18.61","..18.90","..18.60","..18.81","119,721"
08/02/2023,"..18.89","..19.15","..18.60","..18.61","336,884"
08/01/2023,"..18.90","..19.30","..18.86","..18.89","357,122"
07/31/2023,"..19.22","..19.40","..18.80","..18.90","379,013"
07/27/2023,"..18.90","..18.95","..18.55","..18.69","233,816"
07/26/2023,"..18.43","..18.95","..18.31","..18.90","368,469"
07/25/2023,"..18.88","..18.99","..18.37","..18.43","518,081"
07/24/2023,"..19.15","..19.30","..18.85","..18.88","175,566"
07/19/2023,"..19.11","..19.39","..19.13","..19.15","409,145"
07/18/2023,"..18.71","..19.35","..18.74","..19.11","1,174,167"
07/17/2023,"..18.61","..18.86","..18.51","..18.71","327,819"
07/13/2023,"..18.49","..18.75","..18.35","..18.66","639,425"
07/12/2023,"..18.44","..18.80","..18.40","..18.49","447,717"
07/11/2023,"..18.83","..19.00","..18.31","..18.44","433,965"
07/10/2023,"..17.64","..18.90","..17.66","..18.83","529,329"
07/06/2023,"..20.35","..20.49","..19.68","..19.69","838,136"
07/05/2023,"..21.10","..21.19","..20.30","..20.35","645,709"
07/04/2023,"..21.40","..21.80","..21.05","..21.10","461,620"
06/26/2023,"..21.26","..21.47","..21.20","..21.40","496,924"
06/22/2023,"..21.33","..21.38","..20.91","..21.18","322,771"
06/21/2023,"..21.78","..21.90","..21.04","..21.33","506,747"
06/20/2023,"..22.28","..22.65","..21.61","..21.78","1,010,149"
06/19/2023,"..21.77","..22.67","..21.78","..22.28","1,912,374"
06/15/2023,"..20.33","..20.49","..20.12","..20.41","348,197"
06/14/2023,"..20.40","..20.84","..20.20","..20.33","882,626"
06/13/2023,"..20.90","..21.00","..20.36","..20.40","674,567"
06/12/2023,"..20.80","..21.10","..20.77","..20.90","317,604"
06/08/2023,"..20.12","..20.65","..19.95","..20.20","1,086,281"
06/07/2023,"..21.04","..21.18","..20.10","..20.12","1,108,102"
06/06/2023,"..21.40","..21.81","..21.01","..21.04","723,091"
06/05/2023,"..22.58","..22.80","..21.25","..21.40","1,026,456"
06/01/2023,"..22.82","..23.34","..22.87","..22.90","1,109,480"
05/31/2023,"..22.41","..23.45","..22.60","..22.82","2,218,013"
05/30/2023,"..22.64","..23.13","..22.25","..22.41","1,343,255"
05/29/2023,"..29.96","..24.10","..22.55","..22.64","3,289,414"
05/25/2023,"..29.30","..29.51","..29.00","..29.33","2,546,771"
05/24/2023,"..28.50","..29.30","..28.25","..29.30","1,253,192"
05/23/2023,"..27.91","..28.90","..27.80","..28.50","989,265"
05/22/2023,"..28.80","..29.09","..27.80","..27.91","1,893,305"
