Date,Open,High,Low,Close,Volume
09/21/2023,"..32.66","..33.24","..32.50","..32.60","18,100"
09/20/2023,"..33.16","..33.59","..32.53","..32.66","63,556"
09/19/2023,"..32.92","..33.98","..32.94","..33.16","86,230"
09/18/2023,"..33.25","..33.79","..32.85","..32.92","50,908"
09/14/2023,"..33.60","..35.20","..33.80","..33.94","85,134"
09/13/2023,"..33.04","..34.00","..32.53","..33.60","16,814"
09/12/2023,"..33.17","..33.78","..32.79","..33.04","21,402"
09/11/2023,"..33.90","..34.50","..33.10","..33.17","21,717"
09/07/2023,"..34.09","..34.68","..33.77","..33.95","31,599"
09/06/2023,"..35.50","..35.70","..33.65","..34.09","53,177"
09/05/2023,"..35.11","..36.80","..35.25","..35.50","233,713"
09/04/2023,"..33.68","..35.55","..33.12","..35.11","229,214"
08/31/2023,"..31.21","..33.40","..31.10","..32.09","207,386"
08/30/2023,"..31.23","..31.80","..31.12","..31.21","18,043"
08/29/2023,"..31.12","..32.80","..30.91","..31.23","92,061"
08/28/2023,"..30.97","..31.55","..30.95","..31.12","32,427"
08/24/2023,"..31.87","..32.40","..30.91","..31.06","70,510"
08/23/2023,"..31.04","..33.14","..30.82","..31.87","186,724"
08/22/2023,"..30.89","..31.35","..30.80","..31.04","23,462"
08/21/2023,"..31.39","..31.77","..30.60","..30.89","21,975"
08/17/2023,"..30.82","..31.84","..30.50","..31.39","56,738"
08/16/2023,"..31.07","..31.39","..30.52","..30.82","24,344"
08/15/2023,"..31.47","..31.65","..30.80","..31.07","24,894"
08/14/2023,"..31.35","..32.00","..31.22","..31.47","42,028"
08/10/2023,"..31.42","..31.00","..30.15","..30.81","23,219"
08/09/2023,"..31.42","..30.97","..30.56","..31.42","7,249"
08/08/2023,"..31.42","..31.42","..30.61","..31.42","9,732"
08/07/2023,"..31.42","..31.50","..30.73","..31.42","7,813"
08/03/2023,"..30.62","..31.00","..30.48","..30.86","21,078"
08/02/2023,"..31.67","..31.40","..30.50","..30.62","11,999"
08/01/2023,"..31.67","..31.49","..30.70","..31.67","4,639"
07/31/2023,"..31.67","..31.67","..30.70","..31.67","3,045"
07/27/2023,"..31.05","..31.05","..30.55","..31.05","1,969"
07/26/2023,"..31.05","..31.15","..30.56","..31.05","6,652"
07/25/2023,"..31.09","..31.30","..30.80","..31.05","14,621"
07/24/2023,"..31.09","..31.35","..31.00","..31.09","7,000"
07/19/2023,"..30.88","..31.35","..30.50","..31.09","25,267"
07/18/2023,"..30.88","..30.99","..30.60","..30.88","5,077"
07/17/2023,"..30.88","..31.15","..30.60","..30.88","2,572"
07/13/2023,"..30.93","..31.59","..30.56","..30.88","12,903"
07/12/2023,"..29.84","..31.98","..29.90","..30.93","24,259"
07/11/2023,"..30.10","..30.40","..29.30","..29.84","18,418"
07/10/2023,"..31.30","..30.48","..29.30","..30.10","20,218"
07/06/2023,"..31.39","..31.70","..30.90","..31.30","23,073"
07/05/2023,"..31.76","..31.99","..31.03","..31.39","23,712"
07/04/2023,"..31.94","..32.29","..31.61","..31.76","14,663"
06/26/2023,"..32.03","..32.64","..31.76","..31.94","19,249"
06/22/2023,"..31.84","..32.20","..31.62","..31.94","22,203"
06/21/2023,"..32.45","..32.79","..31.62","..31.84","28,893"
06/20/2023,"..32.25","..33.30","..32.00","..32.45","22,406"
06/19/2023,"..32.15","..32.96","..32.00","..32.25","29,959"
06/15/2023,"..31.52","..32.07","..31.46","..31.54","24,405"
06/14/2023,"..31.93","..32.24","..31.40","..31.52","18,737"
06/13/2023,"..32.03","..32.60","..31.71","..31.93","20,001"
06/12/2023,"..32.08","..32.40","..31.83","..32.03","15,003"
06/08/2023,"..32.08","..32.68","..31.60","..31.69","30,515"
06/07/2023,"..32.46","..33.40","..32.04","..32.08","40,252"
06/06/2023,"..32.72","..33.16","..32.30","..32.46","50,514"
06/05/2023,"..33.28","..33.70","..32.50","..32.72","43,261"
06/01/2023,"..33.00","..33.75","..32.88","..33.28","72,633"
05/31/2023,"..33.03","..34.50","..33.00","..33.00","84,471"
05/30/2023,"..34.01","..34.67","..32.30","..33.03","116,496"
05/29/2023,"..33.79","..34.50","..33.45","..34.01","83,924"
05/25/2023,"..33.52","..33.52","..32.76","..33.05","25,859"
05/24/2023,"..33.68","..34.70","..33.25","..33.52","95,690"
05/23/2023,"..33.53","..33.75","..32.79","..33.68","64,402"
05/22/2023,"..32.54","..33.70","..32.20","..33.53","90,174"
05/18/2023,"..31.15","..32.48","..31.12","..32.19","47,372"
05/17/2023,"..32.25","..33.69","..31.05","..31.15","100,408"
05/16/2023,"..33.06","..34.00","..31.90","..32.25","58,094"
05/15/2023,"..32.50","..34.80","..32.50","..33.06","180,089"
05/11/2023,"..32.06","..33.00","..32.11","..32.25","63,965"
05/10/2023,"..31.98","..32.97","..31.80","..32.06","47,709"
05/09/2023,"..32.84","..33.35","..31.75","..31.98","84,236"
05/08/2023,"..32.52","..33.79","..32.31","..32.84","94,472"
05/03/2023,"..32.36","..32.90","..31.80","..32.44","47,967"
05/02/2023,"..32.50","..32.98","..31.62","..32.36","44,519"
05/01/2023,"..33.63","..33.90","..32.00","..32.50","92,163"
04/27/2023,"..33.28","..33.89","..33.04","..33.64","103,418"
04/26/2023,"..36.10","..36.55","..32.34","..33.28","404,079"
04/19/2023,"..36.24","..36.80","..35.70","..36.10","32,426"
04/18/2023,"..36.10","..36.95","..36.00","..36.24","61,913"
04/13/2023,"..36.36","..36.95","..35.68","..36.10","27,172"
04/12/2023,"..37.76","..38.29","..36.00","..36.36","54,644"
04/11/2023,"..37.07","..38.85","..37.10","..37.76","81,519"
04/10/2023,"..36.78","..38.20","..36.31","..37.07","86,570"
04/06/2023,"..38.16","..38.46","..36.09","..36.70","64,882"
04/05/2023,"..37.45","..39.00","..37.00","..38.16","199,999"
04/04/2023,"..33.96","..39.99","..34.00","..37.45","366,751"
04/03/2023,"..33.44","..34.40","..33.00","..33.96","131,138"
03/30/2023,"..31.30","..31.75","..30.30","..31.02","27,542"
03/29/2023,"..30.38","..31.80","..30.00","..31.30","39,801"
03/28/2023,"..30.55","..31.40","..30.00","..30.38","45,474"
03/27/2023,"..30.52","..31.50","..30.30","..30.55","50,359"
03/23/2023,"..30.50","..32.15","..30.26","..30.86","95,944"
03/22/2023,"..28.20","..32.30","..28.00","..30.50","237,597"
03/21/2023,"..28.00","..29.01","..27.60","..28.20","88,824"
03/20/2023,"..26.58","..28.50","..26.01","..28.00","46,718"
03/16/2023,"..25.44","..27.50","..24.00","..25.44","8,701"
03/15/2023,"..27.89","..30.00","..23.11","..25.44","47,306"
03/14/2023,"..28.01","..29.78","..26.00","..27.89","26,296"
03/13/2023,"..31.21","..31.75","..27.50","..28.01","55,503"
03/09/2023,"..32.26","..33.00","..32.00","..32.67","40,207"
03/08/2023,"..32.65","..33.08","..32.00","..32.26","19,020"
03/07/2023,"..32.97","..33.84","..32.55","..32.65","25,729"
03/06/2023,"..33.35","..34.27","..32.88","..32.97","21,177"
03/02/2023,"..33.90","..34.10","..33.52","..33.59","24,888"
03/01/2023,"..34.14","..34.70","..33.76","..33.90","47,080"
02/28/2023,"..33.50","..35.40","..33.56","..34.14","180,787"
02/27/2023,"..31.96","..34.00","..31.97","..33.50","93,499"
02/23/2023,"..30.90","..32.90","..31.00","..31.96","48,592"
02/22/2023,"..31.91","..32.50","..30.50","..30.90","29,718"
02/21/2023,"..31.91","..32.60","..31.52","..31.91","7,827"
02/20/2023,"..32.78","..33.50","..31.50","..31.91","39,507"
02/16/2023,"..34.09","..34.49","..33.21","..33.27","36,631"
02/15/2023,"..33.23","..34.48","..33.15","..34.09","36,392"
02/14/2023,"..33.62","..33.82","..33.01","..33.23","12,623"
02/13/2023,"..32.95","..33.90","..32.95","..33.62","31,814"
02/09/2023,"..32.59","..33.17","..31.74","..33.09","28,622"
02/08/2023,"..32.59","..32.89","..31.84","..32.59","6,042"
02/07/2023,"..31.99","..33.00","..31.80","..32.59","21,975"
02/06/2023,"..31.94","..32.60","..31.80","..31.99","11,626"
02/02/2023,"..33.06","..34.25","..31.59","..32.20","14,630"
02/01/2023,"..32.99","..33.50","..32.10","..33.06","19,063"
01/31/2023,"..34.03","..34.87","..32.90","..32.99","22,977"
01/30/2023,"..35.73","..36.00","..33.11","..34.03","24,728"
01/25/2023,"..33.10","..35.48","..33.20","..35.02","82,496"
01/24/2023,"..34.05","..34.70","..32.75","..33.10","35,635"
01/23/2023,"..34.68","..35.18","..33.80","..34.05","30,268"
01/19/2023,"..34.21","..35.39","..33.95","..34.52","52,043"
01/18/2023,"..34.00","..34.48","..33.70","..34.21","47,134"
01/17/2023,"..34.18","..34.75","..33.70","..34.00","16,154"
01/16/2023,"..33.96","..34.98","..33.80","..34.18","32,034"
01/12/2023,"..33.24","..34.00","..32.01","..32.67","41,649"
01/11/2023,"..33.57","..34.25","..33.01","..33.24","48,446"
01/10/2023,"..34.56","..34.90","..33.20","..33.57","51,852"
01/09/2023,"..36.24","..36.99","..34.10","..34.56","50,476"
01/05/2023,"..37.08","..37.51","..35.90","..36.24","70,648"
01/04/2023,"..40.33","..38.00","..35.02","..37.08","144,122"
01/03/2023,"..39.10","..40.48","..39.25","..40.33","142,654"
01/02/2023,"..38.16","..39.15","..38.25","..39.10","84,141"
12/29/2022,"..38.02","..38.34","..37.98","..38.16","35,524"
12/28/2022,"..38.08","..38.58","..37.92","..38.02","35,170"
12/27/2022,"..38.09","..38.77","..37.70","..38.08","83,770"
12/26/2022,"..38.37","..39.00","..37.70","..38.09","51,974"
12/22/2022,"..35.26","..37.85","..35.65","..37.20","160,040"
12/21/2022,"..33.60","..35.99","..33.66","..35.26","99,348"
12/20/2022,"..33.94","..34.50","..33.20","..33.60","28,291"
12/19/2022,"..34.74","..35.49","..32.83","..33.94","87,049"
12/15/2022,"..37.01","..37.98","..35.00","..35.37","163,783"
12/14/2022,"..36.87","..39.39","..36.31","..37.01","337,907"
12/13/2022,"..36.99","..38.58","..36.13","..36.87","167,011"
12/12/2022,"..40.71","..40.96","..36.05","..36.99","156,982"
12/08/2022,"..41.54","..42.89","..41.52","..41.76","15,096"
12/07/2022,"..42.33","..44.02","..41.20","..41.54","48,495"
12/06/2022,"..42.93","..45.40","..41.00","..42.33","77,954"
12/05/2022,"..36.86","..44.20","..36.50","..42.93","159,528"
