Date,Open,High,Low,Close,Volume
09/21/2023,"..3.05","..3.11","..3.02","..3.03","61,261,527"
09/20/2023,"..3.14","..3.16","..3.02","..3.05","52,198,398"
09/19/2023,"..3.20","..3.24","..3.12","..3.14","86,682,570"
09/18/2023,"..3.24","..3.30","..3.20","..3.20","105,700,000"
09/14/2023,"..3.11","..3.16","..3.07","..3.07","42,076,641"
09/13/2023,"..3.07","..3.13","..3.07","..3.11","35,948,641"
09/12/2023,"..3.12","..3.16","..3.05","..3.07","50,252,047"
09/11/2023,"..3.20","..3.21","..3.11","..3.12","46,774,246"
09/07/2023,"..3.14","..3.21","..3.12","..3.21","38,933,160"
09/06/2023,"..3.17","..3.21","..3.12","..3.14","44,629,602"
09/05/2023,"..3.24","..3.31","..3.17","..3.17","76,303,242"
09/04/2023,"..3.14","..3.27","..3.16","..3.24","72,519,586"
08/31/2023,"..3.26","..3.29","..3.17","..3.19","46,882,328"
08/30/2023,"..3.34","..3.38","..3.26","..3.26","44,923,660"
08/29/2023,"..3.34","..3.43","..3.32","..3.34","98,617,281"
08/28/2023,"..3.22","..3.39","..3.22","..3.34","161,128,609"
08/24/2023,"..3.28","..3.33","..3.12","..3.20","115,231,398"
08/23/2023,"..3.42","..3.48","..3.27","..3.28","134,531,812"
08/22/2023,"..3.37","..3.49","..3.33","..3.42","84,031,391"
08/21/2023,"..3.52","..3.56","..3.36","..3.37","99,593,484"
08/17/2023,"..3.41","..3.50","..3.37","..3.44","105,040,398"
08/16/2023,"..3.64","..3.66","..3.41","..3.41","141,381,797"
08/15/2023,"..3.70","..3.75","..3.63","..3.64","127,686,703"
08/14/2023,"..3.78","..3.90","..3.70","..3.70","151,350,203"
08/10/2023,"..3.67","..3.72","..3.59","..3.64","139,714,297"
08/09/2023,"..3.85","..3.90","..3.65","..3.67","174,702,500"
08/08/2023,"..3.95","..4.04","..3.82","..3.85","275,116,594"
08/07/2023,"..3.73","..3.95","..3.78","..3.95","233,700,797"
08/03/2023,"..3.50","..3.66","..3.46","..3.57","241,655,391"
08/02/2023,"..3.43","..3.74","..3.43","..3.50","393,243,250"
08/01/2023,"..3.12","..3.43","..3.13","..3.43","233,940,797"
07/31/2023,"..3.01","..3.12","..2.99","..3.12","141,654,297"
07/27/2023,"..2.97","..3.35","..2.38","..3.14","454,890,406"
07/26/2023,"..3.69","..3.46","..2.96","..2.97","24,392,199"
07/25/2023,"..3.90","..4.03","..3.57","..3.69","35,865,941"
07/24/2023,"..4.30","..4.30","..3.90","..3.90","36,260,980"
07/19/2023,"..4.07","..4.61","..4.08","..4.30","71,666,547"
07/18/2023,"..4.17","..4.20","..4.04","..4.07","22,956,131"
07/17/2023,"..3.99","..4.19","..3.81","..4.17","26,419,840"
