Date,Open,High,Low,Close,Volume
09/18/2023,"..15.58","..14.69","..13.40","..15.58","553"
09/14/2023,"..15.58","..14.45","..14.00","..15.58","1,591"
09/13/2023,"..15.58","..14.35","..14.34","..15.58","910"
09/12/2023,"..15.58","..14.35","..13.27","..15.58","659"
09/11/2023,"..15.58","..14.30","..14.00","..15.58","25"
09/07/2023,"..15.58","..14.60","..14.00","..15.58","631"
09/06/2023,"..15.58","..14.05","..14.03","..15.58","509"
09/05/2023,"..15.58","..14.10","..14.00","..15.58","1,001"
08/31/2023,"..15.58","..14.39","..14.00","..15.58","832"
08/30/2023,"..15.58","..14.00","..14.00","..15.58","71"
08/29/2023,"..15.58","..14.39","..14.00","..15.58","3,970"
08/28/2023,"..15.58","..14.33","..13.26","..15.58","33"
08/24/2023,"..15.58","..13.54","..13.54","..15.58","80"
08/23/2023,"..15.58","..14.40","..13.50","..15.58","1,337"
08/22/2023,"..15.58","..14.70","..13.53","..15.58","26"
08/21/2023,"..15.58","..14.70","..14.68","..15.58","454"
08/17/2023,"..15.58","..14.75","..13.24","..15.58","957"
08/16/2023,"..15.58","..14.88","..14.20","..15.58","1,915"
08/15/2023,"..15.58","..14.88","..13.92","..15.58","98"
08/14/2023,"..15.58","..14.88","..14.40","..15.58","350"
08/10/2023,"..15.58","..14.70","..14.00","..15.58","4,424"
08/09/2023,"..15.58","..14.79","..14.69","..15.58","275"
08/08/2023,"..15.58","..14.79","..14.79","..15.58","130"
08/07/2023,"..15.58","..14.89","..14.00","..15.58","1,850"
08/02/2023,"..15.58","..15.30","..14.00","..15.58","1,290"
08/01/2023,"..15.58","..14.85","..14.85","..15.58","90"
07/31/2023,"..15.58","..15.00","..15.00","..15.58","143"
07/27/2023,"..15.58","..15.00","..14.30","..15.58","567"
07/25/2023,"..15.58","..15.00","..13.80","..15.58","413"
07/19/2023,"..15.58","..15.39","..14.00","..15.58","776"
07/18/2023,"..15.58","..15.40","..14.33","..15.58","40"
07/17/2023,"..15.58","..15.40","..13.02","..15.58","516"
07/10/2023,"..15.58","..15.40","..14.00","..15.58","534"
07/06/2023,"..15.58","..16.40","..16.40","..15.58","6"
07/05/2023,"..15.58","..16.44","..14.51","..15.58","68"
06/22/2023,"..15.58","..15.50","..14.10","..15.58","6"
06/20/2023,"..15.58","..15.50","..15.50","..15.58","20"
06/19/2023,"..15.58","..15.50","..15.50","..15.58","50"
06/15/2023,"..15.58","..16.44","..16.44","..15.58","5"
06/13/2023,"..15.58","..16.49","..15.54","..15.58","300"
06/12/2023,"..15.58","..15.50","..14.51","..15.58","43"
06/07/2023,"..15.58","..14.00","..14.00","..15.58","53"
06/06/2023,"..15.58","..14.00","..14.00","..15.58","50"
06/05/2023,"..15.58","..16.00","..14.51","..15.58","215"
06/01/2023,"..15.58","..15.00","..13.83","..15.58","192"
05/30/2023,"..15.58","..15.50","..15.50","..15.58","138"
05/29/2023,"..15.58","..15.30","..13.81","..15.58","1,855"
05/25/2023,"..15.58","..15.00","..13.31","..15.58","40"
05/23/2023,"..15.58","..15.85","..13.31","..15.58","37"
05/22/2023,"..15.58","..15.88","..15.88","..15.58","1"
05/18/2023,"..15.58","..15.88","..13.30","..15.58","35"
05/17/2023,"..15.58","..15.00","..15.00","..15.58","47"
05/16/2023,"..15.58","..15.96","..15.00","..15.58","45"
05/15/2023,"..15.58","..15.98","..13.28","..15.58","169"
05/11/2023,"..15.58","..16.49","..16.49","..15.58","10"
05/09/2023,"..15.58","..14.11","..14.11","..15.58","2"
05/03/2023,"..15.58","..17.20","..17.20","..15.58","10"
05/01/2023,"..15.58","..15.65","..15.65","..15.58","12"
04/27/2023,"..15.58","..17.44","..13.27","..15.58","88"
04/26/2023,"..15.58","..17.45","..12.51","..15.58","1,187"
04/19/2023,"..15.58","..17.38","..17.00","..15.58","180"
04/18/2023,"..15.58","..14.00","..14.00","..15.58","30"
04/13/2023,"..15.58","..13.50","..12.51","..15.58","439"
04/12/2023,"..15.58","..13.50","..13.50","..15.58","1"
04/03/2023,"..15.58","..15.55","..14.55","..15.58","10,048"
03/30/2023,"..15.58","..14.51","..14.51","..15.58","1"
03/23/2023,"..15.58","..17.00","..17.00","..15.58","20"
03/22/2023,"..15.58","..15.58","..15.58","..15.58","276,463"
03/21/2023,"..15.58","..15.58","..15.58","..15.58","200,000"
03/20/2023,"..15.58","..17.45","..17.45","..15.58","2"
03/16/2023,"..15.58","..17.49","..14.51","..15.58","66"
03/13/2023,"..15.58","..17.50","..14.01","..15.58","56"
03/08/2023,"..15.58","..17.50","..16.01","..15.58","102"
03/07/2023,"..17.50","..17.50","..17.50","..15.58","6"
03/06/2023,"..15.58","..16.26","..16.26","..15.58","1"
03/02/2023,"..15.58","..17.50","..17.10","..15.58","1,029"
03/01/2023,"..15.58","..17.50","..17.23","..15.58","3,507"
02/23/2023,"..15.58","..17.19","..14.51","..15.58","484"
02/21/2023,"..15.58","..17.25","..14.51","..15.58","783"
02/14/2023,"..15.58","..15.58","..15.58","..15.58","5"
02/13/2023,"..15.58","..16.00","..15.58","..15.58","28"
02/08/2023,"..15.58","..17.25","..17.00","..15.58","1,203"
02/07/2023,"..15.58","..17.25","..17.25","..15.58","13"
02/06/2023,"..15.58","..15.30","..15.30","..15.58","5,608"
02/01/2023,"..15.58","..17.27","..16.50","..15.58","903"
01/31/2023,"..15.58","..17.29","..17.28","..15.58","122"
01/25/2023,"..15.58","..17.48","..16.40","..15.58","64"
01/23/2023,"..15.58","..16.50","..16.11","..15.58","339"
01/19/2023,"..15.58","..17.50","..16.01","..15.58","832"
01/18/2023,"..15.58","..16.50","..16.50","..15.58","940"
01/17/2023,"..15.58","..17.89","..16.50","..15.58","2,925"
01/16/2023,"..15.58","..17.00","..17.00","..15.58","784"
01/12/2023,"..15.58","..16.00","..16.00","..15.58","498"
01/11/2023,"..15.58","..16.50","..16.50","..15.58","30"
01/10/2023,"..15.58","..17.30","..15.50","..15.58","1,527"
01/09/2023,"..15.58","..18.66","..16.90","..15.58","3,947"
01/05/2023,"..15.58","..18.66","..16.01","..15.58","2,557"
01/04/2023,"..15.58","..18.55","..17.20","..15.58","4,729"
01/03/2023,"..15.58","..17.99","..17.00","..15.58","1,062"
01/02/2023,"..15.58","..17.50","..17.00","..15.58","114"
12/29/2022,"..15.58","..17.32","..16.50","..15.58","4,092"
12/28/2022,"..15.58","..17.42","..16.50","..15.58","1,910"
12/27/2022,"..15.58","..16.53","..16.50","..15.58","1,000"
12/26/2022,"..15.58","..17.89","..16.00","..15.58","1,530"
12/22/2022,"..15.58","..17.89","..16.40","..15.58","1,245"
12/21/2022,"..15.58","..16.40","..16.00","..15.58","515"
