Date,Open,High,Low,Close,Volume
09/21/2023,"..11.97","..12.40","..11.81","..12.09","172,204"
09/20/2023,"..12.39","..12.60","..11.90","..11.97","187,398"
09/19/2023,"..12.49","..13.01","..12.20","..12.39","380,509"
09/18/2023,"..11.69","..12.50","..11.57","..12.49","275,593"
09/14/2023,"..11.47","..12.15","..11.49","..11.73","233,011"
09/13/2023,"..11.47","..11.49","..11.25","..11.47","19,870"
09/12/2023,"..11.66","..11.60","..11.35","..11.47","242,450"
09/11/2023,"..11.66","..11.60","..11.25","..11.66","22,249"
09/07/2023,"..11.43","..11.89","..11.10","..11.66","81,129"
09/06/2023,"..11.75","..11.84","..11.40","..11.43","70,901"
09/05/2023,"..11.57","..12.09","..11.40","..11.75","127,515"
09/04/2023,"..11.59","..11.95","..11.33","..11.57","100,431"
08/31/2023,"..11.24","..11.44","..11.10","..11.17","73,436"
08/30/2023,"..11.10","..11.65","..11.00","..11.24","164,705"
08/29/2023,"..11.27","..11.59","..11.00","..11.10","96,420"
08/28/2023,"..10.67","..11.85","..10.66","..11.27","345,429"
08/24/2023,"..10.33","..10.60","..10.44","..10.54","41,763"
08/23/2023,"..10.42","..10.50","..10.23","..10.33","40,920"
08/22/2023,"..10.12","..10.50","..10.12","..10.42","149,414"
08/21/2023,"..10.08","..10.30","..10.05","..10.12","57,894"
08/17/2023,"..10.15","..10.20","..10.02","..10.15","18,580"
08/16/2023,"..10.41","..10.49","..10.02","..10.15","44,412"
08/15/2023,"..10.41","..10.40","..10.11","..10.41","3,197"
08/14/2023,"..10.23","..10.56","..10.30","..10.41","86,962"
08/10/2023,"..10.15","..10.01","..9.90","..10.15","3,037"
08/09/2023,"..10.15","..10.20","..10.00","..10.15","24,277"
08/08/2023,"..10.01","..10.24","..9.86","..10.15","39,454"
08/07/2023,"..9.90","..10.25","..9.81","..10.01","68,228"
08/03/2023,"..9.90","..10.10","..9.83","..9.90","16,598"
08/02/2023,"..9.90","..10.00","..9.90","..9.90","5,100"
08/01/2023,"..9.90","..10.09","..9.90","..9.90","8,449"
07/31/2023,"..9.90","..10.00","..9.90","..9.90","2,872"
07/27/2023,"..9.90","..10.10","..9.90","..9.90","1,650"
07/26/2023,"..9.90","..10.08","..9.85","..9.90","17,135"
07/25/2023,"..9.90","..10.00","..9.80","..9.90","20,393"
07/24/2023,"..9.90","..10.09","..9.80","..9.90","15,922"
07/19/2023,"..9.90","..10.07","..9.75","..9.90","13,620"
07/18/2023,"..9.90","..10.11","..9.90","..9.90","14,060"
07/17/2023,"..9.90","..10.09","..9.80","..9.90","14,495"
07/13/2023,"..9.90","..10.25","..9.87","..9.90","13,992"
07/12/2023,"..9.90","..10.13","..9.85","..9.90","24,592"
