Date,Open,High,Low,Close,Volume
09/21/2023,"..2.21","..2.23","..2.16","..2.17","21,868,840"
09/20/2023,"..2.32","..2.38","..2.19","..2.21","26,073,430"
09/19/2023,"..2.36","..2.39","..2.32","..2.32","12,748,580"
09/18/2023,"..2.41","..2.42","..2.35","..2.36","17,149,230"
09/14/2023,"..2.44","..2.47","..2.43","..2.43","6,088,275"
09/13/2023,"..2.43","..2.47","..2.39","..2.44","15,052,840"
09/12/2023,"..2.40","..2.45","..2.39","..2.43","17,648,439"
09/11/2023,"..2.50","..2.52","..2.40","..2.40","9,672,853"
09/07/2023,"..2.45","..2.50","..2.42","..2.47","14,702,000"
09/06/2023,"..2.36","..2.51","..2.37","..2.45","45,419,406"
09/05/2023,"..2.29","..2.41","..2.30","..2.36","31,946,721"
09/04/2023,"..2.27","..2.30","..2.26","..2.29","13,048,500"
08/31/2023,"..2.28","..2.36","..2.26","..2.32","31,621,260"
08/30/2023,"..2.33","..2.35","..2.27","..2.28","29,688,881"
08/29/2023,"..2.19","..2.33","..2.19","..2.33","47,652,398"
08/28/2023,"..2.17","..2.23","..2.17","..2.19","19,505,311"
08/24/2023,"..2.18","..2.19","..2.12","..2.14","19,787,631"
08/23/2023,"..2.22","..2.25","..2.18","..2.18","8,492,327"
08/22/2023,"..2.21","..2.25","..2.21","..2.22","10,302,630"
08/21/2023,"..2.20","..2.25","..2.20","..2.21","16,980,990"
08/17/2023,"..2.20","..2.22","..2.16","..2.17","16,874,820"
08/16/2023,"..2.26","..2.28","..2.20","..2.20","21,171,939"
08/15/2023,"..2.27","..2.30","..2.25","..2.26","16,061,380"
08/14/2023,"..2.24","..2.32","..2.25","..2.27","40,477,941"
08/10/2023,"..2.26","..2.30","..2.22","..2.22","26,020,260"
08/09/2023,"..2.29","..2.31","..2.26","..2.26","18,928,789"
08/08/2023,"..2.35","..2.36","..2.29","..2.29","20,310,740"
08/07/2023,"..2.34","..2.38","..2.34","..2.35","24,990,061"
08/03/2023,"..2.28","..2.31","..2.27","..2.28","10,676,180"
08/02/2023,"..2.30","..2.35","..2.26","..2.28","27,653,311"
08/01/2023,"..2.28","..2.36","..2.28","..2.30","26,471,240"
07/31/2023,"..2.29","..2.33","..2.24","..2.28","35,050,680"
07/27/2023,"..2.33","..2.39","..2.33","..2.36","20,133,029"
07/26/2023,"..2.39","..2.40","..2.32","..2.33","16,564,529"
07/25/2023,"..2.48","..2.50","..2.35","..2.39","19,764,160"
07/24/2023,"..2.51","..2.54","..2.47","..2.48","15,583,300"
07/19/2023,"..2.55","..2.56","..2.50","..2.51","28,641,551"
07/18/2023,"..2.45","..2.55","..2.44","..2.55","45,362,406"
07/17/2023,"..2.45","..2.49","..2.43","..2.45","28,794,240"
07/13/2023,"..2.51","..2.54","..2.43","..2.45","49,371,113"
07/12/2023,"..2.60","..2.63","..2.48","..2.51","62,912,594"
07/11/2023,"..2.64","..2.67","..2.58","..2.60","38,848,910"
07/10/2023,"..2.45","..2.66","..2.42","..2.64","66,298,578"
07/06/2023,"..2.87","..2.99","..2.88","..2.92","50,827,473"
07/05/2023,"..2.86","..2.92","..2.84","..2.87","26,404,689"
07/04/2023,"..2.91","..2.96","..2.85","..2.86","16,975,631"
06/26/2023,"..2.85","..2.95","..2.86","..2.91","37,783,641"
06/22/2023,"..2.78","..2.98","..2.76","..2.98","50,245,672"
06/21/2023,"..2.80","..2.83","..2.76","..2.78","30,566,660"
06/20/2023,"..2.84","..2.87","..2.79","..2.80","27,039,711"
06/19/2023,"..2.88","..2.90","..2.76","..2.84","76,513,742"
06/15/2023,"..2.96","..3.00","..2.85","..2.87","86,473,984"
06/14/2023,"..2.91","..3.03","..2.93","..2.96","73,251,234"
06/13/2023,"..2.78","..2.91","..2.74","..2.91","80,709,844"
06/12/2023,"..2.80","..2.84","..2.77","..2.78","24,262,232"
06/08/2023,"..2.74","..2.83","..2.73","..2.75","49,285,539"
06/07/2023,"..2.81","..2.90","..2.71","..2.74","102,976,602"
06/06/2023,"..2.62","..2.84","..2.65","..2.81","97,458,711"
06/05/2023,"..2.64","..2.73","..2.60","..2.62","65,071,199"
06/01/2023,"..2.26","..2.42","..2.28","..2.40","102,596,203"
05/31/2023,"..2.24","..2.31","..2.25","..2.26","71,820,391"
05/30/2023,"..2.24","..2.29","..2.23","..2.24","55,863,969"
05/29/2023,"..2.20","..2.25","..2.17","..2.24","36,862,527"
05/25/2023,"..2.20","..2.22","..2.16","..2.17","22,142,631"
05/24/2023,"..2.14","..2.23","..2.13","..2.20","59,132,230"
05/23/2023,"..2.13","..2.15","..2.09","..2.14","38,806,340"
05/22/2023,"..2.16","..2.20","..2.12","..2.13","19,594,660"
05/18/2023,"..2.15","..2.16","..2.10","..2.16","29,840,760"
05/17/2023,"..2.19","..2.22","..2.14","..2.15","24,347,881"
05/16/2023,"..2.23","..2.23","..2.16","..2.19","39,432,820"
05/15/2023,"..2.27","..2.33","..2.21","..2.23","63,677,480"
05/11/2023,"..2.24","..2.26","..2.17","..2.18","40,358,488"
05/10/2023,"..2.17","..2.25","..2.12","..2.24","61,232,660"
05/09/2023,"..2.25","..2.28","..2.16","..2.17","60,158,391"
05/08/2023,"..2.13","..2.25","..2.15","..2.25","56,236,488"
05/03/2023,"..2.10","..2.14","..2.07","..2.11","25,062,891"
05/02/2023,"..2.13","..2.16","..2.08","..2.10","34,531,090"
05/01/2023,"..2.23","..2.25","..2.10","..2.13","44,908,539"
04/27/2023,"..2.22","..2.29","..2.23","..2.27","51,388,422"
04/26/2023,"..2.21","..2.24","..2.18","..2.22","27,356,711"
04/19/2023,"..2.22","..2.27","..2.19","..2.21","48,806,434"
04/18/2023,"..2.16","..2.23","..2.13","..2.22","40,754,488"
04/13/2023,"..2.13","..2.18","..2.12","..2.16","33,863,910"
04/12/2023,"..2.17","..2.20","..2.12","..2.13","40,987,781"
04/11/2023,"..2.19","..2.22","..2.15","..2.17","35,705,594"
04/10/2023,"..2.07","..2.20","..2.09","..2.19","87,256,328"
04/06/2023,"..2.04","..2.06","..1.96","..1.98","38,703,020"
04/05/2023,"..2.07","..2.08","..2.02","..2.04","29,428,699"
04/04/2023,"..2.06","..2.12","..2.05","..2.07","74,011,828"
04/03/2023,"..1.89","..2.06","..1.90","..2.06","67,059,328"
03/30/2023,"..1.91","..1.94","..1.85","..1.86","28,223,211"
03/29/2023,"..1.83","..1.94","..1.83","..1.91","42,642,391"
03/28/2023,"..1.81","..1.84","..1.75","..1.83","15,265,880"
03/27/2023,"..1.83","..1.88","..1.76","..1.81","26,700,660"
03/23/2023,"..1.73","..1.79","..1.70","..1.78","14,539,090"
03/22/2023,"..1.77","..1.81","..1.72","..1.73","19,917,600"
03/21/2023,"..1.68","..1.78","..1.69","..1.77","27,503,801"
03/20/2023,"..1.58","..1.70","..1.57","..1.68","26,398,750"
03/16/2023,"..1.60","..1.66","..1.53","..1.60","63,312,922"
03/15/2023,"..1.88","..1.92","..1.51","..1.60","35,716,320"
03/14/2023,"..1.82","..1.90","..1.77","..1.88","28,980,619"
03/13/2023,"..1.97","..2.02","..1.75","..1.82","50,669,422"
03/09/2023,"..2.07","..2.13","..2.07","..2.10","17,789,119"
03/08/2023,"..2.10","..2.11","..2.02","..2.07","30,037,189"
