Date,Open,High,Low,Close,Volume
09/21/2023,"..13.90","..13.49","..13.21","..13.90","4,670"
09/20/2023,"..13.90","..13.50","..13.49","..13.90","576"
09/19/2023,"..13.90","..13.70","..13.49","..13.90","125"
09/18/2023,"..13.90","..13.50","..13.50","..13.90","500"
09/14/2023,"..13.90","..13.69","..13.50","..13.90","5,776"
09/13/2023,"..13.90","..13.51","..13.51","..13.90","1,250"
09/12/2023,"..13.90","..13.50","..13.50","..13.90","718"
09/11/2023,"..13.90","..13.79","..13.50","..13.90","1,303"
09/07/2023,"..13.90","..13.84","..13.50","..13.90","2,227"
09/06/2023,"..13.90","..13.56","..13.51","..13.90","4,555"
09/05/2023,"..13.90","..13.67","..13.60","..13.90","10,782"
09/04/2023,"..13.90","..14.19","..13.61","..13.90","3,190"
08/31/2023,"..13.90","..13.77","..13.55","..13.90","1,845"
08/30/2023,"..13.90","..13.80","..13.32","..13.90","3,764"
08/29/2023,"..13.90","..13.88","..13.31","..13.90","11,703"
08/28/2023,"..13.90","..14.14","..13.31","..13.90","4,945"
08/24/2023,"..13.90","..13.30","..13.25","..13.90","921"
08/23/2023,"..13.90","..13.55","..13.23","..13.90","4,061"
08/22/2023,"..13.90","..13.90","..13.50","..13.90","2,486"
08/21/2023,"..13.90","..14.20","..13.70","..13.90","9,150"
08/17/2023,"..13.41","..13.06","..12.92","..13.41","2,699"
08/16/2023,"..13.41","..13.40","..12.95","..13.41","3,167"
08/15/2023,"..13.41","..13.50","..12.83","..13.41","7,893"
08/14/2023,"..13.41","..13.18","..12.75","..13.41","4,090"
08/10/2023,"..13.41","..13.33","..12.95","..13.41","1,736"
08/09/2023,"..13.41","..13.31","..13.01","..13.41","1,642"
08/08/2023,"..13.41","..13.33","..13.02","..13.41","2,768"
08/07/2023,"..13.41","..13.29","..12.80","..13.41","4,235"
08/03/2023,"..13.41","..13.59","..13.17","..13.41","3,630"
08/02/2023,"..13.41","..13.69","..13.30","..13.41","1,489"
08/01/2023,"..13.41","..13.52","..13.42","..13.41","2,714"
07/31/2023,"..13.41","..13.70","..13.52","..13.41","6"
07/27/2023,"..13.41","..13.85","..13.55","..13.41","94"
07/26/2023,"..13.41","..13.90","..13.52","..13.41","4,704"
07/25/2023,"..13.41","..13.62","..13.57","..13.41","513"
07/24/2023,"..13.41","..13.97","..13.65","..13.41","2,114"
07/19/2023,"..13.41","..13.99","..13.54","..13.41","3,820"
07/18/2023,"..13.41","..14.07","..13.55","..13.41","7,500"
07/17/2023,"..13.41","..14.08","..14.08","..13.41","8,435"
07/13/2023,"..13.41","..14.08","..13.45","..13.41","12,557"
07/12/2023,"..13.41","..14.08","..13.15","..13.41","1,062"
07/11/2023,"..13.41","..14.05","..13.15","..13.41","13,406"
07/10/2023,"..14.08","..14.12","..13.38","..13.41","32,006"
07/06/2023,"..14.08","..14.38","..13.66","..14.08","14,752"
07/05/2023,"..14.08","..14.00","..13.55","..14.08","3,783"
07/04/2023,"..13.91","..14.38","..13.75","..14.08","21,923"
06/26/2023,"..14.22","..14.46","..13.60","..13.91","34,956"
06/22/2023,"..14.22","..14.78","..14.00","..14.22","9,038"
06/21/2023,"..13.55","..14.22","..13.74","..14.22","47,007"
06/20/2023,"..13.55","..14.22","..13.63","..13.55","3,162"
06/19/2023,"..13.55","..14.22","..13.74","..13.55","207"
06/15/2023,"..13.55","..14.22","..13.55","..13.55","12,526"
06/14/2023,"..13.55","..14.00","..13.56","..13.55","6,176"
06/13/2023,"..13.55","..14.00","..13.52","..13.55","2,524"
06/12/2023,"..13.55","..14.15","..13.51","..13.55","13,694"
06/08/2023,"..12.91","..13.55","..13.13","..13.55","45,184"
06/07/2023,"..12.91","..13.45","..12.91","..12.91","10,403"
06/06/2023,"..12.91","..13.40","..12.91","..12.91","12,718"
06/05/2023,"..12.91","..13.50","..12.90","..12.91","16,892"
06/01/2023,"..12.91","..13.39","..13.10","..12.91","11,622"
05/31/2023,"..12.91","..13.40","..12.93","..12.91","10,498"
05/30/2023,"..12.91","..13.40","..12.92","..12.91","12,024"
