Date,Open,High,Low,Close,Volume
09/21/2023,"..41.58","..47.49","..46.79","..41.58","349"
09/20/2023,"..41.58","..47.49","..46.30","..41.58","235"
09/19/2023,"..41.58","..47.70","..45.61","..41.58","638"
09/18/2023,"..41.58","..47.86","..46.00","..41.58","681"
09/14/2023,"..41.58","..48.00","..46.50","..41.58","777"
09/13/2023,"..41.58","..47.95","..46.30","..41.58","451"
09/12/2023,"..41.58","..47.50","..46.50","..41.58","851"
09/11/2023,"..41.58","..48.00","..46.00","..41.58","1,185"
09/07/2023,"..41.58","..47.10","..46.86","..41.58","1,491"
09/06/2023,"..41.58","..48.80","..46.86","..41.58","763"
09/05/2023,"..41.58","..48.85","..46.24","..41.58","627"
09/04/2023,"..41.58","..48.98","..45.72","..41.58","319"
08/31/2023,"..41.58","..47.95","..45.60","..41.58","635"
08/30/2023,"..41.58","..48.00","..45.50","..41.58","842"
08/29/2023,"..41.58","..47.99","..45.45","..41.58","1,303"
08/28/2023,"..41.58","..45.45","..44.01","..41.58","221"
08/24/2023,"..41.58","..46.40","..44.01","..41.58","376"
08/23/2023,"..41.58","..44.12","..43.81","..41.58","1,637"
08/22/2023,"..41.58","..46.00","..43.76","..41.58","1,778"
08/21/2023,"..41.58","..45.79","..44.01","..41.58","1,063"
08/17/2023,"..41.58","..45.66","..43.60","..41.58","1,968"
08/16/2023,"..41.58","..44.50","..43.05","..41.58","305"
08/15/2023,"..41.58","..46.40","..44.00","..41.58","118"
08/14/2023,"..41.58","..46.48","..42.00","..41.58","1,797"
08/10/2023,"..41.58","..43.98","..42.63","..41.58","476"
08/09/2023,"..41.58","..47.95","..43.10","..41.58","2,917"
08/08/2023,"..41.58","..48.60","..45.00","..41.58","3,638"
08/07/2023,"..41.58","..49.00","..41.58","..41.58","12,963"
08/03/2023,"..41.58","..42.00","..40.80","..41.58","6,099"
08/02/2023,"..41.58","..41.70","..41.70","..41.58","614"
08/01/2023,"..41.58","..41.75","..41.22","..41.58","1,268"
07/31/2023,"..41.58","..42.00","..41.20","..41.58","275"
07/27/2023,"..41.58","..41.70","..41.50","..41.58","2,742"
07/26/2023,"..41.58","..41.50","..41.30","..41.58","1,263"
07/25/2023,"..41.58","..41.28","..41.28","..41.58","244"
07/24/2023,"..41.58","..41.27","..41.27","..41.58","234"
07/19/2023,"..41.58","..41.00","..40.33","..41.58","175"
07/18/2023,"..41.58","..41.90","..41.70","..41.58","115"
07/13/2023,"..41.58","..41.70","..40.15","..41.58","107"
07/12/2023,"..41.58","..41.70","..41.70","..41.58","200"
07/11/2023,"..41.58","..42.00","..41.92","..41.58","479"
07/10/2023,"..41.58","..41.95","..38.51","..41.58","2,106"
07/06/2023,"..41.58","..40.72","..40.72","..41.58","18"
07/05/2023,"..41.58","..42.25","..40.68","..41.58","124"
06/26/2023,"..41.58","..42.00","..40.40","..41.58","199"
06/22/2023,"..41.58","..42.00","..42.00","..41.58","45"
06/21/2023,"..41.58","..41.12","..41.00","..41.58","1,621"
06/20/2023,"..41.58","..42.00","..41.99","..41.58","537"
06/19/2023,"..41.58","..41.58","..40.08","..41.58","644"
06/15/2023,"..41.58","..41.60","..40.04","..41.58","498"
06/14/2023,"..41.58","..42.45","..41.00","..41.58","324"
06/13/2023,"..41.58","..42.45","..42.10","..41.58","3,683"
06/12/2023,"..41.58","..42.10","..42.09","..41.58","13"
06/08/2023,"..41.58","..42.00","..41.00","..41.58","537"
06/07/2023,"..41.58","..41.58","..41.50","..41.58","300"
06/06/2023,"..41.58","..41.59","..41.59","..41.58","19"
06/05/2023,"..41.58","..42.44","..41.59","..41.58","1,004"
06/01/2023,"..41.58","..42.00","..41.50","..41.58","5,320"
05/31/2023,"..41.58","..42.00","..40.07","..41.58","75"
05/30/2023,"..37.03","..42.57","..38.60","..41.58","7,743"
05/29/2023,"..37.03","..40.50","..40.00","..37.03","439"
05/25/2023,"..37.03","..39.99","..39.60","..37.03","1,602"
05/24/2023,"..37.03","..40.50","..39.40","..37.03","1,122"
05/23/2023,"..37.03","..39.75","..39.60","..37.03","993"
05/22/2023,"..37.03","..40.00","..39.46","..37.03","1,711"
05/18/2023,"..37.03","..40.80","..39.50","..37.03","2,410"
05/17/2023,"..37.03","..40.92","..40.90","..37.03","21"
05/16/2023,"..37.03","..40.92","..40.00","..37.03","1,311"
05/15/2023,"..37.03","..40.90","..39.39","..37.03","451"
05/11/2023,"..37.03","..40.50","..40.50","..37.03","35"
05/10/2023,"..37.03","..40.50","..38.38","..37.03","1,516"
05/09/2023,"..37.03","..40.00","..39.22","..37.03","182"
05/03/2023,"..37.03","..40.90","..39.10","..37.03","37"
05/02/2023,"..37.03","..41.00","..38.15","..37.03","1,337"
05/01/2023,"..37.03","..41.00","..39.00","..37.03","2,034"
04/27/2023,"..37.03","..38.90","..38.16","..37.03","200"
04/26/2023,"..37.03","..39.00","..38.11","..37.03","382"
04/19/2023,"..37.03","..39.00","..38.00","..37.03","399"
04/18/2023,"..37.03","..38.99","..37.50","..37.03","273"
04/13/2023,"..37.03","..37.70","..37.30","..37.03","655"
04/12/2023,"..37.03","..39.21","..37.62","..37.03","610"
04/11/2023,"..37.03","..38.04","..37.60","..37.03","1,698"
04/10/2023,"..37.03","..39.21","..38.79","..37.03","1,388"
04/06/2023,"..37.03","..39.30","..37.53","..37.03","393"
04/05/2023,"..37.03","..39.29","..39.19","..37.03","172"
04/04/2023,"..37.03","..39.19","..37.55","..37.03","303"
04/03/2023,"..37.03","..39.20","..37.55","..37.03","446"
03/30/2023,"..37.03","..39.40","..37.30","..37.03","1,561"
03/29/2023,"..37.03","..38.80","..37.50","..37.03","750"
03/28/2023,"..37.03","..37.48","..37.40","..37.03","1,000"
03/27/2023,"..37.03","..37.15","..37.15","..37.03","375"
03/23/2023,"..37.03","..37.46","..37.00","..37.03","13"
03/21/2023,"..37.03","..37.30","..37.00","..37.03","160"
03/20/2023,"..37.03","..37.37","..37.37","..37.03","5"
03/16/2023,"..37.03","..37.00","..35.58","..37.03","1,141"
03/15/2023,"..37.03","..37.51","..36.35","..37.03","769"
03/14/2023,"..39.29","..37.03","..36.99","..37.03","10,748"
03/13/2023,"..39.29","..37.77","..37.52","..39.29","1,730"
03/09/2023,"..39.29","..38.00","..37.76","..39.29","309"
03/08/2023,"..39.29","..38.00","..37.76","..39.29","520"
03/07/2023,"..39.29","..38.84","..37.11","..39.29","636"
03/02/2023,"..39.29","..39.85","..36.50","..39.29","247"
03/01/2023,"..39.29","..40.00","..39.40","..39.29","75"
02/28/2023,"..41.00","..39.39","..35.00","..39.29","12,393"
02/27/2023,"..41.00","..40.50","..38.55","..41.00","1,395"
02/23/2023,"..41.00","..40.50","..39.16","..41.00","176"
02/22/2023,"..41.00","..40.13","..40.00","..41.00","1,216"
02/21/2023,"..41.00","..40.75","..40.12","..41.00","427"
02/20/2023,"..41.00","..41.00","..41.00","..41.00","2"
02/16/2023,"..41.00","..40.90","..40.00","..41.00","624"
02/15/2023,"..41.00","..41.25","..40.99","..41.00","4,540"
02/14/2023,"..41.00","..41.00","..39.64","..41.00","7,141"
02/13/2023,"..41.00","..40.99","..39.27","..41.00","402"
02/09/2023,"..41.00","..41.00","..39.05","..41.00","54"
02/08/2023,"..41.00","..41.00","..41.00","..41.00","413"
02/07/2023,"..41.00","..40.50","..40.01","..41.00","102"
