Date,Open,High,Low,Close,Volume
09/21/2023,"..0.79","..0.80","..0.78","..0.78","2,146,916"
09/20/2023,"..0.82","..0.83","..0.79","..0.79","3,502,849"
09/19/2023,"..0.82","..0.84","..0.81","..0.82","9,175,922"
09/18/2023,"..0.79","..0.83","..0.79","..0.82","8,317,698"
09/14/2023,"..0.78","..0.80","..0.78","..0.79","2,306,991"
09/13/2023,"..0.78","..0.79","..0.77","..0.78","2,169,315"
09/12/2023,"..0.79","..0.81","..0.78","..0.78","2,366,283"
09/11/2023,"..0.80","..0.81","..0.79","..0.79","2,457,775"
09/07/2023,"..0.77","..0.80","..0.77","..0.79","2,970,468"
09/06/2023,"..0.79","..0.81","..0.77","..0.77","6,733,189"
09/05/2023,"..0.80","..0.82","..0.79","..0.79","4,944,282"
09/04/2023,"..0.81","..0.82","..0.80","..0.80","4,463,094"
08/31/2023,"..0.85","..0.86","..0.83","..0.83","10,958,680"
08/30/2023,"..0.81","..0.89","..0.80","..0.85","36,211,312"
08/29/2023,"..0.79","..0.83","..0.79","..0.81","16,304,080"
08/28/2023,"..0.82","..0.83","..0.78","..0.79","7,681,429"
08/24/2023,"..0.78","..0.85","..0.76","..0.82","19,827,260"
08/23/2023,"..0.82","..0.82","..0.77","..0.78","8,896,496"
08/22/2023,"..0.84","..0.86","..0.80","..0.82","30,143,539"
08/21/2023,"..0.73","..0.84","..0.74","..0.84","44,172,320"
08/17/2023,"..0.72","..0.73","..0.71","..0.71","3,429,575"
08/16/2023,"..0.74","..0.75","..0.72","..0.72","5,571,643"
08/15/2023,"..0.72","..0.76","..0.72","..0.74","12,829,250"
08/14/2023,"..0.71","..0.74","..0.71","..0.72","11,395,950"
08/10/2023,"..0.72","..0.74","..0.71","..0.71","10,067,790"
08/09/2023,"..0.69","..0.73","..0.69","..0.72","24,551,471"
08/08/2023,"..0.69","..0.70","..0.68","..0.69","3,254,218"
08/07/2023,"..0.68","..0.71","..0.68","..0.69","3,646,724"
08/03/2023,"..0.68","..0.70","..0.68","..0.68","1,619,694"
08/02/2023,"..0.70","..0.72","..0.67","..0.68","3,407,610"
08/01/2023,"..0.71","..0.72","..0.69","..0.70","4,437,463"
07/31/2023,"..0.68","..0.72","..0.68","..0.71","6,840,783"
07/27/2023,"..0.67","..0.69","..0.66","..0.68","1,574,316"
07/26/2023,"..0.68","..0.68","..0.66","..0.67","461,225"
07/25/2023,"..0.68","..0.69","..0.67","..0.68","441,279"
07/24/2023,"..0.68","..0.71","..0.67","..0.68","1,660,748"
07/19/2023,"..0.67","..0.70","..0.68","..0.68","1,385,344"
07/18/2023,"..0.68","..0.69","..0.67","..0.67","964,524"
07/17/2023,"..0.69","..0.69","..0.67","..0.68","1,025,685"
07/13/2023,"..0.69","..0.70","..0.68","..0.69","578,764"
07/12/2023,"..0.68","..0.71","..0.68","..0.69","2,144,860"
07/11/2023,"..0.65","..0.70","..0.65","..0.68","1,680,123"
07/10/2023,"..0.64","..0.66","..0.61","..0.65","1,687,912"
07/06/2023,"..0.71","..0.73","..0.68","..0.69","3,985,247"
07/05/2023,"..0.72","..0.73","..0.71","..0.71","1,525,584"
07/04/2023,"..0.71","..0.73","..0.72","..0.72","1,135,822"
06/26/2023,"..0.71","..0.72","..0.71","..0.71","887,066"
06/22/2023,"..0.73","..0.74","..0.72","..0.73","1,981,800"
06/21/2023,"..0.75","..0.76","..0.73","..0.73","2,609,417"
06/20/2023,"..0.76","..0.77","..0.75","..0.75","2,689,518"
06/19/2023,"..0.77","..0.80","..0.75","..0.76","6,850,425"
06/15/2023,"..0.76","..0.78","..0.76","..0.76","3,392,113"
06/14/2023,"..0.76","..0.78","..0.76","..0.76","3,936,506"
06/13/2023,"..0.78","..0.79","..0.76","..0.76","3,302,823"
06/12/2023,"..0.77","..0.80","..0.77","..0.78","2,281,389"
06/08/2023,"..0.78","..0.80","..0.77","..0.77","7,109,448"
06/07/2023,"..0.75","..0.83","..0.74","..0.78","16,172,580"
06/06/2023,"..0.76","..0.78","..0.74","..0.75","4,537,872"
06/05/2023,"..0.78","..0.79","..0.76","..0.76","4,629,302"
06/01/2023,"..0.75","..0.78","..0.75","..0.77","6,705,812"
05/31/2023,"..0.76","..0.78","..0.74","..0.75","6,721,981"
05/30/2023,"..0.77","..0.78","..0.76","..0.76","6,255,308"
05/29/2023,"..0.79","..0.80","..0.76","..0.77","8,838,663"
05/25/2023,"..0.74","..0.75","..0.72","..0.74","16,175,200"
05/24/2023,"..0.75","..0.78","..0.74","..0.74","10,295,330"
05/23/2023,"..0.70","..0.76","..0.71","..0.75","26,802,840"
05/22/2023,"..0.65","..0.71","..0.66","..0.70","33,151,270"
05/18/2023,"..0.60","..0.60","..0.58","..0.59","1,015,062"
05/17/2023,"..0.61","..0.62","..0.59","..0.60","2,079,066"
05/16/2023,"..0.61","..0.61","..0.61","..0.61","1,335,898"
05/15/2023,"..0.62","..0.62","..0.61","..0.61","1,428,386"
05/11/2023,"..0.62","..0.63","..0.61","..0.61","2,785,166"
05/10/2023,"..0.62","..0.62","..0.61","..0.62","6,066,183"
05/09/2023,"..0.62","..0.63","..0.61","..0.62","6,329,583"
05/08/2023,"..0.61","..0.62","..0.62","..0.62","1,218,476"
05/03/2023,"..0.62","..0.62","..0.61","..0.61","861,818"
05/02/2023,"..0.62","..0.63","..0.62","..0.62","519,550"
05/01/2023,"..0.64","..0.65","..0.62","..0.62","3,798,286"
04/27/2023,"..0.62","..0.63","..0.61","..0.63","3,779,587"
04/26/2023,"..0.61","..0.63","..0.60","..0.62","990,977"
04/19/2023,"..0.62","..0.62","..0.61","..0.61","1,083,044"
04/18/2023,"..0.62","..0.62","..0.61","..0.62","752,931"
04/13/2023,"..0.63","..0.63","..0.62","..0.62","1,456,893"
04/12/2023,"..0.63","..0.64","..0.62","..0.63","1,241,097"
04/11/2023,"..0.63","..0.64","..0.62","..0.63","989,111"
04/10/2023,"..0.64","..0.64","..0.62","..0.63","1,278,422"
04/06/2023,"..0.65","..0.66","..0.64","..0.64","3,007,073"
04/05/2023,"..0.63","..0.67","..0.64","..0.65","5,915,329"
04/04/2023,"..0.62","..0.63","..0.61","..0.63","3,677,893"
04/03/2023,"..0.62","..0.63","..0.61","..0.62","3,270,858"
03/30/2023,"..0.62","..0.63","..0.60","..0.60","2,460,034"
03/29/2023,"..0.62","..0.63","..0.62","..0.62","1,727,336"
03/28/2023,"..0.62","..0.63","..0.59","..0.62","2,040,586"
03/27/2023,"..0.62","..0.65","..0.61","..0.62","4,657,772"
03/23/2023,"..0.59","..0.60","..0.58","..0.59","2,254,636"
03/22/2023,"..0.62","..0.63","..0.58","..0.59","5,010,949"
03/21/2023,"..0.60","..0.63","..0.59","..0.62","2,483,167"
03/20/2023,"..0.58","..0.62","..0.58","..0.60","2,831,393"
03/16/2023,"..0.60","..0.60","..0.51","..0.58","2,451,842"
03/15/2023,"..0.67","..0.68","..0.54","..0.60","3,803,041"
03/14/2023,"..0.66","..0.68","..0.62","..0.67","2,009,758"
03/13/2023,"..0.74","..0.75","..0.65","..0.66","2,670,386"
03/09/2023,"..0.74","..0.77","..0.72","..0.75","4,219,597"
03/08/2023,"..0.74","..0.76","..0.73","..0.74","1,066,545"
03/07/2023,"..0.74","..0.78","..0.73","..0.74","7,640,499"
03/06/2023,"..0.74","..0.75","..0.73","..0.74","1,227,535"
03/02/2023,"..0.75","..0.77","..0.74","..0.75","1,210,441"
03/01/2023,"..0.75","..0.77","..0.75","..0.75","2,390,457"
02/28/2023,"..0.76","..0.77","..0.74","..0.75","2,012,045"
02/27/2023,"..0.76","..0.79","..0.75","..0.76","1,733,146"
02/23/2023,"..0.77","..0.79","..0.76","..0.78","587,044"
02/22/2023,"..0.80","..0.82","..0.77","..0.77","3,636,408"
02/21/2023,"..0.73","..0.82","..0.74","..0.80","5,009,570"
02/20/2023,"..0.78","..0.79","..0.72","..0.73","2,074,241"
02/16/2023,"..0.81","..0.82","..0.79","..0.79","1,799,244"
02/15/2023,"..0.80","..0.82","..0.79","..0.81","3,944,540"
02/14/2023,"..0.79","..0.82","..0.79","..0.80","2,519,600"
02/13/2023,"..0.80","..0.83","..0.79","..0.79","5,189,528"
02/09/2023,"..0.73","..0.74","..0.72","..0.73","268,639"
02/08/2023,"..0.74","..0.77","..0.73","..0.73","547,669"
02/07/2023,"..0.71","..0.75","..0.71","..0.74","2,405,053"
02/06/2023,"..0.66","..0.74","..0.68","..0.71","1,977,848"
02/02/2023,"..0.73","..0.75","..0.71","..0.72","1,553,575"
02/01/2023,"..0.74","..0.74","..0.72","..0.73","2,521,598"
01/31/2023,"..0.75","..0.76","..0.73","..0.74","1,842,713"
01/30/2023,"..0.78","..0.78","..0.74","..0.75","2,472,089"
01/25/2023,"..0.78","..0.79","..0.78","..0.78","1,486,251"
01/24/2023,"..0.80","..0.81","..0.77","..0.78","4,258,412"
01/23/2023,"..0.83","..0.84","..0.79","..0.80","12,079,030"
01/19/2023,"..0.84","..0.86","..0.84","..0.84","1,708,921"
01/18/2023,"..0.85","..0.87","..0.84","..0.84","2,012,678"
01/17/2023,"..0.86","..0.88","..0.85","..0.85","3,352,086"
01/16/2023,"..0.86","..0.89","..0.85","..0.86","2,616,602"
01/12/2023,"..0.84","..0.85","..0.82","..0.82","1,700,981"
01/11/2023,"..0.85","..0.87","..0.82","..0.84","2,404,253"
01/10/2023,"..0.87","..0.89","..0.83","..0.85","2,047,031"
01/09/2023,"..0.92","..0.92","..0.87","..0.87","3,444,027"
01/05/2023,"..0.93","..0.94","..0.92","..0.92","2,636,484"
01/04/2023,"..0.94","..0.95","..0.90","..0.93","5,213,325"
01/03/2023,"..0.90","..0.95","..0.90","..0.94","5,123,365"
01/02/2023,"..0.87","..0.90","..0.87","..0.90","4,247,883"
12/29/2022,"..0.87","..0.89","..0.86","..0.87","2,576,929"
12/28/2022,"..0.90","..0.91","..0.87","..0.87","3,759,160"
12/27/2022,"..0.91","..0.93","..0.89","..0.90","4,938,728"
12/26/2022,"..0.93","..0.94","..0.89","..0.91","2,729,634"
12/22/2022,"..1.05","..1.07","..1.01","..1.03","1,436,512"
12/21/2022,"..1.02","..1.06","..1.00","..1.05","2,957,071"
12/20/2022,"..1.04","..1.04","..1.01","..1.02","496,333"
12/19/2022,"..1.02","..1.05","..1.01","..1.04","987,669"
12/15/2022,"..1.08","..1.11","..1.02","..1.05","2,000,049"
12/14/2022,"..1.06","..1.12","..1.06","..1.08","2,240,194"
12/13/2022,"..1.09","..1.10","..1.05","..1.06","2,995,284"
12/12/2022,"..1.12","..1.13","..1.07","..1.09","2,082,416"
12/08/2022,"..1.18","..1.18","..1.13","..1.16","3,840,458"
12/07/2022,"..1.14","..1.21","..1.11","..1.18","11,443,690"
12/06/2022,"..1.13","..1.15","..1.12","..1.14","2,926,510"
12/05/2022,"..1.16","..1.20","..1.13","..1.13","5,183,429"
12/01/2022,"..1.15","..1.19","..1.13","..1.13","6,239,443"
11/30/2022,"..1.15","..1.20","..1.14","..1.15","9,569,433"
11/29/2022,"..1.09","..1.17","..1.09","..1.15","15,294,730"
11/28/2022,"..1.07","..1.12","..1.07","..1.09","7,599,000"
11/24/2022,"..1.05","..1.06","..1.03","..1.04","2,933,641"
11/23/2022,"..1.07","..1.09","..1.04","..1.05","3,771,278"
11/22/2022,"..1.08","..1.09","..1.05","..1.07","3,449,055"
11/21/2022,"..1.07","..1.11","..1.06","..1.08","15,167,570"
11/17/2022,"..1.10","..1.13","..1.09","..1.10","8,664,293"
11/16/2022,"..1.01","..1.14","..1.00","..1.10","33,379,859"
11/15/2022,"..1.02","..1.04","..1.00","..1.01","7,598,949"
11/14/2022,"..1.02","..1.05","..1.00","..1.02","11,708,980"
11/10/2022,"..1.00","..1.02","..0.99","..1.00","3,799,162"
11/09/2022,"..0.94","..1.02","..0.94","..1.00","9,424,187"
11/08/2022,"..0.92","..0.95","..0.90","..0.94","7,719,070"
11/07/2022,"..0.92","..0.94","..0.90","..0.92","2,430,452"
11/03/2022,"..0.89","..0.90","..0.87","..0.87","795,321"
11/02/2022,"..0.88","..0.92","..0.87","..0.89","5,752,383"
11/01/2022,"..0.86","..0.89","..0.87","..0.88","5,106,858"
10/31/2022,"..0.86","..0.88","..0.80","..0.86","4,232,989"
10/27/2022,"..0.87","..0.92","..0.87","..0.89","3,415,546"
