Date,Open,High,Low,Close,Volume
09/21/2023,"..4.63","..4.78","..4.61","..4.75","441,423"
09/20/2023,"..4.97","..5.04","..4.60","..4.63","1,438,423"
09/19/2023,"..5.05","..5.15","..4.96","..4.97","635,803"
09/18/2023,"..4.90","..5.15","..4.93","..5.05","1,382,527"
09/14/2023,"..4.90","..4.99","..4.84","..4.89","119,320"
09/13/2023,"..4.84","..4.97","..4.86","..4.90","118,587"
09/12/2023,"..4.97","..5.00","..4.80","..4.84","332,765"
09/11/2023,"..5.07","..5.10","..4.95","..4.97","785,680"
09/07/2023,"..5.10","..5.20","..5.09","..5.10","200,531"
09/06/2023,"..5.17","..5.29","..5.07","..5.10","564,798"
09/05/2023,"..5.13","..5.25","..5.15","..5.17","68,195"
09/04/2023,"..5.13","..5.33","..5.12","..5.13","383,520"
08/31/2023,"..5.16","..5.29","..5.13","..5.22","272,003"
08/30/2023,"..5.17","..5.23","..5.10","..5.16","256,500"
08/29/2023,"..5.12","..5.23","..5.10","..5.17","204,743"
08/28/2023,"..5.13","..5.17","..5.09","..5.12","170,159"
08/24/2023,"..5.10","..5.22","..5.08","..5.13","155,103"
08/23/2023,"..5.15","..5.29","..5.10","..5.10","475,056"
08/22/2023,"..5.09","..5.27","..5.10","..5.15","671,097"
08/21/2023,"..5.13","..5.27","..5.09","..5.09","298,438"
08/17/2023,"..5.15","..5.22","..5.09","..5.11","217,599"
08/16/2023,"..5.17","..5.33","..5.09","..5.15","227,886"
08/15/2023,"..5.16","..5.30","..5.11","..5.17","172,532"
08/14/2023,"..5.24","..5.29","..5.13","..5.16","360,978"
08/10/2023,"..5.38","..5.39","..5.21","..5.26","195,592"
08/09/2023,"..5.47","..5.57","..5.32","..5.38","278,905"
08/08/2023,"..5.16","..5.61","..5.20","..5.47","1,925,763"
08/07/2023,"..5.07","..5.21","..5.06","..5.16","364,418"
08/03/2023,"..4.98","..5.08","..4.84","..5.01","604,958"
08/02/2023,"..5.07","..5.13","..4.86","..4.98","90,171"
08/01/2023,"..5.02","..5.18","..4.95","..5.07","408,507"
07/31/2023,"..4.79","..5.19","..4.75","..5.02","907,899"
07/27/2023,"..4.77","..4.80","..4.68","..4.70","539,231"
07/26/2023,"..4.85","..4.89","..4.73","..4.77","313,019"
07/25/2023,"..4.78","..4.90","..4.71","..4.85","100,081"
07/24/2023,"..4.90","..4.89","..4.70","..4.78","292,882"
07/19/2023,"..4.90","..4.94","..4.80","..4.90","45,774"
07/18/2023,"..4.90","..4.91","..4.75","..4.90","7,706"
07/17/2023,"..4.80","..4.95","..4.80","..4.90","126,978"
07/13/2023,"..4.68","..4.95","..4.70","..4.80","308,859"
07/12/2023,"..4.68","..4.79","..4.68","..4.68","50,599"
07/11/2023,"..4.62","..4.80","..4.60","..4.68","518,934"
07/10/2023,"..4.33","..4.68","..4.43","..4.62","320,029"
07/06/2023,"..5.08","..5.09","..4.90","..4.91","148,697"
07/05/2023,"..5.03","..5.24","..5.05","..5.08","106,094"
07/04/2023,"..5.10","..5.25","..5.01","..5.03","168,449"
06/26/2023,"..5.10","..5.17","..5.02","..5.10","24,008"
06/22/2023,"..5.22","..5.26","..5.03","..5.10","89,457"
06/21/2023,"..5.28","..5.30","..5.20","..5.22","261,622"
06/20/2023,"..5.30","..5.40","..5.26","..5.28","446,553"
06/19/2023,"..5.30","..5.36","..5.26","..5.30","46,795"
06/15/2023,"..5.30","..5.40","..5.23","..5.30","54,037"
06/14/2023,"..5.40","..5.50","..5.22","..5.30","188,534"
06/13/2023,"..5.42","..5.50","..5.36","..5.40","282,967"
06/12/2023,"..5.42","..5.45","..5.37","..5.42","21,507"
06/08/2023,"..5.50","..5.58","..5.41","..5.42","130,551"
06/07/2023,"..5.60","..5.70","..5.43","..5.50","373,306"
06/06/2023,"..5.50","..5.77","..5.43","..5.60","2,527,231"
06/05/2023,"..5.55","..5.64","..5.48","..5.50","1,130,958"
06/01/2023,"..5.30","..5.40","..5.25","..5.30","817,686"
05/31/2023,"..5.25","..5.45","..5.29","..5.30","3,982,656"
05/30/2023,"..5.00","..5.28","..5.00","..5.25","3,180,866"
05/29/2023,"..5.00","..5.10","..4.97","..5.00","410,651"
05/25/2023,"..4.95","..5.00","..4.87","..4.99","84,512"
05/24/2023,"..4.98","..5.00","..4.90","..4.95","318,130"
05/23/2023,"..4.85","..5.00","..4.86","..4.98","263,929"
05/22/2023,"..4.85","..5.20","..4.84","..4.85","830,799"
05/18/2023,"..4.68","..4.79","..4.68","..4.70","126,496"
05/17/2023,"..4.66","..4.78","..4.66","..4.68","262,138"
05/16/2023,"..4.65","..4.79","..4.65","..4.66","107,421"
05/15/2023,"..4.71","..4.80","..4.62","..4.65","114,907"
05/11/2023,"..4.69","..4.79","..4.71","..4.73","96,640"
05/10/2023,"..4.72","..4.75","..4.60","..4.69","126,458"
05/09/2023,"..4.70","..4.85","..4.68","..4.72","96,758"
05/08/2023,"..4.71","..4.85","..4.67","..4.70","297,655"
05/03/2023,"..4.68","..4.85","..4.60","..4.68","167,934"
05/02/2023,"..4.79","..4.86","..4.63","..4.68","279,735"
05/01/2023,"..4.92","..4.96","..4.75","..4.79","215,596"
04/27/2023,"..4.99","..5.10","..4.97","..5.00","344,597"
04/26/2023,"..5.05","..5.09","..4.92","..4.99","106,280"
04/19/2023,"..4.90","..5.22","..4.99","..5.05","490,148"
04/18/2023,"..4.90","..4.97","..4.84","..4.90","163,223"
04/13/2023,"..4.88","..4.90","..4.81","..4.90","115,768"
04/12/2023,"..4.95","..4.99","..4.85","..4.88","97,693"
04/11/2023,"..4.88","..4.99","..4.86","..4.95","102,209"
04/10/2023,"..4.87","..5.00","..4.82","..4.88","172,517"
04/06/2023,"..5.04","..5.10","..4.90","..4.97","261,055"
04/05/2023,"..5.16","..5.29","..5.00","..5.04","600,963"
04/04/2023,"..5.11","..5.20","..5.00","..5.16","507,815"
04/03/2023,"..4.87","..5.20","..4.81","..5.11","923,728"
03/30/2023,"..4.93","..5.20","..4.80","..4.87","188,506"
03/29/2023,"..4.59","..5.10","..4.62","..4.93","210,016"
03/28/2023,"..4.59","..4.79","..4.70","..4.59","25,125"
03/27/2023,"..4.59","..4.80","..4.64","..4.59","55,716"
03/23/2023,"..4.62","..4.84","..4.50","..4.59","66,127"
03/22/2023,"..4.67","..4.75","..4.60","..4.62","142,512"
03/21/2023,"..4.56","..4.77","..4.56","..4.67","67,846"
03/20/2023,"..4.30","..4.70","..4.50","..4.56","176,666"
03/16/2023,"..4.43","..4.48","..3.81","..4.30","288,145"
03/15/2023,"..4.98","..5.18","..3.99","..4.43","384,048"
03/14/2023,"..4.90","..5.00","..4.44","..4.98","263,334"
03/13/2023,"..5.38","..5.49","..4.75","..4.90","227,006"
03/09/2023,"..5.42","..5.50","..5.35","..5.46","219,249"
03/08/2023,"..5.48","..5.53","..5.40","..5.42","330,206"
03/07/2023,"..5.64","..5.66","..5.45","..5.48","358,848"
03/06/2023,"..5.60","..5.75","..5.56","..5.64","504,362"
03/02/2023,"..5.62","..5.70","..5.56","..5.66","532,630"
03/01/2023,"..5.60","..5.65","..5.55","..5.62","135,882"
02/28/2023,"..5.58","..5.65","..5.51","..5.60","157,801"
02/27/2023,"..5.52","..5.60","..5.51","..5.58","277,230"
02/23/2023,"..5.70","..5.69","..5.52","..5.57","915,824"
02/22/2023,"..5.68","..5.70","..5.47","..5.70","301,523"
02/21/2023,"..5.47","..5.68","..5.39","..5.68","482,545"
02/20/2023,"..5.56","..5.64","..5.43","..5.47","827,100"
02/16/2023,"..5.70","..5.80","..5.56","..5.62","458,954"
02/15/2023,"..5.57","..5.80","..5.60","..5.70","834,965"
02/14/2023,"..5.43","..5.65","..5.43","..5.57","486,400"
02/13/2023,"..5.40","..5.60","..5.40","..5.43","716,983"
02/09/2023,"..5.27","..5.45","..5.28","..5.40","160,446"
02/08/2023,"..5.33","..5.50","..5.22","..5.27","325,029"
02/07/2023,"..5.30","..5.46","..5.25","..5.33","113,994"
02/06/2023,"..5.23","..5.47","..5.20","..5.30","165,669"
02/02/2023,"..5.45","..5.50","..5.20","..5.38","277,919"
02/01/2023,"..5.23","..5.50","..5.20","..5.45","128,777"
01/31/2023,"..5.45","..5.69","..5.20","..5.23","657,610"
01/30/2023,"..5.71","..5.81","..5.40","..5.45","1,240,139"
01/25/2023,"..5.75","..5.87","..5.67","..5.71","289,642"
01/24/2023,"..5.85","..6.00","..5.66","..5.75","704,399"
01/23/2023,"..5.50","..5.90","..5.51","..5.85","797,203"
01/19/2023,"..5.60","..5.70","..5.50","..5.56","181,538"
01/18/2023,"..5.44","..5.74","..5.54","..5.60","384,641"
01/17/2023,"..5.35","..5.55","..5.38","..5.44","351,805"
01/16/2023,"..5.26","..5.50","..5.25","..5.35","580,728"
01/12/2023,"..5.15","..5.45","..5.20","..5.33","411,298"
01/11/2023,"..5.46","..5.75","..5.15","..5.15","1,000,608"
01/10/2023,"..5.63","..5.75","..5.42","..5.46","557,945"
01/09/2023,"..5.87","..5.97","..5.10","..5.63","1,174,828"
01/05/2023,"..5.89","..5.98","..5.80","..5.87","610,696"
01/04/2023,"..5.92","..6.04","..5.54","..5.89","1,366,581"
01/03/2023,"..5.91","..6.07","..5.83","..5.92","837,104"
01/02/2023,"..5.83","..6.00","..5.85","..5.91","260,308"
12/29/2022,"..6.00","..6.04","..5.80","..5.83","868,096"
12/28/2022,"..6.02","..6.10","..5.95","..6.00","538,265"
12/27/2022,"..5.96","..6.20","..5.92","..6.02","1,182,004"
12/26/2022,"..5.82","..6.00","..5.77","..5.96","215,958"
12/22/2022,"..6.12","..6.21","..6.03","..6.05","520,673"
12/21/2022,"..6.11","..6.39","..6.10","..6.12","1,303,501"
12/20/2022,"..5.81","..6.39","..5.87","..6.11","3,467,804"
12/19/2022,"..5.51","..5.87","..5.55","..5.81","635,883"
12/15/2022,"..5.70","..5.78","..5.56","..5.59","298,097"
12/14/2022,"..5.70","..5.88","..5.67","..5.70","956,406"
12/13/2022,"..5.58","..5.79","..5.60","..5.70","411,781"
12/12/2022,"..5.61","..5.65","..5.43","..5.58","551,838"
12/08/2022,"..5.66","..5.82","..5.64","..5.67","766,516"
12/07/2022,"..5.45","..5.96","..5.50","..5.66","2,088,958"
12/06/2022,"..5.37","..5.49","..5.28","..5.45","336,363"
12/05/2022,"..5.40","..5.60","..5.31","..5.37","987,837"
12/01/2022,"..5.40","..5.55","..5.25","..5.33","633,476"
11/30/2022,"..5.38","..5.47","..5.30","..5.40","846,892"
11/29/2022,"..5.25","..5.40","..5.20","..5.38","405,071"
11/28/2022,"..5.32","..5.39","..5.14","..5.25","508,461"
11/24/2022,"..4.80","..5.10","..4.73","..5.08","2,744,234"
11/23/2022,"..4.65","..4.86","..4.59","..4.80","1,407,050"
11/22/2022,"..4.65","..4.65","..4.59","..4.65","55,091"
11/21/2022,"..4.60","..4.70","..4.62","..4.65","1,306,629"
11/17/2022,"..4.70","..4.80","..4.56","..4.60","402,678"
11/16/2022,"..4.65","..4.77","..4.44","..4.70","193,921"
