Date,Open,High,Low,Close,Volume
09/21/2023,"..14.50","..14.95","..14.57","..14.74","139,128"
09/20/2023,"..15.04","..15.20","..14.40","..14.50","335,536"
09/19/2023,"..15.02","..15.25","..15.00","..15.04","582,453"
09/18/2023,"..15.16","..15.24","..15.00","..15.02","187,873"
09/14/2023,"..14.96","..15.10","..14.90","..14.92","342,781"
09/13/2023,"..14.92","..15.00","..14.87","..14.96","194,974"
09/12/2023,"..14.92","..15.10","..14.88","..14.92","27,224"
09/11/2023,"..15.02","..15.15","..14.90","..14.92","1,077,517"
09/07/2023,"..15.05","..15.39","..15.00","..15.12","1,130,685"
09/06/2023,"..15.36","..15.49","..15.00","..15.05","169,564"
09/05/2023,"..15.44","..15.68","..15.34","..15.36","121,295"
09/04/2023,"..15.50","..15.71","..15.35","..15.44","96,117"
08/31/2023,"..15.70","..15.90","..15.35","..15.42","121,760"
08/30/2023,"..15.67","..15.80","..15.51","..15.70","150,849"
08/29/2023,"..15.43","..15.75","..15.25","..15.67","218,832"
08/28/2023,"..15.25","..15.69","..15.00","..15.43","305,855"
08/24/2023,"..14.56","..14.71","..14.50","..14.67","68,879"
08/23/2023,"..14.52","..14.60","..14.44","..14.56","97,231"
08/22/2023,"..14.60","..14.70","..14.25","..14.52","62,389"
08/21/2023,"..14.77","..14.90","..14.41","..14.60","44,374"
08/17/2023,"..14.73","..14.80","..14.51","..14.80","592,542"
08/16/2023,"..14.78","..14.83","..14.60","..14.73","154,943"
08/15/2023,"..14.25","..14.85","..14.17","..14.78","2,281,195"
08/14/2023,"..14.12","..14.45","..14.10","..14.25","487,830"
08/10/2023,"..14.34","..14.50","..14.00","..14.01","299,369"
08/09/2023,"..14.39","..14.73","..14.25","..14.34","362,994"
08/08/2023,"..14.20","..14.43","..13.85","..14.39","157,603"
08/07/2023,"..13.59","..14.25","..13.50","..14.20","2,398,670"
08/03/2023,"..13.83","..13.99","..13.68","..13.76","36,355"
08/02/2023,"..13.90","..14.24","..13.66","..13.83","415,225"
08/01/2023,"..13.86","..13.98","..13.61","..13.90","135,823"
07/31/2023,"..13.90","..13.98","..13.66","..13.86","94,996"
07/27/2023,"..13.55","..13.68","..13.30","..13.50","132,158"
07/26/2023,"..13.52","..13.72","..13.50","..13.55","1,021,126"
07/25/2023,"..13.99","..14.05","..13.50","..13.52","168,582"
07/24/2023,"..13.34","..13.99","..13.30","..13.99","255,801"
07/19/2023,"..13.41","..13.65","..13.30","..13.34","34,281"
07/18/2023,"..13.40","..13.55","..13.25","..13.41","135,850"
07/17/2023,"..13.67","..13.90","..13.15","..13.40","123,178"
