Date,Open,High,Low,Close,Volume
09/21/2023,"..10.50","..10.60","..10.34","..10.50","59,225"
09/20/2023,"..10.54","..10.60","..10.48","..10.50","477,334"
09/19/2023,"..10.47","..10.58","..10.44","..10.54","95,473"
09/18/2023,"..10.35","..10.55","..10.35","..10.47","404,681"
09/14/2023,"..10.31","..10.45","..10.32","..10.35","193,703"
09/13/2023,"..10.31","..10.54","..10.30","..10.31","30,570"
09/12/2023,"..10.46","..10.50","..10.30","..10.31","54,744"
09/11/2023,"..10.59","..10.69","..10.36","..10.46","68,244"
09/07/2023,"..10.63","..10.74","..10.60","..10.65","547,896"
09/06/2023,"..10.47","..10.75","..10.48","..10.63","1,460,889"
09/05/2023,"..10.50","..10.50","..10.36","..10.47","188,992"
09/04/2023,"..10.35","..10.58","..10.25","..10.50","120,822"
08/31/2023,"..10.30","..10.40","..10.15","..10.15","253,030"
08/30/2023,"..10.50","..10.45","..10.25","..10.30","199,443"
08/29/2023,"..10.31","..10.54","..10.32","..10.50","278,182"
08/28/2023,"..10.51","..10.60","..10.30","..10.31","88,363"
08/24/2023,"..10.19","..10.50","..10.11","..10.40","1,044,958"
08/23/2023,"..10.21","..10.24","..10.12","..10.19","121,493"
08/22/2023,"..10.10","..10.25","..10.11","..10.21","63,886"
08/21/2023,"..10.23","..10.28","..10.08","..10.10","234,185"
08/17/2023,"..10.48","..10.50","..9.00","..10.18","226,303"
08/16/2023,"..10.50","..10.53","..10.40","..10.48","257,254"
08/15/2023,"..10.50","..10.58","..10.32","..10.50","131,506"
08/14/2023,"..10.54","..10.60","..10.45","..10.50","194,346"
08/10/2023,"..10.49","..10.60","..10.42","..10.55","327,512"
08/09/2023,"..10.36","..10.53","..10.32","..10.49","6,320,046"
08/08/2023,"..10.31","..10.50","..10.35","..10.36","454,645"
08/07/2023,"..10.16","..10.35","..10.16","..10.31","178,927"
08/03/2023,"..10.08","..10.21","..10.06","..10.11","481,923"
08/02/2023,"..10.12","..10.20","..10.05","..10.08","332,609"
08/01/2023,"..10.07","..10.30","..10.01","..10.12","761,955"
07/31/2023,"..10.00","..10.15","..10.00","..10.07","411,890"
07/27/2023,"..10.09","..10.38","..9.97","..9.99","920,667"
