Date,Open,High,Low,Close,Volume
09/21/2023,"..3.92","..3.96","..3.92","..3.93","878,366"
09/20/2023,"..4.02","..4.05","..3.91","..3.92","1,481,070"
09/19/2023,"..4.07","..4.09","..4.01","..4.02","1,438,529"
09/18/2023,"..4.10","..4.12","..4.04","..4.07","999,007"
09/14/2023,"..3.93","..4.13","..3.93","..4.08","6,978,261"
09/13/2023,"..3.93","..3.95","..3.91","..3.93","296,396"
09/12/2023,"..3.97","..3.98","..3.92","..3.93","466,375"
09/11/2023,"..4.00","..4.00","..3.94","..3.97","1,236,835"
09/07/2023,"..3.95","..3.99","..3.89","..3.95","3,500,147"
09/06/2023,"..3.87","..3.95","..3.86","..3.95","2,566,131"
09/05/2023,"..3.89","..3.95","..3.85","..3.87","2,044,578"
09/04/2023,"..3.85","..3.93","..3.85","..3.89","1,488,037"
08/31/2023,"..3.91","..3.93","..3.81","..3.84","4,043,203"
08/30/2023,"..4.00","..4.01","..3.89","..3.91","4,198,027"
08/29/2023,"..3.84","..4.01","..3.79","..4.00","7,216,792"
08/28/2023,"..3.86","..3.89","..3.70","..3.84","12,195,490"
08/24/2023,"..3.88","..3.93","..3.85","..3.88","1,241,866"
08/23/2023,"..3.98","..4.00","..3.87","..3.88","2,495,330"
08/22/2023,"..3.98","..4.00","..3.97","..3.98","560,138"
08/21/2023,"..4.00","..4.01","..3.98","..3.98","640,068"
08/17/2023,"..4.00","..4.04","..3.98","..4.00","1,067,202"
08/16/2023,"..4.05","..4.07","..3.99","..4.00","10,296,340"
08/15/2023,"..4.10","..4.10","..4.05","..4.05","1,435,878"
08/14/2023,"..4.10","..4.13","..4.08","..4.10","1,097,133"
08/10/2023,"..4.14","..4.16","..4.10","..4.12","3,410,852"
08/09/2023,"..4.15","..4.20","..4.13","..4.14","665,811"
08/08/2023,"..4.15","..4.19","..4.15","..4.15","445,316"
08/07/2023,"..4.05","..4.24","..4.07","..4.15","2,238,470"
08/03/2023,"..4.06","..4.09","..4.02","..4.04","1,617,746"
08/02/2023,"..3.98","..4.16","..4.00","..4.06","5,016,718"
08/01/2023,"..4.08","..4.10","..3.96","..3.98","4,603,705"
07/31/2023,"..4.06","..4.09","..4.04","..4.08","1,360,168"
07/27/2023,"..4.15","..4.18","..3.94","..4.02","6,901,383"
07/26/2023,"..4.18","..4.21","..4.14","..4.15","4,381,690"
07/25/2023,"..4.29","..4.30","..4.15","..4.18","2,155,737"
07/24/2023,"..4.27","..4.32","..4.27","..4.29","848,803"
07/19/2023,"..4.25","..4.32","..4.23","..4.27","1,965,525"
