Date,Open,High,Low,Close,Volume
09/21/2023,"..3.46","..3.46","..3.45","..3.46","2,725"
09/20/2023,"..3.45","..3.49","..3.40","..3.46","114,204"
09/19/2023,"..3.45","..3.49","..3.16","..3.45","52,825"
09/18/2023,"..3.45","..3.59","..3.40","..3.45","2,270"
09/13/2023,"..3.45","..3.45","..3.43","..3.45","761,000"
09/12/2023,"..3.45","..3.60","..3.31","..3.45","17,970"
09/11/2023,"..3.25","..3.56","..3.31","..3.45","287,900"
09/07/2023,"..3.25","..3.50","..3.35","..3.25","23,223"
09/06/2023,"..3.25","..3.40","..3.30","..3.25","292"
09/05/2023,"..3.65","..3.70","..3.10","..3.25","141,548"
09/04/2023,"..3.64","..3.65","..3.57","..3.65","140,024"
08/31/2023,"..3.64","..3.80","..3.55","..3.64","254"
08/30/2023,"..3.64","..3.80","..3.61","..3.64","10,376"
08/29/2023,"..3.65","..3.65","..3.60","..3.64","108,208"
08/28/2023,"..3.65","..3.80","..3.52","..3.65","64,792"
08/23/2023,"..3.65","..3.70","..3.60","..3.65","11,404"
08/22/2023,"..3.65","..3.96","..3.60","..3.65","203"
08/21/2023,"..3.65","..3.65","..3.65","..3.65","24"
08/16/2023,"..3.70","..3.99","..3.65","..3.70","10,228"
08/15/2023,"..3.70","..3.99","..3.51","..3.70","3,635"
08/08/2023,"..3.70","..3.99","..3.60","..3.70","118"
08/07/2023,"..4.07","..3.99","..3.70","..3.70","100,037"
08/03/2023,"..4.07","..3.99","..3.99","..4.07","17"
08/02/2023,"..4.07","..3.99","..3.99","..4.07","182"
08/01/2023,"..4.07","..4.00","..4.00","..4.07","12"
07/31/2023,"..4.00","..4.50","..3.51","..4.07","123,260"
07/27/2023,"..4.00","..3.75","..3.51","..4.00","2,193"
07/26/2023,"..4.00","..3.51","..3.51","..4.00","588"
07/24/2023,"..4.00","..3.75","..3.65","..4.00","13,117"
07/19/2023,"..4.00","..3.98","..3.50","..4.00","1,030"
07/17/2023,"..4.00","..3.99","..3.55","..4.00","275"
07/13/2023,"..3.45","..3.90","..3.50","..3.79","203,554"
07/12/2023,"..3.45","..3.60","..3.45","..3.45","512,662"
07/11/2023,"..3.45","..3.60","..3.30","..3.45","66,720"
07/10/2023,"..3.45","..3.60","..3.25","..3.45","161"
07/06/2023,"..3.45","..3.70","..3.02","..3.45","255"
07/05/2023,"..3.45","..3.70","..3.20","..3.45","443"
07/04/2023,"..3.50","..3.45","..3.45","..3.45","300,000"
06/26/2023,"..3.50","..3.70","..3.00","..3.50","1,065"
06/22/2023,"..3.50","..3.43","..3.43","..3.50","68"
06/21/2023,"..3.50","..3.43","..3.43","..3.50","21"
06/20/2023,"..3.50","..3.70","..3.43","..3.50","70,008"
06/19/2023,"..3.50","..3.69","..3.61","..3.50","12,503"
06/15/2023,"..3.50","..3.70","..3.70","..3.50","1"
06/14/2023,"..3.50","..3.70","..3.70","..3.50","500"
