Date,Open,High,Low,Close,Volume
09/21/2023,"..0.42","..0.44","..0.41","..0.43","12,791,880"
09/20/2023,"..0.46","..0.46","..0.42","..0.42","19,890,689"
09/19/2023,"..0.47","..0.47","..0.45","..0.46","25,855,721"
09/18/2023,"..0.49","..0.49","..0.45","..0.47","32,987,371"
09/14/2023,"..0.50","..0.52","..0.47","..0.52","32,042,471"
09/13/2023,"..0.56","..0.56","..0.49","..0.50","40,149,969"
09/12/2023,"..0.56","..0.63","..0.54","..0.56","62,605,352"
09/11/2023,"..0.56","..0.56","..0.56","..0.56","2,129,751"
09/07/2023,"..0.73","..0.88","..0.80","..0.88","1,709,764"
09/06/2023,"..0.73","..0.88","..0.88","..0.73","397,481"
09/05/2023,"..0.73","..0.88","..0.88","..0.73","59,000"
08/31/2023,"..0.73","..0.88","..0.88","..0.73","7,575"
08/30/2023,"..0.73","..0.88","..0.88","..0.73","10,549"
08/29/2023,"..0.73","..0.73","..0.73","..0.73","412,250"
08/28/2023,"..0.61","..0.73","..0.73","..0.61","315"
08/24/2023,"..0.61","..0.73","..0.73","..0.61","10,948"
08/23/2023,"..0.61","..0.73","..0.73","..0.61","785"
08/22/2023,"..0.61","..0.73","..0.73","..0.61","3"
08/21/2023,"..0.61","..0.73","..0.73","..0.61","1,290"
08/17/2023,"..0.61","..0.73","..0.73","..0.61","2,750"
08/16/2023,"..0.61","..0.73","..0.73","..0.61","274"
08/15/2023,"..0.61","..0.73","..0.73","..0.61","103,797"
08/14/2023,"..0.61","..0.73","..0.73","..0.61","25,001"
08/10/2023,"..0.61","..0.73","..0.73","..0.61","20,021"
08/09/2023,"..0.61","..0.73","..0.73","..0.61","1,730"
08/08/2023,"..0.61","..0.73","..0.73","..0.61","117,400"
08/07/2023,"..0.73","..0.73","..0.73","..0.61","126,472"
08/03/2023,"..0.61","..0.73","..0.73","..0.61","2,220"
08/02/2023,"..0.61","..0.73","..0.73","..0.61","3,996"
08/01/2023,"..0.61","..0.73","..0.73","..0.61","6,864"
07/31/2023,"..0.61","..0.73","..0.73","..0.61","94,520"
07/27/2023,"..0.61","..0.73","..0.73","..0.61","106,760"
07/26/2023,"..0.61","..0.73","..0.73","..0.61","56,461"
07/25/2023,"..0.73","..0.73","..0.73","..0.61","103,350"
07/24/2023,"..0.73","..0.73","..0.73","..0.61","32,698"
07/19/2023,"..0.73","..0.73","..0.73","..0.61","150,201"
07/18/2023,"..0.73","..0.73","..0.73","..0.61","285,712"
07/17/2023,"..0.73","..0.73","..0.73","..0.61","2,621"
07/13/2023,"..0.73","..0.73","..0.73","..0.61","156,884"
07/12/2023,"..0.61","..0.73","..0.73","..0.61","167,890"
07/11/2023,"..0.61","..0.73","..0.73","..0.61","80,173"
