Date,Open,High,Low,Close,Volume
09/21/2023,"..0.24","..0.24","..0.23","..0.23","20,063,580"
09/20/2023,"..0.24","..0.24","..0.23","..0.24","18,552,750"
09/19/2023,"..0.24","..0.25","..0.24","..0.24","33,147,781"
09/18/2023,"..0.24","..0.25","..0.24","..0.24","28,383,811"
09/14/2023,"..0.24","..0.25","..0.24","..0.24","22,982,381"
09/13/2023,"..0.24","..0.25","..0.24","..0.24","12,534,940"
09/12/2023,"..0.24","..0.25","..0.24","..0.24","15,660,780"
09/11/2023,"..0.25","..0.25","..0.24","..0.24","14,322,890"
09/07/2023,"..0.25","..0.26","..0.25","..0.25","45,837,121"
09/06/2023,"..0.24","..0.26","..0.24","..0.25","94,711,445"
09/05/2023,"..0.24","..0.24","..0.24","..0.24","13,022,110"
09/04/2023,"..0.24","..0.24","..0.24","..0.24","18,484,619"
08/31/2023,"..0.24","..0.25","..0.24","..0.24","18,270,721"
08/30/2023,"..0.24","..0.25","..0.24","..0.24","34,682,641"
08/29/2023,"..0.24","..0.25","..0.24","..0.24","28,454,189"
08/28/2023,"..0.25","..0.25","..0.24","..0.24","13,130,300"
08/24/2023,"..0.25","..0.25","..0.24","..0.24","23,966,990"
08/23/2023,"..0.25","..0.26","..0.25","..0.25","28,420,850"
08/22/2023,"..0.25","..0.26","..0.25","..0.25","40,757,059"
08/21/2023,"..0.25","..0.26","..0.24","..0.25","17,769,789"
08/17/2023,"..0.26","..0.26","..0.25","..0.25","16,442,141"
08/16/2023,"..0.26","..0.27","..0.25","..0.26","49,367,832"
08/15/2023,"..0.26","..0.27","..0.26","..0.26","59,872,152"
08/14/2023,"..0.26","..0.27","..0.25","..0.26","49,923,602"
08/10/2023,"..0.23","..0.26","..0.24","..0.25","70,786,656"
08/09/2023,"..0.24","..0.25","..0.23","..0.23","29,890,811"
08/08/2023,"..0.25","..0.25","..0.24","..0.24","13,299,850"
08/07/2023,"..0.24","..0.25","..0.24","..0.25","16,257,540"
08/03/2023,"..0.24","..0.24","..0.23","..0.24","31,860,301"
08/02/2023,"..0.25","..0.25","..0.24","..0.24","20,549,570"
08/01/2023,"..0.25","..0.26","..0.25","..0.25","19,834,180"
07/31/2023,"..0.25","..0.26","..0.25","..0.25","16,852,250"
07/27/2023,"..0.26","..0.26","..0.25","..0.26","26,530,420"
07/26/2023,"..0.26","..0.26","..0.26","..0.26","14,882,330"
07/25/2023,"..0.27","..0.27","..0.26","..0.26","22,974,150"
07/24/2023,"..0.26","..0.28","..0.26","..0.27","43,563,090"
07/19/2023,"..0.26","..0.27","..0.26","..0.26","29,102,510"
07/18/2023,"..0.26","..0.27","..0.26","..0.26","20,585,670"
07/17/2023,"..0.27","..0.27","..0.26","..0.26","24,330,990"
07/13/2023,"..0.26","..0.26","..0.25","..0.26","35,519,281"
07/12/2023,"..0.26","..0.27","..0.26","..0.26","22,861,449"
07/11/2023,"..0.26","..0.27","..0.26","..0.26","36,000,406"
07/10/2023,"..0.26","..0.27","..0.25","..0.26","41,693,008"
07/06/2023,"..0.29","..0.30","..0.28","..0.29","50,074,168"
07/05/2023,"..0.29","..0.30","..0.29","..0.29","27,549,131"
07/04/2023,"..0.30","..0.31","..0.29","..0.29","82,713,609"
06/26/2023,"..0.27","..0.30","..0.27","..0.30","89,660,523"
06/22/2023,"..0.28","..0.29","..0.27","..0.28","71,540,211"
06/21/2023,"..0.26","..0.29","..0.26","..0.28","201,123,594"
06/20/2023,"..0.25","..0.26","..0.25","..0.26","46,211,609"
06/19/2023,"..0.26","..0.26","..0.25","..0.25","38,843,898"
06/15/2023,"..0.25","..0.26","..0.25","..0.25","21,912,250"
06/14/2023,"..0.26","..0.26","..0.25","..0.25","43,859,391"
06/13/2023,"..0.26","..0.27","..0.25","..0.26","97,094,953"
06/12/2023,"..0.24","..0.27","..0.24","..0.26","137,215,812"
06/08/2023,"..0.23","..0.24","..0.22","..0.23","32,360,590"
06/07/2023,"..0.24","..0.25","..0.23","..0.23","49,440,480"
06/06/2023,"..0.25","..0.26","..0.23","..0.24","72,120,062"
06/05/2023,"..0.23","..0.26","..0.20","..0.25","162,336,406"
06/01/2023,"..0.18","..0.21","..0.18","..0.21","105,555,602"
05/31/2023,"..0.19","..0.19","..0.18","..0.18","68,215,289"
05/30/2023,"..0.20","..0.21","..0.18","..0.19","110,228,094"
05/29/2023,"..0.17","..0.20","..0.17","..0.20","145,142,203"
05/25/2023,"..0.14","..0.14","..0.13","..0.14","12,668,820"
05/24/2023,"..0.13","..0.14","..0.13","..0.14","11,488,480"
05/23/2023,"..0.13","..0.14","..0.13","..0.13","8,482,622"
05/22/2023,"..0.13","..0.14","..0.13","..0.13","10,931,050"
05/18/2023,"..0.14","..0.14","..0.13","..0.13","5,577,376"
05/17/2023,"..0.14","..0.14","..0.13","..0.14","4,008,844"
05/16/2023,"..0.14","..0.14","..0.14","..0.14","12,643,300"
05/15/2023,"..0.14","..0.14","..0.14","..0.14","17,804,990"
05/11/2023,"..0.14","..0.14","..0.13","..0.13","7,856,476"
05/10/2023,"..0.13","..0.14","..0.13","..0.14","11,952,000"
05/09/2023,"..0.13","..0.13","..0.13","..0.13","9,689,939"
05/08/2023,"..0.13","..0.13","..0.13","..0.13","9,927,085"
05/03/2023,"..0.13","..0.13","..0.13","..0.13","8,629,395"
05/02/2023,"..0.13","..0.13","..0.12","..0.13","8,593,390"
05/01/2023,"..0.13","..0.13","..0.13","..0.13","6,407,321"
04/27/2023,"..0.14","..0.14","..0.13","..0.14","9,049,858"
04/26/2023,"..0.13","..0.14","..0.13","..0.14","10,055,750"
04/19/2023,"..0.13","..0.14","..0.13","..0.13","9,033,440"
04/18/2023,"..0.13","..0.13","..0.13","..0.13","9,348,849"
04/13/2023,"..0.13","..0.13","..0.13","..0.13","5,126,867"
04/12/2023,"..0.13","..0.13","..0.13","..0.13","8,718,756"
04/11/2023,"..0.13","..0.13","..0.13","..0.13","8,422,480"
04/10/2023,"..0.13","..0.14","..0.13","..0.13","10,666,500"
04/06/2023,"..0.13","..0.13","..0.13","..0.13","12,344,320"
04/05/2023,"..0.12","..0.13","..0.12","..0.13","20,013,320"
04/04/2023,"..0.12","..0.12","..0.12","..0.12","5,265,161"
04/03/2023,"..0.12","..0.12","..0.11","..0.12","5,410,954"
03/30/2023,"..0.11","..0.12","..0.11","..0.11","6,234,304"
03/29/2023,"..0.11","..0.12","..0.11","..0.11","2,507,523"
03/28/2023,"..0.12","..0.12","..0.11","..0.11","6,897,062"
03/27/2023,"..0.12","..0.12","..0.12","..0.12","3,929,825"
03/23/2023,"..0.12","..0.12","..0.11","..0.12","3,101,067"
03/22/2023,"..0.12","..0.12","..0.12","..0.12","8,966,875"
03/21/2023,"..0.12","..0.12","..0.11","..0.12","22,049,500"
03/20/2023,"..0.11","..0.12","..0.11","..0.12","12,666,050"
03/16/2023,"..0.11","..0.11","..0.10","..0.11","18,721,500"
03/15/2023,"..0.12","..0.13","..0.11","..0.11","17,926,000"
03/14/2023,"..0.12","..0.12","..0.12","..0.12","17,501,279"
03/13/2023,"..0.14","..0.14","..0.12","..0.12","20,954,631"
03/09/2023,"..0.15","..0.15","..0.14","..0.15","3,143,737"
03/08/2023,"..0.15","..0.15","..0.14","..0.15","9,308,962"
03/07/2023,"..0.15","..0.15","..0.15","..0.15","7,753,882"
03/06/2023,"..0.15","..0.16","..0.15","..0.15","4,187,550"
03/02/2023,"..0.16","..0.16","..0.15","..0.15","12,255,690"
03/01/2023,"..0.15","..0.16","..0.15","..0.16","22,859,520"
02/28/2023,"..0.15","..0.15","..0.14","..0.15","3,720,715"
02/27/2023,"..0.14","..0.15","..0.14","..0.15","4,890,325"
02/23/2023,"..0.15","..0.15","..0.14","..0.15","7,054,656"
02/22/2023,"..0.15","..0.15","..0.15","..0.15","5,716,680"
02/21/2023,"..0.15","..0.15","..0.15","..0.15","5,301,773"
02/20/2023,"..0.15","..0.15","..0.15","..0.15","10,785,020"
02/16/2023,"..0.15","..0.16","..0.15","..0.15","13,156,510"
02/15/2023,"..0.15","..0.16","..0.15","..0.15","5,839,928"
02/14/2023,"..0.15","..0.15","..0.15","..0.15","1,842,733"
02/13/2023,"..0.15","..0.15","..0.15","..0.15","3,793,061"
02/09/2023,"..0.15","..0.15","..0.15","..0.15","4,734,853"
02/08/2023,"..0.15","..0.16","..0.15","..0.15","16,923,211"
02/07/2023,"..0.16","..0.16","..0.15","..0.15","13,518,410"
02/06/2023,"..0.15","..0.16","..0.15","..0.16","4,958,653"
02/02/2023,"..0.15","..0.15","..0.15","..0.15","2,672,952"
02/01/2023,"..0.15","..0.16","..0.15","..0.15","5,699,771"
01/31/2023,"..0.15","..0.16","..0.15","..0.15","7,034,228"
01/30/2023,"..0.16","..0.16","..0.15","..0.15","4,545,805"
01/25/2023,"..0.15","..0.17","..0.15","..0.16","20,352,439"
01/24/2023,"..0.15","..0.15","..0.15","..0.15","2,505,356"
01/23/2023,"..0.15","..0.15","..0.15","..0.15","7,113,206"
01/19/2023,"..0.15","..0.15","..0.15","..0.15","6,690,209"
01/18/2023,"..0.15","..0.16","..0.15","..0.15","7,298,008"
01/17/2023,"..0.15","..0.16","..0.15","..0.15","5,519,018"
01/16/2023,"..0.15","..0.15","..0.15","..0.15","5,862,621"
01/12/2023,"..0.16","..0.16","..0.15","..0.15","4,847,741"
01/11/2023,"..0.16","..0.16","..0.15","..0.16","11,840,410"
01/10/2023,"..0.17","..0.17","..0.16","..0.16","8,307,587"
01/09/2023,"..0.17","..0.17","..0.17","..0.17","4,893,152"
01/05/2023,"..0.17","..0.17","..0.17","..0.17","3,909,242"
01/04/2023,"..0.18","..0.18","..0.17","..0.17","8,407,997"
01/03/2023,"..0.17","..0.18","..0.17","..0.18","17,423,869"
01/02/2023,"..0.17","..0.17","..0.17","..0.17","3,488,790"
12/29/2022,"..0.16","..0.19","..0.16","..0.17","5,534,966"
12/28/2022,"..0.16","..0.17","..0.16","..0.16","4,282,319"
12/27/2022,"..0.16","..0.17","..0.16","..0.16","856,584"
12/26/2022,"..0.16","..0.17","..0.16","..0.16","3,058,636"
12/22/2022,"..0.17","..0.17","..0.16","..0.17","5,491,581"
12/21/2022,"..0.17","..0.17","..0.17","..0.17","3,420,837"
12/20/2022,"..0.17","..0.18","..0.17","..0.17","7,520,640"
12/19/2022,"..0.18","..0.18","..0.17","..0.17","5,146,043"
12/15/2022,"..0.17","..0.18","..0.17","..0.18","28,005,660"
