Date,Open,High,Low,Close,Volume
09/21/2023,"..40.29","..40.00","..39.51","..40.29","144"
09/20/2023,"..40.29","..40.01","..39.50","..40.29","2,760"
09/19/2023,"..40.29","..40.20","..39.63","..40.29","2,610"
09/18/2023,"..40.29","..40.85","..39.62","..40.29","1,754"
09/14/2023,"..40.29","..41.50","..39.61","..40.29","5,655"
09/13/2023,"..40.29","..40.40","..40.00","..40.29","617"
09/12/2023,"..40.29","..40.49","..39.61","..40.29","110"
09/11/2023,"..40.29","..40.50","..39.45","..40.29","2,523"
09/07/2023,"..40.29","..40.70","..39.81","..40.29","3,638"
09/06/2023,"..40.29","..40.25","..39.81","..40.29","230"
09/05/2023,"..40.29","..40.06","..40.00","..40.29","4,067"
09/04/2023,"..40.29","..41.10","..39.81","..40.29","249"
08/31/2023,"..40.29","..40.29","..40.05","..40.29","923"
08/30/2023,"..40.29","..40.88","..40.00","..40.29","4,388"
08/29/2023,"..40.29","..40.98","..40.05","..40.29","2,261"
08/28/2023,"..40.29","..41.50","..40.00","..40.29","4,274"
08/24/2023,"..40.29","..41.95","..40.30","..40.29","1,047"
08/23/2023,"..40.29","..41.56","..40.50","..40.29","2,039"
08/22/2023,"..40.29","..41.14","..40.55","..40.29","859"
08/21/2023,"..45.02","..42.28","..40.00","..40.29","21,830"
08/17/2023,"..45.02","..42.97","..40.90","..45.02","6,529"
08/16/2023,"..45.02","..42.50","..41.72","..45.02","1,871"
08/15/2023,"..45.02","..42.30","..42.00","..45.02","1,995"
08/14/2023,"..45.02","..43.00","..41.50","..45.02","3,539"
08/10/2023,"..45.02","..42.47","..42.24","..45.02","88"
08/09/2023,"..45.02","..43.96","..40.01","..45.02","6,215"
08/08/2023,"..45.02","..44.00","..42.01","..45.02","64"
08/07/2023,"..45.02","..44.29","..41.73","..45.02","5,607"
08/03/2023,"..42.63","..45.85","..40.07","..45.02","30,376"
08/02/2023,"..42.63","..42.58","..40.68","..42.63","3,002"
08/01/2023,"..42.63","..40.88","..40.02","..42.63","554"
07/31/2023,"..42.63","..40.89","..40.01","..42.63","94"
07/27/2023,"..42.63","..40.89","..39.20","..42.63","926"
07/26/2023,"..42.63","..40.89","..39.28","..42.63","947"
07/25/2023,"..42.63","..40.89","..40.10","..42.63","147"
07/24/2023,"..42.63","..40.98","..40.01","..42.63","1,741"
07/19/2023,"..42.63","..40.98","..40.20","..42.63","151"
07/18/2023,"..42.63","..40.99","..40.25","..42.63","916"
07/13/2023,"..42.63","..41.00","..40.15","..42.63","472"
07/12/2023,"..42.63","..40.98","..40.01","..42.63","251"
07/11/2023,"..42.63","..41.00","..40.00","..42.63","631"
07/10/2023,"..42.63","..41.40","..40.52","..42.63","2,606"
07/06/2023,"..42.63","..41.00","..40.52","..42.63","519"
07/05/2023,"..42.63","..41.96","..41.30","..42.63","1,047"
07/04/2023,"..42.63","..41.98","..40.10","..42.63","115"
06/26/2023,"..42.63","..40.32","..40.30","..42.63","500"
06/22/2023,"..42.63","..41.50","..40.00","..42.63","3,215"
06/21/2023,"..42.63","..40.50","..40.00","..42.63","1,514"
06/20/2023,"..42.63","..41.70","..39.60","..42.63","350"
06/19/2023,"..42.63","..41.96","..39.14","..42.63","3,592"
06/15/2023,"..42.63","..42.00","..38.55","..42.63","405"
06/14/2023,"..42.63","..41.00","..37.10","..42.63","902"
06/13/2023,"..42.63","..44.00","..40.04","..42.63","3,920"
06/12/2023,"..42.63","..42.59","..41.80","..42.63","56"
06/08/2023,"..42.63","..41.42","..39.60","..42.63","440"
06/07/2023,"..42.63","..41.50","..40.01","..42.63","72"
06/06/2023,"..41.99","..43.99","..40.00","..42.63","7,132"
06/05/2023,"..43.43","..43.60","..41.90","..41.99","9,609"
06/01/2023,"..41.44","..44.96","..39.55","..43.89","31,869"
05/31/2023,"..41.44","..40.90","..40.05","..41.44","4,046"
05/30/2023,"..41.44","..41.00","..40.00","..41.44","1,294"
05/29/2023,"..41.44","..41.19","..40.00","..41.44","3,740"
05/25/2023,"..37.76","..40.00","..37.91","..39.93","16,508"
05/24/2023,"..37.08","..38.00","..37.00","..37.76","17,383"
05/23/2023,"..37.08","..37.99","..36.50","..37.08","5,507"
05/22/2023,"..38.01","..38.21","..37.00","..37.08","9,008"
05/18/2023,"..38.01","..37.70","..37.30","..38.01","6,956"
05/17/2023,"..38.01","..38.19","..37.30","..38.01","315"
05/16/2023,"..37.81","..38.38","..38.00","..38.01","9,180"
