Date,Open,High,Low,Close,Volume
09/21/2023,"..25.96","..26.30","..25.80","..26.24","84,578"
09/20/2023,"..26.18","..26.80","..25.81","..25.96","197,912"
09/19/2023,"..25.60","..26.22","..25.75","..26.18","110,767"
09/18/2023,"..25.61","..25.94","..25.50","..25.60","29,099"
09/14/2023,"..25.68","..25.95","..25.50","..25.82","26,330"
09/13/2023,"..25.53","..25.80","..25.45","..25.68","31,722"
09/12/2023,"..25.70","..26.00","..25.40","..25.53","17,272"
09/11/2023,"..26.04","..26.20","..25.50","..25.70","32,419"
09/07/2023,"..25.39","..26.14","..25.32","..25.94","200,678"
09/06/2023,"..25.60","..25.99","..25.31","..25.39","56,853"
09/05/2023,"..26.03","..26.25","..25.56","..25.60","69,822"
09/04/2023,"..25.62","..26.30","..25.50","..26.03","243,178"
08/31/2023,"..26.31","..27.00","..26.00","..26.20","631,229"
08/30/2023,"..25.68","..26.60","..25.70","..26.31","289,115"
08/29/2023,"..25.27","..25.90","..25.30","..25.68","102,951"
08/28/2023,"..25.60","..26.23","..25.02","..25.27","470,101"
08/24/2023,"..24.72","..24.88","..24.30","..24.40","114,633"
08/23/2023,"..24.79","..24.99","..24.61","..24.72","89,131"
08/22/2023,"..24.53","..25.30","..24.30","..24.79","168,070"
08/21/2023,"..24.80","..25.00","..24.36","..24.53","71,539"
08/17/2023,"..24.05","..24.85","..23.95","..24.55","165,218"
08/16/2023,"..23.90","..24.90","..23.75","..24.05","161,705"
08/15/2023,"..24.41","..24.50","..23.87","..23.90","122,515"
08/14/2023,"..24.21","..24.90","..24.30","..24.41","162,775"
08/10/2023,"..23.62","..23.85","..23.56","..23.57","40,721"
08/09/2023,"..23.70","..23.98","..23.53","..23.62","58,322"
08/08/2023,"..23.91","..23.98","..23.66","..23.70","114,345"
08/07/2023,"..23.95","..24.40","..23.84","..23.91","82,074"
08/03/2023,"..23.67","..23.98","..23.41","..23.50","27,858"
08/02/2023,"..24.06","..24.39","..23.38","..23.67","171,616"
08/01/2023,"..23.99","..24.70","..24.00","..24.06","178,660"
07/31/2023,"..24.01","..24.29","..23.92","..23.99","112,117"
07/27/2023,"..24.30","..24.90","..23.80","..23.96","303,963"
07/26/2023,"..24.05","..24.59","..24.00","..24.30","81,755"
07/25/2023,"..25.07","..25.50","..24.00","..24.05","160,588"
07/24/2023,"..24.88","..25.15","..24.51","..25.07","100,727"
07/19/2023,"..24.21","..25.10","..24.21","..24.88","117,710"
07/18/2023,"..24.07","..24.50","..24.11","..24.21","51,402"
07/17/2023,"..23.83","..24.42","..23.79","..24.07","80,594"
07/13/2023,"..24.22","..24.50","..23.83","..24.17","80,833"
07/12/2023,"..24.99","..25.20","..24.20","..24.22","104,319"
07/11/2023,"..23.18","..25.60","..23.20","..24.99","172,966"
07/10/2023,"..22.58","..23.50","..22.00","..23.18","48,733"
07/06/2023,"..24.19","..24.59","..23.00","..23.42","64,037"
07/05/2023,"..24.51","..24.70","..24.03","..24.19","28,894"
07/04/2023,"..24.65","..25.00","..24.45","..24.51","29,886"
06/26/2023,"..24.82","..25.00","..24.61","..24.65","32,390"
06/22/2023,"..25.06","..25.60","..24.75","..24.93","48,468"
06/21/2023,"..25.75","..25.97","..24.99","..25.06","57,400"
06/20/2023,"..25.96","..26.16","..25.50","..25.75","149,100"
06/19/2023,"..26.42","..26.70","..25.90","..25.96","205,497"
06/15/2023,"..26.50","..26.99","..26.15","..26.31","40,637"
06/14/2023,"..26.82","..27.28","..26.27","..26.50","62,239"
