Date,Open,High,Low,Close,Volume
09/21/2023,"..29.42","..29.79","..29.25","..29.42","6,929"
09/20/2023,"..29.52","..29.89","..29.00","..29.42","15,427"
09/19/2023,"..29.75","..29.85","..29.12","..29.52","25,287"
09/18/2023,"..30.01","..30.25","..29.67","..29.75","29,126"
09/14/2023,"..30.23","..30.20","..29.57","..30.23","7,720"
09/13/2023,"..30.23","..30.01","..29.81","..30.23","6,211"
09/12/2023,"..30.23","..30.49","..29.50","..30.23","3,485"
09/11/2023,"..30.25","..31.20","..30.01","..30.23","11,816"
09/07/2023,"..31.37","..30.95","..30.20","..30.25","26,094"
09/06/2023,"..30.75","..31.44","..30.11","..31.37","37,635"
09/05/2023,"..30.71","..31.57","..30.03","..30.75","42,717"
09/04/2023,"..31.49","..31.70","..30.50","..30.71","15,139"
08/31/2023,"..30.73","..31.60","..30.13","..31.25","59,257"
08/30/2023,"..30.24","..31.75","..30.04","..30.73","131,921"
08/29/2023,"..29.54","..30.40","..29.95","..30.24","19,923"
08/28/2023,"..31.00","..31.00","..29.40","..29.54","56,265"
08/24/2023,"..30.02","..30.38","..29.71","..30.02","1,770"
08/23/2023,"..29.86","..30.75","..30.00","..30.02","16,052"
08/22/2023,"..30.40","..30.90","..29.60","..29.86","81,326"
08/21/2023,"..29.98","..30.60","..29.40","..30.40","37,534"
08/17/2023,"..30.51","..31.27","..28.10","..30.25","98,392"
08/16/2023,"..29.85","..31.66","..29.81","..30.51","89,091"
08/15/2023,"..28.47","..30.50","..28.25","..29.85","117,309"
08/14/2023,"..27.37","..29.50","..27.27","..28.47","195,254"
08/10/2023,"..26.74","..27.49","..26.51","..26.74","8,406"
08/09/2023,"..26.86","..27.14","..26.60","..26.74","12,074"
08/08/2023,"..26.86","..27.69","..26.88","..26.86","4,209"
08/07/2023,"..26.86","..27.99","..27.10","..26.86","4,285"
08/03/2023,"..27.85","..27.95","..26.42","..26.86","14,716"
08/02/2023,"..27.85","..28.18","..27.20","..27.85","5,955"
08/01/2023,"..27.93","..28.00","..27.30","..27.85","13,337"
07/31/2023,"..27.89","..28.48","..27.20","..27.93","13,086"
07/27/2023,"..28.20","..28.67","..27.50","..27.89","17,350"
07/26/2023,"..30.16","..29.84","..27.80","..28.20","19,961"
07/25/2023,"..30.16","..29.15","..28.07","..30.16","8,867"
07/24/2023,"..30.16","..29.84","..29.00","..30.16","1,911"
07/18/2023,"..30.16","..29.94","..29.35","..30.16","626"
07/17/2023,"..30.16","..30.59","..26.07","..30.16","770"
07/13/2023,"..30.16","..30.73","..29.50","..30.16","6,075"
07/12/2023,"..30.16","..30.96","..29.10","..30.16","4,592"
07/11/2023,"..30.16","..30.76","..30.76","..30.16","20"
07/10/2023,"..30.14","..30.25","..28.29","..30.16","17,768"
07/06/2023,"..30.20","..30.95","..30.00","..30.14","19,725"
07/05/2023,"..31.05","..31.64","..30.10","..30.20","31,047"
07/04/2023,"..31.00","..31.75","..30.30","..31.05","12,280"
06/26/2023,"..31.00","..31.68","..30.26","..31.00","769"
06/22/2023,"..30.52","..31.59","..30.12","..31.00","10,458"
06/21/2023,"..31.00","..31.01","..30.11","..30.52","13,521"
06/20/2023,"..31.00","..31.90","..30.71","..31.00","8,126"
06/19/2023,"..32.22","..32.97","..31.00","..31.00","26,937"
06/15/2023,"..32.88","..33.30","..30.67","..33.00","19,322"
06/14/2023,"..32.88","..32.36","..31.35","..32.88","6,901"
06/13/2023,"..33.14","..33.99","..32.00","..32.88","44,259"
06/12/2023,"..32.47","..33.50","..31.73","..33.14","34,082"
06/08/2023,"..32.52","..33.50","..32.01","..32.47","58,271"
06/07/2023,"..30.29","..34.49","..30.80","..32.52","136,235"
06/06/2023,"..30.37","..30.99","..29.70","..30.29","29,385"
06/05/2023,"..31.00","..31.40","..30.00","..30.37","39,194"
06/01/2023,"..28.46","..29.30","..28.35","..29.08","16,252"
05/31/2023,"..28.46","..29.00","..28.30","..28.46","24,139"
05/30/2023,"..27.96","..28.84","..28.00","..28.46","28,159"
05/29/2023,"..28.54","..28.65","..27.72","..27.96","16,073"
05/25/2023,"..26.25","..28.70","..27.01","..28.46","32,224"
05/24/2023,"..26.25","..28.47","..27.00","..26.25","12,798"
05/23/2023,"..26.25","..28.49","..28.00","..26.25","2,713"
05/22/2023,"..26.25","..28.32","..27.41","..26.25","8,603"
05/18/2023,"..29.12","..29.18","..26.00","..26.25","32,575"
05/17/2023,"..28.74","..29.95","..28.00","..29.12","35,455"
05/16/2023,"..28.04","..28.80","..27.01","..28.74","18,770"
05/15/2023,"..28.04","..28.75","..28.00","..28.04","11,597"
05/11/2023,"..29.00","..29.03","..28.30","..29.00","10,086"
05/10/2023,"..29.10","..29.01","..28.60","..29.00","12,714"
05/09/2023,"..29.54","..29.99","..29.01","..29.10","17,774"
05/08/2023,"..30.10","..30.99","..29.00","..29.54","19,111"
05/03/2023,"..30.33","..30.33","..29.10","..30.00","10,139"
05/02/2023,"..30.00","..30.50","..29.60","..30.33","24,138"
05/01/2023,"..29.98","..30.50","..29.99","..30.00","17,411"
04/27/2023,"..31.46","..32.00","..30.00","..31.13","90,414"
04/26/2023,"..30.79","..32.50","..30.55","..31.46","111,142"
04/19/2023,"..28.99","..30.90","..28.13","..30.79","126,914"
04/18/2023,"..27.92","..29.05","..27.99","..28.99","30,651"
04/13/2023,"..28.80","..29.44","..27.61","..27.92","40,582"
04/12/2023,"..28.12","..29.25","..28.00","..28.80","53,412"
