Date,Open,High,Low,Close,Volume
09/21/2023,"..18.50","..18.60","..18.25","..18.50","4,745"
09/20/2023,"..18.50","..18.69","..18.12","..18.50","4,328"
09/19/2023,"..18.27","..18.60","..18.08","..18.50","33,312"
09/18/2023,"..18.30","..18.30","..18.13","..18.27","37,318"
09/14/2023,"..18.20","..18.30","..18.01","..18.30","71,747"
09/13/2023,"..18.20","..18.20","..18.00","..18.20","5,678"
09/12/2023,"..18.20","..18.20","..17.95","..18.20","35,033"
09/11/2023,"..18.09","..18.25","..17.92","..18.20","34,379"
09/07/2023,"..18.06","..17.99","..17.90","..18.06","4,017"
09/06/2023,"..18.06","..18.16","..17.90","..18.06","20,112"
09/05/2023,"..18.06","..18.13","..17.91","..18.06","9,789"
09/04/2023,"..18.06","..18.14","..17.90","..18.06","6,142"
08/31/2023,"..18.06","..18.17","..18.01","..18.06","8,157"
08/30/2023,"..18.05","..18.19","..17.99","..18.06","22,984"
08/29/2023,"..17.99","..18.14","..17.91","..18.05","36,227"
08/28/2023,"..17.97","..18.10","..17.94","..17.99","47,501"
08/24/2023,"..18.81","..18.81","..18.00","..18.06","100,212"
08/23/2023,"..18.57","..19.11","..18.52","..18.81","46,115"
08/22/2023,"..18.51","..18.77","..18.40","..18.57","28,222"
08/21/2023,"..19.00","..19.00","..18.42","..18.51","30,519"
08/17/2023,"..19.40","..19.61","..18.52","..18.99","25,476"
08/16/2023,"..20.04","..19.90","..19.16","..19.40","30,724"
08/15/2023,"..20.11","..20.70","..19.52","..20.04","44,526"
08/14/2023,"..19.18","..20.13","..19.03","..20.11","61,146"
08/10/2023,"..23.14","..23.01","..21.99","..22.27","127,980"
08/09/2023,"..23.11","..24.00","..23.00","..23.14","59,572"
08/08/2023,"..23.99","..23.99","..23.00","..23.11","60,802"
08/07/2023,"..23.44","..24.39","..23.44","..23.99","101,353"
08/03/2023,"..21.23","..21.98","..21.01","..21.70","53,889"
08/02/2023,"..20.41","..21.35","..20.41","..21.23","89,382"
08/01/2023,"..20.91","..20.99","..20.20","..20.41","80,170"
07/31/2023,"..18.21","..20.98","..18.67","..20.91","153,325"
07/27/2023,"..17.95","..18.24","..17.85","..18.00","36,244"
07/26/2023,"..17.99","..18.10","..17.90","..17.95","41,993"
07/25/2023,"..17.99","..18.20","..17.90","..17.99","13,734"
