Date,Open,High,Low,Close,Volume
09/21/2023,"..14.23","..17.07","..16.50","..14.23","454"
09/20/2023,"..14.23","..16.49","..16.48","..14.23","449"
09/19/2023,"..14.23","..17.07","..17.00","..14.23","367"
09/18/2023,"..17.00","..17.07","..16.33","..14.23","743"
09/14/2023,"..16.42","..17.07","..16.22","..14.23","2,667"
09/13/2023,"..16.95","..16.99","..16.34","..14.23","1,677"
09/12/2023,"..16.20","..16.99","..16.20","..14.23","854"
09/11/2023,"..16.32","..16.82","..16.32","..14.23","371"
09/07/2023,"..14.23","..16.83","..16.25","..14.23","59"
09/06/2023,"..14.23","..16.91","..16.22","..14.23","393"
09/05/2023,"..14.23","..16.75","..16.23","..14.23","209"
09/04/2023,"..14.23","..16.75","..16.75","..14.23","5"
08/31/2023,"..14.23","..16.50","..16.21","..14.23","883"
08/30/2023,"..16.76","..16.94","..16.11","..14.23","852"
08/29/2023,"..14.23","..16.77","..15.75","..14.23","964"
08/28/2023,"..14.23","..16.80","..16.35","..14.23","738"
08/24/2023,"..14.23","..16.75","..16.36","..14.23","733"
08/23/2023,"..14.23","..16.98","..16.30","..14.23","141"
08/22/2023,"..14.23","..16.99","..16.22","..14.23","349"
08/21/2023,"..14.23","..16.92","..15.75","..14.23","1,960"
08/17/2023,"..14.23","..17.00","..16.26","..14.23","1,777"
08/16/2023,"..16.55","..17.07","..16.55","..14.23","118"
08/15/2023,"..14.23","..17.07","..16.67","..14.23","1,032"
08/14/2023,"..14.23","..17.07","..16.56","..14.23","2,601"
08/10/2023,"..14.23","..17.02","..16.30","..14.23","1,297"
08/09/2023,"..14.23","..17.07","..16.51","..14.23","2,344"
08/08/2023,"..14.23","..16.80","..15.75","..14.23","145"
08/07/2023,"..14.23","..16.63","..15.97","..14.23","1,302"
08/03/2023,"..14.23","..16.80","..15.76","..14.23","1,389"
08/02/2023,"..14.23","..16.91","..15.75","..14.23","719"
08/01/2023,"..14.23","..16.54","..16.45","..14.23","520"
07/31/2023,"..14.23","..16.54","..16.40","..14.23","821"
07/27/2023,"..14.23","..16.62","..14.89","..14.23","798"
07/26/2023,"..14.23","..16.62","..14.26","..14.23","744"
07/24/2023,"..14.23","..14.26","..14.26","..14.23","2"
07/19/2023,"..14.23","..15.23","..14.26","..14.23","689"
07/17/2023,"..14.23","..14.53","..14.53","..14.23","136"
07/13/2023,"..14.23","..16.19","..14.53","..14.23","1,214"
07/12/2023,"..14.23","..14.44","..14.44","..14.23","57"
07/11/2023,"..14.23","..15.75","..14.44","..14.23","1,241"
07/10/2023,"..14.23","..15.52","..14.00","..14.23","1,814"
07/06/2023,"..14.23","..14.31","..14.31","..14.23","141"
07/05/2023,"..14.23","..16.44","..14.31","..14.23","574"
07/04/2023,"..14.23","..16.18","..14.26","..14.23","257"
06/26/2023,"..14.23","..15.91","..14.88","..14.23","267"
06/21/2023,"..14.23","..15.44","..14.88","..14.23","290"
06/20/2023,"..14.23","..15.54","..15.44","..14.23","5"
06/19/2023,"..14.23","..15.50","..15.50","..14.23","64"
06/15/2023,"..14.23","..16.04","..16.04","..14.23","45"
06/14/2023,"..14.23","..16.23","..15.42","..14.23","178"
06/13/2023,"..14.23","..16.14","..15.37","..14.23","122"
06/12/2023,"..14.23","..16.19","..15.40","..14.23","89"
06/08/2023,"..14.23","..16.63","..15.18","..14.23","702"
06/07/2023,"..14.23","..15.75","..15.23","..14.23","98"
06/06/2023,"..14.23","..16.01","..15.16","..14.23","18"
06/05/2023,"..14.23","..15.75","..15.16","..14.23","75"
06/01/2023,"..14.23","..15.75","..15.43","..14.23","121"
05/31/2023,"..14.23","..15.75","..15.41","..14.23","329"
05/30/2023,"..14.23","..15.75","..15.31","..14.23","9"
05/29/2023,"..14.23","..16.52","..15.10","..14.23","365"
05/25/2023,"..14.23","..15.75","..15.02","..14.23","1,072"
05/24/2023,"..14.23","..15.31","..15.23","..14.23","66"
05/23/2023,"..14.23","..16.04","..15.23","..14.23","22"
05/22/2023,"..14.23","..15.75","..15.03","..14.23","55"
05/18/2023,"..14.23","..16.14","..15.05","..14.23","882"
05/17/2023,"..14.23","..16.36","..15.66","..14.23","739"
05/16/2023,"..14.23","..16.11","..15.01","..14.23","383"
05/15/2023,"..14.23","..17.06","..14.96","..14.23","3,431"
05/11/2023,"..14.23","..16.51","..14.48","..14.23","5,302"
05/10/2023,"..14.23","..16.80","..14.48","..14.23","5,120"
05/09/2023,"..14.23","..16.62","..14.68","..14.23","603"
05/08/2023,"..14.23","..16.63","..14.45","..14.23","3,586"
05/03/2023,"..14.23","..16.44","..14.00","..14.23","63"
05/02/2023,"..14.23","..15.73","..13.69","..14.23","208"
05/01/2023,"..14.23","..16.52","..13.13","..14.23","965"
04/27/2023,"..14.23","..16.79","..13.75","..14.23","21"
04/26/2023,"..14.23","..13.57","..13.57","..14.23","49"
04/19/2023,"..14.23","..16.79","..13.26","..14.23","162"
04/12/2023,"..14.23","..14.58","..14.44","..14.23","70"
04/05/2023,"..14.23","..14.86","..13.41","..14.23","69"
04/04/2023,"..14.23","..14.88","..13.13","..14.23","434"
04/03/2023,"..14.23","..13.00","..12.95","..14.23","667"
03/30/2023,"..14.23","..14.14","..14.14","..14.23","5"
03/23/2023,"..14.23","..14.14","..14.14","..14.23","2"
03/22/2023,"..14.23","..13.99","..12.64","..14.23","114"
03/16/2023,"..14.23","..14.03","..11.38","..14.23","9,405"
03/15/2023,"..14.23","..14.16","..14.16","..14.23","1,911"
03/13/2023,"..14.23","..14.03","..14.03","..14.23","33"
03/09/2023,"..15.31","..16.89","..14.03","..14.23","381"
03/08/2023,"..14.23","..14.03","..14.03","..14.23","23"
03/07/2023,"..14.23","..14.00","..14.00","..14.23","5"
