Date,Open,High,Low,Close,Volume
09/21/2023,"..8.81","..8.99","..8.60","..8.91","73,097"
09/20/2023,"..8.96","..9.44","..8.71","..8.81","204,631"
09/19/2023,"..8.89","..9.29","..8.74","..8.96","367,264"
09/18/2023,"..8.91","..9.20","..8.76","..8.89","351,184"
09/14/2023,"..8.09","..8.13","..8.03","..8.04","90,089"
09/13/2023,"..8.00","..8.17","..8.01","..8.09","51,334"
09/12/2023,"..8.01","..8.20","..8.00","..8.00","171,434"
09/11/2023,"..8.10","..8.19","..8.01","..8.01","134,420"
09/07/2023,"..8.11","..8.16","..8.01","..8.08","39,149"
09/06/2023,"..8.17","..8.45","..8.06","..8.11","239,216"
09/05/2023,"..7.93","..8.28","..7.90","..8.17","339,088"
09/04/2023,"..7.97","..8.02","..7.90","..7.93","76,521"
08/31/2023,"..7.95","..8.01","..7.90","..7.97","56,642"
08/30/2023,"..8.01","..8.09","..7.93","..7.95","93,174"
08/29/2023,"..7.89","..8.06","..7.90","..8.01","128,369"
08/28/2023,"..7.69","..8.50","..7.67","..7.89","336,834"
08/24/2023,"..7.74","..7.78","..7.65","..7.70","67,781"
08/23/2023,"..7.80","..7.88","..7.64","..7.74","176,094"
08/22/2023,"..7.90","..7.95","..7.79","..7.80","244,597"
08/21/2023,"..7.97","..8.00","..7.86","..7.90","144,039"
08/17/2023,"..7.92","..8.05","..7.87","..7.93","167,400"
08/16/2023,"..7.98","..8.10","..7.86","..7.92","704,635"
08/15/2023,"..8.06","..8.18","..7.90","..7.98","356,929"
08/14/2023,"..8.10","..8.19","..7.86","..8.06","643,195"
08/10/2023,"..8.21","..8.30","..8.12","..8.19","143,066"
08/09/2023,"..8.26","..8.36","..8.20","..8.21","125,204"
08/08/2023,"..8.26","..8.63","..8.20","..8.26","841,197"
08/07/2023,"..8.22","..8.42","..8.09","..8.26","171,868"
08/03/2023,"..8.11","..8.14","..8.00","..8.03","62,175"
08/02/2023,"..8.18","..8.50","..8.00","..8.11","106,583"
08/01/2023,"..8.27","..8.33","..8.16","..8.18","105,006"
07/31/2023,"..8.35","..8.50","..8.23","..8.27","106,127"
07/27/2023,"..8.50","..8.63","..8.25","..8.37","46,065"
07/26/2023,"..8.47","..8.63","..8.40","..8.50","81,808"
07/25/2023,"..8.59","..8.72","..8.40","..8.47","113,721"
07/24/2023,"..8.25","..8.80","..8.16","..8.59","294,377"
07/19/2023,"..8.22","..8.45","..8.15","..8.25","218,045"
07/18/2023,"..8.21","..8.34","..8.12","..8.22","62,384"
07/17/2023,"..8.31","..8.46","..8.04","..8.21","145,578"
07/13/2023,"..8.46","..8.62","..8.20","..8.37","578,839"
07/12/2023,"..8.41","..8.55","..8.16","..8.46","165,547"
07/11/2023,"..7.98","..8.50","..7.81","..8.41","442,028"
07/10/2023,"..7.90","..8.35","..7.70","..7.98","175,991"
07/06/2023,"..8.51","..9.10","..8.35","..8.60","555,266"
07/05/2023,"..8.00","..9.24","..8.06","..8.51","847,480"
07/04/2023,"..7.68","..8.02","..7.69","..8.00","846,057"
06/26/2023,"..7.34","..7.70","..7.27","..7.68","609,319"
06/22/2023,"..7.25","..7.50","..7.10","..7.42","177,103"
06/21/2023,"..7.31","..7.42","..7.20","..7.25","49,112"
06/20/2023,"..7.35","..7.45","..7.26","..7.31","170,930"
06/19/2023,"..7.32","..7.60","..7.30","..7.35","318,882"
06/15/2023,"..7.18","..7.23","..7.10","..7.13","79,418"
06/14/2023,"..7.16","..7.25","..7.10","..7.18","122,712"
06/13/2023,"..7.35","..7.40","..7.10","..7.16","238,742"
06/12/2023,"..7.27","..7.52","..7.25","..7.35","90,221"
06/08/2023,"..7.02","..7.15","..6.95","..7.09","110,194"
06/07/2023,"..7.09","..7.15","..6.97","..7.02","121,175"
06/06/2023,"..7.07","..7.12","..7.01","..7.09","83,418"
06/05/2023,"..7.08","..7.16","..7.03","..7.07","135,108"
06/01/2023,"..7.07","..7.21","..7.00","..7.03","234,316"
05/31/2023,"..6.96","..7.22","..6.96","..7.07","255,140"
05/30/2023,"..6.95","..7.02","..6.88","..6.96","333,841"
05/29/2023,"..6.78","..7.00","..6.66","..6.95","221,515"
05/25/2023,"..6.97","..7.14","..6.78","..6.80","413,106"
05/24/2023,"..6.99","..7.15","..6.95","..6.97","144,664"
05/23/2023,"..6.91","..7.15","..6.91","..6.99","116,482"
05/22/2023,"..7.00","..7.27","..6.80","..6.91","448,952"
05/18/2023,"..6.75","..6.89","..6.63","..6.78","259,617"
05/17/2023,"..7.09","..7.25","..6.57","..6.75","235,071"
05/16/2023,"..7.08","..7.20","..6.80","..7.09","201,650"
05/15/2023,"..7.22","..7.37","..7.02","..7.08","458,988"
05/11/2023,"..7.61","..7.64","..7.25","..7.32","337,803"
05/10/2023,"..8.05","..7.85","..7.40","..7.61","387,927"
05/09/2023,"..8.12","..8.19","..7.99","..8.05","640,818"
05/08/2023,"..7.98","..8.15","..7.90","..8.12","522,642"
05/03/2023,"..8.10","..8.26","..7.90","..8.00","487,206"
05/02/2023,"..8.12","..8.39","..8.06","..8.10","329,590"
05/01/2023,"..8.20","..8.44","..8.09","..8.12","279,697"
04/27/2023,"..6.98","..7.87","..7.10","..7.75","1,434,940"
04/26/2023,"..6.31","..7.25","..6.35","..6.98","2,134,621"
04/19/2023,"..6.13","..6.95","..6.20","..6.31","810,839"
04/18/2023,"..6.25","..6.28","..6.12","..6.13","674,710"
04/13/2023,"..6.26","..6.49","..6.11","..6.25","476,439"
04/12/2023,"..5.92","..7.10","..5.96","..6.26","1,313,767"
04/11/2023,"..5.85","..5.98","..5.82","..5.92","182,695"
04/10/2023,"..5.84","..5.93","..5.80","..5.85","327,544"
04/06/2023,"..5.81","..5.99","..5.78","..5.88","152,673"
04/05/2023,"..5.81","..5.89","..5.77","..5.81","102,499"
04/04/2023,"..5.81","..5.89","..5.75","..5.81","88,057"
04/03/2023,"..5.71","..5.83","..5.70","..5.81","170,877"
03/30/2023,"..5.80","..5.90","..5.62","..5.71","135,009"
03/29/2023,"..5.93","..6.00","..5.79","..5.80","161,781"
03/28/2023,"..5.93","..5.99","..5.82","..5.93","35,833"
03/27/2023,"..5.83","..6.10","..5.87","..5.93","196,803"
03/23/2023,"..5.86","..5.95","..5.78","..5.83","57,609"
03/22/2023,"..5.86","..5.97","..5.80","..5.86","40,164"
03/21/2023,"..5.86","..5.98","..5.81","..5.86","29,845"
03/20/2023,"..5.86","..6.00","..5.70","..5.86","42,506"
03/16/2023,"..5.73","..5.80","..5.50","..5.63","70,120"
03/15/2023,"..5.73","..6.12","..5.60","..5.73","138,212"
03/14/2023,"..5.73","..5.90","..5.60","..5.73","64,499"
03/13/2023,"..6.03","..6.19","..5.70","..5.73","102,968"
03/09/2023,"..6.07","..6.24","..6.04","..6.09","60,707"
03/08/2023,"..6.13","..6.29","..6.00","..6.07","52,891"
03/07/2023,"..6.32","..6.50","..6.12","..6.13","77,527"
03/06/2023,"..6.30","..6.47","..6.22","..6.32","144,454"
03/02/2023,"..5.76","..5.83","..5.70","..5.76","27,884"
03/01/2023,"..5.76","..5.88","..5.60","..5.76","30,225"
02/28/2023,"..5.76","..5.84","..5.60","..5.76","31,618"
02/27/2023,"..5.70","..5.85","..5.70","..5.76","103,683"
02/23/2023,"..5.52","..5.64","..5.43","..5.51","75,510"
02/22/2023,"..5.69","..5.88","..5.50","..5.52","63,068"
02/21/2023,"..5.69","..5.90","..5.58","..5.69","46,978"
02/20/2023,"..5.75","..5.88","..5.67","..5.69","59,966"
02/16/2023,"..5.61","..5.77","..5.63","..5.73","196,403"
02/15/2023,"..5.60","..5.68","..5.51","..5.61","324,559"
02/14/2023,"..5.59","..5.61","..5.45","..5.60","188,424"
02/13/2023,"..5.59","..5.64","..5.48","..5.59","51,784"
02/09/2023,"..5.50","..5.59","..5.39","..5.50","52,131"
02/08/2023,"..5.59","..5.65","..5.45","..5.50","56,291"
02/07/2023,"..5.43","..5.79","..5.37","..5.59","275,638"
02/06/2023,"..5.35","..5.55","..5.26","..5.43","81,599"
02/02/2023,"..5.23","..5.55","..5.23","..5.33","206,746"
02/01/2023,"..5.23","..5.34","..5.20","..5.23","41,663"
01/31/2023,"..5.33","..5.44","..5.20","..5.23","78,373"
01/30/2023,"..5.51","..5.55","..5.30","..5.33","58,106"
01/25/2023,"..5.35","..5.45","..5.30","..5.36","81,787"
01/24/2023,"..5.35","..5.44","..5.31","..5.35","26,161"
01/23/2023,"..5.35","..5.40","..5.31","..5.35","34,434"
01/19/2023,"..5.35","..5.45","..5.01","..5.35","17,859"
01/18/2023,"..5.14","..5.36","..4.70","..5.35","113,485"
01/17/2023,"..5.14","..5.42","..5.20","..5.14","56,370"
01/16/2023,"..5.14","..5.22","..5.11","..5.14","38,315"
01/12/2023,"..5.58","..5.56","..5.00","..5.19","441,462"
01/11/2023,"..5.58","..5.65","..5.24","..5.58","140,233"
01/10/2023,"..5.58","..5.57","..5.14","..5.58","38,281"
01/09/2023,"..5.58","..5.61","..5.46","..5.58","46,822"
01/05/2023,"..5.52","..5.60","..5.52","..5.58","61,173"
01/04/2023,"..5.57","..5.60","..5.40","..5.52","151,388"
01/03/2023,"..5.59","..5.61","..5.55","..5.57","99,003"
01/02/2023,"..5.52","..5.65","..5.53","..5.59","106,373"
12/29/2022,"..5.50","..5.65","..5.50","..5.52","78,290"
12/28/2022,"..5.50","..5.56","..5.46","..5.50","50,150"
12/27/2022,"..5.50","..5.60","..5.46","..5.50","1,027,078"
12/26/2022,"..5.46","..5.55","..5.43","..5.50","74,654"
12/22/2022,"..5.38","..5.80","..5.31","..5.45","684,428"
12/21/2022,"..5.60","..5.65","..5.31","..5.38","414,325"
12/20/2022,"..5.84","..5.97","..5.54","..5.60","297,089"
12/19/2022,"..5.79","..6.10","..5.49","..5.84","286,526"
12/15/2022,"..5.50","..5.96","..5.50","..5.70","529,581"
12/14/2022,"..5.45","..5.63","..5.42","..5.50","75,025"
