Date,Open,High,Low,Close,Volume
09/21/2023,"..0.60","..0.62","..0.60","..0.61","31,547,240"
09/20/2023,"..0.61","..0.62","..0.60","..0.60","48,512,578"
09/19/2023,"..0.62","..0.64","..0.61","..0.61","69,282,180"
09/18/2023,"..0.61","..0.63","..0.61","..0.62","42,795,059"
09/14/2023,"..0.59","..0.62","..0.59","..0.62","98,374,930"
09/13/2023,"..0.57","..0.59","..0.57","..0.59","63,768,168"
09/12/2023,"..0.56","..0.58","..0.56","..0.57","31,896,670"
09/11/2023,"..0.57","..0.58","..0.56","..0.56","26,386,920"
09/07/2023,"..0.56","..0.56","..0.55","..0.56","16,481,520"
09/06/2023,"..0.56","..0.56","..0.55","..0.56","44,703,527"
09/05/2023,"..0.55","..0.56","..0.55","..0.56","24,833,061"
09/04/2023,"..0.55","..0.56","..0.55","..0.55","12,475,540"
08/31/2023,"..0.56","..0.57","..0.55","..0.55","24,832,939"
08/30/2023,"..0.55","..0.57","..0.55","..0.56","26,534,160"
08/29/2023,"..0.55","..0.56","..0.55","..0.55","21,215,859"
08/28/2023,"..0.56","..0.57","..0.55","..0.55","20,103,689"
08/24/2023,"..0.56","..0.57","..0.55","..0.56","24,762,789"
08/23/2023,"..0.58","..0.59","..0.56","..0.56","25,303,070"
08/22/2023,"..0.58","..0.59","..0.58","..0.58","21,407,141"
08/21/2023,"..0.58","..0.61","..0.58","..0.58","68,938,016"
08/17/2023,"..0.56","..0.60","..0.56","..0.59","84,529,992"
08/16/2023,"..0.56","..0.59","..0.56","..0.56","116,266,000"
08/15/2023,"..0.54","..0.57","..0.54","..0.56","69,929,234"
08/14/2023,"..0.54","..0.56","..0.54","..0.54","60,116,992"
08/10/2023,"..0.54","..0.54","..0.53","..0.53","25,573,510"
08/09/2023,"..0.55","..0.55","..0.53","..0.54","48,650,840"
08/08/2023,"..0.52","..0.56","..0.52","..0.55","115,795,906"
08/07/2023,"..0.52","..0.52","..0.51","..0.52","20,539,840"
08/03/2023,"..0.51","..0.51","..0.51","..0.51","19,596,609"
08/02/2023,"..0.52","..0.53","..0.51","..0.51","27,611,949"
08/01/2023,"..0.53","..0.53","..0.52","..0.52","19,489,770"
07/31/2023,"..0.51","..0.53","..0.51","..0.53","24,428,180"
07/27/2023,"..0.52","..0.53","..0.52","..0.52","15,965,160"
07/26/2023,"..0.52","..0.53","..0.51","..0.52","12,539,200"
07/25/2023,"..0.53","..0.53","..0.52","..0.52","17,755,961"
07/24/2023,"..0.53","..0.54","..0.52","..0.53","11,764,340"
07/19/2023,"..0.53","..0.54","..0.53","..0.53","22,638,619"
07/18/2023,"..0.53","..0.54","..0.53","..0.53","23,254,020"
07/17/2023,"..0.53","..0.54","..0.53","..0.53","21,673,289"
07/13/2023,"..0.54","..0.55","..0.53","..0.55","84,118,383"
07/12/2023,"..0.52","..0.54","..0.53","..0.54","74,961,914"
07/11/2023,"..0.52","..0.53","..0.51","..0.52","41,535,879"
07/10/2023,"..0.51","..0.52","..0.50","..0.52","20,788,260"
07/06/2023,"..0.51","..0.54","..0.51","..0.52","107,302,305"
07/05/2023,"..0.51","..0.52","..0.51","..0.51","37,241,633"
07/04/2023,"..0.52","..0.53","..0.51","..0.51","24,191,350"
06/26/2023,"..0.51","..0.52","..0.51","..0.52","45,237,391"
06/22/2023,"..0.50","..0.52","..0.49","..0.51","26,726,859"
06/21/2023,"..0.50","..0.51","..0.49","..0.50","33,049,141"
06/20/2023,"..0.51","..0.51","..0.50","..0.50","24,916,439"
