Date,Open,High,Low,Close,Volume
09/21/2023,"..20.00","..20.65","..19.72","..20.00","2,343"
09/20/2023,"..20.12","..20.13","..20.00","..20.00","15,552"
09/19/2023,"..20.12","..20.74","..20.08","..20.12","2,076"
09/13/2023,"..20.69","..21.00","..20.05","..20.69","752"
09/12/2023,"..20.69","..21.00","..20.00","..20.69","6,368"
09/11/2023,"..20.69","..20.50","..20.00","..20.69","3,919"
09/07/2023,"..20.69","..20.48","..20.00","..20.69","4,190"
09/06/2023,"..20.69","..20.68","..19.55","..20.69","5,192"
09/05/2023,"..20.69","..20.96","..19.50","..20.69","108"
09/04/2023,"..20.69","..21.30","..20.00","..20.69","1,514"
08/31/2023,"..19.85","..21.00","..20.00","..20.69","16,636"
08/30/2023,"..19.85","..20.05","..20.00","..19.85","3,944"
08/29/2023,"..19.85","..20.16","..19.14","..19.85","9,525"
08/28/2023,"..19.85","..20.00","..19.20","..19.85","6,984"
08/24/2023,"..18.00","..18.50","..17.68","..18.00","5,386"
08/23/2023,"..19.46","..19.30","..18.00","..18.00","53,127"
08/22/2023,"..19.46","..19.46","..18.70","..19.46","2,644"
08/21/2023,"..19.46","..19.46","..18.58","..19.46","111"
08/17/2023,"..20.99","..19.98","..19.01","..19.46","22,762"
08/16/2023,"..20.99","..20.15","..19.40","..20.99","1,450"
08/15/2023,"..20.99","..20.38","..19.56","..20.99","1,496"
08/14/2023,"..20.99","..20.50","..19.02","..20.99","2,570"
08/10/2023,"..20.99","..20.96","..20.01","..20.99","1,350"
08/09/2023,"..20.99","..20.95","..20.25","..20.99","606"
08/08/2023,"..20.00","..21.00","..20.49","..20.99","15,929"
08/07/2023,"..20.00","..20.50","..20.03","..20.00","10,045"
08/03/2023,"..20.04","..20.70","..20.00","..20.04","6,507"
08/02/2023,"..20.04","..20.50","..20.00","..20.04","7,800"
08/01/2023,"..20.04","..20.01","..20.00","..20.04","4,443"
07/31/2023,"..20.04","..20.01","..20.00","..20.04","6,056"
07/26/2023,"..20.00","..20.50","..20.00","..20.04","16,500"
07/25/2023,"..20.00","..20.50","..20.00","..20.00","1,660"
07/24/2023,"..20.00","..20.90","..20.02","..20.00","3,311"
07/19/2023,"..20.00","..20.05","..20.00","..20.00","65,307"
07/18/2023,"..20.00","..20.00","..20.00","..20.00","1,655"
