Date,Open,High,Low,Close,Volume
09/20/2023,"..19.99","..19.85","..18.80","..19.99","800"
09/18/2023,"..19.99","..17.80","..17.42","..19.99","920"
09/14/2023,"..19.99","..17.42","..17.40","..19.99","500"
09/13/2023,"..19.99","..19.00","..17.33","..19.99","2,019"
09/12/2023,"..17.77","..17.77","..16.00","..19.99","470"
09/11/2023,"..19.99","..19.00","..18.30","..19.99","3,050"
09/07/2023,"..19.99","..18.94","..18.00","..19.99","950"
09/06/2023,"..19.99","..19.38","..17.77","..19.99","2,319"
09/05/2023,"..19.99","..18.01","..17.60","..19.99","170"
09/04/2023,"..19.99","..18.01","..18.01","..19.99","137"
08/31/2023,"..19.99","..18.25","..18.07","..19.99","2,794"
08/30/2023,"..19.99","..18.04","..18.03","..19.99","420"
08/29/2023,"..19.99","..19.29","..18.55","..19.99","3,068"
08/28/2023,"..19.99","..19.85","..18.00","..19.99","3,877"
08/24/2023,"..19.99","..18.79","..18.00","..19.99","2,518"
08/23/2023,"..19.99","..18.20","..17.80","..19.99","1,605"
08/22/2023,"..19.99","..18.30","..17.80","..19.99","257"
08/21/2023,"..19.99","..18.00","..17.03","..19.99","8,042"
08/17/2023,"..20.91","..20.84","..16.89","..19.99","39,673"
08/14/2023,"..20.91","..16.90","..16.89","..20.91","1,925"
08/10/2023,"..20.91","..16.90","..16.73","..20.91","37"
08/09/2023,"..20.91","..16.90","..16.90","..20.91","39"
08/08/2023,"..20.91","..17.00","..16.73","..20.91","1,415"
08/07/2023,"..20.91","..17.00","..17.00","..20.91","427"
08/03/2023,"..20.91","..17.75","..16.73","..20.91","221"
08/02/2023,"..20.91","..17.30","..16.73","..20.91","2,369"
08/01/2023,"..20.91","..17.98","..17.07","..20.91","1,591"
07/31/2023,"..20.91","..18.28","..16.73","..20.91","6,714"
07/27/2023,"..20.91","..16.73","..16.73","..20.91","420"
07/26/2023,"..20.91","..16.73","..16.73","..20.91","45"
07/25/2023,"..16.73","..16.73","..16.73","..20.91","500"
07/24/2023,"..16.73","..16.73","..16.73","..20.91","580"
07/18/2023,"..16.73","..16.73","..16.73","..20.91","412"
07/17/2023,"..16.74","..16.74","..16.74","..20.91","51"
07/13/2023,"..16.73","..16.73","..16.73","..20.91","20"
07/11/2023,"..20.91","..16.73","..16.73","..20.91","1,683"
07/10/2023,"..16.73","..16.73","..16.73","..20.91","100"
07/06/2023,"..16.73","..16.73","..16.73","..20.91","472"
07/05/2023,"..16.76","..20.91","..16.75","..20.91","253"
06/22/2023,"..16.90","..16.90","..16.73","..20.91","3,460"
06/21/2023,"..16.73","..16.97","..16.73","..20.91","100"
06/20/2023,"..20.91","..20.91","..16.73","..20.91","400"
06/19/2023,"..17.00","..17.00","..17.00","..20.91","3"
06/15/2023,"..20.91","..16.75","..16.73","..20.91","1,639"
06/14/2023,"..20.91","..17.50","..16.73","..20.91","4,546"
06/13/2023,"..20.91","..17.66","..16.73","..20.91","220"
06/12/2023,"..20.91","..16.74","..16.73","..20.91","1,705"
06/08/2023,"..20.91","..17.70","..16.73","..20.91","4,848"
06/07/2023,"..20.91","..17.77","..16.76","..20.91","3,988"
06/06/2023,"..20.91","..17.66","..16.75","..20.91","154"
06/05/2023,"..20.91","..17.98","..16.74","..20.91","5,995"
06/01/2023,"..20.91","..16.90","..16.73","..20.91","298"
05/31/2023,"..20.91","..20.91","..16.73","..20.91","462"
05/30/2023,"..20.91","..17.00","..16.73","..20.91","2,138"
05/29/2023,"..20.91","..16.81","..16.77","..20.91","856"
05/25/2023,"..20.91","..16.90","..16.76","..20.91","851"
05/24/2023,"..20.91","..17.60","..16.73","..20.91","4,527"
05/22/2023,"..20.91","..17.75","..16.73","..20.91","3,107"
05/18/2023,"..20.91","..17.00","..16.73","..20.91","3,304"
05/17/2023,"..20.91","..16.73","..16.73","..20.91","574"
05/15/2023,"..20.91","..20.91","..16.73","..20.91","3,234"
05/11/2023,"..20.91","..16.98","..16.73","..20.91","1,265"
05/10/2023,"..20.91","..17.00","..16.73","..20.91","315"
05/09/2023,"..20.91","..16.99","..16.73","..20.91","9,061"
05/08/2023,"..20.91","..16.80","..16.73","..20.91","530"
05/03/2023,"..20.91","..16.73","..16.73","..20.91","126"
05/02/2023,"..20.91","..16.73","..16.73","..20.91","764"
05/01/2023,"..20.91","..16.76","..16.73","..20.91","953"
04/27/2023,"..20.91","..16.73","..16.73","..20.91","1,483"
04/19/2023,"..20.91","..16.73","..16.73","..20.91","1,294"
04/18/2023,"..20.91","..16.74","..16.73","..20.91","2,918"
04/13/2023,"..20.91","..16.73","..16.73","..20.91","1,190"
04/12/2023,"..20.91","..16.75","..16.73","..20.91","1,049"
04/11/2023,"..20.91","..16.75","..16.75","..20.91","66"
04/10/2023,"..20.91","..17.40","..16.73","..20.91","3,937"
04/06/2023,"..20.91","..16.75","..16.73","..20.91","1,090"
04/05/2023,"..20.91","..18.77","..16.80","..20.91","1,146"
04/04/2023,"..20.91","..17.99","..16.73","..20.91","417"
04/03/2023,"..20.91","..16.95","..16.80","..20.91","623"
03/30/2023,"..20.91","..16.90","..16.74","..20.91","1,515"
03/29/2023,"..20.91","..17.00","..17.00","..20.91","5"
03/28/2023,"..20.91","..17.00","..17.00","..20.91","1"
03/27/2023,"..20.91","..18.26","..16.73","..20.91","3,437"
03/23/2023,"..18.44","..18.44","..16.80","..20.91","445"
03/22/2023,"..20.91","..17.99","..17.30","..20.91","340"
03/21/2023,"..20.91","..17.99","..17.10","..20.91","653"
03/20/2023,"..20.91","..17.02","..16.80","..20.91","1,740"
03/16/2023,"..20.91","..16.73","..16.73","..20.91","210"
03/15/2023,"..20.91","..18.00","..16.73","..20.91","1,166"
03/13/2023,"..20.91","..18.00","..17.10","..20.91","1,800"
03/09/2023,"..20.91","..20.00","..17.60","..20.91","578"
03/08/2023,"..20.91","..19.02","..17.34","..20.91","2,111"
03/07/2023,"..20.91","..21.00","..19.00","..20.91","7,048"
03/06/2023,"..20.91","..21.45","..19.08","..20.91","5,759"
03/02/2023,"..20.91","..19.80","..18.53","..20.91","1,440"
03/01/2023,"..20.91","..21.00","..17.26","..20.91","3,815"
02/28/2023,"..21.29","..21.99","..19.25","..20.91","15,449"
02/27/2023,"..15.81","..22.19","..15.81","..21.29","35,213"
02/22/2023,"..18.68","..17.28","..16.30","..18.68","135"
02/21/2023,"..18.68","..17.00","..16.01","..18.68","1,205"
02/20/2023,"..18.68","..17.45","..15.66","..18.68","7,791"
02/16/2023,"..18.68","..16.55","..15.51","..18.68","1,235"
02/15/2023,"..15.09","..16.16","..15.09","..18.68","92"
02/14/2023,"..18.68","..17.00","..15.60","..18.68","1,179"
02/13/2023,"..18.68","..16.30","..15.51","..18.68","132"
02/09/2023,"..18.68","..15.97","..15.35","..18.68","170"
02/08/2023,"..18.68","..16.16","..15.95","..18.68","127"
02/07/2023,"..18.68","..16.40","..15.35","..18.68","174"
02/06/2023,"..18.68","..16.50","..15.20","..18.68","802"
02/02/2023,"..18.68","..16.89","..15.60","..18.68","2,596"
02/01/2023,"..18.68","..16.50","..16.00","..18.68","600"
01/31/2023,"..18.68","..16.16","..15.30","..18.68","2,262"
01/30/2023,"..18.68","..16.00","..16.00","..18.68","4"
01/25/2023,"..18.68","..16.88","..16.00","..18.68","2,876"
01/24/2023,"..18.68","..16.90","..16.11","..18.68","384"
01/23/2023,"..18.68","..18.00","..16.60","..18.68","3,469"
01/19/2023,"..18.68","..16.59","..15.50","..18.68","3,571"
01/18/2023,"..18.68","..16.68","..15.50","..18.68","2,622"
01/17/2023,"..18.68","..16.77","..15.21","..18.68","2,507"
01/16/2023,"..18.68","..16.00","..15.20","..18.68","5,001"
01/12/2023,"..18.68","..16.40","..15.24","..18.68","2,740"
01/11/2023,"..18.68","..16.80","..15.25","..18.68","3,428"
01/10/2023,"..18.68","..16.49","..15.50","..18.68","127"
01/09/2023,"..18.68","..16.80","..16.03","..18.68","1,109"
01/05/2023,"..18.68","..16.88","..15.75","..18.68","1,438"
01/04/2023,"..18.68","..16.90","..16.00","..18.68","587"
01/03/2023,"..18.68","..16.99","..16.00","..18.68","2,332"
01/02/2023,"..18.68","..17.50","..16.05","..18.68","128"
12/29/2022,"..18.68","..18.50","..15.23","..18.68","7,016"
12/28/2022,"..18.68","..15.98","..15.15","..18.68","2,442"
12/27/2022,"..18.68","..15.94","..15.37","..18.68","1,840"
12/26/2022,"..18.68","..15.94","..15.37","..18.68","1,567"
12/22/2022,"..18.68","..16.66","..15.65","..18.68","1,381"
12/21/2022,"..18.68","..16.40","..15.60","..18.68","2,087"
12/20/2022,"..18.68","..16.76","..15.60","..18.68","283"
12/19/2022,"..18.68","..16.90","..15.55","..18.68","1,512"
12/15/2022,"..18.68","..17.39","..16.03","..18.68","2,184"
12/14/2022,"..18.68","..17.17","..15.93","..18.68","5,635"
12/13/2022,"..18.68","..17.45","..15.55","..18.68","3,769"
12/08/2022,"..18.68","..16.30","..15.80","..18.68","139"
12/07/2022,"..18.68","..17.40","..15.00","..18.68","3,599"
12/06/2022,"..18.68","..17.44","..17.44","..18.68","81"
11/30/2022,"..18.68","..18.00","..15.23","..18.68","6,679"
11/29/2022,"..18.68","..18.60","..16.66","..18.68","755"
11/28/2022,"..18.68","..17.80","..15.20","..18.68","2,256"
11/24/2022,"..18.68","..19.70","..17.98","..18.68","2,094"
11/23/2022,"..18.68","..17.98","..15.21","..18.68","4,000"
11/22/2022,"..18.68","..15.65","..15.65","..18.68","361"
11/21/2022,"..18.68","..15.99","..15.87","..18.68","150"
11/17/2022,"..18.68","..16.00","..15.26","..18.68","2,200"
11/16/2022,"..18.68","..15.99","..15.25","..18.68","1,429"
11/14/2022,"..18.68","..15.65","..14.95","..18.68","20"
11/08/2022,"..18.68","..15.65","..15.65","..18.68","5"
11/07/2022,"..18.68","..15.66","..15.00","..18.68","981"
11/03/2022,"..18.68","..14.96","..14.96","..18.68","1,272"
10/24/2022,"..18.68","..15.77","..14.95","..18.68","510"
10/20/2022,"..18.68","..15.20","..15.20","..18.68","47"
10/18/2022,"..18.68","..15.18","..15.18","..18.68","22"
10/17/2022,"..18.68","..15.12","..14.95","..18.68","28"
10/13/2022,"..18.68","..15.00","..15.00","..18.68","3,109"
10/11/2022,"..18.68","..15.55","..15.20","..18.68","7,458"
10/10/2022,"..18.68","..16.73","..16.73","..18.68","50"
10/05/2022,"..18.68","..16.50","..16.30","..18.68","1,001"
10/04/2022,"..18.68","..16.50","..16.00","..18.68","395"
10/03/2022,"..18.68","..15.75","..15.75","..18.68","85"
09/29/2022,"..18.68","..16.16","..16.16","..18.68","1,139"
09/28/2022,"..18.68","..16.40","..15.50","..18.68","459"
09/27/2022,"..18.68","..15.55","..15.50","..18.68","1,312"
09/22/2022,"..18.68","..16.88","..16.00","..18.68","198"
