Date,Open,High,Low,Close,Volume
09/21/2023,"..5.60","..4.48","..4.48","..5.60","1"
09/19/2023,"..5.60","..4.48","..4.48","..5.60","370"
09/14/2023,"..4.48","..4.48","..4.48","..5.60","2,120"
09/13/2023,"..4.48","..4.48","..4.48","..5.60","528"
09/12/2023,"..4.48","..4.48","..4.48","..5.60","451"
09/11/2023,"..4.48","..4.48","..4.48","..5.60","2,748"
09/06/2023,"..5.60","..4.48","..4.48","..5.60","681"
09/05/2023,"..5.60","..4.48","..4.48","..5.60","4,462"
09/04/2023,"..5.60","..4.48","..4.48","..5.60","3,068"
08/31/2023,"..5.60","..4.48","..4.48","..5.60","2,166"
08/30/2023,"..5.60","..4.48","..4.48","..5.60","9,115"
08/29/2023,"..5.60","..4.80","..4.48","..5.60","17,605"
08/28/2023,"..4.55","..4.88","..4.55","..5.60","1,518"
08/24/2023,"..5.60","..4.90","..4.48","..5.60","12,049"
08/23/2023,"..5.60","..4.48","..4.48","..5.60","7,700"
08/22/2023,"..4.55","..4.55","..4.48","..5.60","10,833"
08/21/2023,"..5.60","..5.60","..4.48","..5.60","34,386"
08/17/2023,"..5.60","..5.60","..4.48","..5.60","2,719"
08/16/2023,"..5.60","..4.48","..4.48","..5.60","2,013"
08/15/2023,"..5.60","..4.48","..4.48","..5.60","1,691"
08/14/2023,"..5.60","..4.48","..4.48","..5.60","2,561"
08/10/2023,"..5.60","..4.48","..4.48","..5.60","2,472"
08/08/2023,"..5.60","..4.48","..4.48","..5.60","3,302"
08/07/2023,"..5.60","..4.48","..4.48","..5.60","847"
07/31/2023,"..5.60","..4.48","..4.48","..5.60","29"
07/27/2023,"..5.60","..4.48","..4.48","..5.60","4,965"
07/25/2023,"..4.48","..4.48","..4.48","..5.60","2,167"
07/24/2023,"..4.48","..4.48","..4.48","..5.60","2,178"
07/18/2023,"..4.48","..4.48","..4.48","..5.60","287"
07/12/2023,"..5.60","..4.48","..4.48","..5.60","10,271"
07/11/2023,"..5.60","..4.48","..4.48","..5.60","4,635"
07/10/2023,"..4.48","..4.48","..4.48","..5.60","2,470"
07/06/2023,"..5.60","..4.63","..4.48","..5.60","11,908"
07/05/2023,"..4.48","..5.60","..4.48","..5.60","48,023"
07/04/2023,"..4.48","..5.60","..4.48","..5.60","9,418"
06/26/2023,"..4.48","..5.60","..4.48","..5.60","10,388"
06/22/2023,"..4.48","..4.48","..4.48","..5.60","11,228"
06/20/2023,"..5.60","..4.48","..4.48","..5.60","718"
06/19/2023,"..4.48","..4.48","..4.48","..5.60","3,963"
06/15/2023,"..5.60","..4.48","..4.48","..5.60","2,200"
06/14/2023,"..5.60","..4.48","..4.48","..5.60","8,844"
06/13/2023,"..5.60","..4.49","..4.48","..5.60","3,647"
06/07/2023,"..5.60","..4.48","..4.48","..5.60","10,254"
06/06/2023,"..5.60","..4.48","..4.48","..5.60","16,570"
06/05/2023,"..4.48","..4.48","..4.48","..5.60","6,724"
06/01/2023,"..5.60","..4.48","..4.48","..5.60","6,534"
05/30/2023,"..5.60","..4.50","..4.48","..5.60","10,116"
05/29/2023,"..5.60","..4.48","..4.48","..5.60","11,473"
05/25/2023,"..5.60","..4.80","..4.48","..5.60","27,677"
05/24/2023,"..5.60","..4.48","..4.48","..5.60","1,110"
05/23/2023,"..5.60","..4.48","..4.48","..5.60","8,698"
05/22/2023,"..5.60","..5.26","..4.48","..5.60","39,948"
05/18/2023,"..5.60","..5.60","..4.91","..5.60","289"
05/17/2023,"..5.60","..5.45","..4.86","..5.60","11,975"
05/16/2023,"..5.60","..5.45","..5.06","..5.60","183"
05/15/2023,"..5.60","..5.60","..4.92","..5.60","4,061"
05/11/2023,"..5.60","..5.62","..5.09","..5.60","557"
05/10/2023,"..5.60","..5.71","..5.05","..5.60","13,417"
05/09/2023,"..5.14","..5.73","..5.34","..5.60","102,270"
05/08/2023,"..5.14","..5.85","..5.19","..5.14","9,588"
05/03/2023,"..5.14","..5.90","..5.20","..5.14","12,338"
05/02/2023,"..5.14","..5.90","..4.63","..5.14","2,554"
05/01/2023,"..5.14","..6.16","..4.60","..5.14","13,842"
04/27/2023,"..4.28","..5.14","..4.09","..5.14","82,486"
04/26/2023,"..4.28","..4.63","..4.36","..4.28","19,473"
04/19/2023,"..4.28","..4.73","..4.29","..4.28","24,554"
04/18/2023,"..4.28","..4.77","..3.87","..4.28","5,793"
04/13/2023,"..4.28","..4.77","..3.81","..4.28","13,103"
04/12/2023,"..4.28","..4.28","..3.79","..4.28","113"
04/11/2023,"..4.28","..4.28","..3.87","..4.28","10,304"
04/10/2023,"..4.28","..4.28","..3.69","..4.28","1,124"
04/06/2023,"..4.28","..4.28","..3.92","..4.28","1,023"
04/05/2023,"..4.28","..4.28","..3.89","..4.28","836"
04/04/2023,"..4.28","..4.28","..3.87","..4.28","2,443"
04/03/2023,"..4.28","..4.28","..3.82","..4.28","1,563"
03/30/2023,"..4.28","..4.28","..3.64","..4.28","3,879"
03/29/2023,"..4.28","..4.28","..4.26","..4.28","8,136"
03/28/2023,"..4.28","..4.64","..3.43","..4.28","46,231"
03/27/2023,"..4.28","..4.64","..4.09","..4.28","3,522"
03/23/2023,"..4.28","..4.64","..4.63","..4.28","240"
03/22/2023,"..4.65","..4.65","..3.45","..4.28","1,405"
03/21/2023,"..4.28","..4.67","..4.34","..4.28","1,221"
03/20/2023,"..4.28","..4.83","..4.27","..4.28","614"
03/16/2023,"..4.28","..4.73","..3.43","..4.28","593"
03/15/2023,"..4.28","..4.81","..4.09","..4.28","3,724"
03/14/2023,"..4.28","..4.91","..4.02","..4.28","715"
03/13/2023,"..4.28","..5.07","..4.02","..4.28","17,280"
03/09/2023,"..4.69","..5.08","..4.55","..4.28","11,352"
03/08/2023,"..4.28","..5.08","..4.70","..4.28","1,198"
03/07/2023,"..4.28","..5.11","..4.70","..4.28","11,180"
03/06/2023,"..4.28","..5.08","..4.68","..4.28","3,297"
03/02/2023,"..5.13","..5.13","..4.73","..4.28","2,332"
03/01/2023,"..4.28","..5.13","..4.68","..4.28","1,397"
02/28/2023,"..4.28","..5.14","..4.55","..4.28","10,316"
02/27/2023,"..5.14","..5.14","..4.33","..4.28","3,572"
02/23/2023,"..4.28","..4.64","..4.13","..4.28","3,948"
