Date,Open,High,Low,Close,Volume
09/21/2023,"..24.69","..25.15","..24.40","..24.85","1,437,685"
09/20/2023,"..25.17","..25.69","..24.22","..24.69","2,141,541"
09/19/2023,"..24.76","..25.42","..24.55","..25.17","2,665,353"
09/18/2023,"..24.67","..24.84","..24.51","..24.76","682,581"
09/14/2023,"..24.37","..24.51","..24.34","..24.50","1,469,944"
09/13/2023,"..24.26","..24.59","..24.20","..24.37","1,266,019"
09/12/2023,"..23.90","..24.40","..23.61","..24.26","3,116,483"
09/11/2023,"..24.50","..24.95","..23.57","..23.90","3,009,939"
09/07/2023,"..22.82","..23.69","..23.00","..23.41","3,650,060"
09/06/2023,"..23.29","..23.95","..22.50","..22.82","3,055,510"
09/05/2023,"..21.70","..23.99","..22.00","..23.29","4,077,514"
09/04/2023,"..21.50","..24.80","..21.63","..21.70","2,975,614"
08/31/2023,"..20.43","..20.58","..20.12","..20.30","671,562"
08/30/2023,"..20.04","..20.73","..20.03","..20.43","272,884"
08/29/2023,"..19.79","..20.99","..19.90","..20.04","657,704"
08/28/2023,"..19.61","..20.48","..19.62","..19.79","935,658"
08/24/2023,"..19.80","..20.00","..19.36","..19.36","2,475,563"
08/23/2023,"..19.80","..20.29","..19.52","..19.80","1,921,174"
08/22/2023,"..18.25","..20.50","..18.60","..19.80","3,403,024"
08/21/2023,"..18.00","..19.00","..18.20","..18.25","1,403,575"
08/17/2023,"..17.51","..17.88","..17.41","..17.50","1,289,652"
08/16/2023,"..18.00","..18.10","..17.51","..17.51","266,298"
08/15/2023,"..17.80","..18.18","..17.40","..18.00","930,781"
08/14/2023,"..18.05","..18.60","..17.80","..17.80","522,179"
08/10/2023,"..18.20","..18.33","..17.95","..17.99","852,191"
08/09/2023,"..17.80","..18.34","..17.99","..18.20","850,073"
08/08/2023,"..18.32","..18.70","..17.80","..17.80","777,221"
08/07/2023,"..18.26","..18.74","..18.06","..18.32","1,175,206"
08/03/2023,"..18.00","..18.50","..17.75","..17.75","290,971"
08/02/2023,"..17.55","..18.29","..17.66","..18.00","2,450,615"
08/01/2023,"..18.68","..18.70","..17.42","..17.55","1,050,959"
07/31/2023,"..18.85","..19.00","..18.50","..18.68","1,161,775"
07/27/2023,"..17.74","..18.45","..17.30","..17.35","945,318"
07/26/2023,"..18.28","..18.50","..17.74","..17.74","711,748"
07/25/2023,"..18.63","..18.99","..18.15","..18.28","400,074"
07/24/2023,"..18.99","..19.00","..18.35","..18.63","264,101"
07/19/2023,"..19.20","..19.30","..18.71","..18.99","149,798"
07/18/2023,"..19.13","..19.30","..19.09","..19.20","1,997,041"
07/17/2023,"..18.91","..19.41","..18.72","..19.13","1,043,915"
07/13/2023,"..18.24","..19.30","..18.36","..19.00","413,267"
07/12/2023,"..18.15","..18.65","..18.15","..18.24","2,354,438"
07/11/2023,"..18.65","..18.90","..18.01","..18.15","1,840,594"
07/10/2023,"..19.11","..19.00","..18.26","..18.65","1,718,200"
07/06/2023,"..19.80","..19.99","..19.01","..19.20","268,637"
07/05/2023,"..20.68","..20.99","..19.70","..19.80","201,754"
07/04/2023,"..21.34","..21.34","..19.61","..20.68","1,184,685"
06/26/2023,"..21.00","..21.34","..20.35","..21.34","1,136,012"
06/22/2023,"..21.00","..21.24","..20.50","..21.00","1,468,406"
06/21/2023,"..21.38","..21.38","..20.90","..21.00","443,629"
06/20/2023,"..21.05","..21.58","..20.91","..21.38","275,261"
06/19/2023,"..21.07","..21.74","..20.85","..21.05","866,333"
06/15/2023,"..19.25","..20.00","..19.25","..20.00","1,165,309"
06/14/2023,"..18.97","..19.49","..18.75","..19.25","1,635,268"
06/13/2023,"..18.99","..19.00","..18.75","..18.97","1,884,746"
06/12/2023,"..18.75","..19.00","..18.75","..18.99","617,420"
06/08/2023,"..18.64","..19.00","..18.36","..18.83","1,613,588"
06/07/2023,"..19.00","..19.00","..18.25","..18.64","917,877"
06/06/2023,"..18.15","..19.10","..18.32","..19.00","3,623,773"
06/05/2023,"..18.38","..18.80","..18.15","..18.15","672,840"
06/01/2023,"..19.07","..19.72","..18.33","..19.00","477,731"
05/31/2023,"..19.11","..19.80","..19.00","..19.07","2,387,473"
05/30/2023,"..18.48","..19.25","..18.31","..19.11","373,406"
05/29/2023,"..18.00","..18.49","..17.56","..18.48","494,536"
05/25/2023,"..18.00","..18.30","..17.01","..17.66","278,865"
05/24/2023,"..16.90","..18.00","..16.61","..18.00","568,782"
05/23/2023,"..16.76","..17.05","..16.70","..16.90","73,573"
05/22/2023,"..17.29","..17.20","..16.45","..16.76","161,588"
05/18/2023,"..15.68","..16.20","..15.40","..16.20","1,283,108"
05/17/2023,"..15.90","..16.20","..15.25","..15.68","560,615"
05/16/2023,"..16.00","..16.20","..15.80","..15.90","668,023"
05/15/2023,"..16.62","..16.85","..16.00","..16.00","556,107"
05/11/2023,"..16.82","..16.98","..16.30","..16.60","518,471"
05/10/2023,"..16.90","..17.00","..16.70","..16.82","103,233"
05/09/2023,"..16.90","..17.10","..16.86","..16.90","316,009"
05/08/2023,"..16.74","..17.10","..16.75","..16.90","982,901"
05/03/2023,"..17.40","..17.49","..17.05","..17.05","110,195"
05/02/2023,"..17.38","..17.58","..17.00","..17.40","1,175,939"
05/01/2023,"..17.13","..17.45","..16.75","..17.38","570,760"
04/27/2023,"..17.35","..17.61","..17.08","..17.40","850,377"
04/26/2023,"..17.01","..17.35","..16.90","..17.35","286,877"
04/19/2023,"..17.00","..17.30","..16.80","..17.01","742,039"
04/18/2023,"..16.98","..17.30","..16.95","..17.00","610,736"
04/13/2023,"..16.88","..17.24","..16.81","..16.98","156,465"
04/12/2023,"..17.49","..17.39","..16.75","..16.88","612,117"
04/11/2023,"..16.47","..17.49","..16.56","..17.49","634,397"
04/10/2023,"..16.45","..16.70","..16.41","..16.47","43,067"
04/06/2023,"..16.95","..16.99","..16.52","..16.53","82,746"
04/05/2023,"..17.00","..17.00","..16.50","..16.95","350,513"
04/04/2023,"..17.47","..17.50","..16.50","..17.00","479,987"
04/03/2023,"..17.30","..17.98","..17.30","..17.47","1,512,863"
03/30/2023,"..17.50","..17.50","..16.02","..17.50","1,237,676"
03/29/2023,"..16.49","..17.50","..15.85","..17.50","1,563,390"
03/28/2023,"..15.81","..16.59","..15.61","..16.49","998,466"
03/27/2023,"..14.72","..17.49","..14.69","..15.81","2,967,415"
03/23/2023,"..13.87","..14.40","..13.52","..14.17","779,092"
03/22/2023,"..13.53","..13.87","..13.50","..13.87","1,269,245"
03/21/2023,"..13.35","..13.66","..13.35","..13.53","645,062"
03/20/2023,"..13.36","..13.57","..13.20","..13.35","792,868"
03/16/2023,"..14.20","..14.24","..13.30","..13.30","11,136,880"
03/15/2023,"..13.87","..14.40","..13.95","..14.20","2,386,980"
03/14/2023,"..14.01","..14.30","..13.87","..13.87","4,302,445"
03/13/2023,"..14.50","..14.70","..13.85","..14.01","4,887,802"
03/09/2023,"..15.15","..15.64","..15.21","..15.21","3,458,291"
03/08/2023,"..17.00","..17.00","..15.00","..15.15","3,129,350"
03/07/2023,"..17.60","..17.99","..16.25","..17.00","528,181"
03/06/2023,"..17.94","..18.24","..17.55","..17.60","663,722"
03/02/2023,"..18.89","..18.80","..18.00","..18.00","4,128,272"
03/01/2023,"..18.52","..18.89","..18.01","..18.89","2,252,246"
02/28/2023,"..18.15","..18.52","..17.80","..18.52","2,962,572"
02/27/2023,"..18.00","..18.24","..17.68","..18.15","1,047,073"
02/23/2023,"..18.00","..18.05","..17.65","..18.00","915,094"
02/22/2023,"..17.99","..18.00","..17.00","..18.00","1,735,352"
02/21/2023,"..17.99","..18.00","..17.77","..17.99","2,201,411"
02/20/2023,"..18.14","..18.08","..17.96","..17.99","352,827"
02/16/2023,"..18.00","..18.22","..18.00","..18.14","813,873"
02/15/2023,"..18.05","..18.18","..17.80","..18.00","842,311"
02/14/2023,"..18.00","..18.20","..18.00","..18.05","424,072"
02/13/2023,"..18.00","..18.21","..17.84","..18.00","1,825,334"
02/09/2023,"..18.02","..18.55","..17.70","..18.18","1,005,089"
02/08/2023,"..18.05","..18.10","..17.80","..18.02","2,358,295"
02/07/2023,"..17.80","..18.19","..17.51","..18.05","2,711,458"
02/06/2023,"..17.50","..17.85","..17.50","..17.80","1,810,513"
02/02/2023,"..18.00","..18.00","..17.80","..17.99","7,700,977"
02/01/2023,"..17.90","..18.00","..17.80","..18.00","2,666,367"
01/31/2023,"..17.75","..18.00","..17.41","..17.90","4,147,778"
01/30/2023,"..17.00","..17.90","..17.00","..17.75","3,759,128"
01/25/2023,"..16.75","..16.97","..16.20","..16.20","1,333,775"
01/24/2023,"..16.80","..17.05","..16.15","..16.75","1,111,979"
01/23/2023,"..16.95","..17.30","..16.71","..16.80","1,062,645"
01/19/2023,"..17.35","..17.70","..16.80","..17.28","731,548"
01/18/2023,"..17.46","..17.89","..16.85","..17.35","900,045"
01/17/2023,"..16.85","..17.48","..16.50","..17.46","1,952,064"
01/16/2023,"..15.79","..16.85","..15.50","..16.85","1,912,975"
01/12/2023,"..15.75","..16.00","..14.91","..15.98","3,723,376"
01/11/2023,"..15.38","..15.93","..15.13","..15.75","1,850,089"
01/10/2023,"..16.35","..16.40","..15.11","..15.38","1,725,884"
01/09/2023,"..16.24","..16.95","..15.90","..16.35","1,904,876"
01/05/2023,"..14.21","..16.24","..14.40","..16.24","1,520,184"
01/04/2023,"..14.18","..14.50","..13.72","..14.21","927,701"
01/03/2023,"..14.41","..14.50","..14.00","..14.18","674,067"
01/02/2023,"..14.31","..14.50","..14.11","..14.41","743,225"
12/29/2022,"..14.20","..14.31","..14.00","..14.31","618,797"
12/28/2022,"..14.20","..14.25","..13.71","..14.20","895,397"
12/27/2022,"..14.20","..14.27","..14.06","..14.20","1,035,930"
12/26/2022,"..14.21","..14.37","..14.00","..14.20","408,057"
12/22/2022,"..15.02","..15.09","..14.48","..14.50","675,897"
12/21/2022,"..15.06","..15.15","..14.78","..15.02","1,173,256"
12/20/2022,"..14.71","..15.48","..14.83","..15.06","1,230,029"
12/19/2022,"..14.92","..15.15","..14.71","..14.71","1,664,902"
12/15/2022,"..14.21","..15.35","..14.21","..15.00","3,179,648"
12/14/2022,"..14.80","..14.79","..14.10","..14.21","2,822,966"
12/13/2022,"..13.67","..14.80","..13.53","..14.80","2,208,910"
12/12/2022,"..13.49","..13.75","..13.32","..13.67","1,558,148"
12/08/2022,"..13.88","..13.99","..13.55","..13.99","3,728,601"
12/07/2022,"..13.27","..13.92","..13.21","..13.88","3,055,637"
12/06/2022,"..13.50","..13.64","..13.21","..13.27","1,089,026"
12/05/2022,"..13.60","..13.79","..13.37","..13.50","1,464,149"
12/01/2022,"..12.91","..13.75","..12.92","..13.75","1,837,254"
11/30/2022,"..13.90","..13.95","..12.91","..12.91","4,529,386"
11/29/2022,"..13.85","..13.90","..13.66","..13.90","2,255,180"
11/28/2022,"..13.87","..13.95","..13.50","..13.85","1,506,640"
11/24/2022,"..13.80","..13.99","..13.55","..13.87","1,412,965"
11/23/2022,"..13.90","..14.00","..13.55","..13.80","1,827,017"
11/22/2022,"..13.59","..14.10","..13.42","..13.90","3,806,990"
11/21/2022,"..14.69","..13.59","..13.00","..13.59","2,921,762"
11/17/2022,"..13.59","..14.60","..13.60","..14.60","2,524,994"
11/16/2022,"..13.25","..13.59","..13.15","..13.59","759,233"
11/15/2022,"..13.36","..13.42","..13.01","..13.25","795,629"
11/14/2022,"..12.90","..13.59","..12.81","..13.36","3,243,126"
11/10/2022,"..13.41","..13.10","..12.50","..12.85","1,089,430"
11/09/2022,"..11.60","..13.41","..11.53","..13.41","3,144,194"
