Date,Open,High,Low,Close,Volume
09/21/2023,"..0.29","..0.27","..0.26","..0.29","346,730"
09/20/2023,"..0.29","..0.28","..0.27","..0.29","204,840"
09/19/2023,"..0.29","..0.28","..0.27","..0.29","111,568"
09/18/2023,"..0.29","..0.28","..0.27","..0.29","370,259"
09/14/2023,"..0.29","..0.29","..0.27","..0.29","270,529"
09/11/2023,"..0.29","..0.28","..0.27","..0.29","60,701"
09/07/2023,"..0.29","..0.28","..0.27","..0.29","203,758"
09/06/2023,"..0.29","..0.27","..0.27","..0.29","137,128"
09/05/2023,"..0.29","..0.27","..0.27","..0.29","13,650"
09/04/2023,"..0.29","..0.27","..0.26","..0.29","100,040"
08/31/2023,"..0.29","..0.27","..0.27","..0.29","152,250"
08/30/2023,"..0.29","..0.28","..0.27","..0.29","159,688"
08/29/2023,"..0.29","..0.27","..0.27","..0.29","67,946"
08/28/2023,"..0.29","..0.27","..0.27","..0.29","296,688"
08/24/2023,"..0.29","..0.27","..0.26","..0.29","165,898"
08/23/2023,"..0.29","..0.27","..0.27","..0.29","162,791"
08/22/2023,"..0.29","..0.28","..0.27","..0.29","477,946"
08/21/2023,"..0.29","..0.27","..0.27","..0.29","17,268"
08/17/2023,"..0.29","..0.28","..0.27","..0.29","11,105"
08/16/2023,"..0.29","..0.28","..0.27","..0.29","389,450"
08/15/2023,"..0.29","..0.27","..0.27","..0.29","132,144"
08/14/2023,"..0.29","..0.27","..0.27","..0.29","335,309"
08/10/2023,"..0.29","..0.27","..0.27","..0.29","712,923"
08/09/2023,"..0.29","..0.27","..0.27","..0.29","34,030"
08/08/2023,"..0.29","..0.28","..0.27","..0.29","507,213"
08/07/2023,"..0.29","..0.28","..0.27","..0.29","792,048"
08/03/2023,"..0.29","..0.29","..0.27","..0.29","7,694"
08/02/2023,"..0.30","..0.30","..0.27","..0.29","1,484,000"
08/01/2023,"..0.30","..0.29","..0.27","..0.30","962,341"
07/31/2023,"..0.30","..0.29","..0.27","..0.30","91,536"
07/27/2023,"..0.30","..0.28","..0.26","..0.30","137,761"
07/26/2023,"..0.30","..0.28","..0.26","..0.30","241,958"
07/25/2023,"..0.30","..0.28","..0.26","..0.30","197,439"
07/24/2023,"..0.30","..0.28","..0.27","..0.30","97,499"
07/19/2023,"..0.30","..0.28","..0.26","..0.30","183,708"
07/18/2023,"..0.30","..0.28","..0.26","..0.30","9,475"
07/17/2023,"..0.30","..0.27","..0.27","..0.30","259,598"
07/13/2023,"..0.30","..0.28","..0.26","..0.30","17,130"
07/12/2023,"..0.30","..0.28","..0.26","..0.30","228,765"
07/11/2023,"..0.30","..0.27","..0.26","..0.30","890,500"
07/10/2023,"..0.30","..0.27","..0.25","..0.30","18,436"
07/06/2023,"..0.30","..0.29","..0.27","..0.30","14,470"
07/05/2023,"..0.30","..0.28","..0.26","..0.30","127,165"
06/26/2023,"..0.30","..0.28","..0.27","..0.30","134,800"
06/22/2023,"..0.30","..0.28","..0.26","..0.30","267,541"
06/21/2023,"..0.30","..0.28","..0.27","..0.30","472,179"
06/20/2023,"..0.30","..0.29","..0.28","..0.30","27,666"
06/19/2023,"..0.30","..0.30","..0.28","..0.30","206,492"
06/15/2023,"..0.30","..0.30","..0.28","..0.30","108,154"
06/14/2023,"..0.30","..0.32","..0.27","..0.30","1,096,740"
06/13/2023,"..0.27","..0.31","..0.28","..0.30","2,984,340"
06/12/2023,"..0.27","..0.26","..0.26","..0.27","37,126"
06/08/2023,"..0.27","..0.26","..0.25","..0.27","54,005"
06/07/2023,"..0.27","..0.27","..0.26","..0.27","41,550"
06/06/2023,"..0.27","..0.27","..0.26","..0.27","225,217"
06/05/2023,"..0.25","..0.28","..0.26","..0.27","1,361,047"
06/01/2023,"..0.25","..0.26","..0.25","..0.25","42,349"
05/31/2023,"..0.25","..0.26","..0.25","..0.25","475,524"
05/30/2023,"..0.25","..0.25","..0.25","..0.25","80,000"
05/29/2023,"..0.25","..0.27","..0.25","..0.25","850,830"
05/25/2023,"..0.25","..0.25","..0.25","..0.25","632,626"
05/24/2023,"..0.25","..0.25","..0.24","..0.25","778,922"
05/23/2023,"..0.25","..0.24","..0.23","..0.25","122,135"
05/22/2023,"..0.25","..0.25","..0.24","..0.25","95,165"
05/18/2023,"..0.25","..0.24","..0.24","..0.25","117,329"
05/17/2023,"..0.25","..0.24","..0.24","..0.25","24,070"
05/16/2023,"..0.25","..0.24","..0.24","..0.25","25,266"
05/15/2023,"..0.25","..0.25","..0.24","..0.25","119,516"
05/11/2023,"..0.25","..0.25","..0.24","..0.25","81,961"
05/10/2023,"..0.25","..0.25","..0.22","..0.25","578,169"
05/09/2023,"..0.25","..0.26","..0.25","..0.25","631,362"
05/08/2023,"..0.25","..0.26","..0.24","..0.25","74,099"
05/03/2023,"..0.26","..0.26","..0.22","..0.25","1,259,575"
05/02/2023,"..0.26","..0.24","..0.24","..0.26","11,000"
05/01/2023,"..0.26","..0.26","..0.24","..0.26","175,808"
04/27/2023,"..0.26","..0.26","..0.25","..0.26","614,042"
04/26/2023,"..0.26","..0.27","..0.25","..0.26","839,205"
04/19/2023,"..0.27","..0.28","..0.25","..0.26","1,186,049"
04/13/2023,"..0.27","..0.26","..0.25","..0.27","100,492"
04/12/2023,"..0.27","..0.26","..0.25","..0.27","167,360"
04/11/2023,"..0.27","..0.27","..0.26","..0.27","25,108"
04/10/2023,"..0.27","..0.27","..0.25","..0.27","418,265"
04/06/2023,"..0.27","..0.29","..0.25","..0.27","632,172"
04/05/2023,"..0.29","..0.30","..0.24","..0.27","1,764,226"
04/04/2023,"..0.29","..0.24","..0.24","..0.29","109,298"
04/03/2023,"..0.29","..0.29","..0.23","..0.29","89,987"
03/30/2023,"..0.29","..0.29","..0.23","..0.29","349,546"
03/29/2023,"..0.29","..0.24","..0.23","..0.29","137,889"
03/28/2023,"..0.29","..0.29","..0.23","..0.29","583,005"
03/27/2023,"..0.29","..0.25","..0.23","..0.29","248,974"
03/23/2023,"..0.24","..0.29","..0.24","..0.29","104,864"
03/22/2023,"..0.24","..0.24","..0.24","..0.29","1,000"
03/21/2023,"..0.29","..0.29","..0.23","..0.29","301,430"
03/20/2023,"..0.29","..0.24","..0.23","..0.29","136,935"
03/16/2023,"..0.29","..0.23","..0.23","..0.29","690,212"
03/15/2023,"..0.29","..0.26","..0.23","..0.29","574,868"
03/14/2023,"..0.29","..0.26","..0.23","..0.29","565,603"
03/13/2023,"..0.29","..0.26","..0.25","..0.29","74,173"
03/09/2023,"..0.29","..0.29","..0.26","..0.29","30,032"
03/08/2023,"..0.29","..0.29","..0.25","..0.29","660,950"
03/07/2023,"..0.29","..0.28","..0.26","..0.29","385,901"
03/06/2023,"..0.29","..0.34","..0.23","..0.29","125,012"
03/02/2023,"..0.29","..0.30","..0.28","..0.29","397,702"
03/01/2023,"..0.34","..0.31","..0.27","..0.29","2,244,762"
02/28/2023,"..0.34","..0.34","..0.27","..0.34","263,816"
02/27/2023,"..0.28","..0.34","..0.27","..0.34","60,026"
02/23/2023,"..0.27","..0.34","..0.27","..0.34","909,193"
02/22/2023,"..0.28","..0.34","..0.27","..0.34","848,488"
02/21/2023,"..0.28","..0.34","..0.27","..0.34","180,719"
02/20/2023,"..0.34","..0.34","..0.28","..0.34","294,783"
02/16/2023,"..0.34","..0.34","..0.29","..0.34","107,800"
02/15/2023,"..0.34","..0.34","..0.28","..0.34","469,246"
02/14/2023,"..0.34","..0.30","..0.28","..0.34","481,123"
02/13/2023,"..0.27","..0.28","..0.27","..0.34","66,201"
02/09/2023,"..0.34","..0.28","..0.27","..0.34","475,386"
02/08/2023,"..0.34","..0.29","..0.27","..0.34","153,105"
02/07/2023,"..0.34","..0.28","..0.27","..0.34","561,040"
02/06/2023,"..0.34","..0.28","..0.27","..0.34","385,516"
02/02/2023,"..0.34","..0.28","..0.28","..0.34","170,330"
02/01/2023,"..0.34","..0.29","..0.28","..0.34","179,800"
01/31/2023,"..0.34","..0.30","..0.29","..0.34","71,405"
01/30/2023,"..0.34","..0.30","..0.29","..0.34","242,788"
01/25/2023,"..0.34","..0.30","..0.29","..0.34","305,903"
01/24/2023,"..0.34","..0.30","..0.29","..0.34","20,246"
01/23/2023,"..0.34","..0.31","..0.29","..0.34","113,807"
01/19/2023,"..0.34","..0.32","..0.30","..0.34","273,793"
01/18/2023,"..0.34","..0.30","..0.29","..0.34","402,619"
01/17/2023,"..0.34","..0.31","..0.29","..0.34","551,083"
01/16/2023,"..0.34","..0.30","..0.29","..0.34","257,270"
01/12/2023,"..0.34","..0.30","..0.29","..0.34","404,342"
01/11/2023,"..0.34","..0.32","..0.30","..0.34","619,650"
01/10/2023,"..0.34","..0.32","..0.29","..0.34","62,158"
01/09/2023,"..0.34","..0.33","..0.32","..0.34","297,500"
01/05/2023,"..0.34","..0.34","..0.31","..0.34","522,020"
01/04/2023,"..0.34","..0.33","..0.32","..0.34","47,436"
01/03/2023,"..0.34","..0.33","..0.32","..0.34","225,514"
01/02/2023,"..0.34","..0.33","..0.31","..0.34","70,968"
12/29/2022,"..0.34","..0.32","..0.31","..0.34","73,398"
12/28/2022,"..0.34","..0.32","..0.31","..0.34","20,050"
12/27/2022,"..0.34","..0.32","..0.31","..0.34","45,465"
12/26/2022,"..0.34","..0.32","..0.32","..0.34","20,000"
12/22/2022,"..0.34","..0.33","..0.31","..0.34","272,205"
12/21/2022,"..0.34","..0.34","..0.31","..0.34","102,090"
12/20/2022,"..0.34","..0.33","..0.32","..0.34","37,800"
12/19/2022,"..0.34","..0.33","..0.33","..0.34","184,000"
12/15/2022,"..0.34","..0.34","..0.33","..0.34","366,123"
12/14/2022,"..0.34","..0.34","..0.33","..0.34","480,854"
12/13/2022,"..0.34","..0.34","..0.33","..0.34","415,431"
12/12/2022,"..0.34","..0.33","..0.32","..0.34","108,618"
12/08/2022,"..0.36","..0.34","..0.33","..0.34","1,031,167"
12/07/2022,"..0.36","..0.34","..0.33","..0.36","417,175"
12/06/2022,"..0.36","..0.35","..0.33","..0.36","246,633"
12/05/2022,"..0.36","..0.35","..0.34","..0.36","102,100"
12/01/2022,"..0.36","..0.36","..0.34","..0.36","354,891"
11/30/2022,"..0.36","..0.36","..0.34","..0.36","425,841"
11/29/2022,"..0.36","..0.35","..0.34","..0.36","175,664"
11/28/2022,"..0.36","..0.36","..0.35","..0.36","91,720"
11/22/2022,"..0.36","..0.36","..0.35","..0.36","476,193"
11/21/2022,"..0.36","..0.36","..0.34","..0.36","20,973"
11/17/2022,"..0.36","..0.35","..0.34","..0.36","70,158"
11/16/2022,"..0.36","..0.36","..0.34","..0.36","1,100,232"
11/15/2022,"..0.36","..0.35","..0.34","..0.36","63,293"
11/14/2022,"..0.36","..0.35","..0.33","..0.36","24,739"
11/10/2022,"..0.36","..0.36","..0.32","..0.36","40,339"
11/09/2022,"..0.36","..0.36","..0.32","..0.36","120,500"
11/08/2022,"..0.36","..0.36","..0.33","..0.36","9,400"
11/07/2022,"..0.36","..0.35","..0.34","..0.36","185,030"
11/03/2022,"..0.36","..0.36","..0.33","..0.36","10,331"
11/01/2022,"..0.36","..0.36","..0.34","..0.36","29,289"
10/31/2022,"..0.36","..0.37","..0.35","..0.36","240,346"
10/27/2022,"..0.34","..0.34","..0.33","..0.34","59,000"
10/26/2022,"..0.34","..0.36","..0.33","..0.34","1,474,440"
10/25/2022,"..0.34","..0.34","..0.31","..0.34","720,816"
10/24/2022,"..0.34","..0.33","..0.31","..0.34","60,050"
10/20/2022,"..0.34","..0.33","..0.31","..0.34","67,110"
10/19/2022,"..0.34","..0.32","..0.31","..0.34","153,005"
10/18/2022,"..0.34","..0.33","..0.31","..0.34","275,135"
10/17/2022,"..0.34","..0.34","..0.32","..0.34","2,561"
10/12/2022,"..0.34","..0.32","..0.31","..0.34","127,340"
10/11/2022,"..0.34","..0.35","..0.35","..0.34","100,000"
10/10/2022,"..0.34","..0.34","..0.31","..0.34","60,717"
10/05/2022,"..0.34","..0.33","..0.31","..0.34","11,717"
10/04/2022,"..0.34","..0.35","..0.31","..0.34","204,530"
10/03/2022,"..0.34","..0.30","..0.30","..0.34","90,000"
09/29/2022,"..0.34","..0.33","..0.31","..0.34","12,533"
09/28/2022,"..0.34","..0.32","..0.31","..0.34","140,000"
09/27/2022,"..0.34","..0.34","..0.31","..0.34","378,087"
09/26/2022,"..0.34","..0.33","..0.30","..0.34","150,000"
09/22/2022,"..0.34","..0.33","..0.31","..0.34","10,050"
