Date,Open,High,Low,Close,Volume
09/21/2023,"..0.24","..0.25","..0.24","..0.24","2,911,566"
09/20/2023,"..0.25","..0.25","..0.24","..0.24","4,607,084"
09/19/2023,"..0.25","..0.25","..0.25","..0.25","4,508,591"
09/18/2023,"..0.25","..0.25","..0.25","..0.25","4,324,083"
09/14/2023,"..0.24","..0.25","..0.25","..0.25","1,611,681"
09/13/2023,"..0.24","..0.25","..0.24","..0.24","3,158,257"
09/12/2023,"..0.25","..0.25","..0.24","..0.24","2,449,050"
09/11/2023,"..0.25","..0.25","..0.24","..0.25","6,538,661"
09/07/2023,"..0.25","..0.25","..0.25","..0.25","4,892,612"
09/06/2023,"..0.26","..0.26","..0.25","..0.25","10,589,020"
09/05/2023,"..0.26","..0.26","..0.26","..0.26","13,325,810"
09/04/2023,"..0.25","..0.26","..0.24","..0.26","14,516,080"
08/31/2023,"..0.24","..0.25","..0.24","..0.24","3,218,040"
08/30/2023,"..0.24","..0.24","..0.24","..0.24","3,111,197"
08/29/2023,"..0.24","..0.24","..0.24","..0.24","7,484,055"
08/28/2023,"..0.25","..0.25","..0.24","..0.24","2,706,707"
08/24/2023,"..0.24","..0.25","..0.24","..0.24","5,348,682"
08/23/2023,"..0.24","..0.25","..0.24","..0.24","1,927,506"
08/22/2023,"..0.24","..0.25","..0.24","..0.24","5,079,605"
08/21/2023,"..0.25","..0.25","..0.24","..0.24","6,750,081"
08/17/2023,"..0.25","..0.25","..0.25","..0.25","5,252,385"
08/16/2023,"..0.25","..0.26","..0.25","..0.25","6,272,824"
08/15/2023,"..0.25","..0.26","..0.25","..0.25","3,690,561"
08/14/2023,"..0.25","..0.26","..0.25","..0.25","6,250,921"
08/10/2023,"..0.26","..0.26","..0.25","..0.26","7,062,568"
08/09/2023,"..0.27","..0.27","..0.26","..0.26","12,713,300"
08/08/2023,"..0.26","..0.27","..0.26","..0.27","13,543,070"
08/07/2023,"..0.25","..0.26","..0.25","..0.26","7,163,463"
08/03/2023,"..0.25","..0.25","..0.24","..0.25","7,308,927"
08/02/2023,"..0.26","..0.26","..0.25","..0.25","6,234,905"
08/01/2023,"..0.25","..0.27","..0.25","..0.26","15,063,450"
07/31/2023,"..0.26","..0.26","..0.25","..0.25","10,983,910"
07/27/2023,"..0.24","..0.25","..0.23","..0.25","25,102,500"
07/26/2023,"..0.23","..0.25","..0.23","..0.24","7,941,827"
07/25/2023,"..0.23","..0.23","..0.23","..0.23","3,121,159"
07/24/2023,"..0.23","..0.23","..0.23","..0.23","4,243,589"
07/19/2023,"..0.23","..0.23","..0.23","..0.23","3,334,042"
07/18/2023,"..0.23","..0.23","..0.23","..0.23","3,454,912"
07/17/2023,"..0.23","..0.23","..0.23","..0.23","2,310,646"
07/13/2023,"..0.23","..0.23","..0.23","..0.23","2,379,334"
07/12/2023,"..0.23","..0.24","..0.23","..0.23","3,242,636"
07/11/2023,"..0.23","..0.23","..0.23","..0.23","5,043,646"
07/10/2023,"..0.22","..0.23","..0.22","..0.23","4,613,147"
07/06/2023,"..0.24","..0.24","..0.24","..0.24","6,486,129"
07/05/2023,"..0.24","..0.25","..0.24","..0.24","4,413,667"
07/04/2023,"..0.25","..0.25","..0.24","..0.24","4,198,082"
06/26/2023,"..0.25","..0.25","..0.24","..0.25","3,417,978"
06/22/2023,"..0.23","..0.25","..0.23","..0.25","14,264,450"
06/21/2023,"..0.24","..0.24","..0.23","..0.23","6,576,872"
06/20/2023,"..0.24","..0.24","..0.24","..0.24","4,236,728"
06/19/2023,"..0.24","..0.24","..0.24","..0.24","3,175,636"
06/15/2023,"..0.24","..0.25","..0.24","..0.24","7,333,339"
06/14/2023,"..0.24","..0.25","..0.24","..0.24","4,604,027"
06/13/2023,"..0.24","..0.25","..0.24","..0.24","6,955,488"
